
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): April
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,04/01/2014,0059,N788AA,JFK,11:35,12:23,0395 ,0412,48,12:17,0006,0031,0000,0017,0000,0000,
  AA,04/01/2014,0069,N5CBAA,MIA,23:59,02:03,0374 ,0358,124,01:59,0004,0000,0000,0124,0000,0000,
  AA,04/01/2014,0085,N366AA,JFK,19:00,22:45,0390 ,0383,225,22:39,0006,0000,0000,0225,0000,0000,
  AA,04/01/2014,0108,N3GWAA,LAX,08:25,08:55,0085 ,0117,30,08:51,0004,0000,0000,0030,0000,0000,
  AA,04/01/2014,0167,N364AA,MIA,11:10,11:23,0375 ,0392,13,11:16,0007,0000,0000,0000,0000,0000,
  AA,04/01/2014,0177,N790AA,JFK,21:30,23:39,0395 ,0413,129,23:31,0008,0000,0000,0129,0000,0000,
  AA,04/01/2014,0179,N792AA,JFK,13:45,16:28,0395 ,0416,163,16:21,0007,0000,0000,0163,0000,0000,
  AA,04/01/2014,0193,N3BGAA,DFW,12:25,14:41,0230 ,0252,136,14:36,0005,0000,0000,0104,0000,0032,
  AA,04/01/2014,0197,N3GFAA,ORD,17:20,20:30,0280 ,0311,190,20:26,0004,0000,0000,0190,0000,0000,
  AA,04/01/2014,0209,N3BEAA,LAX,17:05,18:01,0075 ,0092,56,17:54,0007,0000,0000,0017,0000,0039,
  AA,04/01/2014,0219,N3AMAA,LAX,19:20,20:27,0080 ,0076,67,20:23,0004,0000,0000,0000,0000,0067,
  AA,04/01/2014,0275,N633AA,MIA,19:55,21:53,0380 ,0393,118,21:47,0006,0000,0000,0118,0000,0000,
