
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,08/01/2014,0023,N370AA,DFW,09:25,09:42,0210 ,0229,17,09:37,0005,0000,0000,0017,0000,0000,
  AA,08/01/2014,0059,N789AA,JFK,11:10,10:57,0370 ,0368,-13,10:54,0003,0000,0000,0000,0000,0000,
  AA,08/01/2014,0069,N3HWAA,MIA,20:05,20:55,0350 ,0359,50,20:47,0008,0007,0000,0009,0000,0034,
  AA,08/01/2014,0085,N783AA,JFK,19:05,20:00,0395 ,0431,55,19:52,0008,0000,0000,0055,0000,0000,
  AA,08/01/2014,0163,N795AA,JFK,23:35,23:48,0395 ,0380,13,23:40,0008,0000,0000,0000,0000,0000,
  AA,08/01/2014,0167,N379AA,MIA,11:15,11:06,0350 ,0343,-9,11:02,0004,0000,0000,0000,0000,0000,
  AA,08/01/2014,0177,N797AA,JFK,21:40,21:33,0400 ,0400,-7,21:25,0008,0000,0000,0000,0000,0000,
  AA,08/01/2014,0179,N794AA,JFK,13:50,13:44,0380 ,0380,-6,13:38,0006,0000,0000,0000,0000,0000,
  AA,08/01/2014,0193,N3BHAA,DFW,12:00,12:09,0220 ,0229,9,12:01,0008,0000,0000,0000,0000,0000,
  AA,08/01/2014,0197,N3FBAA,ORD,16:50,17:43,0265 ,0292,53,17:37,0006,0000,0026,0027,0000,0000,
  AA,08/01/2014,0209,N3CAAA,LAX,16:45,16:37,0075 ,0069,-8,16:32,0005,0000,0000,0000,0000,0000,
  AA,08/01/2014,0219,N3BTAA,LAX,19:15,21:01,0075 ,0100,106,20:57,0004,0000,0000,0025,0000,0081,
  AA,08/01/2014,0241,N3EKAA,ORD,19:05,19:12,0275 ,0275,7,19:08,0004,0000,0000,0000,0000,0000,
  AA,08/01/2014,0262,N3KRAA,LAX,08:05,07:52,0080 ,0071,-13,07:46,0006,0000,0000,0000,0000,0000,
  AA,08/01/2014,0275,N3EPAA,MIA,23:35,01:36,0360 ,0337,121,01:32,0004,0013,0000,0000,0000,0108,
  AA,08/01/2014,0277,N3HEAA,DFW,13:30,13:36,0220 ,0222,6,13:31,0005,0000,0000,0000,0000,0000,
  AA,08/01/2014,0369,N3APAA,DFW,14:40,14:54,0215 ,0227,14,14:49,0005,0000,0000,0000,0000,0000,
  AA,08/01/2014,1033,N3GKAA,ORD,11:15,11:03,0270 ,0265,-12,10:59,0004,0000,0000,0000,0000,0000,
  AA,08/01/2014,1105,N3EWAA,DFW,23:10,00:36,0215 ,0211,86,00:27,0009,0000,0000,0000,0000,0086,
  AA,08/01/2014,1143,N3BTAA,LAX,14:45,14:43,0075 ,0075,-2,14:39,0004,0000,0000,0000,0000,0000,
  AA,08/01/2014,1213,N3DPAA,DFW,15:45,15:49,0210 ,0209,4,15:44,0005,0000,0000,0000,0000,0000,
  AA,08/01/2014,1393,N3KPAA,DFW,19:05,18:58,0215 ,0209,-7,18:56,0002,0000,0000,0000,0000,0000,
  AA,08/01/2014,1435,N3FEAA,ORD,09:25,09:15,0265 ,0259,-10,09:06,0009,0000,0000,0000,0000,0000,
  AA,08/01/2014,1439,N3LPAA,DFW,22:00,23:39,0220 ,0236,99,23:35,0004,0006,0000,0016,0000,0077,
  AA,08/01/2014,1459,N3ARAA,ORD,21:30,22:14,0270 ,0295,44,22:06,0008,0019,0000,0025,0000,0000,
  AA,08/01/2014,1536,N3CDAA,DFW,17:20,17:26,0215 ,0218,6,17:22,0004,0000,0000,0000,0000,0000,
  AA,08/01/2014,2293,N5DLAA,DFW,10:25,00:00,0210 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,08/01/2014,2356,N3CMAA,ORD,13:15,13:05,0270 ,0267,-10,13:00,0005,0000,0000,0000,0000,0000,
  AA,08/01/2014,2378,N3HXAA,LAX,12:25,12:32,0085 ,0097,7,12:28,0004,0000,0000,0000,0000,0000,
  AA,08/01/2014,2411,N3FGAA,DFW,20:35,22:02,0215 ,0216,87,21:57,0005,0000,0000,0001,0000,0086,
  AA,08/01/2014,2457,N3CRAA,ORD,22:40,00:02,0275 ,0290,82,23:57,0005,0001,0000,0015,0000,0066,
  AA,08/01/2014,2465,N3JNAA,LAX,22:35,23:41,0080 ,0079,66,23:36,0005,0031,0000,0000,0000,0035,
  AA,08/02/2014,0023,N391AA,DFW,09:25,10:11,0210 ,0234,46,10:07,0004,0022,0000,0024,0000,0000,
  AA,08/02/2014,0059,N787AA,JFK,11:10,10:55,0370 ,0360,-15,10:50,0005,0000,0000,0000,0000,0000,
  AA,08/02/2014,0069,N3FHAA,MIA,20:05,20:12,0350 ,0359,7,20:08,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,0085,N791AA,JFK,19:05,19:18,0395 ,0411,13,19:13,0005,0000,0000,0000,0000,0000,
  AA,08/02/2014,0163,N790AA,JFK,23:35,23:31,0395 ,0391,-4,23:21,0010,0000,0000,0000,0000,0000,
  AA,08/02/2014,0167,N373AA,MIA,11:15,11:33,0350 ,0370,18,11:25,0008,0000,0000,0018,0000,0000,
  AA,08/02/2014,0177,N784AA,JFK,21:40,21:39,0400 ,0403,-1,21:35,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,0179,N794AA,JFK,13:50,13:27,0380 ,0361,-23,13:20,0007,0000,0000,0000,0000,0000,
  AA,08/02/2014,0193,N3GAAA,DFW,12:00,12:15,0220 ,0221,15,12:10,0005,0014,0000,0001,0000,0000,
  AA,08/02/2014,0197,N3BEAA,ORD,16:50,16:57,0265 ,0260,7,16:50,0007,0000,0000,0000,0000,0000,
  AA,08/02/2014,0209,N3HXAA,LAX,16:45,16:34,0075 ,0071,-11,16:29,0005,0000,0000,0000,0000,0000,
  AA,08/02/2014,0219,N3KTAA,LAX,19:15,22:23,0075 ,0121,188,22:19,0004,0000,0000,0056,0000,0132,
  AA,08/02/2014,0241,N3KAAA,ORD,19:05,18:57,0275 ,0264,-8,18:53,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,0262,N3JAAA,LAX,08:05,07:51,0080 ,0073,-14,07:49,0002,0000,0000,0000,0000,0000,
  AA,08/02/2014,0275,N3DDAA,MIA,23:35,01:03,0360 ,0353,88,00:59,0004,0002,0000,0000,0000,0086,
  AA,08/02/2014,0369,N3BMAA,DFW,14:40,14:46,0215 ,0224,6,14:41,0005,0000,0000,0000,0000,0000,
  AA,08/02/2014,1033,N3CFAA,ORD,11:15,11:12,0270 ,0256,-3,11:06,0006,0000,0000,0000,0000,0000,
  AA,08/02/2014,1105,N3EPAA,DFW,23:10,23:08,0215 ,0215,-2,22:51,0017,0000,0000,0000,0000,0000,
  AA,08/02/2014,1143,N3HBAA,LAX,14:45,14:35,0075 ,0066,-10,14:32,0003,0000,0000,0000,0000,0000,
  AA,08/02/2014,1213,N3KTAA,DFW,15:45,15:38,0210 ,0203,-7,15:34,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,1393,N3JKAA,DFW,19:05,19:15,0215 ,0228,10,19:11,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,1435,N3GNAA,ORD,09:25,09:24,0265 ,0268,-1,09:17,0007,0000,0000,0000,0000,0000,
  AA,08/02/2014,1459,N3JSAA,ORD,21:30,21:27,0270 ,0272,-3,21:18,0009,0000,0000,0000,0000,0000,
  AA,08/02/2014,1536,N3KJAA,DFW,17:20,17:12,0215 ,0209,-8,17:09,0003,0000,0000,0000,0000,0000,
  AA,08/02/2014,2293,N5EFAA,DFW,10:25,10:31,0210 ,0217,6,10:27,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,2356,N3GTAA,ORD,13:15,12:58,0270 ,0260,-17,12:54,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,2378,N3CAAA,LAX,12:25,12:35,0085 ,0095,10,12:30,0005,0000,0000,0000,0000,0000,
  AA,08/02/2014,2411,N3HUAA,DFW,20:35,20:25,0215 ,0206,-10,20:23,0002,0000,0000,0000,0000,0000,
  AA,08/02/2014,2457,N3HTAA,ORD,22:40,22:24,0275 ,0259,-16,22:20,0004,0000,0000,0000,0000,0000,
  AA,08/02/2014,2465,N3CWAA,LAX,22:35,22:29,0080 ,0081,-6,22:25,0004,0000,0000,0000,0000,0000,
  AA,08/03/2014,0023,N375AA,DFW,09:25,09:25,0210 ,0210,0,09:21,0004,0000,0000,0000,0000,0000,
  AA,08/03/2014,0059,N795AA,JFK,11:10,13:42,0370 ,0370,152,13:34,0008,0152,0000,0000,0000,0000,
  AA,08/03/2014,0069,N3HWAA,MIA,20:05,20:48,0350 ,0354,43,20:44,0004,0039,0000,0004,0000,0000,
  AA,08/03/2014,0085,N783AA,JFK,19:05,18:54,0395 ,0372,-11,18:46,0008,0000,0000,0000,0000,0000,
  AA,08/03/2014,0163,N797AA,JFK,23:35,23:20,0395 ,0380,-15,23:16,0004,0000,0000,0000,0000,0000,
