
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,08/01/2015,0037,N3DTAA,DFW,18:50,18:38,-12,0000,0000,0000,0000,0000,
  AA,08/01/2015,0082,N3BCAA,DFW,13:50,13:29,-21,0000,0000,0000,0000,0000,
  AA,08/01/2015,0163,N798AA,JFK,23:39,23:36,-3,0000,0000,0000,0000,0000,
  AA,08/01/2015,0167,N3HFAA,MIA,10:13,10:18,5,0000,0000,0000,0000,0000,
  AA,08/01/2015,0177,N790AA,JFK,21:44,21:55,11,0000,0000,0000,0000,0000,
  AA,08/01/2015,0179,N794AA,JFK,13:50,13:54,4,0000,0000,0000,0000,0000,
  AA,08/01/2015,0193,N3KBAA,ORD,14:53,14:36,-17,0000,0000,0000,0000,0000,
  AA,08/01/2015,0209,N3EPAA,LAX,18:01,17:50,-11,0000,0000,0000,0000,0000,
  AA,08/01/2015,0218,N3JVAA,LAX,20:09,20:14,5,0000,0000,0000,0000,0000,
  AA,08/01/2015,0241,N3LYAA,ORD,16:41,16:41,0,0000,0000,0000,0000,0000,
  AA,08/01/2015,0249,N3JWAA,DFW,17:33,20:01,148,0044,0000,0000,0000,0104,
  AA,08/01/2015,0259,N3GNAA,DFW,12:50,12:35,-15,0000,0000,0000,0000,0000,
  AA,08/01/2015,0382,N3MLAA,ORD,18:05,17:43,-22,0000,0000,0000,0000,0000,
  AA,08/01/2015,0403,N655AW,PHX,09:53,09:34,-19,0000,0000,0000,0000,0000,
  AA,08/01/2015,0407,N552UW,PHX,15:59,15:34,-25,0000,0000,0000,0000,0000,
  AA,08/01/2015,0433,N523UW,PHX,12:29,12:11,-18,0000,0000,0000,0000,0000,
  AA,08/01/2015,0436,N539UW,PHX,22:20,22:02,-18,0000,0000,0000,0000,0000,
  AA,08/01/2015,0461,N184US,CLT,11:57,11:39,-18,0000,0000,0000,0000,0000,
  AA,08/01/2015,0475,N152UW,CLT,22:23,22:26,3,0000,0000,0000,0000,0000,
  AA,08/01/2015,0490,N508AY,PHL,23:56,23:29,-27,0000,0000,0000,0000,0000,
  AA,08/01/2015,0557,N162UW,CLT,00:29,00:38,9,0000,0000,0000,0000,0000,
  AA,08/01/2015,0574,N665AW,PHL,11:00,10:39,-21,0000,0000,0000,0000,0000,
  AA,08/01/2015,0590,N913US,PHX,00:49,00:37,-12,0000,0000,0000,0000,0000,
