
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,12/01/2014,0015,N789AA,JFK,11:40,11:32,0400 ,0393,-8,11:25,0007,0000,0000,0000,0000,0000,
  AA,12/01/2014,0023,N382AA,DFW,09:45,00:00,0230 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,12/01/2014,0069,N3JFAA,MIA,22:01,21:50,0386 ,0381,-11,21:46,0004,0000,0000,0000,0000,0000,
  AA,12/01/2014,0085,N797AA,JFK,19:10,19:30,0400 ,0426,20,19:25,0005,0000,0000,0020,0000,0000,
  AA,12/01/2014,0160,N3AEAA,LAX,08:10,08:03,0080 ,0076,-7,07:59,0004,0000,0000,0000,0000,0000,
  AA,12/01/2014,0163,N796AA,JFK,23:25,24:00,0400 ,0435,35,23:48,0012,0000,0000,0035,0000,0000,
  AA,12/01/2014,0167,N356AA,MIA,10:30,10:09,0375 ,0357,-21,10:05,0004,0000,0000,0000,0000,0000,
  AA,12/01/2014,0177,N795AA,JFK,21:25,21:48,0400 ,0426,23,21:43,0005,0000,0000,0023,0000,0000,
  AA,12/01/2014,0179,N788AA,JFK,14:05,15:31,0395 ,0422,86,15:19,0012,0000,0000,0086,0000,0000,
  AA,12/01/2014,0193,N3GPAA,DFW,12:10,12:35,0225 ,0251,25,12:31,0004,0000,0000,0025,0000,0000,
  AA,12/01/2014,0197,N3GJAA,ORD,16:35,16:48,0280 ,0294,13,16:41,0007,0000,0000,0000,0000,0000,
  AA,12/01/2014,0209,N3DPAA,LAX,17:10,17:13,0075 ,0079,3,17:10,0003,0000,0000,0000,0000,0000,
  AA,12/01/2014,0219,N3ETAA,LAX,19:20,19:32,0080 ,0080,12,19:28,0004,0000,0000,0000,0000,0000,
  AA,12/01/2014,0241,N3JTAA,ORD,18:50,19:42,0280 ,0309,52,19:36,0006,0000,0000,0029,0000,0023,
  AA,12/01/2014,0259,N5EKAA,MIA,17:39,18:42,0379 ,0362,63,18:37,0005,0046,0000,0000,0000,0017,
  AA,12/01/2014,0277,N3JBAA,DFW,13:35,14:07,0225 ,0226,32,14:04,0003,0031,0000,0001,0000,0000,
  AA,12/01/2014,0369,N5DFAA,DFW,15:00,15:48,0225 ,0261,48,15:42,0006,0012,0000,0036,0000,0000,
  AA,12/01/2014,1033,N3LXAA,ORD,11:25,12:26,0280 ,0294,61,12:21,0005,0000,0000,0061,0000,0000,
  AA,12/01/2014,1105,N3BBAA,DFW,23:20,23:31,0230 ,0242,11,23:26,0005,0000,0000,0000,0000,0000,
  AA,12/01/2014,1143,N3ETAA,LAX,13:55,14:02,0080 ,0084,7,13:58,0004,0000,0000,0000,0000,0000,
  AA,12/01/2014,1213,N5CGAA,DFW,16:25,16:39,0220 ,0234,14,16:36,0003,0000,0000,0000,0000,0000,
  AA,12/01/2014,1393,N3HWAA,DFW,19:25,19:39,0225 ,0242,14,19:34,0005,0000,0000,0000,0000,0000,
  AA,12/01/2014,1435,N3LDAA,ORD,09:40,09:57,0280 ,0299,17,09:54,0003,0000,0000,0017,0000,0000,
  AA,12/01/2014,1439,N3MAAA,DFW,22:30,22:24,0230 ,0223,-6,22:19,0005,0000,0000,0000,0000,0000,
  AA,12/01/2014,1459,N3LKAA,ORD,21:05,21:32,0280 ,0306,27,21:26,0006,0000,0000,0027,0000,0000,
  AA,12/01/2014,2293,N5CFAA,DFW,10:45,10:58,0225 ,0240,13,10:55,0003,0000,0000,0000,0000,0000,
  AA,12/01/2014,2356,N3LFAA,ORD,13:15,13:40,0280 ,0307,25,13:35,0005,0000,0000,0025,0000,0000,
  AA,12/01/2014,2378,N3CKAA,LAX,11:40,13:24,0080 ,0099,104,13:19,0005,0000,0000,0104,0000,0000,
  AA,12/01/2014,2403,N621AA,DFW,17:45,17:55,0225 ,0230,10,17:48,0007,0000,0000,0000,0000,0000,
  AA,12/01/2014,2411,N3FEAA,DFW,20:50,21:07,0230 ,0236,17,21:01,0006,0011,0000,0006,0000,0000,
  AA,12/01/2014,2457,N3KHAA,ORD,22:50,23:04,0280 ,0290,14,22:47,0017,0000,0000,0000,0000,0000,
  AA,12/01/2014,2465,N3DPAA,LAX,21:35,21:38,0080 ,0078,3,21:34,0004,0000,0000,0000,0000,0000,
  AA,12/02/2014,0015,N795AA,JFK,11:40,12:34,0400 ,0422,54,12:30,0004,0032,0000,0022,0000,0000,
  AA,12/02/2014,0023,N361AA,DFW,09:45,11:24,0230 ,0237,99,11:18,0006,0092,0000,0007,0000,0000,
  AA,12/02/2014,0069,N3LXAA,MIA,22:01,23:53,0386 ,0409,112,23:40,0013,0000,0000,0112,0000,0000,
  AA,12/02/2014,0085,N785AA,JFK,19:10,19:50,0400 ,0446,40,19:44,0006,0000,0000,0040,0000,0000,
  AA,12/02/2014,0163,N797AA,JFK,23:25,01:56,0400 ,0432,151,01:49,0007,0000,0000,0151,0000,0000,
  AA,12/02/2014,0167,N365AA,MIA,10:30,11:22,0375 ,0409,52,11:16,0006,0018,0000,0034,0000,0000,
  AA,12/02/2014,0177,N792AA,JFK,21:25,23:20,0400 ,0451,115,23:13,0007,0000,0000,0109,0000,0006,
  AA,12/02/2014,0179,N786AA,JFK,14:05,14:46,0395 ,0417,41,14:40,0006,0000,0000,0041,0000,0000,
