
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,12/01/2015,0009,N795AA,JFK,10:43,10:12,-31,0000,0000,0000,0000,0000,
  AA,12/01/2015,0015,N791AA,JFK,11:45,11:12,-33,0000,0000,0000,0000,0000,
  AA,12/01/2015,0017,N787AA,JFK,20:47,20:21,-26,0000,0000,0000,0000,0000,
  AA,12/01/2015,0037,N880AA,DFW,20:42,20:58,16,0000,0000,0016,0000,0000,
  AA,12/01/2015,0085,N790AA,JFK,19:16,18:38,-38,0000,0000,0000,0000,0000,
  AA,12/01/2015,0159,N3CYAA,DFW,09:02,09:14,12,0000,0000,0000,0000,0000,
  AA,12/01/2015,0163,N792AA,JFK,01:17,00:51,-26,0000,0000,0000,0000,0000,
  AA,12/01/2015,0167,N3AXAA,MIA,10:26,10:20,-6,0000,0000,0000,0000,0000,
  AA,12/01/2015,0177,N789AA,JFK,21:57,21:44,-13,0000,0000,0000,0000,0000,
  AA,12/01/2015,0179,N799AA,JFK,14:10,13:22,-48,0000,0000,0000,0000,0000,
  AA,12/01/2015,0193,N3DCAA,ORD,14:53,14:36,-17,0000,0000,0000,0000,0000,
  AA,12/01/2015,0209,N3KBAA,LAX,17:31,17:15,-16,0000,0000,0000,0000,0000,
  AA,12/01/2015,0241,N3FTAA,ORD,16:40,16:11,-29,0000,0000,0000,0000,0000,
  AA,12/01/2015,0249,N3AYAA,DFW,17:38,17:28,-10,0000,0000,0000,0000,0000,
  AA,12/01/2015,0259,N855AA,DFW,13:00,12:52,-8,0000,0000,0000,0000,0000,
  AA,12/01/2015,0330,N867AA,DFW,16:02,15:58,-4,0000,0000,0000,0000,0000,
  AA,12/01/2015,0349,N3BRAA,DFW,14:02,13:57,-5,0000,0000,0000,0000,0000,
  AA,12/01/2015,0353,N3AWAA,LAX,18:40,18:29,-11,0000,0000,0000,0000,0000,
  AA,12/01/2015,0356,N3DBAA,LAX,20:52,21:42,50,0003,0000,0000,0000,0047,
  AA,12/01/2015,0403,N656AW,PHX,09:50,09:46,-4,0000,0000,0000,0000,0000,
  AA,12/01/2015,0407,N572UW,PHX,16:05,15:51,-14,0000,0000,0000,0000,0000,
  AA,12/01/2015,0433,N169UW,PHX,12:35,13:05,30,0030,0000,0000,0000,0000,
  AA,12/01/2015,0436,N151UW,PHX,22:30,22:35,5,0000,0000,0000,0000,0000,
  AA,12/01/2015,0461,N195UW,CLT,14:17,14:15,-2,0000,0000,0000,0000,0000,
  AA,12/01/2015,0557,N978UY,CLT,17:38,17:17,-21,0000,0000,0000,0000,0000,
  AA,12/01/2015,0615,N543UW,PHL,11:09,10:56,-13,0000,0000,0000,0000,0000,
  AA,12/01/2015,0662,N977UY,CLT,10:15,09:47,-28,0000,0000,0000,0000,0000,
  AA,12/01/2015,0672,N576UW,PHL,13:48,13:33,-15,0000,0000,0000,0000,0000,
  AA,12/01/2015,0686,N568UW,PHX,19:16,19:12,-4,0000,0000,0000,0000,0000,
  AA,12/01/2015,0709,N194UW,PHL,19:28,18:48,-40,0000,0000,0000,0000,0000,
  AA,12/01/2015,0719,N549UW,PHL,21:18,21:07,-11,0000,0000,0000,0000,0000,
  AA,12/01/2015,1071,N3CEAA,LAX,19:38,19:23,-15,0000,0000,0000,0000,0000,
  AA,12/01/2015,1130,N3FSAA,MIA,20:37,20:30,-7,0000,0000,0000,0000,0000,
  AA,12/01/2015,1145,N3LWAA,ORD,10:09,09:39,-30,0000,0000,0000,0000,0000,
  AA,12/01/2015,1183,N852AA,DFW,22:34,22:22,-12,0000,0000,0000,0000,0000,
  AA,12/01/2015,1203,N3AWAA,LAX,13:37,13:32,-5,0000,0000,0000,0000,0000,
  AA,12/01/2015,1273,N875AA,DFW,23:51,23:39,-12,0000,0000,0000,0000,0000,
  AA,12/01/2015,1393,N3NAAA,DFW,18:56,18:56,0,0000,0000,0000,0000,0000,
  AA,12/01/2015,1624,N3AJAA,ORD,19:54,19:14,-40,0000,0000,0000,0000,0000,
  AA,12/01/2015,1799,N918US,CLT,20:50,20:31,-19,0000,0000,0000,0000,0000,
  AA,12/01/2015,2029,N157UW,CLT,19:23,19:07,-16,0000,0000,0000,0000,0000,
  AA,12/01/2015,2207,N860AA,DFW,11:03,10:52,-11,0000,0000,0000,0000,0000,
  AA,12/01/2015,2356,N3DLAA,ORD,12:56,13:27,31,0028,0000,0000,0000,0003,
  AA,12/01/2015,2411,N3HEAA,MIA,23:17,23:12,-5,0000,0000,0000,0000,0000,
  AA,12/01/2015,2438,N3FLAA,LAX,09:25,09:19,-6,0000,0000,0000,0000,0000,
  AA,12/01/2015,2475,N3GEAA,ORD,18:24,17:54,-30,0000,0000,0000,0000,0000,
  AA,12/02/2015,0009,N794AA,JFK,10:43,10:54,11,0000,0000,0000,0000,0000,
  AA,12/02/2015,0015,N783AA,JFK,11:45,11:33,-12,0000,0000,0000,0000,0000,
  AA,12/02/2015,0017,N792AA,JFK,20:47,20:14,-33,0000,0000,0000,0000,0000,
  AA,12/02/2015,0037,N882AA,DFW,20:42,20:50,8,0000,0000,0000,0000,0000,
  AA,12/02/2015,0085,N791AA,JFK,19:16,18:57,-19,0000,0000,0000,0000,0000,
  AA,12/02/2015,0151,N3JFAA,LAX,09:25,09:21,-4,0000,0000,0000,0000,0000,
  AA,12/02/2015,0159,N3JJAA,DFW,09:02,09:16,14,0000,0000,0000,0000,0000,
  AA,12/02/2015,0163,N799AA,JFK,01:17,01:21,4,0000,0000,0000,0000,0000,
  AA,12/02/2015,0167,N3MMAA,MIA,10:26,10:19,-7,0000,0000,0000,0000,0000,
  AA,12/02/2015,0177,N790AA,JFK,21:57,21:41,-16,0000,0000,0000,0000,0000,
  AA,12/02/2015,0179,N789AA,JFK,14:10,13:31,-39,0000,0000,0000,0000,0000,
  AA,12/02/2015,0193,N3JBAA,ORD,14:53,15:06,13,0000,0000,0000,0000,0000,
  AA,12/02/2015,0209,N3CHAA,LAX,17:31,17:14,-17,0000,0000,0000,0000,0000,
  AA,12/02/2015,0241,N3HMAA,ORD,16:40,16:57,17,0000,0017,0000,0000,0000,
  AA,12/02/2015,0249,N3KCAA,DFW,17:38,17:29,-9,0000,0000,0000,0000,0000,
  AA,12/02/2015,0259,N863AA,DFW,13:00,12:41,-19,0000,0000,0000,0000,0000,
  AA,12/02/2015,0330,N878AA,DFW,16:02,15:59,-3,0000,0000,0000,0000,0000,
  AA,12/02/2015,0349,N3HFAA,DFW,14:02,14:13,11,0000,0000,0000,0000,0000,
  AA,12/02/2015,0353,N3EKAA,LAX,18:40,18:24,-16,0000,0000,0000,0000,0000,
  AA,12/02/2015,0356,N3KYAA,LAX,20:52,20:43,-9,0000,0000,0000,0000,0000,
  AA,12/02/2015,0403,N676AW,PHX,09:50,09:52,2,0000,0000,0000,0000,0000,
  AA,12/02/2015,0407,N975UY,PHX,16:05,15:57,-8,0000,0000,0000,0000,0000,
  AA,12/02/2015,0433,N980UY,PHX,12:35,12:24,-11,0000,0000,0000,0000,0000,
  AA,12/02/2015,0436,N196UW,PHX,22:30,22:09,-21,0000,0000,0000,0000,0000,
  AA,12/02/2015,0461,N575UW,CLT,12:18,12:22,4,0000,0000,0000,0000,0000,
  AA,12/02/2015,0475,N182UW,CLT,23:05,23:16,11,0000,0000,0000,0000,0000,
  AA,12/02/2015,0557,N170US,CLT,17:38,17:42,4,0000,0000,0000,0000,0000,
  AA,12/02/2015,0615,N563UW,PHL,11:09,10:54,-15,0000,0000,0000,0000,0000,
  AA,12/02/2015,0662,N157UW,CLT,10:15,09:55,-20,0000,0000,0000,0000,0000,
  AA,12/02/2015,0672,N510UW,PHL,13:48,12:48,-60,0000,0000,0000,0000,0000,
  AA,12/02/2015,0686,N180US,PHX,19:16,18:57,-19,0000,0000,0000,0000,0000,
