
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): February
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,02/01/2014,0059,N386AA,JFK,11:35,11:28,0395 ,0392,-7,11:26,0002,0000,0000,0000,0000,0000,
  AA,02/01/2014,0069,N5CLAA,MIA,23:55,00:10,0380 ,0376,15,00:07,0003,0015,0000,0000,0000,0000,
  AA,02/01/2014,0085,N360AA,JFK,19:15,19:02,0405 ,0394,-13,18:56,0006,0000,0000,0000,0000,0000,
  AA,02/01/2014,0108,N3EMAA,LAX,08:25,07:59,0090 ,0073,-26,07:55,0004,0000,0000,0000,0000,0000,
  AA,02/01/2014,0122,N3GUAA,DFW,09:15,09:08,0235 ,0233,-7,08:57,0011,0000,0000,0000,0000,0000,
  AA,02/01/2014,0167,N392AA,MIA,11:20,10:48,0385 ,0359,-32,10:43,0005,0000,0000,0000,0000,0000,
  AA,02/01/2014,0179,N335AA,JFK,13:55,14:02,0385 ,0396,7,13:57,0005,0000,0000,0000,0000,0000,
  AA,02/01/2014,0197,N3CLAA,ORD,17:10,18:12,0280 ,0287,62,18:06,0006,0000,0030,0007,0000,0025,
  AA,02/01/2014,0209,N3EMAA,LAX,16:55,16:50,0080 ,0079,-5,16:46,0004,0000,0000,0000,0000,0000,
  AA,02/01/2014,0219,N3KNAA,LAX,19:20,19:15,0075 ,0073,-5,19:12,0003,0000,0000,0000,0000,0000,
  AA,02/01/2014,0275,N5DJAA,MIA,20:05,19:50,0390 ,0377,-15,19:45,0005,0000,0000,0000,0000,0000,
  AA,02/01/2014,0323,N3KUAA,DFW,15:25,15:25,0230 ,0231,0,15:19,0006,0000,0000,0000,0000,0000,
  AA,02/01/2014,0329,N3FBAA,DFW,16:20,16:19,0225 ,0225,-1,16:14,0005,0000,0000,0000,0000,0000,
  AA,02/01/2014,0399,N3KTAA,DFW,17:55,17:49,0230 ,0224,-6,17:45,0004,0000,0000,0000,0000,0000,
  AA,02/01/2014,1105,N5DTAA,DFW,23:10,23:56,0230 ,0219,46,23:53,0003,0046,0000,0000,0000,0000,
  AA,02/01/2014,1521,N5DNAA,DFW,10:00,09:55,0225 ,0220,-5,09:51,0004,0000,0000,0000,0000,0000,
  AA,02/01/2014,1524,N3DNAA,DFW,12:30,12:14,0235 ,0222,-16,12:10,0004,0000,0000,0000,0000,0000,
  AA,02/01/2014,1536,N3DDAA,DFW,19:50,19:40,0235 ,0230,-10,19:35,0005,0000,0000,0000,0000,0000,
  AA,02/01/2014,1585,N3BHAA,ORD,10:05,10:37,0275 ,0292,32,10:34,0003,0000,0015,0017,0000,0000,
  AA,02/01/2014,1677,N3HVAA,DFW,13:25,13:29,0235 ,0237,4,13:17,0012,0000,0000,0000,0000,0000,
  AA,02/01/2014,2245,N3JLAA,ORD,18:45,19:52,0280 ,0290,67,19:47,0005,0030,0027,0010,0000,0000,
  AA,02/01/2014,2356,N3FXAA,ORD,13:05,13:59,0280 ,0293,54,13:55,0004,0000,0006,0013,0000,0035,
  AA,02/01/2014,2411,N3GBAA,DFW,21:10,20:50,0235 ,0217,-20,20:47,0003,0000,0000,0000,0000,0000,
  AA,02/01/2014,2455,N3ARAA,LAX,11:50,12:43,0080 ,0079,53,12:39,0004,0007,0000,0000,0000,0046,
