
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): January
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,01/01/2015,0015,N783AA,JFK,11:40,12:28,0400 ,0453,48,12:20,0008,0000,0000,0048,0000,0000,
  AA,01/01/2015,0023,N371AA,DFW,09:45,10:34,0230 ,0233,49,10:26,0008,0046,0000,0003,0000,0000,
  AA,01/01/2015,0069,N3HTAA,MIA,22:01,21:35,0386 ,0359,-26,21:30,0005,0000,0000,0000,0000,0000,
  AA,01/01/2015,0085,N785AA,JFK,19:10,18:50,0400 ,0386,-20,18:45,0005,0000,0000,0000,0000,0000,
  AA,01/01/2015,0167,N359AA,MIA,10:30,10:51,0375 ,0364,21,10:46,0005,0000,0000,0021,0000,0000,
  AA,01/01/2015,0177,N784AA,JFK,21:45,21:46,0405 ,0412,1,21:42,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,0179,N789AA,JFK,14:05,13:52,0395 ,0388,-13,13:47,0005,0000,0000,0000,0000,0000,
  AA,01/01/2015,0184,N3LCAA,DFW,12:10,00:00,0225 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,01/01/2015,0197,N3GTAA,ORD,16:35,16:11,0280 ,0251,-24,16:06,0005,0000,0000,0000,0000,0000,
  AA,01/01/2015,0209,N3CBAA,LAX,17:15,17:03,0075 ,0071,-12,16:59,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,0219,N3KYAA,LAX,19:20,19:13,0080 ,0076,-7,19:09,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,0221,N3CPAA,DFW,13:35,13:30,0225 ,0215,-5,13:26,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,0241,N3LRAA,ORD,18:50,18:30,0280 ,0264,-20,18:27,0003,0000,0000,0000,0000,0000,
  AA,01/01/2015,0243,N3JRAA,MIA,00:18,23:57,0378 ,0357,-21,23:53,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,0305,N5EGAA,MIA,17:39,19:15,0379 ,0355,96,19:10,0005,0000,0000,0000,0000,0096,
  AA,01/01/2015,0338,N3DJAA,LAX,08:10,08:03,0080 ,0079,-7,08:00,0003,0000,0000,0000,0000,0000,
  AA,01/01/2015,0379,N5CEAA,DFW,15:00,15:09,0225 ,0211,9,15:05,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,1213,N5BRAA,DFW,16:25,16:45,0220 ,0211,20,16:41,0004,0020,0000,0000,0000,0000,
  AA,01/01/2015,1393,N3KGAA,DFW,19:25,19:25,0225 ,0214,0,19:19,0006,0000,0000,0000,0000,0000,
  AA,01/01/2015,1439,N3CPAA,DFW,22:30,00:39,0230 ,0234,129,00:28,0011,0125,0000,0004,0000,0000,
  AA,01/01/2015,1459,N3ARAA,ORD,21:05,20:42,0280 ,0245,-23,20:38,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,1611,N3KXAA,DFW,23:20,23:37,0230 ,0235,17,23:24,0013,0012,0000,0005,0000,0000,
  AA,01/01/2015,2265,N5CRAA,DFW,17:45,17:29,0225 ,0205,-16,17:23,0006,0000,0000,0000,0000,0000,
  AA,01/01/2015,2293,N5DUAA,DFW,10:45,11:08,0225 ,0251,23,11:00,0008,0000,0000,0023,0000,0000,
  AA,01/01/2015,2356,N3MAAA,ORD,13:15,12:46,0280 ,0257,-29,12:40,0006,0000,0000,0000,0000,0000,
  AA,01/01/2015,2378,N3CBAA,LAX,11:15,11:08,0085 ,0076,-7,11:04,0004,0000,0000,0000,0000,0000,
  AA,01/01/2015,2411,N3KCAA,DFW,20:50,20:54,0230 ,0218,4,20:48,0006,0000,0000,0000,0000,0000,
  AA,01/01/2015,2457,N3LWAA,ORD,22:50,22:38,0280 ,0267,-12,22:33,0005,0000,0000,0000,0000,0000,
  AA,01/01/2015,2465,N3LRAA,LAX,21:40,23:00,0080 ,0102,80,22:30,0030,0000,0000,0022,0000,0058,
  AA,01/02/2015,0015,N787AA,JFK,11:40,11:24,0400 ,0387,-16,11:20,0004,0000,0000,0000,0000,0000,
  AA,01/02/2015,0023,N375AA,DFW,09:45,09:26,0230 ,0213,-19,09:21,0005,0000,0000,0000,0000,0000,
  AA,01/02/2015,0069,N3GPAA,MIA,22:01,21:33,0386 ,0362,-28,21:25,0008,0000,0000,0000,0000,0000,
  AA,01/02/2015,0085,N792AA,JFK,19:10,19:40,0400 ,0431,30,19:34,0006,0000,0000,0030,0000,0000,
  AA,01/02/2015,0167,N374AA,MIA,10:30,10:09,0375 ,0352,-21,10:05,0004,0000,0000,0000,0000,0000,
  AA,01/02/2015,0177,N793AA,JFK,21:45,21:30,0405 ,0391,-15,21:20,0010,0000,0000,0000,0000,0000,
  AA,01/02/2015,0179,N789AA,JFK,14:05,14:04,0395 ,0400,-1,13:59,0005,0000,0000,0000,0000,0000,
