
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,07/01/2014,0023,N395AA,DFW,09:25,09:39,0210 ,0213,14,09:32,0007,0000,0000,0000,0000,0000,
  AA,07/01/2014,0059,N795AA,JFK,11:10,11:04,0370 ,0365,-6,10:55,0009,0000,0000,0000,0000,0000,
  AA,07/01/2014,0069,N3JVAA,MIA,20:05,20:26,0350 ,0348,21,20:22,0004,0001,0000,0000,0000,0020,
  AA,07/01/2014,0085,N787AA,JFK,19:05,18:40,0395 ,0374,-25,18:35,0005,0000,0000,0000,0000,0000,
  AA,07/01/2014,0163,N785AA,JFK,23:35,23:13,0395 ,0379,-22,23:06,0007,0000,0000,0000,0000,0000,
  AA,07/01/2014,0167,N363AA,MIA,11:15,11:13,0350 ,0352,-2,11:01,0012,0000,0000,0000,0000,0000,
  AA,07/01/2014,0177,N796AA,JFK,21:40,21:36,0400 ,0376,-4,21:32,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,0179,N798AA,JFK,13:50,13:40,0380 ,0378,-10,13:33,0007,0000,0000,0000,0000,0000,
  AA,07/01/2014,0193,N3CXAA,DFW,12:00,12:07,0220 ,0211,7,12:02,0005,0000,0000,0000,0000,0000,
  AA,07/01/2014,0197,N3GXAA,ORD,16:50,17:00,0265 ,0248,10,16:56,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,0209,N3JGAA,LAX,16:45,16:37,0075 ,0068,-8,16:34,0003,0000,0000,0000,0000,0000,
  AA,07/01/2014,0219,N3CUAA,LAX,19:15,20:28,0075 ,0087,73,20:26,0002,0000,0000,0012,0000,0061,
  AA,07/01/2014,0241,N3DMAA,ORD,19:05,19:25,0275 ,0265,20,19:20,0005,0020,0000,0000,0000,0000,
  AA,07/01/2014,0262,N3DCAA,LAX,08:05,07:55,0080 ,0075,-10,07:50,0005,0000,0000,0000,0000,0000,
  AA,07/01/2014,0275,N3EWAA,MIA,23:35,23:44,0360 ,0347,9,23:40,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,0277,N3JRAA,DFW,13:30,13:18,0220 ,0211,-12,13:14,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,0369,N640AA,DFW,14:40,15:07,0215 ,0224,27,14:58,0009,0018,0000,0009,0000,0000,
  AA,07/01/2014,1033,N3BVAA,ORD,11:15,11:19,0270 ,0279,4,11:11,0008,0000,0000,0000,0000,0000,
  AA,07/01/2014,1105,N3CDAA,DFW,23:10,23:20,0215 ,0213,10,23:16,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,1143,N3CUAA,LAX,14:45,14:39,0075 ,0071,-6,14:33,0006,0000,0000,0000,0000,0000,
  AA,07/01/2014,1213,N3HBAA,DFW,15:45,16:52,0210 ,0227,67,16:43,0009,0050,0000,0017,0000,0000,
  AA,07/01/2014,1393,N3HEAA,DFW,19:05,19:54,0215 ,0213,49,19:47,0007,0000,0000,0000,0000,0049,
  AA,07/01/2014,1435,N3GEAA,ORD,09:25,09:39,0265 ,0263,14,09:34,0005,0000,0000,0000,0000,0000,
  AA,07/01/2014,1439,N3HLAA,DFW,22:00,22:39,0220 ,0221,39,22:32,0007,0000,0000,0001,0000,0038,
  AA,07/01/2014,1459,N3CAAA,ORD,21:30,21:20,0270 ,0267,-10,21:13,0007,0000,0000,0000,0000,0000,
  AA,07/01/2014,1536,N3ACAA,DFW,17:20,17:18,0215 ,0218,-2,17:13,0005,0000,0000,0000,0000,0000,
  AA,07/01/2014,2293,N628AA,DFW,10:25,10:27,0210 ,0211,2,10:23,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,2356,N3FPAA,ORD,13:15,13:04,0270 ,0262,-11,13:00,0004,0000,0000,0000,0000,0000,
  AA,07/01/2014,2378,N3BBAA,LAX,12:25,12:59,0085 ,0093,34,12:51,0008,0000,0000,0034,0000,0000,
  AA,07/01/2014,2411,N3AJAA,DFW,20:35,20:59,0215 ,0212,24,20:54,0005,0002,0000,0000,0000,0022,
  AA,07/01/2014,2457,N3LNAA,ORD,22:40,22:25,0275 ,0261,-15,22:20,0005,0000,0000,0000,0000,0000,
  AA,07/01/2014,2465,N3DBAA,LAX,22:35,22:46,0080 ,0084,11,22:39,0007,0000,0000,0000,0000,0000,
  AA,07/02/2014,0023,N375AA,DFW,09:25,09:34,0210 ,0217,9,09:27,0007,0000,0000,0000,0000,0000,
  AA,07/02/2014,0059,N788AA,JFK,11:10,11:19,0370 ,0382,9,11:13,0006,0000,0000,0000,0000,0000,
  AA,07/02/2014,0069,N3GTAA,MIA,20:05,20:39,0350 ,0355,34,20:34,0005,0000,0015,0005,0000,0014,
  AA,07/02/2014,0085,N791AA,JFK,19:05,19:25,0395 ,0402,20,19:20,0005,0000,0000,0007,0000,0013,
  AA,07/02/2014,0163,N792AA,JFK,23:35,02:50,0395 ,0381,195,02:44,0006,0000,0035,0000,0000,0160,
  AA,07/02/2014,0167,N390AA,MIA,11:15,11:08,0350 ,0346,-7,11:04,0004,0000,0000,0000,0000,0000,
  AA,07/02/2014,0177,N797AA,JFK,21:40,00:45,0400 ,0392,185,00:35,0010,0000,0000,0147,0000,0038,
