
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,07/01/2015,0015,N784AA,JFK,11:22,11:17,-5,0000,0000,0000,0000,0000,
  AA,07/01/2015,0037,N3LCAA,DFW,18:50,19:18,28,0000,0000,0000,0000,0028,
  AA,07/01/2015,0082,N3KYAA,DFW,13:50,13:50,0,0000,0000,0000,0000,0000,
  AA,07/01/2015,0085,N796AA,JFK,19:15,18:58,-17,0000,0000,0000,0000,0000,
  AA,07/01/2015,0159,N5ENAA,DFW,09:14,08:41,-33,0000,0000,0000,0000,0000,
  AA,07/01/2015,0163,N793AA,JFK,23:39,23:20,-19,0000,0000,0000,0000,0000,
  AA,07/01/2015,0167,N3HYAA,MIA,10:13,09:48,-25,0000,0000,0000,0000,0000,
  AA,07/01/2015,0177,N783AA,JFK,21:44,21:48,4,0000,0000,0000,0000,0000,
  AA,07/01/2015,0179,N785AA,JFK,13:50,13:39,-11,0000,0000,0000,0000,0000,
  AA,07/01/2015,0193,N3KRAA,ORD,14:53,15:21,28,0001,0000,0000,0000,0027,
  AA,07/01/2015,0209,N3LDAA,LAX,17:43,17:57,14,0000,0000,0000,0000,0000,
  AA,07/01/2015,0218,N3KFAA,LAX,20:01,20:03,2,0000,0000,0000,0000,0000,
  AA,07/01/2015,0241,N3LNAA,ORD,16:41,18:53,132,0125,0000,0007,0000,0000,
  AA,07/01/2015,0249,N635AA,DFW,17:27,17:08,-19,0000,0000,0000,0000,0000,
