
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,06/01/2014,0059,N799AA,JFK,11:35,11:31,0390 ,0374,-4,11:28,0003,0000,0000,0000,0000,0000,
  AA,06/01/2014,0069,N631AA,MIA,19:50,19:40,0365 ,0358,-10,19:31,0009,0000,0000,0000,0000,0000,
  AA,06/01/2014,0085,N392AA,JFK,18:55,19:12,0385 ,0406,17,19:08,0004,0000,0000,0017,0000,0000,
  AA,06/01/2014,0108,N3LHAA,LAX,08:30,08:09,0085 ,0070,-21,08:07,0002,0000,0000,0000,0000,0000,
  AA,06/01/2014,0167,N389AA,MIA,11:25,11:13,0360 ,0355,-12,11:11,0002,0000,0000,0000,0000,0000,
  AA,06/01/2014,0177,N796AA,JFK,21:35,21:31,0395 ,0395,-4,21:28,0003,0000,0000,0000,0000,0000,
  AA,06/01/2014,0179,N789AA,JFK,13:25,13:29,0375 ,0382,4,13:18,0011,0000,0000,0000,0000,0000,
  AA,06/01/2014,0193,N3DXAA,DFW,12:05,12:11,0225 ,0235,6,12:01,0010,0000,0000,0000,0000,0000,
  AA,06/01/2014,0209,N3ENAA,LAX,16:45,16:33,0080 ,0073,-12,16:30,0003,0000,0000,0000,0000,0000,
  AA,06/01/2014,0219,N3DVAA,LAX,19:00,19:08,0080 ,0089,8,19:02,0006,0000,0000,0000,0000,0000,
  AA,06/01/2014,0275,N3ESAA,MIA,23:20,23:24,0360 ,0365,4,23:16,0008,0000,0000,0000,0000,0000,
  AA,06/01/2014,0323,N3DGAA,DFW,14:40,15:37,0225 ,0221,57,15:33,0004,0036,0000,0000,0000,0021,
  AA,06/01/2014,0399,N3LFAA,DFW,17:30,17:23,0225 ,0223,-7,17:12,0011,0000,0000,0000,0000,0000,
  AA,06/01/2014,1105,N3GXAA,DFW,23:15,23:24,0225 ,0229,9,23:14,0010,0000,0000,0000,0000,0000,
  AA,06/01/2014,1143,N3KGAA,LAX,14:35,14:17,0080 ,0071,-18,14:13,0004,0000,0000,0000,0000,0000,
  AA,06/01/2014,1399,N3CVAA,ORD,20:35,21:48,0270 ,0331,73,21:42,0006,0008,0000,0061,0000,0004,
  AA,06/01/2014,1427,N3FXAA,DFW,22:15,22:18,0225 ,0232,3,22:08,0010,0000,0000,0000,0000,0000,
  AA,06/01/2014,1521,N396AA,DFW,09:30,09:28,0225 ,0227,-2,09:25,0003,0000,0000,0000,0000,0000,
  AA,06/01/2014,1536,N3CCAA,DFW,18:50,18:55,0225 ,0229,5,18:45,0010,0000,0000,0000,0000,0000,
  AA,06/01/2014,1585,N3LAAA,ORD,09:45,09:59,0265 ,0283,14,09:53,0006,0000,0000,0000,0000,0000,
  AA,06/01/2014,1677,N3FKAA,DFW,13:45,14:52,0225 ,0231,67,14:47,0005,0029,0000,0006,0000,0032,
  AA,06/01/2014,2245,N3EWAA,ORD,18:55,22:53,0270 ,0287,238,22:47,0006,0221,0000,0017,0000,0000,
  AA,06/01/2014,2356,N3DTAA,ORD,13:05,13:10,0275 ,0285,5,13:02,0008,0000,0000,0000,0000,0000,
