
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,06/01/2015,0015,N799AA,JFK,11:30,11:33,3,0000,0000,0000,0000,0000,
  AA,06/01/2015,0037,N864AA,DFW,19:13,19:07,-6,0000,0000,0000,0000,0000,
  AA,06/01/2015,0085,N793AA,JFK,19:13,19:37,24,0000,0000,0000,0000,0024,
  AA,06/01/2015,0159,N3CNAA,DFW,09:06,08:48,-18,0000,0000,0000,0000,0000,
  AA,06/01/2015,0163,N792AA,JFK,23:36,01:42,126,0000,0000,0002,0000,0124,
  AA,06/01/2015,0167,N3JRAA,MIA,10:47,10:35,-12,0000,0000,0000,0000,0000,
  AA,06/01/2015,0177,N784AA,JFK,21:42,23:33,111,0028,0000,0007,0000,0076,
  AA,06/01/2015,0179,N789AA,JFK,14:00,14:37,37,0000,0000,0037,0000,0000,
  AA,06/01/2015,0193,N3CDAA,DFW,14:17,14:52,35,0000,0000,0035,0000,0000,
  AA,06/01/2015,0197,N3DNAA,ORD,23:00,23:16,16,0016,0000,0000,0000,0000,
  AA,06/01/2015,0209,N3LDAA,LAX,17:46,17:43,-3,0000,0000,0000,0000,0000,
  AA,06/01/2015,0218,N3FWAA,LAX,19:58,20:36,38,0000,0000,0023,0000,0015,
  AA,06/01/2015,0241,N3BMAA,ORD,16:45,16:52,7,0000,0000,0000,0000,0000,
  AA,06/01/2015,0259,N3DUAA,DFW,12:42,12:45,3,0000,0000,0000,0000,0000,
  AA,06/01/2015,0305,N5EPAA,MIA,17:32,17:30,-2,0000,0000,0000,0000,0000,
  AA,06/01/2015,0338,N5FCAA,LAX,08:11,08:01,-10,0000,0000,0000,0000,0000,
  AA,06/01/2015,1127,N3KUAA,DFW,22:23,22:13,-10,0000,0000,0000,0000,0000,
  AA,06/01/2015,1143,N5FCAA,LAX,13:42,14:00,18,0000,0000,0018,0000,0000,
  AA,06/01/2015,1145,N3DPAA,ORD,10:16,09:47,-29,0000,0000,0000,0000,0000,
  AA,06/01/2015,1273,N3AEAA,DFW,23:59,00:02,3,0000,0000,0000,0000,0000,
  AA,06/01/2015,1371,N3FBAA,DFW,15:54,15:59,5,0000,0000,0000,0000,0000,
  AA,06/01/2015,1377,N3HPAA,DFW,17:41,17:25,-16,0000,0000,0000,0000,0000,
  AA,06/01/2015,1393,N3HVAA,DFW,21:01,20:39,-22,0000,0000,0000,0000,0000,
  AA,06/01/2015,1624,N3KDAA,ORD,19:56,19:52,-4,0000,0000,0000,0000,0000,
  AA,06/01/2015,2317,N3ATAA,DFW,11:02,11:38,36,0000,0000,0036,0000,0000,
  AA,06/01/2015,2352,N3AUAA,ORD,15:27,16:03,36,0000,0000,0008,0000,0028,
  AA,06/01/2015,2356,N3GGAA,ORD,13:14,13:36,22,0000,0000,0012,0000,0010,
  AA,06/01/2015,2438,N3ABAA,LAX,11:43,11:47,4,0000,0000,0000,0000,0000,
  AA,06/01/2015,2448,N3GCAA,MIA,23:21,23:19,-2,0000,0000,0000,0000,0000,
  AA,06/01/2015,2465,N3AAAA,LAX,21:54,22:46,52,0000,0000,0008,0000,0044,
  AA,06/02/2015,0015,N795AA,JFK,11:30,10:52,-38,0000,0000,0000,0000,0000,
  AA,06/02/2015,0037,N850AA,DFW,19:13,19:01,-12,0000,0000,0000,0000,0000,
  AA,06/02/2015,0085,N797AA,JFK,19:13,19:15,2,0000,0000,0000,0000,0000,
  AA,06/02/2015,0159,N3EDAA,DFW,09:06,08:52,-14,0000,0000,0000,0000,0000,
  AA,06/02/2015,0163,N785AA,JFK,23:36,23:33,-3,0000,0000,0000,0000,0000,
  AA,06/02/2015,0167,N3FLAA,MIA,10:47,10:33,-14,0000,0000,0000,0000,0000,
  AA,06/02/2015,0177,N794AA,JFK,21:42,21:07,-35,0000,0000,0000,0000,0000,
  AA,06/02/2015,0179,N783AA,JFK,14:00,13:30,-30,0000,0000,0000,0000,0000,
  AA,06/02/2015,0193,N3CTAA,DFW,14:17,14:00,-17,0000,0000,0000,0000,0000,
  AA,06/02/2015,0197,N3ANAA,ORD,23:00,23:15,15,0015,0000,0000,0000,0000,
  AA,06/02/2015,0209,N3KYAA,LAX,17:46,17:33,-13,0000,0000,0000,0000,0000,
  AA,06/02/2015,0218,N3HUAA,LAX,19:58,20:06,8,0000,0000,0000,0000,0000,
  AA,06/02/2015,0241,N3LPAA,ORD,16:45,16:35,-10,0000,0000,0000,0000,0000,
  AA,06/02/2015,0259,N3FMAA,DFW,12:42,12:20,-22,0000,0000,0000,0000,0000,
