
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): March
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,03/01/2015,0015,N783AA,JFK,11:41,12:06,0401 ,0429,25,11:57,0009,0000,0000,0025,0000,0000,
  AA,03/01/2015,0069,N3BAAA,MIA,22:13,22:07,0393 ,0379,-6,22:03,0004,0000,0000,0000,0000,0000,
  AA,03/01/2015,0085,N790AA,JFK,19:14,20:34,0404 ,0446,80,20:29,0005,0000,0038,0042,0000,0000,
  AA,03/01/2015,0163,N796AA,JFK,23:35,02:38,0400 ,0449,183,02:34,0004,0000,0134,0049,0000,0000,
  AA,03/01/2015,0167,N392AA,MIA,10:52,10:48,0382 ,0381,-4,10:44,0004,0000,0000,0000,0000,0000,
  AA,03/01/2015,0168,N358AA,DFW,09:47,10:16,0232 ,0241,29,10:11,0005,0020,0000,0009,0000,0000,
  AA,03/01/2015,0177,N788AA,JFK,21:26,22:54,0401 ,0442,88,22:50,0004,0000,0047,0041,0000,0000,
  AA,03/01/2015,0179,N784AA,JFK,14:07,14:32,0397 ,0398,25,14:28,0004,0024,0000,0001,0000,0000,
  AA,03/01/2015,0197,N3ESAA,ORD,16:37,17:29,0282 ,0297,52,17:23,0006,0014,0000,0015,0000,0023,
  AA,03/01/2015,0209,N3CYAA,LAX,17:40,17:36,0080 ,0081,-4,17:31,0005,0000,0000,0000,0000,0000,
  AA,03/01/2015,0219,N3FVAA,LAX,19:57,19:58,0082 ,0082,1,19:56,0002,0000,0000,0000,0000,0000,
  AA,03/01/2015,0221,N3JKAA,DFW,13:40,00:00,0230 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/01/2015,0241,N3JXAA,ORD,18:54,19:07,0284 ,0294,13,19:02,0005,0000,0000,0000,0000,0000,
  AA,03/01/2015,0259,N3AXAA,DFW,12:20,00:00,0235 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/01/2015,0305,N5CEAA,MIA,17:47,17:51,0387 ,0382,4,17:45,0006,0000,0000,0000,0000,0000,
  AA,03/01/2015,0338,N3GJAA,LAX,08:08,07:56,0083 ,0075,-12,07:51,0005,0000,0000,0000,0000,0000,
  AA,03/01/2015,0379,N5CRAA,DFW,15:18,15:33,0233 ,0228,15,15:30,0003,0015,0000,0000,0000,0000,
  AA,03/01/2015,1150,N3HNAA,LAX,13:42,13:39,0082 ,0078,-3,13:33,0006,0000,0000,0000,0000,0000,
  AA,03/01/2015,1319,N3GPAA,DFW,16:29,16:40,0229 ,0233,11,16:34,0006,0000,0000,0000,0000,0000,
  AA,03/01/2015,1393,N3CVAA,DFW,19:33,19:55,0233 ,0226,22,19:49,0006,0009,0000,0000,0000,0013,
  AA,03/01/2015,1435,N3LJAA,ORD,11:23,11:15,0283 ,0280,-8,11:11,0004,0000,0000,0000,0000,0000,
  AA,03/01/2015,1439,N3BTAA,DFW,22:34,22:44,0234 ,0210,10,22:40,0004,0000,0000,0000,0000,0000,
  AA,03/01/2015,1459,N3MBAA,ORD,21:00,21:57,0285 ,0295,57,21:50,0007,0047,0000,0010,0000,0000,
  AA,03/01/2015,1611,N3FLAA,DFW,23:22,00:03,0232 ,0233,41,24:00,0003,0036,0000,0001,0000,0004,
  AA,03/01/2015,2265,N3GXAA,DFW,17:54,18:25,0234 ,0234,31,18:19,0006,0002,0000,0000,0000,0029,
  AA,03/01/2015,2293,N640AA,DFW,10:54,12:33,0234 ,0239,99,12:27,0006,0094,0000,0005,0000,0000,
  AA,03/01/2015,2378,N3LCAA,LAX,11:53,11:49,0083 ,0074,-4,11:44,0005,0000,0000,0000,0000,0000,
  AA,03/01/2015,2411,N3BCAA,DFW,20:55,21:14,0235 ,0231,19,21:08,0006,0019,0000,0000,0000,0000,
  AA,03/01/2015,2465,N3GJAA,LAX,22:07,23:31,0082 ,0077,84,23:28,0003,0025,0000,0000,0000,0059,
  AA,03/02/2015,0015,N793AA,JFK,11:41,12:12,0401 ,0437,31,12:09,0003,0000,0000,0031,0000,0000,
  AA,03/02/2015,0069,N3EAAA,MIA,22:13,22:06,0393 ,0387,-7,22:02,0004,0000,0000,0000,0000,0000,
  AA,03/02/2015,0085,N787AA,JFK,19:14,19:34,0404 ,0429,20,19:31,0003,0000,0000,0020,0000,0000,
  AA,03/02/2015,0163,N791AA,JFK,23:35,00:58,0400 ,0412,83,00:53,0005,0071,0000,0012,0000,0000,
  AA,03/02/2015,0167,N343AA,MIA,10:52,10:46,0382 ,0374,-6,10:42,0004,0000,0000,0000,0000,0000,
  AA,03/02/2015,0168,N363AA,DFW,09:47,09:33,0232 ,0223,-14,09:25,0008,0000,0000,0000,0000,0000,
  AA,03/02/2015,0177,N796AA,JFK,21:26,21:48,0401 ,0425,22,21:45,0003,0000,0000,0022,0000,0000,
  AA,03/02/2015,0179, ,JFK,14:07,00:00,0397 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2015,0197,N3CUAA,ORD,16:37,17:11,0282 ,0307,34,17:05,0006,0009,0000,0025,0000,0000,
