
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): May
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,05/01/2015,0015,N784AA,JFK,11:30,11:14,0390 ,0380,-16,11:10,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,0069,N3EGAA,MIA,23:21,23:12,0376 ,0370,-9,23:08,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,0085,N794AA,JFK,19:18,18:45,0403 ,0379,-33,18:42,0003,0000,0000,0000,0000,0000,
  AA,05/01/2015,0159,N5ELAA,DFW,09:04,08:59,0234 ,0215,-5,08:55,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,0163,N788AA,JFK,23:36,23:56,0396 ,0381,20,23:44,0012,0020,0000,0000,0000,0000,
  AA,05/01/2015,0167,N391AA,MIA,10:37,10:17,0372 ,0357,-20,10:13,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,0177,N789AA,JFK,21:42,21:23,0402 ,0374,-19,21:18,0005,0000,0000,0000,0000,0000,
  AA,05/01/2015,0193,N3CJAA,DFW,14:13,13:57,0238 ,0219,-16,13:52,0005,0000,0000,0000,0000,0000,
  AA,05/01/2015,0197,N3JXAA,ORD,16:45,17:02,0285 ,0284,17,16:44,0018,0017,0000,0000,0000,0000,
  AA,05/01/2015,0209,N3KDAA,LAX,17:36,17:40,0081 ,0074,4,17:37,0003,0000,0000,0000,0000,0000,
  AA,05/01/2015,0218,N3ERAA,LAX,20:13,20:10,0078 ,0070,-3,20:06,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,0241,N3EBAA,ORD,23:00,23:16,0287 ,0280,16,23:12,0004,0016,0000,0000,0000,0000,
  AA,05/01/2015,0259,N3DEAA,DFW,12:42,12:26,0237 ,0214,-16,12:22,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,0305,N5BYAA,MIA,17:32,17:12,0372 ,0352,-20,17:06,0006,0000,0000,0000,0000,0000,
  AA,05/01/2015,0338,N3CSAA,LAX,08:07,07:53,0082 ,0073,-14,07:49,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,1127,N3CMAA,DFW,22:32,22:08,0237 ,0217,-24,22:04,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,1143,N3LPAA,LAX,13:58,14:09,0083 ,0096,11,14:06,0003,0000,0000,0000,0000,0000,
  AA,05/01/2015,1145,N3MBAA,ORD,10:16,09:55,0286 ,0270,-21,09:51,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,1273,N3HLAA,DFW,23:59,23:35,0234 ,0214,-24,23:31,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,1371,N3LWAA,DFW,15:54,15:39,0234 ,0223,-15,15:33,0006,0000,0000,0000,0000,0000,
  AA,05/01/2015,1377,N859AA,DFW,19:16,19:09,0236 ,0212,-7,19:06,0003,0000,0000,0000,0000,0000,
  AA,05/01/2015,1393,N3GUAA,DFW,17:41,17:19,0236 ,0215,-22,17:14,0005,0000,0000,0000,0000,0000,
  AA,05/01/2015,1611,N3BTAA,ORD,19:56,19:37,0296 ,0284,-19,19:33,0004,0000,0000,0000,0000,0000,
  AA,05/01/2015,2289,N3DBAA,DFW,21:01,21:41,0239 ,0219,40,21:36,0005,0040,0000,0000,0000,0000,
  AA,05/01/2015,2293,N356AA,DFW,10:58,10:45,0233 ,0226,-13,10:36,0009,0000,0000,0000,0000,0000,
  AA,05/01/2015,2352,N3BDAA,ORD,15:22,15:32,0292 ,0278,10,15:22,0010,0000,0000,0000,0000,0000,
  AA,05/01/2015,2356,N3CKAA,ORD,13:14,12:55,0284 ,0269,-19,12:52,0003,0000,0000,0000,0000,0000,
  AA,05/01/2015,2455,N3GJAA,LAX,11:53,11:28,0088 ,0068,-25,11:26,0002,0000,0000,0000,0000,0000,
  AA,05/01/2015,2465,N3AHAA,LAX,22:14,21:55,0084 ,0077,-19,21:52,0003,0000,0000,0000,0000,0000,
  AA,05/02/2015,0069,N3KTAA,MIA,23:21,23:27,0376 ,0352,6,23:22,0005,0000,0000,0000,0000,0000,
  AA,05/02/2015,0085,N783AA,JFK,19:18,18:32,0403 ,0365,-46,18:28,0004,0000,0000,0000,0000,0000,
