
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): November
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,11/01/2014,0015,N798AA,JFK,11:15,10:58,0375 ,0364,-17,10:51,0007,0000,0000,0000,0000,0000,
  AA,11/01/2014,0023,N366AA,DFW,09:35,09:37,0220 ,0224,2,09:34,0003,0000,0000,0000,0000,0000,
  AA,11/01/2014,0069,N3FDAA,MIA,21:43,21:40,0368 ,0359,-3,21:36,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,0085,N784AA,JFK,18:55,19:16,0385 ,0405,21,19:12,0004,0000,0000,0021,0000,0000,
  AA,11/01/2014,0163,N785AA,JFK,23:05,23:00,0380 ,0380,-5,22:55,0005,0000,0000,0000,0000,0000,
  AA,11/01/2014,0167,N3LYAA,MIA,10:04,10:16,0354 ,0367,12,10:12,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,0177,N794AA,JFK,21:20,21:13,0380 ,0374,-7,20:58,0015,0000,0000,0000,0000,0000,
  AA,11/01/2014,0179,N790AA,JFK,13:44,13:23,0375 ,0357,-21,13:17,0006,0000,0000,0000,0000,0000,
  AA,11/01/2014,0193,N3EAAA,DFW,12:15,12:56,0220 ,0214,41,12:53,0003,0041,0000,0000,0000,0000,
  AA,11/01/2014,0209,N3CYAA,LAX,17:15,17:02,0075 ,0069,-13,16:58,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,0219,N3GMAA,LAX,19:20,20:14,0080 ,0078,54,20:11,0003,0000,0000,0000,0000,0054,
  AA,11/01/2014,0241,N3GXAA,ORD,18:40,18:38,0270 ,0274,-2,18:34,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,0259,N5CDAA,MIA,17:11,17:11,0361 ,0366,0,17:07,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,0277,N3EMAA,DFW,13:40,13:38,0220 ,0220,-2,13:33,0005,0000,0000,0000,0000,0000,
  AA,11/01/2014,0369,N635AA,DFW,14:55,15:14,0220 ,0219,19,15:10,0004,0019,0000,0000,0000,0000,
  AA,11/01/2014,1033,N3LLAA,ORD,11:15,11:11,0265 ,0264,-4,11:07,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,1105,N3CMAA,DFW,23:10,23:00,0215 ,0211,-10,22:56,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,1143,N3DNAA,LAX,13:35,13:44,0080 ,0086,9,13:41,0003,0000,0000,0000,0000,0000,
  AA,11/01/2014,1421,N3DWAA,DFW,19:15,19:46,0215 ,0214,31,19:42,0004,0002,0000,0000,0000,0029,
  AA,11/01/2014,1435,N3LNAA,ORD,09:25,09:14,0265 ,0259,-11,09:12,0002,0000,0000,0000,0000,0000,
  AA,11/01/2014,1459,N3LEAA,ORD,20:50,20:55,0270 ,0265,5,20:48,0007,0000,0000,0000,0000,0000,
  AA,11/01/2014,1536,N5CFAA,DFW,17:30,17:38,0220 ,0219,8,17:32,0006,0000,0000,0000,0000,0000,
  AA,11/01/2014,1697,N3HSAA,ORD,16:20,16:19,0265 ,0264,-1,16:16,0003,0000,0000,0000,0000,0000,
  AA,11/01/2014,2293,N5EAAA,DFW,10:35,10:51,0215 ,0216,16,10:46,0005,0015,0000,0001,0000,0000,
  AA,11/01/2014,2356,N3EDAA,ORD,13:20,13:15,0270 ,0272,-5,13:10,0005,0000,0000,0000,0000,0000,
  AA,11/01/2014,2378,N3EYAA,LAX,12:05,11:54,0085 ,0076,-11,11:49,0005,0000,0000,0000,0000,0000,
  AA,11/01/2014,2411,N3FNAA,DFW,20:45,20:39,0220 ,0215,-6,20:35,0004,0000,0000,0000,0000,0000,
  AA,11/01/2014,2465,N3AXAA,LAX,21:15,21:21,0075 ,0072,6,21:17,0004,0000,0000,0000,0000,0000,
  AA,11/02/2014,0015,N786AA,JFK,11:15,11:15,0375 ,0379,0,11:09,0006,0000,0000,0000,0000,0000,
  AA,11/02/2014,0023,N356AA,DFW,09:35,09:24,0220 ,0212,-11,09:19,0005,0000,0000,0000,0000,0000,
  AA,11/02/2014,0069,N3GBAA,MIA,21:43,21:28,0368 ,0355,-15,21:25,0003,0000,0000,0000,0000,0000,
  AA,11/02/2014,0085,N792AA,JFK,18:55,18:58,0385 ,0388,3,18:54,0004,0000,0000,0000,0000,0000,
  AA,11/02/2014,0160,N3KAAA,LAX,08:15,08:07,0080 ,0078,-8,08:03,0004,0000,0000,0000,0000,0000,
