
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): November
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,11/01/2015,0009,N787AA,JFK,10:16,10:37,21,0000,0000,0021,0000,0000,
  AA,11/01/2015,0085,N788AA,JFK,19:04,19:21,17,0000,0000,0017,0000,0000,
  AA,11/01/2015,0099,N3MRAA,DFW,18:48,19:16,28,0000,0000,0000,0000,0028,
  AA,11/01/2015,0159,N3EHAA,DFW,09:57,09:47,-10,0000,0000,0000,0000,0000,
  AA,11/01/2015,0163,N798AA,JFK,00:28,00:11,-17,0000,0000,0000,0000,0000,
  AA,11/01/2015,0167,N3GXAA,MIA,10:19,10:18,-1,0000,0000,0000,0000,0000,
  AA,11/01/2015,0177,N792AA,JFK,21:44,21:47,3,0000,0000,0000,0000,0000,
  AA,11/01/2015,0179,N783AA,JFK,13:51,14:39,48,0015,0000,0033,0000,0000,
  AA,11/01/2015,0193,N3ETAA,ORD,14:47,14:39,-8,0000,0000,0000,0000,0000,
  AA,11/01/2015,0196,N786AA,JFK,20:30,21:12,42,0000,0000,0000,0000,0042,
  AA,11/01/2015,0209,N3FLAA,LAX,17:40,17:30,-10,0000,0000,0000,0000,0000,
  AA,11/01/2015,0241,N3LGAA,ORD,16:46,16:47,1,0000,0000,0000,0000,0000,
  AA,11/01/2015,0249,N3MLAA,DFW,17:35,17:26,-9,0000,0000,0000,0000,0000,
  AA,11/01/2015,0259,N870AA,DFW,12:54,12:52,-2,0000,0000,0000,0000,0000,
  AA,11/01/2015,0330,N3BEAA,DFW,15:57,16:19,22,0012,0000,0000,0000,0010,
  AA,11/01/2015,0349,N3DBAA,DFW,13:55,13:48,-7,0000,0000,0000,0000,0000,
  AA,11/01/2015,0353,N3DXAA,LAX,18:39,18:57,18,0000,0000,0018,0000,0000,
  AA,11/01/2015,0356,N3GKAA,LAX,20:48,20:41,-7,0000,0000,0000,0000,0000,
  AA,11/01/2015,0407,N540UW,PHX,15:59,15:43,-16,0000,0000,0000,0000,0000,
  AA,11/01/2015,0433,N197UW,PHX,12:29,12:18,-11,0000,0000,0000,0000,0000,
  AA,11/01/2015,0436,N580UW,PHX,22:25,22:33,8,0000,0000,0000,0000,0000,
  AA,11/01/2015,0461,N920US,CLT,12:08,12:03,-5,0000,0000,0000,0000,0000,
  AA,11/01/2015,0475,N153UW,CLT,22:55,23:00,5,0000,0000,0000,0000,0000,
  AA,11/01/2015,0490,N562UW,PHL,23:51,00:09,18,0000,0000,0018,0000,0000,
  AA,11/01/2015,0557,N157UW,CLT,17:31,17:33,2,0000,0000,0000,0000,0000,
  AA,11/01/2015,0615,N980UY,PHL,10:55,10:54,-1,0000,0000,0000,0000,0000,
  AA,11/01/2015,0672,N916US,PHL,13:33,14:55,82,0000,0000,0000,0000,0082,
  AA,11/01/2015,0686,N578UW,PHX,19:12,18:55,-17,0000,0000,0000,0000,0000,
  AA,11/01/2015,0709,N177US,PHL,19:17,19:16,-1,0000,0000,0000,0000,0000,
  AA,11/01/2015,0719,N194UW,PHL,21:06,21:41,35,0003,0000,0032,0000,0000,
  AA,11/01/2015,1071,N3BNAA,LAX,19:37,19:29,-8,0000,0000,0000,0000,0000,
  AA,11/01/2015,1130,N3DNAA,MIA,19:51,20:08,17,0005,0000,0007,0000,0005,
  AA,11/01/2015,1145,N3MGAA,ORD,10:05,09:58,-7,0000,0000,0000,0000,0000,
  AA,11/01/2015,1183,N860AA,DFW,22:28,22:14,-14,0000,0000,0000,0000,0000,
  AA,11/01/2015,1203,N3DXAA,LAX,13:38,13:36,-2,0000,0000,0000,0000,0000,
  AA,11/01/2015,1273,N878AA,DFW,23:47,23:48,1,0000,0000,0000,0000,0000,
  AA,11/01/2015,1393,N866AA,DFW,20:58,20:53,-5,0000,0000,0000,0000,0000,
  AA,11/01/2015,1615,N3MXAA,ORD,23:14,23:09,-5,0000,0000,0000,0000,0000,
  AA,11/01/2015,1624,N3MKAA,ORD,19:50,19:42,-8,0000,0000,0000,0000,0000,
  AA,11/01/2015,1799,N534UW,CLT,20:41,20:58,17,0006,0000,0011,0000,0000,
  AA,11/01/2015,2029,N556UW,CLT,19:14,19:12,-2,0000,0000,0000,0000,0000,
  AA,11/01/2015,2207,N858AA,DFW,11:00,11:09,9,0000,0000,0000,0000,0000,
  AA,11/01/2015,2356,N3GBAA,ORD,12:52,12:58,6,0000,0000,0000,0000,0000,
  AA,11/01/2015,2411,N3KWAA,MIA,22:52,22:49,-3,0000,0000,0000,0000,0000,
  AA,11/01/2015,2438,N3BGAA,LAX,09:22,09:21,-1,0000,0000,0000,0000,0000,
  AA,11/01/2015,2475,N3GUAA,ORD,18:13,18:04,-9,0000,0000,0000,0000,0000,
  AA,11/02/2015,0009,N799AA,JFK,10:16,10:47,31,0000,0000,0031,0000,0000,
  AA,11/02/2015,0015,N788AA,JFK,11:44,11:57,13,0000,0000,0000,0000,0000,
  AA,11/02/2015,0085,N787AA,JFK,19:04,19:20,16,0000,0000,0016,0000,0000,
  AA,11/02/2015,0099,N3JYAA,DFW,18:48,18:51,3,0000,0000,0000,0000,0000,
  AA,11/02/2015,0159,N3JBAA,DFW,09:57,09:57,0,0000,0000,0000,0000,0000,
  AA,11/02/2015,0163,N799AA,JFK,00:28,00:41,13,0000,0000,0000,0000,0000,
  AA,11/02/2015,0167,N3CHAA,MIA,10:19,09:53,-26,0000,0000,0000,0000,0000,
  AA,11/02/2015,0179,N796AA,JFK,13:51,14:50,59,0000,0000,0059,0000,0000,
  AA,11/02/2015,0193,N3CJAA,ORD,14:47,15:39,52,0000,0000,0003,0000,0049,
  AA,11/02/2015,0209,N3AFAA,LAX,17:40,18:05,25,0014,0000,0011,0000,0000,
  AA,11/02/2015,0241,N3LNAA,ORD,16:46,17:05,19,0000,0000,0019,0000,0000,
  AA,11/02/2015,0249,N3GYAA,DFW,17:35,18:07,32,0000,0000,0032,0000,0000,
  AA,11/02/2015,0259,N871AA,DFW,12:54,14:09,75,0000,0014,0061,0000,0000,
  AA,11/02/2015,0330,N3ABAA,DFW,15:57,16:34,37,0000,0000,0012,0000,0025,
  AA,11/02/2015,0349,N3KMAA,DFW,13:55,14:47,52,0000,0000,0052,0000,0000,
  AA,11/02/2015,0353,N3JVAA,LAX,18:39,18:51,12,0000,0000,0000,0000,0000,
  AA,11/02/2015,0356,N3GNAA,LAX,20:48,21:08,20,0000,0000,0000,0000,0020,
  AA,11/02/2015,0403,N655AW,PHX,09:45,10:40,55,0000,0000,0055,0000,0000,
  AA,11/02/2015,0407,N976UY,PHX,15:59,15:54,-5,0000,0000,0000,0000,0000,
  AA,11/02/2015,0433,N183UW,PHX,12:29,13:38,69,0000,0000,0069,0000,0000,
  AA,11/02/2015,0436,N580UW,PHX,22:25,22:19,-6,0000,0000,0000,0000,0000,
  AA,11/02/2015,0461,N509AY,CLT,12:08,11:52,-16,0000,0000,0000,0000,0000,
  AA,11/02/2015,0475,N174US,CLT,22:55,22:58,3,0000,0000,0000,0000,0000,
  AA,11/02/2015,0490,N563UW,PHL,23:51,23:45,-6,0000,0000,0000,0000,0000,
  AA,11/02/2015,0557,N913US,CLT,17:31,17:41,10,0000,0000,0000,0000,0000,
