
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,10/01/2014,0015,N788AA,JFK,11:15,11:14,0375 ,0377,-1,11:09,0005,0000,0000,0000,0000,0000,
  AA,10/01/2014,0023,N357AA,DFW,09:35,09:26,0220 ,0212,-9,09:22,0004,0000,0000,0000,0000,0000,
  AA,10/01/2014,0069,N5CPAA,MIA,21:57,22:29,0362 ,0346,32,22:22,0007,0000,0032,0000,0000,0000,
  AA,10/01/2014,0085,N791AA,JFK,18:55,18:47,0385 ,0380,-8,18:42,0005,0000,0000,0000,0000,0000,
  AA,10/01/2014,0163,N786AA,JFK,23:05,23:32,0380 ,0412,27,23:03,0029,0000,0000,0027,0000,0000,
  AA,10/01/2014,0167,N3GBAA,MIA,10:09,10:02,0354 ,0356,-7,09:59,0003,0000,0000,0000,0000,0000,
  AA,10/01/2014,0177,N783AA,JFK,21:10,21:28,0380 ,0400,18,21:21,0007,0000,0000,0018,0000,0000,
  AA,10/01/2014,0179,N794AA,JFK,13:45,14:14,0375 ,0395,29,13:58,0016,0009,0000,0020,0000,0000,
  AA,10/01/2014,0193,N3ESAA,DFW,12:15,12:16,0220 ,0219,1,12:12,0004,0000,0000,0000,0000,0000,
  AA,10/01/2014,0209,N3EHAA,LAX,17:15,17:10,0075 ,0078,-5,17:07,0003,0000,0000,0000,0000,0000,
  AA,10/01/2014,0219,N3GYAA,LAX,19:20,19:08,0080 ,0073,-12,19:05,0003,0000,0000,0000,0000,0000,
  AA,10/01/2014,0227,N3DAAA,ORD,19:00,19:15,0270 ,0284,15,19:11,0004,0000,0000,0015,0000,0000,
  AA,10/01/2014,0241,N3BJAA,ORD,16:30,17:23,0265 ,0288,53,17:20,0003,0003,0000,0023,0000,0027,
  AA,10/01/2014,0259,N5CLAA,MIA,17:11,17:15,0361 ,0350,4,17:12,0003,0000,0000,0000,0000,0000,
  AA,10/01/2014,0262,N3KRAA,LAX,08:10,08:02,0080 ,0080,-8,07:57,0005,0000,0000,0000,0000,0000,
  AA,10/01/2014,0277,N3FPAA,DFW,13:40,13:26,0220 ,0210,-14,13:22,0004,0000,0000,0000,0000,0000,
  AA,10/01/2014,0369,N3FLAA,DFW,14:55,15:00,0220 ,0217,5,14:56,0004,0000,0000,0000,0000,0000,
  AA,10/01/2014,1033,N3LTAA,ORD,11:15,11:16,0265 ,0272,1,11:11,0005,0000,0000,0000,0000,0000,
  AA,10/01/2014,1105,N3CEAA,DFW,23:10,23:15,0215 ,0226,5,23:01,0014,0000,0000,0000,0000,0000,
  AA,10/01/2014,1143,N3KRAA,LAX,13:35,13:29,0080 ,0077,-6,13:25,0004,0000,0000,0000,0000,0000,
  AA,10/01/2014,1213,N851AA,DFW,15:55,15:58,0220 ,0228,3,15:51,0007,0000,0000,0000,0000,0000,
  AA,10/01/2014,1393,N3FBAA,DFW,19:15,19:31,0215 ,0229,16,19:22,0009,0000,0000,0016,0000,0000,
  AA,10/01/2014,1435,N3LWAA,ORD,09:25,09:38,0265 ,0280,13,09:25,0013,0000,0000,0000,0000,0000,
  AA,10/01/2014,1439,N3BEAA,DFW,22:10,22:05,0220 ,0216,-5,22:01,0004,0000,0000,0000,0000,0000,
  AA,10/01/2014,1459,N3LMAA,ORD,20:50,22:36,0270 ,0290,106,22:27,0009,0000,0000,0022,0000,0084,
  AA,10/01/2014,1536,N630AA,DFW,17:30,18:12,0220 ,0225,42,18:03,0009,0037,0000,0005,0000,0000,
  AA,10/01/2014,2293,N5CRAA,DFW,10:35,10:34,0215 ,0217,-1,10:31,0003,0000,0000,0000,0000,0000,
  AA,10/01/2014,2356,N3LXAA,ORD,13:20,13:12,0270 ,0271,-8,13:09,0003,0000,0000,0000,0000,0000,
  AA,10/01/2014,2378,N3KNAA,LAX,11:55,11:41,0085 ,0077,-14,11:35,0006,0000,0000,0000,0000,0000,
  AA,10/01/2014,2411,N3GXAA,DFW,20:40,21:27,0220 ,0220,47,21:23,0004,0047,0000,0000,0000,0000,
  AA,10/01/2014,2457,N3EWAA,ORD,22:40,00:18,0270 ,0287,98,00:12,0006,0000,0000,0017,0000,0081,
  AA,10/01/2014,2465,N3BBAA,LAX,21:15,21:18,0075 ,0084,3,21:15,0003,0000,0000,0000,0000,0000,
  AA,10/02/2014,0015,N787AA,JFK,11:15,11:55,0375 ,0417,40,11:51,0004,0000,0000,0040,0000,0000,
  AA,10/02/2014,0023,N381AA,DFW,09:35,10:15,0220 ,0214,40,10:12,0003,0037,0000,0000,0000,0003,
  AA,10/02/2014,0069,N3EVAA,MIA,21:43,01:04,0368 ,0381,201,01:00,0004,0100,0000,0084,0000,0017,
  AA,10/02/2014,0085,N797AA,JFK,18:55,18:59,0385 ,0395,4,18:55,0004,0000,0000,0000,0000,0000,
  AA,10/02/2014,0160,N3GRAA,LAX,08:15,08:08,0080 ,0077,-7,08:05,0003,0000,0000,0000,0000,0000,
  AA,10/02/2014,0163,N796AA,JFK,23:05,00:47,0380 ,0467,102,00:42,0005,0000,0000,0102,0000,0000,
  AA,10/02/2014,0167,N3LAAA,MIA,10:04,10:20,0354 ,0375,16,10:16,0004,0000,0000,0016,0000,0000,
  AA,10/02/2014,0177,N786AA,JFK,21:10,21:34,0380 ,0411,24,21:30,0004,0000,0000,0024,0000,0000,
  AA,10/02/2014,0179,N799AA,JFK,13:45,14:22,0375 ,0413,37,14:13,0009,0000,0000,0037,0000,0000,
  AA,10/02/2014,0193,N3FTAA,DFW,12:15,12:22,0220 ,0225,7,12:14,0008,0000,0000,0000,0000,0000,
  AA,10/02/2014,0209,N3LBAA,LAX,17:15,17:11,0075 ,0078,-4,17:06,0005,0000,0000,0000,0000,0000,
