
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,10/01/2015,0009,N795AA,JFK,10:16,10:10,-6,0000,0000,0000,0000,0000,
  AA,10/01/2015,0015,N793AA,JFK,11:44,11:32,-12,0000,0000,0000,0000,0000,
  AA,10/01/2015,0037,N3FPAA,DFW,18:48,19:11,23,0010,0000,0013,0000,0000,
  AA,10/01/2015,0074,N792AA,JFK,20:30,20:55,25,0000,0000,0025,0000,0000,
  AA,10/01/2015,0082,N3GHAA,DFW,13:48,14:24,36,0026,0000,0010,0000,0000,
  AA,10/01/2015,0085,N788AA,JFK,19:04,19:31,27,0000,0000,0027,0000,0000,
  AA,10/01/2015,0159,N3KKAA,DFW,09:59,09:56,-3,0000,0000,0000,0000,0000,
  AA,10/01/2015,0163,N795AA,JFK,00:28,00:51,23,0000,0000,0023,0000,0000,
  AA,10/01/2015,0167,N3CPAA,MIA,10:19,10:02,-17,0000,0000,0000,0000,0000,
  AA,10/01/2015,0177,N786AA,JFK,21:44,22:02,18,0000,0000,0018,0000,0000,
  AA,10/01/2015,0179,N789AA,JFK,13:51,13:47,-4,0000,0000,0000,0000,0000,
  AA,10/01/2015,0193,N3HBAA,ORD,14:52,14:47,-5,0000,0000,0000,0000,0000,
  AA,10/01/2015,0209,N3ACAA,LAX,17:40,17:40,0,0000,0000,0000,0000,0000,
  AA,10/01/2015,0241,N3LWAA,ORD,16:43,16:37,-6,0000,0000,0000,0000,0000,
  AA,10/01/2015,0249,N3AJAA,DFW,17:35,17:58,23,0007,0000,0000,0000,0016,
  AA,10/01/2015,0259,N3DVAA,DFW,12:38,12:38,0,0000,0000,0000,0000,0000,
  AA,10/01/2015,0330,N3MUAA,DFW,15:57,16:46,49,0000,0000,0049,0000,0000,
  AA,10/01/2015,0403,N661AW,PHX,09:49,09:38,-11,0000,0000,0000,0000,0000,
  AA,10/01/2015,0407,N537UW,PHX,15:59,17:01,62,0000,0000,0000,0000,0062,
  AA,10/01/2015,0433,N552UW,PHX,12:29,12:45,16,0016,0000,0000,0000,0000,
  AA,10/01/2015,0436,N562UW,PHX,22:22,22:21,-1,0000,0000,0000,0000,0000,
  AA,10/01/2015,0461,N193UW,CLT,12:03,11:47,-16,0000,0000,0000,0000,0000,
  AA,10/01/2015,0475,N916US,CLT,22:39,22:47,8,0000,0000,0000,0000,0000,
  AA,10/01/2015,0490,N918US,PHL,00:01,23:48,-13,0000,0000,0000,0000,0000,
  AA,10/01/2015,0557,N559UW,CLT,17:31,17:47,16,0006,0000,0010,0000,0000,
  AA,10/01/2015,0615,N537UW,PHL,10:55,11:16,21,0013,0000,0008,0000,0000,
  AA,10/01/2015,0662,N569UW,CLT,10:04,10:21,17,0015,0000,0000,0000,0002,
  AA,10/01/2015,0672,N556UW,PHL,13:35,13:42,7,0000,0000,0000,0000,0000,
  AA,10/01/2015,0686,N188US,PHX,19:12,19:07,-5,0000,0000,0000,0000,0000,
  AA,10/01/2015,0709,N519UW,PHL,19:22,19:14,-8,0000,0000,0000,0000,0000,
  AA,10/01/2015,0719,N520UW,PHL,21:16,21:07,-9,0000,0000,0000,0000,0000,
  AA,10/01/2015,1071,N3EDAA,LAX,19:37,20:10,33,0000,0000,0033,0000,0000,
  AA,10/01/2015,1130,N3CSAA,MIA,17:08,17:19,11,0000,0000,0000,0000,0000,
  AA,10/01/2015,1145,N3MKAA,ORD,10:05,09:59,-6,0000,0000,0000,0000,0000,
  AA,10/01/2015,1183,N852AA,DFW,22:25,22:19,-6,0000,0000,0000,0000,0000,
  AA,10/01/2015,1203,N3BFAA,LAX,13:38,14:08,30,0000,0000,0030,0000,0000,
  AA,10/01/2015,1226,N3CXAA,LAX,20:48,21:03,15,0000,0000,0015,0000,0000,
  AA,10/01/2015,1273,N867AA,DFW,00:10,00:02,-8,0000,0000,0000,0000,0000,
  AA,10/01/2015,1289,N861AA,LAX,18:39,18:40,1,0000,0000,0000,0000,0000,
  AA,10/01/2015,1393,N868AA,DFW,20:58,21:26,28,0028,0000,0000,0000,0000,
  AA,10/01/2015,1615,N3LVAA,ORD,23:14,00:16,62,0004,0000,0000,0000,0058,
  AA,10/01/2015,1624,N3BJAA,ORD,19:50,20:04,14,0000,0000,0000,0000,0000,
  AA,10/01/2015,1799,N580UW,CLT,20:41,21:12,31,0000,0000,0022,0000,0009,
  AA,10/01/2015,2029,N507AY,CLT,19:14,19:11,-3,0000,0000,0000,0000,0000,
  AA,10/01/2015,2207,N875AA,DFW,11:00,10:59,-1,0000,0000,0000,0000,0000,
  AA,10/01/2015,2356,N3JDAA,ORD,12:48,14:03,75,0005,0000,0000,0000,0070,
  AA,10/01/2015,2411,N3BHAA,MIA,22:52,23:08,16,0000,0000,0016,0000,0000,
