
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,09/01/2014,0015,N790AA,JFK,11:15,11:09,0375 ,0368,-6,11:06,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,0023,N380AA,DFW,09:35,09:41,0220 ,0207,6,09:38,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,0069,N635AA,MIA,21:57,21:56,0362 ,0345,-1,21:52,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,0085,N787AA,JFK,18:55,18:40,0385 ,0378,-15,18:36,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,0163,N793AA,JFK,23:05,23:49,0380 ,0428,44,23:45,0004,0000,0000,0044,0000,0000,
  AA,09/01/2014,0167,N3DHAA,MIA,10:09,10:02,0354 ,0347,-7,09:58,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,0177,N797AA,JFK,21:10,21:27,0380 ,0402,17,21:21,0006,0000,0000,0017,0000,0000,
  AA,09/01/2014,0179,N783AA,JFK,13:45,13:24,0375 ,0357,-21,13:20,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,0193,N3JKAA,DFW,12:15,12:21,0220 ,0225,6,12:02,0019,0000,0000,0000,0000,0000,
  AA,09/01/2014,0209,N3LTAA,LAX,17:10,17:00,0075 ,0070,-10,16:57,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,0219,N3HVAA,LAX,19:20,19:04,0080 ,0067,-16,19:02,0002,0000,0000,0000,0000,0000,
  AA,09/01/2014,0227,N3HBAA,ORD,19:00,19:05,0270 ,0277,5,19:00,0005,0000,0000,0000,0000,0000,
  AA,09/01/2014,0241,N3AFAA,ORD,16:30,16:38,0265 ,0275,8,16:32,0006,0000,0000,0000,0000,0000,
  AA,09/01/2014,0259,N5BSAA,MIA,17:11,16:52,0361 ,0349,-19,16:49,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,0262,N3FRAA,LAX,08:10,07:49,0080 ,0066,-21,07:46,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,0277,N3ASAA,DFW,13:40,13:31,0220 ,0211,-9,13:24,0007,0000,0000,0000,0000,0000,
  AA,09/01/2014,0369,N3AXAA,DFW,14:55,14:47,0220 ,0214,-8,14:43,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,1033,N3CTAA,ORD,11:15,11:22,0265 ,0278,7,11:19,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,1105,N3LUAA,DFW,23:10,23:06,0215 ,0215,-4,22:58,0008,0000,0000,0000,0000,0000,
  AA,09/01/2014,1143,N3EYAA,LAX,14:40,14:26,0080 ,0072,-14,14:22,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,1213,N5EFAA,DFW,15:55,16:56,0220 ,0212,61,16:51,0005,0000,0000,0000,0000,0061,
  AA,09/01/2014,1393,N3HWAA,DFW,19:15,19:19,0215 ,0216,4,19:11,0008,0000,0000,0000,0000,0000,
  AA,09/01/2014,1435,N3CUAA,ORD,09:25,09:24,0265 ,0272,-1,09:20,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,1439,N3HUAA,DFW,22:10,21:53,0220 ,0207,-17,21:49,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,1459,N3CUAA,ORD,20:50,20:49,0270 ,0275,-1,20:43,0006,0000,0000,0000,0000,0000,
  AA,09/01/2014,1536,N5DUAA,DFW,17:30,17:10,0220 ,0204,-20,17:07,0003,0000,0000,0000,0000,0000,
  AA,09/01/2014,2293,N5DLAA,DFW,10:35,10:30,0215 ,0214,-5,10:26,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,2356,N3GUAA,ORD,13:20,13:21,0270 ,0276,1,13:12,0009,0000,0000,0000,0000,0000,
  AA,09/01/2014,2378,N3GMAA,LAX,11:55,11:41,0085 ,0073,-14,11:37,0004,0000,0000,0000,0000,0000,
  AA,09/01/2014,2411,N3GLAA,DFW,20:40,20:32,0220 ,0215,-8,20:27,0005,0000,0000,0000,0000,0000,
  AA,09/01/2014,2457,N3GSAA,ORD,22:40,23:33,0270 ,0296,53,23:30,0003,0006,0000,0026,0000,0021,
  AA,09/01/2014,2465,N3GMAA,LAX,21:15,21:26,0075 ,0093,11,21:23,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,0015,N784AA,JFK,11:15,11:09,0375 ,0371,-6,11:03,0006,0000,0000,0000,0000,0000,
  AA,09/02/2014,0023,N369AA,DFW,09:35,09:34,0220 ,0207,-1,09:24,0010,0000,0000,0000,0000,0000,
  AA,09/02/2014,0069,N5EJAA,MIA,21:57,22:01,0362 ,0347,4,21:58,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,0085,N795AA,JFK,18:55,19:09,0385 ,0406,14,19:05,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,0163,N791AA,JFK,23:05,23:24,0380 ,0400,19,23:19,0005,0000,0000,0019,0000,0000,
  AA,09/02/2014,0167,N3GVAA,MIA,10:09,09:49,0354 ,0336,-20,09:45,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,0177,N793AA,JFK,21:10,21:58,0380 ,0433,48,21:53,0005,0000,0000,0048,0000,0000,
  AA,09/02/2014,0179,N794AA,JFK,13:45,13:40,0375 ,0371,-5,13:32,0008,0000,0000,0000,0000,0000,
  AA,09/02/2014,0193,N3DUAA,DFW,12:15,12:38,0220 ,0209,23,12:33,0005,0000,0000,0000,0000,0023,
  AA,09/02/2014,0209,N3KRAA,LAX,17:10,17:06,0075 ,0074,-4,17:04,0002,0000,0000,0000,0000,0000,
  AA,09/02/2014,0219,N3GYAA,LAX,19:20,19:23,0080 ,0089,3,19:19,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,0227,N3AAAA,ORD,19:00,18:52,0270 ,0266,-8,18:48,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,0241,N3BUAA,ORD,16:30,16:44,0265 ,0254,14,16:40,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,0259,N5CDAA,MIA,17:11,16:52,0361 ,0345,-19,16:48,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,0262,N3DEAA,LAX,08:10,07:51,0080 ,0067,-19,07:48,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,0277,N3GAAA,DFW,13:40,13:31,0220 ,0208,-9,13:26,0005,0000,0000,0000,0000,0000,
  AA,09/02/2014,0369,N3LDAA,DFW,14:55,14:50,0220 ,0214,-5,14:44,0006,0000,0000,0000,0000,0000,
  AA,09/02/2014,1033,N3FHAA,ORD,11:15,11:19,0265 ,0273,4,11:15,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,1105,N3JPAA,DFW,23:10,22:54,0215 ,0201,-16,22:51,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,1143,N3CLAA,LAX,14:40,14:33,0080 ,0074,-7,14:30,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,1213,N5ELAA,DFW,15:55,15:41,0220 ,0209,-14,15:37,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,1393,N3DBAA,DFW,19:15,19:27,0215 ,0205,12,19:22,0005,0000,0000,0000,0000,0000,
  AA,09/02/2014,1435,N3EPAA,ORD,09:25,09:19,0265 ,0263,-6,09:11,0008,0000,0000,0000,0000,0000,
  AA,09/02/2014,1439,N3FJAA,DFW,22:10,21:53,0220 ,0197,-17,21:51,0002,0000,0000,0000,0000,0000,
  AA,09/02/2014,1459,N3FDAA,ORD,20:50,20:37,0270 ,0260,-13,20:33,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,1536,N5DSAA,DFW,17:30,17:17,0220 ,0211,-13,17:12,0005,0000,0000,0000,0000,0000,
  AA,09/02/2014,2293,N5BRAA,DFW,10:35,10:41,0215 ,0211,6,10:38,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,2356,N3LJAA,ORD,13:20,13:19,0270 ,0267,-1,13:15,0004,0000,0000,0000,0000,0000,
  AA,09/02/2014,2378,N3JBAA,LAX,11:55,11:35,0085 ,0072,-20,11:32,0003,0000,0000,0000,0000,0000,
  AA,09/02/2014,2411,N3DWAA,DFW,20:40,20:56,0220 ,0204,16,20:52,0004,0006,0000,0000,0000,0010,
  AA,09/02/2014,2457,N3CSAA,ORD,22:40,22:54,0270 ,0262,14,22:42,0012,0000,0000,0000,0000,0000,
  AA,09/02/2014,2465,N3AHAA,LAX,21:15,21:17,0075 ,0076,2,21:14,0003,0000,0000,0000,0000,0000,
  AA,09/03/2014,0015,N799AA,JFK,11:15,11:54,0375 ,0387,39,11:47,0007,0027,0000,0012,0000,0000,
  AA,09/03/2014,0023,N395AA,DFW,09:35,09:45,0220 ,0209,10,09:43,0002,0000,0000,0000,0000,0000,
