
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,09/01/2015,0015,N793AA,JFK,11:22,11:07,-15,0000,0000,0000,0000,0000,
  AA,09/01/2015,0037,N3CRAA,DFW,18:50,18:35,-15,0000,0000,0000,0000,0000,
  AA,09/01/2015,0082,N3GUAA,DFW,13:50,13:22,-28,0000,0000,0000,0000,0000,
  AA,09/01/2015,0085,N792AA,JFK,19:15,18:40,-35,0000,0000,0000,0000,0000,
  AA,09/01/2015,0159,N3KVAA,DFW,09:59,09:42,-17,0000,0000,0000,0000,0000,
  AA,09/01/2015,0167,N3DSAA,MIA,10:13,09:57,-16,0000,0000,0000,0000,0000,
  AA,09/01/2015,0177,N795AA,JFK,21:44,21:12,-32,0000,0000,0000,0000,0000,
  AA,09/01/2015,0179,N783AA,JFK,13:50,13:27,-23,0000,0000,0000,0000,0000,
  AA,09/01/2015,0193,N3KPAA,ORD,14:51,15:14,23,0011,0000,0000,0000,0012,
  AA,09/01/2015,0209,N855AA,LAX,17:56,17:45,-11,0000,0000,0000,0000,0000,
  AA,09/01/2015,0218,N3GPAA,LAX,20:09,00:00,0,0000,0000,0000,0000,0000,
  AA,09/01/2015,0241,N3MDAA,ORD,16:41,16:33,-8,0000,0000,0000,0000,0000,
  AA,09/01/2015,0249,N3ADAA,DFW,17:33,17:12,-21,0000,0000,0000,0000,0000,
  AA,09/01/2015,0259,N3BCAA,DFW,12:50,12:29,-21,0000,0000,0000,0000,0000,
  AA,09/01/2015,0330,N3FAAA,DFW,15:54,15:45,-9,0000,0000,0000,0000,0000,
  AA,09/01/2015,0403,N664AW,PHX,09:53,09:45,-8,0000,0000,0000,0000,0000,
  AA,09/01/2015,0407,N167US,PHX,15:59,15:37,-22,0000,0000,0000,0000,0000,
  AA,09/01/2015,0433,N557UW,PHX,12:29,12:11,-18,0000,0000,0000,0000,0000,
  AA,09/01/2015,0461,N553UW,CLT,11:57,11:41,-16,0000,0000,0000,0000,0000,
  AA,09/01/2015,0475,N581UW,CLT,22:23,22:20,-3,0000,0000,0000,0000,0000,
  AA,09/01/2015,0490,N573UW,PHL,23:56,23:38,-18,0000,0000,0000,0000,0000,
  AA,09/01/2015,0551,N913US,PHL,11:00,10:23,-37,0000,0000,0000,0000,0000,
  AA,09/01/2015,0557,N571UW,CLT,17:20,17:03,-17,0000,0000,0000,0000,0000,
  AA,09/01/2015,0662,N572UW,CLT,09:53,09:33,-20,0000,0000,0000,0000,0000,
  AA,09/01/2015,0672,N925UY,PHL,13:26,13:07,-19,0000,0000,0000,0000,0000,
  AA,09/01/2015,0686,N587UW,PHX,19:06,18:40,-26,0000,0000,0000,0000,0000,
  AA,09/01/2015,0709,N510UW,PHL,19:22,20:46,84,0002,0000,0000,0000,0082,
  AA,09/01/2015,0719,N918US,PHL,21:16,20:46,-30,0000,0000,0000,0000,0000,
  AA,09/01/2015,1130,N5CGAA,MIA,16:58,17:05,7,0000,0000,0000,0000,0000,
  AA,09/01/2015,1145,N3LNAA,ORD,10:02,10:00,-2,0000,0000,0000,0000,0000,
  AA,09/01/2015,1183,N860AA,DFW,22:15,21:56,-19,0000,0000,0000,0000,0000,
  AA,09/01/2015,1203,N5ECAA,LAX,13:33,13:24,-9,0000,0000,0000,0000,0000,
  AA,09/01/2015,1226,N3EMAA,LAX,21:45,21:33,-12,0000,0000,0000,0000,0000,
  AA,09/01/2015,1273,N3FXAA,DFW,23:46,23:41,-5,0000,0000,0000,0000,0000,
  AA,09/01/2015,1294,N5ECAA,LAX,08:18,08:04,-14,0000,0000,0000,0000,0000,
  AA,09/01/2015,1393,N864AA,DFW,20:46,20:43,-3,0000,0000,0000,0000,0000,
  AA,09/01/2015,1615,N3JMAA,ORD,22:58,23:54,56,0040,0000,0016,0000,0000,
  AA,09/01/2015,1624,N3LMAA,ORD,19:56,22:02,126,0069,0000,0015,0000,0042,
  AA,09/01/2015,1799,N555AY,CLT,20:33,20:40,7,0000,0000,0000,0000,0000,
  AA,09/01/2015,2029,N194UW,CLT,19:05,19:05,0,0000,0000,0000,0000,0000,
  AA,09/01/2015,2207,N866AA,DFW,10:54,10:46,-8,0000,0000,0000,0000,0000,
  AA,09/01/2015,2356,N3BNAA,ORD,12:40,12:18,-22,0000,0000,0000,0000,0000,
  AA,09/01/2015,2411,N3CFAA,MIA,22:54,22:49,-5,0000,0000,0000,0000,0000,
  AA,09/01/2015,2438,N791AA,LAX,11:53,11:27,-26,0000,0000,0000,0000,0000,
  AA,09/01/2015,2475,N3KKAA,ORD,18:12,17:51,-21,0000,0000,0000,0000,0000,
  AA,09/02/2015,0015,N799AA,JFK,11:22,11:22,0,0000,0000,0000,0000,0000,
  AA,09/02/2015,0037,N3GFAA,DFW,18:50,18:39,-11,0000,0000,0000,0000,0000,
  AA,09/02/2015,0082,N3CUAA,DFW,13:50,13:43,-7,0000,0000,0000,0000,0000,
  AA,09/02/2015,0085,N791AA,JFK,19:15,19:54,39,0000,0000,0039,0000,0000,
  AA,09/02/2015,0159,N3AXAA,DFW,09:59,09:55,-4,0000,0000,0000,0000,0000,
  AA,09/02/2015,0163,N789AA,JFK,23:39,00:01,22,0000,0000,0022,0000,0000,
  AA,09/02/2015,0167,N3AEAA,MIA,10:13,10:03,-10,0000,0000,0000,0000,0000,
  AA,09/02/2015,0177,N787AA,JFK,21:44,00:20,156,0030,0000,0009,0000,0117,
  AA,09/02/2015,0179,N788AA,JFK,13:50,13:44,-6,0000,0000,0000,0000,0000,
  AA,09/02/2015,0193,N3GAAA,ORD,14:51,14:24,-27,0000,0000,0000,0000,0000,
  AA,09/02/2015,0209,N852AA,LAX,17:56,17:39,-17,0000,0000,0000,0000,0000,
  AA,09/02/2015,0218,N3FRAA,LAX,20:09,21:22,73,0000,0000,0073,0000,0000,
  AA,09/02/2015,0241,N3LDAA,ORD,16:41,16:27,-14,0000,0000,0000,0000,0000,
  AA,09/02/2015,0249,N3DLAA,DFW,17:33,17:13,-20,0000,0000,0000,0000,0000,
  AA,09/02/2015,0259,N3BSAA,DFW,12:50,13:23,33,0033,0000,0000,0000,0000,
  AA,09/02/2015,0330,N3KYAA,DFW,15:54,15:40,-14,0000,0000,0000,0000,0000,
  AA,09/02/2015,0403,N668AW,PHX,09:53,09:58,5,0000,0000,0000,0000,0000,
  AA,09/02/2015,0407,N151UW,PHX,15:59,15:38,-21,0000,0000,0000,0000,0000,
  AA,09/02/2015,0433,N553UW,PHX,12:29,12:47,18,0000,0000,0018,0000,0000,
  AA,09/02/2015,0436,N534UW,PHX,22:20,22:11,-9,0000,0000,0000,0000,0000,
  AA,09/02/2015,0461,N545UW,CLT,11:57,11:48,-9,0000,0000,0000,0000,0000,
  AA,09/02/2015,0475,N187US,CLT,22:23,22:05,-18,0000,0000,0000,0000,0000,
  AA,09/02/2015,0490,N585UW,PHL,23:56,23:32,-24,0000,0000,0000,0000,0000,
  AA,09/02/2015,0551,N169UW,PHL,11:00,10:34,-26,0000,0000,0000,0000,0000,
  AA,09/02/2015,0557,N174US,CLT,17:20,17:23,3,0000,0000,0000,0000,0000,
  AA,09/02/2015,0662,N191UW,CLT,09:53,09:44,-9,0000,0000,0000,0000,0000,
  AA,09/02/2015,0672,N921US,PHL,13:26,13:25,-1,0000,0000,0000,0000,0000,
  AA,09/02/2015,0686,N173US,PHX,19:06,19:03,-3,0000,0000,0000,0000,0000,
  AA,09/02/2015,0709,N177US,PHL,19:22,20:02,40,0000,0000,0040,0000,0000,
  AA,09/02/2015,0719,N184US,PHL,21:16,21:21,5,0000,0000,0000,0000,0000,
  AA,09/02/2015,1130,N5EBAA,MIA,16:58,17:23,25,0000,0025,0000,0000,0000,
  AA,09/02/2015,1145,N3MDAA,ORD,10:02,09:44,-18,0000,0000,0000,0000,0000,
  AA,09/02/2015,1183,N869AA,DFW,22:15,22:00,-15,0000,0000,0000,0000,0000,
  AA,09/02/2015,1203,N5DGAA,LAX,13:33,13:53,20,0000,0000,0020,0000,0000,
  AA,09/02/2015,1226,N3FDAA,LAX,21:45,21:40,-5,0000,0000,0000,0000,0000,
  AA,09/02/2015,1273,N3KRAA,DFW,23:46,23:33,-13,0000,0000,0000,0000,0000,
  AA,09/02/2015,1294,N5DGAA,LAX,08:18,07:58,-20,0000,0000,0000,0000,0000,
  AA,09/02/2015,1393,N868AA,DFW,20:46,20:31,-15,0000,0000,0000,0000,0000,
  AA,09/02/2015,1615,N3BNAA,ORD,22:58,23:18,20,0009,0000,0000,0000,0011,
  AA,09/02/2015,1624,N3MGAA,ORD,19:56,19:29,-27,0000,0000,0000,0000,0000,
  AA,09/02/2015,1799,N161UW,CLT,20:33,20:15,-18,0000,0000,0000,0000,0000,
  AA,09/02/2015,2029,N172US,CLT,19:05,18:38,-27,0000,0000,0000,0000,0000,
  AA,09/02/2015,2207,N871AA,DFW,10:54,10:39,-15,0000,0000,0000,0000,0000,
  AA,09/02/2015,2356,N3DUAA,ORD,12:40,12:15,-25,0000,0000,0000,0000,0000,
  AA,09/02/2015,2411,N3FHAA,MIA,22:54,22:47,-7,0000,0000,0000,0000,0000,
  AA,09/02/2015,2438,N855AA,LAX,11:53,12:22,29,0000,0000,0029,0000,0000,
  AA,09/02/2015,2475,N3CYAA,ORD,18:12,17:47,-25,0000,0000,0000,0000,0000,
  AA,09/03/2015,0015,N785AA,JFK,11:22,10:46,-36,0000,0000,0000,0000,0000,
  AA,09/03/2015,0037,N3FMAA,DFW,18:50,18:38,-12,0000,0000,0000,0000,0000,
  AA,09/03/2015,0082,N3FEAA,DFW,13:50,13:32,-18,0000,0000,0000,0000,0000,
  AA,09/03/2015,0085,N796AA,JFK,19:15,20:30,75,0000,0000,0075,0000,0000,
  AA,09/03/2015,0159,N3BDAA,DFW,09:59,09:47,-12,0000,0000,0000,0000,0000,
  AA,09/03/2015,0163,N788AA,JFK,23:39,00:05,26,0000,0000,0026,0000,0000,
  AA,09/03/2015,0167,N3BEAA,MIA,10:13,11:32,79,0076,0000,0003,0000,0000,
  AA,09/03/2015,0177,N795AA,JFK,21:44,21:22,-22,0000,0000,0000,0000,0000,
  AA,09/03/2015,0179,N798AA,JFK,13:50,13:44,-6,0000,0000,0000,0000,0000,
  AA,09/03/2015,0193,N3DUAA,ORD,14:51,14:29,-22,0000,0000,0000,0000,0000,
  AA,09/03/2015,0209,N875AA,LAX,17:56,17:48,-8,0000,0000,0000,0000,0000,
  AA,09/03/2015,0218,N3HBAA,LAX,20:09,20:04,-5,0000,0000,0000,0000,0000,
  AA,09/03/2015,0241,N3MFAA,ORD,16:41,16:29,-12,0000,0000,0000,0000,0000,
  AA,09/03/2015,0249,N3CRAA,DFW,17:33,17:39,6,0000,0000,0000,0000,0000,
  AA,09/03/2015,0259,N3JRAA,DFW,12:50,12:41,-9,0000,0000,0000,0000,0000,
  AA,09/03/2015,0330,N3ERAA,DFW,15:54,15:46,-8,0000,0000,0000,0000,0000,
  AA,09/03/2015,0403,N655AW,PHX,09:53,09:34,-19,0000,0000,0000,0000,0000,
  AA,09/03/2015,0407,N179UW,PHX,15:59,15:46,-13,0000,0000,0000,0000,0000,
  AA,09/03/2015,0433,N157UW,PHX,12:29,12:27,-2,0000,0000,0000,0000,0000,
  AA,09/03/2015,0436,N188US,PHX,22:20,22:35,15,0015,0000,0000,0000,0000,
  AA,09/03/2015,0461,N183UW,CLT,11:57,11:42,-15,0000,0000,0000,0000,0000,
  AA,09/03/2015,0475,N165US,CLT,22:23,22:23,0,0000,0000,0000,0000,0000,
  AA,09/03/2015,0490,N917UY,PHL,23:56,23:38,-18,0000,0000,0000,0000,0000,
  AA,09/03/2015,0551,N161UW,PHL,11:00,10:31,-29,0000,0000,0000,0000,0000,
  AA,09/03/2015,0557,N171US,CLT,17:20,17:09,-11,0000,0000,0000,0000,0000,
  AA,09/03/2015,0590,N152UW,PHX,00:49,01:07,18,0000,0000,0010,0000,0008,
  AA,09/03/2015,0662,N521UW,CLT,09:53,09:48,-5,0000,0000,0000,0000,0000,
  AA,09/03/2015,0672,N912UY,PHL,13:26,13:19,-7,0000,0000,0000,0000,0000,
  AA,09/03/2015,0686,N523UW,PHX,19:06,18:56,-10,0000,0000,0000,0000,0000,
  AA,09/03/2015,0709,N150UW,PHL,19:22,19:10,-12,0000,0000,0000,0000,0000,
  AA,09/03/2015,0719,N174US,PHL,21:16,20:56,-20,0000,0000,0000,0000,0000,
  AA,09/03/2015,1130,N5ENAA,MIA,16:58,16:56,-2,0000,0000,0000,0000,0000,
  AA,09/03/2015,1145,N3LDAA,ORD,10:02,09:55,-7,0000,0000,0000,0000,0000,
  AA,09/03/2015,1183,N850AA,DFW,22:15,22:27,12,0000,0000,0000,0000,0000,
  AA,09/03/2015,1203,N5DFAA,LAX,13:33,13:15,-18,0000,0000,0000,0000,0000,
  AA,09/03/2015,1226,N3JTAA,LAX,21:45,21:45,0,0000,0000,0000,0000,0000,
  AA,09/03/2015,1273,N3DUAA,DFW,23:46,23:30,-16,0000,0000,0000,0000,0000,
  AA,09/03/2015,1294,N5DFAA,LAX,08:18,08:00,-18,0000,0000,0000,0000,0000,
  AA,09/03/2015,1393,N870AA,DFW,20:46,20:32,-14,0000,0000,0000,0000,0000,
  AA,09/03/2015,1615,N3EKAA,ORD,22:58,23:20,22,0015,0000,0007,0000,0000,
  AA,09/03/2015,1624,N3KAAA,ORD,19:56,19:40,-16,0000,0000,0000,0000,0000,
  AA,09/03/2015,1799,N567UW,CLT,20:33,20:22,-11,0000,0000,0000,0000,0000,
  AA,09/03/2015,2029,N182UW,CLT,19:05,20:16,71,0002,0000,0000,0000,0069,
  AA,09/03/2015,2207,N860AA,DFW,10:54,10:53,-1,0000,0000,0000,0000,0000,
  AA,09/03/2015,2356,N3FBAA,ORD,12:40,13:18,38,0038,0000,0000,0000,0000,
  AA,09/03/2015,2411,N3JCAA,MIA,22:54,22:56,2,0000,0000,0000,0000,0000,
  AA,09/03/2015,2438,N855AA,LAX,11:53,11:25,-28,0000,0000,0000,0000,0000,
  AA,09/03/2015,2475,N3GDAA,ORD,18:12,18:00,-12,0000,0000,0000,0000,0000,
  AA,09/04/2015,0015,N789AA,JFK,11:22,10:46,-36,0000,0000,0000,0000,0000,
  AA,09/04/2015,0037,N3HWAA,DFW,18:50,18:31,-19,0000,0000,0000,0000,0000,
  AA,09/04/2015,0082,N3AHAA,DFW,13:50,13:48,-2,0000,0000,0000,0000,0000,
  AA,09/04/2015,0085,N799AA,JFK,19:15,19:35,20,0000,0000,0020,0000,0000,
  AA,09/04/2015,0159,N3EKAA,DFW,09:59,09:53,-6,0000,0000,0000,0000,0000,
  AA,09/04/2015,0163,N790AA,JFK,23:39,23:55,16,0000,0000,0016,0000,0000,
  AA,09/04/2015,0167,N3CKAA,MIA,10:13,10:07,-6,0000,0000,0000,0000,0000,
  AA,09/04/2015,0177,N797AA,JFK,21:44,21:38,-6,0000,0000,0000,0000,0000,
  AA,09/04/2015,0179,N786AA,JFK,13:50,13:49,-1,0000,0000,0000,0000,0000,
  AA,09/04/2015,0193,N3KRAA,ORD,14:51,14:38,-13,0000,0000,0000,0000,0000,
  AA,09/04/2015,0209,N869AA,LAX,17:56,17:43,-13,0000,0000,0000,0000,0000,
  AA,09/04/2015,0218,N3LNAA,LAX,20:09,20:09,0,0000,0000,0000,0000,0000,
  AA,09/04/2015,0241,N3MCAA,ORD,16:41,16:44,3,0000,0000,0000,0000,0000,
  AA,09/04/2015,0249,N3MNAA,DFW,17:33,17:26,-7,0000,0000,0000,0000,0000,
  AA,09/04/2015,0259,N3FVAA,DFW,12:50,12:32,-18,0000,0000,0000,0000,0000,
  AA,09/04/2015,0330,N3BSAA,DFW,15:54,15:49,-5,0000,0000,0000,0000,0000,
  AA,09/04/2015,0403,N667AW,PHX,09:53,09:52,-1,0000,0000,0000,0000,0000,
  AA,09/04/2015,0407,N567UW,PHX,15:59,15:49,-10,0000,0000,0000,0000,0000,
  AA,09/04/2015,0433,N560UW,PHX,12:29,12:32,3,0000,0000,0000,0000,0000,
  AA,09/04/2015,0436,N173US,PHX,22:20,23:14,54,0011,0000,0003,0000,0040,
  AA,09/04/2015,0461,N550UW,CLT,11:57,11:49,-8,0000,0000,0000,0000,0000,
  AA,09/04/2015,0475,N542UW,CLT,22:23,22:57,34,0002,0000,0020,0000,0012,
  AA,09/04/2015,0490,N198UW,PHL,23:56,23:40,-16,0000,0000,0000,0000,0000,
  AA,09/04/2015,0551,N509AY,PHL,11:00,11:06,6,0000,0000,0000,0000,0000,
  AA,09/04/2015,0557,N923US,CLT,17:20,17:18,-2,0000,0000,0000,0000,0000,
  AA,09/04/2015,0662,N547UW,CLT,09:53,10:01,8,0000,0000,0000,0000,0000,
  AA,09/04/2015,0672,N586UW,PHL,13:26,13:25,-1,0000,0000,0000,0000,0000,
  AA,09/04/2015,0686,N539UW,PHX,19:06,19:01,-5,0000,0000,0000,0000,0000,
  AA,09/04/2015,0709,N184US,PHL,19:22,19:48,26,0000,0000,0025,0000,0001,
  AA,09/04/2015,0719,N154UW,PHL,21:16,21:16,0,0000,0000,0000,0000,0000,
  AA,09/04/2015,1130,N5CPAA,MIA,16:58,16:54,-4,0000,0000,0000,0000,0000,
  AA,09/04/2015,1145,N3LYAA,ORD,10:02,09:50,-12,0000,0000,0000,0000,0000,
  AA,09/04/2015,1183,N874AA,DFW,22:15,22:05,-10,0000,0000,0000,0000,0000,
  AA,09/04/2015,1203,N5ESAA,LAX,13:33,13:18,-15,0000,0000,0000,0000,0000,
  AA,09/04/2015,1226,N3CUAA,LAX,21:45,21:36,-9,0000,0000,0000,0000,0000,
  AA,09/04/2015,1273,N3AWAA,DFW,23:46,23:47,1,0000,0000,0000,0000,0000,
  AA,09/04/2015,1294,N5ESAA,LAX,08:18,08:00,-18,0000,0000,0000,0000,0000,
  AA,09/04/2015,1393,N852AA,DFW,20:46,20:36,-10,0000,0000,0000,0000,0000,
  AA,09/04/2015,1615,N3DWAA,ORD,22:58,23:15,17,0013,0000,0001,0000,0003,
  AA,09/04/2015,1624,N3MKAA,ORD,19:56,20:26,30,0029,0000,0001,0000,0000,
  AA,09/04/2015,1799,N179UW,CLT,20:33,21:23,50,0007,0000,0001,0000,0042,
  AA,09/04/2015,2029,N534UW,CLT,19:05,19:08,3,0000,0000,0000,0000,0000,
  AA,09/04/2015,2207,N856AA,DFW,10:54,10:51,-3,0000,0000,0000,0000,0000,
  AA,09/04/2015,2356,N3CBAA,ORD,12:40,12:30,-10,0000,0000,0000,0000,0000,
  AA,09/04/2015,2411,N3DEAA,MIA,22:54,24:00,66,0000,0064,0000,0000,0002,
  AA,09/04/2015,2438,N864AA,LAX,11:53,11:37,-16,0000,0000,0000,0000,0000,
  AA,09/04/2015,2475,N3JJAA,ORD,18:12,18:00,-12,0000,0000,0000,0000,0000,
  AA,09/05/2015,0015,N789AA,JFK,11:22,10:55,-27,0000,0000,0000,0000,0000,
  AA,09/05/2015,0082,N3GUAA,DFW,13:50,13:35,-15,0000,0000,0000,0000,0000,
  AA,09/05/2015,0167,N3JWAA,MIA,10:13,10:00,-13,0000,0000,0000,0000,0000,
  AA,09/05/2015,0177,N792AA,JFK,21:44,21:01,-43,0000,0000,0000,0000,0000,
  AA,09/05/2015,0179,N788AA,JFK,13:50,13:14,-36,0000,0000,0000,0000,0000,
  AA,09/05/2015,0193,N3DWAA,ORD,14:51,14:24,-27,0000,0000,0000,0000,0000,
  AA,09/05/2015,0209,N3FMAA,LAX,18:01,17:51,-10,0000,0000,0000,0000,0000,
  AA,09/05/2015,0218,N3JYAA,LAX,20:09,19:41,-28,0000,0000,0000,0000,0000,
  AA,09/05/2015,0241,N3LGAA,ORD,16:41,16:41,0,0000,0000,0000,0000,0000,
  AA,09/05/2015,0249,N3CRAA,DFW,17:33,17:17,-16,0000,0000,0000,0000,0000,
  AA,09/05/2015,0259,N3GGAA,DFW,12:50,12:32,-18,0000,0000,0000,0000,0000,
  AA,09/05/2015,0382,N3MKAA,ORD,18:05,17:45,-20,0000,0000,0000,0000,0000,
  AA,09/05/2015,0403,N676AW,PHX,09:53,09:37,-16,0000,0000,0000,0000,0000,
  AA,09/05/2015,0407,N912UY,PHX,15:59,15:53,-6,0000,0000,0000,0000,0000,
  AA,09/05/2015,0433,N176UW,PHX,12:29,14:07,98,0078,0000,0000,0000,0020,
  AA,09/05/2015,0461,N552UW,CLT,11:57,11:41,-16,0000,0000,0000,0000,0000,
