
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): April
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,04/01/2014,0016,N788AA,JFK,12:55,13:12,0345 ,0295,17,13:32,0020,0000,0000,0000,0000,0000,
  AA,04/01/2014,0018,N790AA,JFK,22:30,00:22,0335 ,0311,112,00:37,0015,0000,0000,0000,0000,0088,
  AA,04/01/2014,0020,N792AA,JFK,15:00,17:15,0330 ,0315,135,17:41,0026,0000,0000,0000,0000,0120,
  AA,04/01/2014,0024,N398AA,JFK,07:00,07:24,0335 ,0309,24,07:58,0034,0000,0000,0000,0000,0000,
  AA,04/01/2014,0068,N5DSAA,MIA,06:05,06:05,0330 ,0304,0,06:29,0024,0000,0000,0000,0000,0000,
  AA,04/01/2014,0108,N3GWAA,LAX,09:15,09:36,0090 ,0096,21,09:59,0023,0000,0000,0006,0000,0021,
  AA,04/01/2014,0193,N3BGAA,DFW,13:20,15:25,0210 ,0189,125,15:42,0017,0000,0000,0000,0000,0104,
  AA,04/01/2014,0197,N3GFAA,ORD,18:10,21:08,0235 ,0224,178,21:22,0014,0000,0000,0000,0000,0167,
  AA,04/01/2014,0209,N3BEAA,LAX,17:55,18:36,0085 ,0090,41,19:02,0026,0000,0000,0005,0000,0041,
  AA,04/01/2014,0219,N3AMAA,LAX,20:25,20:55,0095 ,0087,30,21:10,0015,0000,0000,0000,0000,0022,
  AA,04/01/2014,0272,N633AA,MIA,21:05,22:56,0315 ,0298,111,23:14,0018,0000,0000,0000,0000,0094,
  AA,04/01/2014,0323,N3AXAA,DFW,16:10,20:33,0205 ,0200,263,21:00,0027,0000,0000,0000,0000,0258,
  AA,04/01/2014,0931,N364AA,MIA,12:40,12:35,0325 ,0325,-5,13:05,0030,0000,0000,0000,0000,0000,
  AA,04/01/2014,1010,N3KJAA,DFW,08:00,07:55,0210 ,0201,-5,08:24,0029,0000,0000,0000,0000,0000,
  AA,04/01/2014,1052,N3KHAA,DFW,00:20,00:32,0195 ,0181,12,00:46,0014,0000,0000,0000,0000,0000,
  AA,04/01/2014,1232,N3EWAA,LAX,07:05,06:57,0085 ,0099,-8,07:31,0034,0000,0000,0000,0000,0000,
  AA,04/01/2014,1282,N3KUAA,ORD,09:25,09:18,0250 ,0238,-7,09:43,0025,0000,0000,0000,0000,0000,
  AA,04/01/2014,1494,N3LAAA,ORD,05:55,05:52,0245 ,0213,-3,06:06,0014,0000,0000,0000,0000,0000,
  AA,04/01/2014,1521,N5CFAA,DFW,11:00,11:14,0215 ,0199,14,11:39,0025,0000,0000,0000,0000,0000,
  AA,04/01/2014,1522,N3EKAA,ORD,23:30,23:39,0235 ,0224,9,23:55,0016,0000,0000,0000,0000,0000,
  AA,04/01/2014,1544,N3FCAA,DFW,06:50,07:12,0210 ,0197,22,07:36,0024,0000,0000,0000,0000,0000,
  AA,04/01/2014,1585,N3JNAA,ORD,11:00,11:54,0255 ,0237,54,12:23,0029,0033,0000,0000,0000,0003,
  AA,04/01/2014,1658,N3FTAA,DFW,10:05,10:08,0205 ,0195,3,10:24,0016,0000,0000,0000,0000,0000,
  AA,04/01/2014,1677,N380AA,DFW,14:25,17:22,0215 ,0196,177,17:43,0021,0000,0016,0000,0000,0142,
  AA,04/01/2014,2278,N3BAAA,DFW,06:00,05:53,0205 ,0207,-7,06:28,0035,0000,0000,0000,0000,0000,
  AA,04/01/2014,2298,N3LKAA,DFW,09:05,09:06,0205 ,0196,1,09:32,0026,0000,0000,0000,0000,0000,
  AA,04/01/2014,2356,N3EFAA,ORD,14:05,16:20,0255 ,0234,135,16:36,0016,0000,0000,0000,0000,0114,
  AA,04/01/2014,2455,N3BEAA,LAX,12:10,14:17,0085 ,0085,127,14:41,0024,0000,0000,0000,0000,0127,
  AA,04/01/2014,2456,N3AMAA,LAX,14:35,17:13,0085 ,0076,158,17:34,0021,0000,0005,0000,0000,0144,
  AA,04/02/2014,0016,N792AA,JFK,12:55,12:47,0345 ,0317,-8,13:04,0017,0000,0000,0000,0000,0000,
  AA,04/02/2014,0018,N794AA,JFK,22:30,22:31,0335 ,0332,1,22:58,0027,0000,0000,0000,0000,0000,
  AA,04/02/2014,0020,N784AA,JFK,15:00,18:17,0330 ,0321,197,18:33,0016,0188,0000,0000,0000,0000,
  AA,04/02/2014,0024,N366AA,JFK,07:00,06:53,0335 ,0308,-7,07:13,0020,0000,0000,0000,0000,0000,
  AA,04/02/2014,0068,N5CBAA,MIA,06:05,05:59,0330 ,0302,-6,06:12,0013,0000,0000,0000,0000,0000,
  AA,04/02/2014,0108,N3LDAA,LAX,09:15,09:16,0090 ,0083,1,09:35,0019,0000,0000,0000,0000,0000,
  AA,04/02/2014,0193,N3KTAA,DFW,13:20,13:19,0210 ,0200,-1,13:31,0012,0000,0000,0000,0000,0000,
  AA,04/02/2014,0197,N3FWAA,ORD,18:10,18:04,0235 ,0231,-6,18:16,0012,0000,0000,0000,0000,0000,
  AA,04/02/2014,0209,N3DCAA,LAX,17:55,17:50,0085 ,0076,-5,18:04,0014,0000,0000,0000,0000,0000,
  AA,04/02/2014,0219,N3AMAA,LAX,20:25,20:17,0095 ,0076,-8,20:29,0012,0000,0000,0000,0000,0000,
  AA,04/02/2014,0272,N5CKAA,MIA,21:05,21:02,0315 ,0311,-3,21:22,0020,0000,0000,0000,0000,0000,
  AA,04/02/2014,0323,N3DBAA,DFW,16:10,16:04,0205 ,0204,-6,16:21,0017,0000,0000,0000,0000,0000,
  AA,04/02/2014,0931,N358AA,MIA,12:40,12:38,0325 ,0311,-2,12:52,0014,0000,0000,0000,0000,0000,
  AA,04/02/2014,1010,N3LCAA,DFW,08:00,07:55,0210 ,0208,-5,08:13,0018,0000,0000,0000,0000,0000,
  AA,04/02/2014,1052,N3DVAA,DFW,00:20,00:47,0195 ,0194,27,01:08,0021,0026,0000,0000,0000,0000,
  AA,04/02/2014,1232,N3HGAA,LAX,07:05,06:58,0085 ,0080,-7,07:22,0024,0000,0000,0000,0000,0000,
  AA,04/02/2014,1282,N3BGAA,ORD,09:25,09:21,0250 ,0233,-4,09:37,0016,0000,0000,0000,0000,0000,
  AA,04/02/2014,1494,N3FDAA,ORD,05:55,06:42,0245 ,0230,47,06:55,0013,0032,0000,0000,0000,0000,
  AA,04/02/2014,1521,N631AA,DFW,11:00,10:53,0215 ,0201,-7,11:05,0012,0000,0000,0000,0000,0000,
  AA,04/02/2014,1522,N3KBAA,ORD,23:30,23:37,0235 ,0237,7,23:49,0012,0000,0000,0000,0000,0000,
  AA,04/02/2014,1544,N3CPAA,DFW,06:50,06:46,0210 ,0201,-4,07:03,0017,0000,0000,0000,0000,0000,
  AA,04/02/2014,1585,N3CBAA,ORD,11:00,11:39,0255 ,0236,39,11:58,0019,0020,0000,0000,0000,0000,
  AA,04/02/2014,1658,N3KJAA,DFW,10:05,09:58,0205 ,0211,-7,10:17,0019,0000,0000,0000,0000,0000,
  AA,04/02/2014,1677,N5DXAA,DFW,14:25,15:04,0215 ,0196,39,15:21,0017,0000,0000,0000,0000,0020,
  AA,04/02/2014,2278,N3BEAA,DFW,06:00,06:28,0205 ,0197,28,06:47,0019,0020,0000,0000,0000,0000,
  AA,04/02/2014,2298,N3EDAA,DFW,09:05,09:01,0205 ,0194,-4,09:12,0011,0000,0000,0000,0000,0000,
  AA,04/02/2014,2356,N3DDAA,ORD,14:05,14:16,0255 ,0244,11,14:30,0014,0000,0000,0000,0000,0000,
  AA,04/02/2014,2455,N3GMAA,LAX,12:10,12:41,0085 ,0092,31,13:03,0022,0000,0000,0007,0000,0031,
  AA,04/02/2014,2456,N3AMAA,LAX,14:35,14:27,0085 ,0078,-8,14:44,0017,0000,0000,0000,0000,0000,
  AA,04/03/2014,0016,N790AA,JFK,12:55,12:49,0345 ,0341,-6,13:18,0029,0000,0000,0000,0000,0000,
  AA,04/03/2014,0018,N788AA,JFK,22:30,22:24,0335 ,0320,-6,22:42,0018,0000,0000,0000,0000,0000,
  AA,04/03/2014,0020,N794AA,JFK,15:00,14:58,0330 ,0321,-2,15:14,0016,0000,0000,0000,0000,0000,
  AA,04/03/2014,0024,N354AA,JFK,07:00,06:58,0335 ,0311,-2,07:15,0017,0000,0000,0000,0000,0000,
  AA,04/03/2014,0068,N634AA,MIA,06:05,05:58,0330 ,0319,-7,06:26,0028,0000,0000,0000,0000,0000,
  AA,04/03/2014,0108,N5ECAA,LAX,09:15,09:26,0090 ,0079,11,09:37,0011,0000,0000,0000,0000,0000,
  AA,04/03/2014,0193,N3GYAA,DFW,13:20,13:18,0198 ,0238,-2,13:36,0018,0000,0000,0038,0000,0000,
  AA,04/03/2014,0197,N3LGAA,ORD,18:10,19:17,0235 ,0243,67,19:33,0016,0004,0000,0008,0000,0063,
  AA,04/03/2014,0209,N3CGAA,LAX,17:55,18:35,0085 ,0088,40,18:56,0021,0000,0000,0003,0000,0040,
  AA,04/03/2014,0219,N3GAAA,LAX,20:25,20:15,0095 ,0090,-10,20:28,0013,0000,0000,0000,0000,0000,
  AA,04/03/2014,0272,N5EMAA,MIA,21:05,21:07,0315 ,0301,2,21:23,0016,0000,0000,0000,0000,0000,
  AA,04/03/2014,0323,N3AJAA,DFW,16:10,16:08,0205 ,0197,-2,16:22,0014,0000,0000,0000,0000,0000,
  AA,04/03/2014,0329,N3EXAA,DFW,17:05,17:27,0200 ,0206,22,17:42,0015,0022,0000,0006,0000,0000,
  AA,04/03/2014,0931,N357AA,MIA,12:40,12:35,0325 ,0298,-5,12:50,0015,0000,0000,0000,0000,0000,
  AA,04/03/2014,1010,N3ANAA,DFW,08:00,07:57,0210 ,0204,-3,08:15,0018,0000,0000,0000,0000,0000,
  AA,04/03/2014,1052,N3JVAA,DFW,00:20,00:11,0195 ,0182,-9,00:23,0012,0000,0000,0000,0000,0000,
  AA,04/03/2014,1232,N3BWAA,LAX,07:05,06:59,0085 ,0107,-6,07:11,0012,0000,0000,0016,0000,0000,
  AA,04/03/2014,1282,N3GVAA,ORD,09:25,10:51,0250 ,0297,86,11:47,0056,0000,0000,0133,0000,0000,
  AA,04/03/2014,1494,N3HHAA,ORD,05:55,06:03,0245 ,0268,8,06:36,0033,0000,0000,0031,0000,0000,
  AA,04/03/2014,1521,N5DXAA,DFW,11:00,10:59,0215 ,0227,-1,11:27,0028,0000,0000,0000,0000,0000,
  AA,04/03/2014,1522,N3FXAA,ORD,23:30,23:29,0235 ,0246,-1,23:45,0016,0000,0000,0000,0000,0000,
  AA,04/03/2014,1544,N3GSAA,DFW,06:50,06:47,0210 ,0209,-3,07:05,0018,0000,0000,0000,0000,0000,
  AA,04/03/2014,1585,N3HEAA,ORD,11:00,12:04,0255 ,0259,64,12:19,0015,0000,0000,0068,0000,0000,
  AA,04/03/2014,1658,N3AXAA,DFW,10:05,09:59,0205 ,0202,-6,10:11,0012,0000,0000,0000,0000,0000,
  AA,04/03/2014,1677,N347AA,DFW,14:25,14:22,0215 ,0366,-3,14:37,0015,0000,0000,0000,0000,0000,
  AA,04/03/2014,2278,N3BSAA,DFW,06:00,05:57,0205 ,0209,-3,06:19,0022,0000,0000,0000,0000,0000,
  AA,04/03/2014,2298,N3DCAA,DFW,09:05,10:00,0205 ,0211,55,10:19,0019,0055,0000,0006,0000,0000,
  AA,04/03/2014,2356,N3HJAA,ORD,14:05,15:50,0255 ,0265,105,16:05,0015,0000,0000,0010,0000,0105,
  AA,04/03/2014,2455,N3LKAA,LAX,12:10,12:05,0085 ,0095,-5,12:32,0027,0000,0000,0000,0000,0000,
  AA,04/03/2014,2456,N3KSAA,LAX,14:35,14:36,0085 ,0080,1,14:48,0012,0000,0000,0000,0000,0000,
  AA,04/04/2014,0016,N792AA,JFK,12:55,13:59,0345 ,0401,64,15:04,0065,0000,0000,0111,0000,0009,
  AA,04/04/2014,0018,N787AA,JFK,22:30,00:08,0335 ,0334,98,00:26,0018,0036,0000,0000,0000,0061,
  AA,04/04/2014,0020,N788AA,JFK,15:00,14:59,0330 ,0326,-1,15:20,0021,0000,0000,0000,0000,0000,
  AA,04/04/2014,0024,N366AA,JFK,07:00,07:23,0335 ,0347,23,07:42,0019,0023,0000,0012,0000,0000,
  AA,04/04/2014,0068,N5DUAA,MIA,06:05,05:58,0330 ,0304,-7,06:16,0018,0000,0000,0000,0000,0000,
  AA,04/04/2014,0108,N3BLAA,LAX,09:15,09:29,0090 ,0098,14,09:57,0028,0000,0000,0008,0000,0014,
  AA,04/04/2014,0193,N3BSAA,DFW,13:20,13:42,0210 ,0201,22,14:00,0018,0000,0000,0000,0000,0000,
  AA,04/04/2014,0197,N3BAAA,ORD,18:10,18:03,0235 ,0250,-7,18:16,0013,0000,0000,0000,0000,0000,
  AA,04/04/2014,0209,N3GLAA,LAX,17:55,20:13,0085 ,0090,138,20:30,0017,0011,0000,0005,0000,0127,
  AA,04/04/2014,0219,N3BXAA,LAX,20:25,20:35,0095 ,0073,10,20:50,0015,0000,0000,0000,0000,0000,
  AA,04/04/2014,0272,N634AA,MIA,21:05,21:01,0315 ,0294,-4,21:15,0014,0000,0000,0000,0000,0000,
  AA,04/04/2014,0323,N3AVAA,DFW,16:10,16:25,0205 ,0191,15,16:35,0010,0000,0000,0000,0000,0000,
  AA,04/04/2014,0329,N3EVAA,DFW,17:05,13:44,0200 ,0190,1239,13:58,0014,1048,0000,0000,0000,0181,
  AA,04/04/2014,0931,N353AA,MIA,12:40,13:57,0325 ,0307,77,14:12,0015,0059,0000,0000,0000,0000,
  AA,04/04/2014,1010,N3DGAA,DFW,08:00,07:59,0210 ,0193,-1,08:12,0013,0000,0000,0000,0000,0000,
  AA,04/04/2014,1052,N3GFAA,DFW,00:20,00:36,0195 ,0179,16,00:51,0015,0000,0000,0000,0000,0000,
  AA,04/04/2014,1232,N3HFAA,LAX,07:05,07:00,0085 ,0096,-5,07:27,0027,0000,0000,0000,0000,0000,
  AA,04/04/2014,1282,N3LMAA,ORD,09:25,09:25,0250 ,0246,0,09:42,0017,0000,0000,0000,0000,0000,
  AA,04/04/2014,1494,N3CUAA,ORD,05:55,05:50,0245 ,0241,-5,06:04,0014,0000,0000,0000,0000,0000,
  AA,04/04/2014,1521,N5DYAA,DFW,11:00,13:11,0215 ,0208,131,13:41,0030,0124,0000,0000,0000,0000,
  AA,04/04/2014,1522,N3KUAA,ORD,23:30,23:33,0235 ,0240,3,23:54,0021,0000,0000,0000,0000,0000,
  AA,04/04/2014,1544,N3KAAA,DFW,06:50,06:44,0210 ,0193,-6,06:56,0012,0000,0000,0000,0000,0000,
  AA,04/04/2014,1585,N3KKAA,ORD,11:00,11:01,0255 ,0260,1,11:35,0034,0000,0000,0000,0000,0000,
  AA,04/04/2014,1658,N3FSAA,DFW,10:05,11:11,0205 ,0215,66,11:46,0035,0066,0000,0010,0000,0000,
  AA,04/04/2014,1677, ,DFW,14:25,00:00,0215 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,04/04/2014,2278,N3KHAA,DFW,06:00,05:59,0205 ,0202,-1,06:21,0022,0000,0000,0000,0000,0000,
  AA,04/04/2014,2298,N3JXAA,DFW,09:05,08:58,0205 ,0194,-7,09:13,0015,0000,0000,0000,0000,0000,
  AA,04/04/2014,2356,N3JRAA,ORD,14:05,14:29,0255 ,0250,24,14:51,0022,0005,0000,0000,0000,0014,
  AA,04/04/2014,2455,N3DVAA,LAX,12:10,12:49,0085 ,0087,39,13:09,0020,0000,0000,0002,0000,0039,
  AA,04/04/2014,2456,N3CYAA,LAX,14:35,14:32,0085 ,0078,-3,14:49,0017,0000,0000,0000,0000,0000,
  AA,04/05/2014,0016,N792AA,JFK,12:55,12:52,0345 ,0341,-3,13:18,0026,0000,0000,0000,0000,0000,
  AA,04/05/2014,0020,N787AA,JFK,15:00,14:56,0330 ,0323,-4,15:15,0019,0000,0000,0000,0000,0000,
  AA,04/05/2014,0024,N354AA,JFK,07:00,06:58,0335 ,0323,-2,07:19,0021,0000,0000,0000,0000,0000,
  AA,04/05/2014,0068,N5ELAA,MIA,06:05,05:56,0330 ,0307,-9,06:12,0016,0000,0000,0000,0000,0000,
  AA,04/05/2014,0108,N3HPAA,LAX,09:15,09:11,0090 ,0077,-4,09:26,0015,0000,0000,0000,0000,0000,
  AA,04/05/2014,0193,N3HUAA,DFW,13:20,13:12,0210 ,0208,-8,13:33,0021,0000,0000,0000,0000,0000,
  AA,04/05/2014,0209,N3HPAA,LAX,17:55,17:50,0085 ,0075,-5,18:05,0015,0000,0000,0000,0000,0000,
  AA,04/05/2014,0219,N3ATAA,LAX,20:25,20:16,0095 ,0090,-9,20:27,0011,0000,0000,0000,0000,0000,
  AA,04/05/2014,0272,N5BTAA,MIA,21:05,20:55,0315 ,0296,-10,21:10,0015,0000,0000,0000,0000,0000,
  AA,04/05/2014,0323,N3GDAA,DFW,16:10,16:07,0205 ,0196,-3,16:21,0014,0000,0000,0000,0000,0000,
  AA,04/05/2014,0931,N364AA,MIA,12:40,12:37,0325 ,0319,-3,12:53,0016,0000,0000,0000,0000,0000,
  AA,04/05/2014,1010,N3DEAA,DFW,08:00,07:59,0210 ,0193,-1,08:09,0010,0000,0000,0000,0000,0000,
  AA,04/05/2014,1052,N3DYAA,DFW,00:20,00:16,0195 ,0185,-4,00:31,0015,0000,0000,0000,0000,0000,
  AA,04/05/2014,1232,N3DHAA,LAX,07:05,06:58,0085 ,0077,-7,07:09,0011,0000,0000,0000,0000,0000,
  AA,04/05/2014,1282,N3CSAA,ORD,09:25,09:22,0250 ,0258,-3,09:43,0021,0000,0000,0000,0000,0000,
  AA,04/05/2014,1494,N3DMAA,ORD,05:55,05:51,0245 ,0243,-4,06:08,0017,0000,0000,0000,0000,0000,
  AA,04/05/2014,1521,N5CCAA,DFW,11:00,10:58,0215 ,0195,-2,11:10,0012,0000,0000,0000,0000,0000,
  AA,04/05/2014,1522,N3JHAA,ORD,23:30,23:30,0235 ,0244,0,23:42,0012,0000,0000,0000,0000,0000,
  AA,04/05/2014,1544,N3CGAA,DFW,06:50,06:56,0210 ,0202,6,07:16,0020,0000,0000,0000,0000,0000,
  AA,04/05/2014,1585,N3KEAA,ORD,11:00,10:53,0255 ,0264,-7,11:20,0027,0000,0000,0000,0000,0000,
