
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,08/01/2014,0016,N789AA,JFK,12:40,14:11,0350 ,0335,91,14:26,0015,0000,0000,0076,0000,0000,
  AA,08/01/2014,0018,N797AA,JFK,22:45,00:34,0335 ,0356,109,01:00,0026,0109,0000,0021,0000,0000,
  AA,08/01/2014,0020,N794AA,JFK,15:15,15:22,0350 ,0351,7,15:55,0033,0000,0000,0000,0000,0000,
  AA,08/01/2014,0023,N370AA,DFW,10:30,10:33,0200 ,0203,3,10:48,0015,0000,0000,0000,0000,0000,
  AA,08/01/2014,0024,N788AA,JFK,07:00,06:52,0345 ,0349,-8,07:12,0020,0000,0000,0000,0000,0000,
  AA,08/01/2014,0068,N3KEAA,MIA,06:10,06:06,0350 ,0333,-4,06:38,0032,0000,0000,0000,0000,0000,
  AA,08/01/2014,0164,N793AA,JFK,08:40,08:54,0350 ,0369,14,09:24,0030,0000,0000,0033,0000,0000,
  AA,08/01/2014,0193,N3BHAA,DFW,13:10,13:27,0215 ,0210,17,13:43,0016,0000,0000,0000,0000,0000,
  AA,08/01/2014,0197,N3FBAA,ORD,17:40,18:20,0240 ,0247,40,18:38,0018,0000,0000,0007,0000,0040,
  AA,08/01/2014,0209,N3CAAA,LAX,17:35,17:28,0090 ,0107,-7,18:03,0035,0000,0000,0000,0000,0000,
  AA,08/01/2014,0219,N3BTAA,LAX,20:05,21:45,0110 ,0091,100,22:05,0020,0000,0000,0000,0000,0081,
  AA,08/01/2014,0242,N3LDAA,ORD,08:35,08:35,0245 ,0261,0,08:58,0023,0000,0000,0016,0000,0000,
  AA,08/01/2014,0262,N3KRAA,LAX,08:55,00:00,0095 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,08/01/2014,0272,N3KPAA,MIA,21:05,21:15,0325 ,0342,10,21:50,0035,0010,0000,0017,0000,0000,
  AA,08/01/2014,0277,N3HEAA,DFW,14:40,14:39,0220 ,0214,-1,15:04,0025,0000,0000,0000,0000,0000,
  AA,08/01/2014,0369,N3APAA,DFW,15:30,15:39,0210 ,0217,9,16:02,0023,0000,0000,0007,0000,0009,
  AA,08/01/2014,0931,N379AA,MIA,12:50,12:41,0345 ,0324,-9,13:06,0025,0000,0000,0000,0000,0000,
  AA,08/01/2014,1033,N3GKAA,ORD,12:25,14:17,0255 ,0275,112,14:40,0023,0000,0000,0132,0000,0000,
  AA,08/01/2014,1052,N3LHAA,DFW,00:15,00:51,0200 ,0196,36,01:07,0016,0006,0000,0000,0000,0026,
  AA,08/01/2014,1112,N3GNAA,ORD,06:00,05:56,0250 ,0251,-4,06:10,0014,0000,0000,0000,0000,0000,
  AA,08/01/2014,1143,N3BTAA,LAX,15:35,16:43,0090 ,0116,68,17:25,0042,0068,0000,0026,0000,0000,
  AA,08/01/2014,1180,N3LGAA,DFW,06:00,05:59,0215 ,0224,-1,06:31,0032,0000,0000,0000,0000,0000,
  AA,08/01/2014,1213,N3DPAA,DFW,16:35,16:35,0205 ,0216,0,17:02,0027,0000,0000,0000,0000,0000,
  AA,08/01/2014,1232,N3KKAA,LAX,07:10,07:08,0090 ,0101,-2,07:31,0023,0000,0000,0000,0000,0000,
  AA,08/01/2014,1435,N3FEAA,ORD,10:15,10:12,0250 ,0262,-3,10:28,0016,0000,0000,0000,0000,0000,
  AA,08/01/2014,1482,N3KRAA,DFW,08:10,08:39,0210 ,0212,29,09:03,0024,0000,0000,0002,0000,0029,
  AA,08/01/2014,1522,N3CRAA,ORD,23:30,00:49,0240 ,0234,79,01:04,0015,0000,0000,0002,0000,0071,
  AA,08/01/2014,1544,N3AKAA,DFW,07:00,07:00,0205 ,0202,0,07:14,0014,0000,0000,0000,0000,0000,
  AA,08/01/2014,1656,N3DNAA,DFW,09:30,09:32,0205 ,0212,2,09:54,0022,0000,0000,0000,0000,0000,
  AA,08/01/2014,2293,N5DLAA,DFW,11:40,00:00,0210 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,08/01/2014,2356,N3CMAA,ORD,14:25,15:22,0250 ,0269,57,15:57,0035,0000,0000,0076,0000,0000,
  AA,08/01/2014,2378,N3HXAA,LAX,13:35,13:38,0090 ,0090,3,13:50,0012,0000,0000,0000,0000,0000,
  AA,08/02/2014,0016,N787AA,JFK,12:40,12:37,0350 ,0332,-3,12:50,0013,0000,0000,0000,0000,0000,
  AA,08/02/2014,0018,N784AA,JFK,22:45,22:54,0335 ,0341,9,23:14,0020,0009,0000,0006,0000,0000,
  AA,08/02/2014,0020,N794AA,JFK,15:15,15:09,0350 ,0335,-6,15:28,0019,0000,0000,0000,0000,0000,
  AA,08/02/2014,0023,N391AA,DFW,10:30,11:17,0200 ,0192,47,11:35,0018,0000,0000,0017,0000,0022,
  AA,08/02/2014,0024,N795AA,JFK,07:00,06:49,0345 ,0351,-11,07:04,0015,0000,0000,0000,0000,0000,
  AA,08/02/2014,0068,N3LPAA,MIA,06:10,06:05,0350 ,0323,-5,06:25,0020,0000,0000,0000,0000,0000,
  AA,08/02/2014,0164,N783AA,JFK,08:40,09:36,0350 ,0326,56,09:49,0013,0032,0000,0000,0000,0000,
  AA,08/02/2014,0193,N3GAAA,DFW,13:10,13:09,0215 ,0210,-1,13:30,0021,0000,0000,0000,0000,0000,
  AA,08/02/2014,0197,N3BEAA,ORD,17:40,18:40,0240 ,0235,60,18:52,0012,0053,0000,0000,0000,0002,
  AA,08/02/2014,0209,N3HXAA,LAX,17:35,17:25,0090 ,0095,-10,17:48,0023,0000,0000,0000,0000,0000,
  AA,08/02/2014,0219,N3KJAA,LAX,20:05,20:09,0110 ,0123,4,20:31,0022,0000,0000,0017,0000,0000,
  AA,08/02/2014,0242,N3FGAA,ORD,08:35,08:28,0245 ,0251,-7,08:41,0013,0000,0000,0000,0000,0000,
  AA,08/02/2014,0262,N3JAAA,LAX,08:55,08:53,0095 ,0093,-2,09:10,0017,0000,0000,0000,0000,0000,
  AA,08/02/2014,0272,N3FHAA,MIA,21:05,21:02,0325 ,0305,-3,21:15,0013,0000,0000,0000,0000,0000,
  AA,08/02/2014,0369,N3BMAA,DFW,15:30,15:41,0210 ,0200,11,15:54,0013,0000,0000,0000,0000,0000,
  AA,08/02/2014,0931,N373AA,MIA,12:50,12:53,0345 ,0343,3,13:11,0018,0000,0000,0000,0000,0000,
  AA,08/02/2014,1033,N3CFAA,ORD,12:25,12:25,0255 ,0484,0,12:43,0018,0000,0000,0000,0000,0000,
  AA,08/02/2014,1052,N3EWAA,DFW,00:15,01:33,0200 ,0188,78,01:44,0011,0000,0000,0000,0000,0066,
  AA,08/02/2014,1112,N3ARAA,ORD,06:00,05:57,0250 ,0239,-3,06:08,0011,0000,0000,0000,0000,0000,
  AA,08/02/2014,1143,N3KTAA,LAX,15:35,17:58,0090 ,0084,143,18:15,0017,0086,0000,0000,0000,0051,
  AA,08/02/2014,1180,N3JNAA,DFW,06:00,05:55,0215 ,0199,-5,06:07,0012,0000,0000,0000,0000,0000,
  AA,08/02/2014,1232,N3EKAA,LAX,07:10,07:08,0090 ,0084,-2,07:27,0019,0000,0000,0000,0000,0000,
  AA,08/02/2014,1435,N3GNAA,ORD,10:15,10:08,0250 ,0237,-7,10:23,0015,0000,0000,0000,0000,0000,
  AA,08/02/2014,1482,N3HWAA,DFW,08:10,08:10,0210 ,0193,0,08:24,0014,0000,0000,0000,0000,0000,
  AA,08/02/2014,1522,N3HTAA,ORD,23:30,23:25,0240 ,0241,-5,23:36,0011,0000,0000,0000,0000,0000,
  AA,08/02/2014,1544,N3EPAA,DFW,07:00,06:59,0205 ,0201,-1,07:18,0019,0000,0000,0000,0000,0000,
  AA,08/02/2014,1656,N3CDAA,DFW,09:30,09:25,0205 ,0205,-5,09:43,0018,0000,0000,0000,0000,0000,
  AA,08/02/2014,2293,N5EFAA,DFW,11:40,11:39,0210 ,0208,-1,11:55,0016,0000,0000,0000,0000,0000,
  AA,08/02/2014,2356,N3GTAA,ORD,14:25,14:20,0250 ,0246,-5,14:34,0014,0000,0000,0000,0000,0000,
  AA,08/02/2014,2378,N3CAAA,LAX,13:35,13:33,0090 ,0083,-2,13:50,0017,0000,0000,0000,0000,0000,
  AA,08/03/2014,0016,N795AA,JFK,12:40,14:26,0350 ,0357,106,14:53,0027,0000,0000,0007,0000,0106,
  AA,08/03/2014,0018,N799AA,JFK,22:45,22:41,0335 ,0331,-4,23:00,0019,0000,0000,0000,0000,0000,
  AA,08/03/2014,0020,N796AA,JFK,15:15,15:15,0350 ,0348,0,15:46,0031,0000,0000,0000,0000,0000,
  AA,08/03/2014,0023,N375AA,DFW,10:30,10:30,0200 ,0189,0,10:38,0008,0000,0000,0000,0000,0000,
  AA,08/03/2014,0024,N790AA,JFK,07:00,06:59,0345 ,0377,-1,07:35,0036,0000,0000,0031,0000,0000,
  AA,08/03/2014,0068,N3DDAA,MIA,06:10,06:23,0350 ,0339,13,06:39,0016,0000,0000,0000,0000,0000,
  AA,08/03/2014,0164,N791AA,JFK,08:40,08:36,0350 ,0380,-4,08:53,0017,0000,0000,0026,0000,0000,
  AA,08/03/2014,0193,N3GVAA,DFW,13:10,13:10,0215 ,0218,0,13:31,0021,0000,0000,0000,0000,0000,
  AA,08/03/2014,0197,N3FVAA,ORD,17:40,17:40,0240 ,0251,0,18:01,0021,0000,0000,0000,0000,0000,
  AA,08/03/2014,0209,N3CAAA,LAX,17:35,17:28,0090 ,0154,-7,18:40,0072,0000,0000,0057,0000,0000,
  AA,08/03/2014,0219,N3DHAA,LAX,20:05,20:51,0110 ,0117,46,21:33,0042,0000,0000,0008,0000,0045,
  AA,08/03/2014,0242,N3JSAA,ORD,08:35,08:30,0245 ,0247,-5,08:42,0012,0000,0000,0000,0000,0000,
  AA,08/03/2014,0262,N3JBAA,LAX,08:55,08:49,0095 ,0084,-6,09:07,0018,0000,0000,0000,0000,0000,
  AA,08/03/2014,0272,N3KMAA,MIA,21:05,21:02,0325 ,0329,-3,21:21,0019,0000,0000,0000,0000,0000,
  AA,08/03/2014,0277,N3BUAA,DFW,14:40,15:28,0220 ,0233,48,16:05,0037,0040,0000,0013,0000,0008,
