
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,12/01/2015,0012,N795AA,JFK,11:33,12:45,0337 ,0345,72,13:10,0025,0072,0000,0008,0000,0000,
  AA,12/01/2015,0016,N791AA,JFK,12:35,13:05,0335 ,0330,30,13:21,0016,0000,0000,0025,0000,0000,
  AA,12/01/2015,0018,N789AA,JFK,23:00,22:52,0328 ,0330,-8,23:11,0019,0000,0000,0000,0000,0000,
  AA,12/01/2015,0020,N799AA,JFK,15:00,14:54,0326 ,0324,-6,15:06,0012,0000,0000,0000,0000,0000,
  AA,12/01/2015,0024,N789AA,JFK,07:25,07:20,0336 ,0350,-5,07:42,0022,0000,0000,0000,0000,0000,
  AA,12/01/2015,0036,N875AA,DFW,08:19,08:17,0211 ,0191,-2,08:29,0012,0000,0000,0000,0000,0000,
  AA,12/01/2015,0082,N3CVAA,ORD,05:00,05:07,0257 ,0251,7,05:22,0015,0000,0000,0000,0000,0000,
  AA,12/01/2015,0155,N3CNAA,LAX,10:10,10:05,0088 ,0090,-5,10:22,0017,0000,0000,0000,0000,0000,
  AA,12/01/2015,0159,N3CYAA,ORD,09:48,10:05,0261 ,0252,17,10:15,0010,0000,0000,0000,0000,0000,
  AA,12/01/2015,0169,N3KLAA,LAX,07:00,06:52,0092 ,0094,-8,07:19,0027,0000,0000,0000,0000,0000,
  AA,12/01/2015,0193,N3DCAA,DFW,15:40,15:34,0204 ,0200,-6,15:54,0020,0000,0000,0000,0000,0000,
  AA,12/01/2015,0208,N3HKAA,MIA,06:40,06:37,0328 ,0317,-3,06:56,0019,0000,0000,0000,0000,0000,
  AA,12/01/2015,0209,N3CEAA,LAX,20:30,20:24,0091 ,0073,-6,20:40,0016,0000,0000,0000,0000,0000,
  AA,12/01/2015,0218,N3AWAA,LAX,19:30,19:24,0091 ,0087,-6,19:45,0021,0000,0000,0000,0000,0000,
  AA,12/01/2015,0242,N3LXAA,ORD,07:45,07:44,0263 ,0259,-1,07:58,0014,0000,0000,0000,0000,0000,
  AA,12/01/2015,0259,N855AA,DFW,14:00,13:57,0212 ,0209,-3,14:13,0016,0000,0000,0000,0000,0000,
  AA,12/01/2015,0276,N787AA,JFK,21:40,21:34,0334 ,0323,-6,21:48,0014,0000,0000,0000,0000,0000,
  AA,12/01/2015,0349,N3BRAA,ORD,14:50,14:54,0260 ,0243,4,15:08,0014,0000,0000,0000,0000,0000,
  AA,12/01/2015,0403,N656AW,PHL,10:45,10:43,0320 ,0321,-2,11:07,0024,0000,0000,0000,0000,0000,
  AA,12/01/2015,0433,N169UW,PHL,13:35,13:53,0313 ,0321,18,14:06,0013,0000,0000,0008,0000,0018,
  AA,12/01/2015,0434,N918US,PHL,21:55,21:49,0314 ,0303,-6,22:06,0017,0000,0000,0000,0000,0000,
  AA,12/01/2015,0477,N576UW,PHX,15:45,15:38,0117 ,0107,-7,15:49,0011,0000,0000,0000,0000,0000,
