
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): February
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,02/01/2014,0016,N386AA,JFK,12:50,15:06,0330 ,0285,136,15:23,0017,0091,0000,0000,0000,0000,
  AA,02/01/2014,0020,N335AA,JFK,15:10,15:06,0330 ,0284,-4,15:18,0012,0000,0000,0000,0000,0000,
  AA,02/01/2014,0024,N349AA,JFK,07:05,07:04,0335 ,0304,-1,07:21,0017,0000,0000,0000,0000,0000,
  AA,02/01/2014,0068,N5CPAA,MIA,06:20,06:19,0320 ,0308,-1,06:33,0014,0000,0000,0000,0000,0000,
  AA,02/01/2014,0108,N3EMAA,LAX,09:15,09:07,0090 ,0071,-8,09:21,0014,0000,0000,0000,0000,0000,
  AA,02/01/2014,0122,N3GUAA,DFW,10:05,09:59,0205 ,0193,-6,10:13,0014,0000,0000,0000,0000,0000,
  AA,02/01/2014,0209,N3EMAA,LAX,17:40,17:40,0090 ,0074,0,17:52,0012,0000,0000,0000,0000,0000,
  AA,02/01/2014,0219,N3KNAA,LAX,20:20,20:16,0090 ,0068,-4,20:26,0010,0000,0000,0000,0000,0000,
  AA,02/01/2014,0272,N5DJAA,MIA,21:10,21:14,0315 ,0293,4,21:25,0011,0000,0000,0000,0000,0000,
  AA,02/01/2014,0323,N3KUAA,DFW,16:10,16:03,0200 ,0183,-7,16:15,0012,0000,0000,0000,0000,0000,
  AA,02/01/2014,0931,N392AA,MIA,12:40,12:30,0325 ,0320,-10,12:51,0021,0000,0000,0000,0000,0000,
  AA,02/01/2014,1010,N3FHAA,DFW,07:55,07:49,0210 ,0183,-6,07:59,0010,0000,0000,0000,0000,0000,
  AA,02/01/2014,1052,N3DDAA,DFW,00:20,00:22,0195 ,0174,2,00:35,0013,0000,0000,0000,0000,0000,
  AA,02/01/2014,1232,N3LFAA,LAX,07:05,07:02,0085 ,0077,-3,07:16,0014,0000,0000,0000,0000,0000,
  AA,02/01/2014,1282,N3KHAA,ORD,09:25,09:21,0250 ,0238,-4,09:34,0013,0000,0000,0000,0000,0000,
  AA,02/01/2014,1521,N5DNAA,DFW,11:05,10:59,0210 ,0187,-6,11:16,0017,0000,0000,0000,0000,0000,
  AA,02/01/2014,1522,N3JLAA,ORD,23:30,23:27,0240 ,0230,-3,23:39,0012,0000,0000,0000,0000,0000,
  AA,02/01/2014,1524,N3DNAA,DFW,13:30,13:17,0210 ,0204,-13,13:40,0023,0000,0000,0000,0000,0000,
  AA,02/01/2014,1544,N3CTAA,DFW,06:50,06:42,0205 ,0197,-8,06:58,0016,0000,0000,0000,0000,0000,
  AA,02/01/2014,1585,N3BHAA,ORD,11:10,11:28,0255 ,0236,18,11:48,0020,0000,0000,0000,0000,0000,
  AA,02/01/2014,1677,N3HVAA,DFW,14:25,14:20,0205 ,0196,-5,14:35,0015,0000,0000,0000,0000,0000,
  AA,02/01/2014,2278,N635AA,DFW,05:45,05:40,0210 ,0189,-5,05:51,0011,0000,0000,0000,0000,0000,
  AA,02/01/2014,2298,N3GEAA,DFW,09:05,08:58,0210 ,0198,-7,09:11,0013,0000,0000,0000,0000,0000,
  AA,02/01/2014,2356,N3FXAA,ORD,14:10,14:35,0255 ,0222,25,14:43,0008,0000,0000,0000,0000,0000,
  AA,02/01/2014,2455,N3ARAA,LAX,12:50,13:22,0085 ,0076,32,13:37,0015,0000,0000,0000,0000,0023,
  AA,02/01/2014,2456,N3KNAA,LAX,14:50,14:49,0090 ,0076,-1,15:01,0012,0000,0000,0000,0000,0000,
  AA,02/02/2014,0016,N386AA,JFK,12:50,13:33,0330 ,0305,43,13:58,0025,0008,0000,0000,0000,0010,
  AA,02/02/2014,0018,N328AA,JFK,22:30,23:23,0330 ,0336,53,23:47,0024,0026,0000,0006,0000,0027,
  AA,02/02/2014,0020,N642AA,JFK,15:10,17:41,0330 ,0290,151,17:58,0017,0016,0000,0000,0000,0095,
  AA,02/02/2014,0024,N360AA,JFK,07:05,06:59,0335 ,0319,-6,07:27,0028,0000,0000,0000,0000,0000,
  AA,02/02/2014,0068,N5CLAA,MIA,06:20,06:11,0320 ,0310,-9,06:26,0015,0000,0000,0000,0000,0000,
  AA,02/02/2014,0108,N3CLAA,LAX,09:15,09:06,0090 ,0085,-9,09:30,0024,0000,0000,0000,0000,0000,
  AA,02/02/2014,0122,N3LCAA,DFW,10:05,10:05,0205 ,0197,0,10:22,0017,0000,0000,0000,0000,0000,
  AA,02/02/2014,0197,N3GVAA,ORD,18:00,18:49,0239 ,0229,49,19:04,0015,0039,0000,0000,0000,0000,
  AA,02/02/2014,0209,N3CLAA,LAX,17:40,18:14,0090 ,0101,34,18:41,0027,0028,0000,0011,0000,0006,
