
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): January
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,01/01/2014,0016,N368AA,JFK,12:50,13:45,0330 ,0331,55,13:58,0013,0055,0000,0001,0000,0000,
  AA,01/01/2014,0018,N332AA,JFK,22:30,22:30,0330 ,0321,0,22:46,0016,0000,0000,0000,0000,0000,
  AA,01/01/2014,0024,N352AA,JFK,07:05,06:58,0335 ,0322,-7,07:22,0024,0000,0000,0000,0000,0000,
  AA,01/01/2014,0068,N5CSAA,MIA,06:20,06:17,0320 ,0319,-3,06:31,0014,0000,0000,0000,0000,0000,
  AA,01/01/2014,0108,N3GYAA,LAX,09:15,09:12,0090 ,0080,-3,09:28,0016,0000,0000,0000,0000,0000,
  AA,01/01/2014,0122,N3GUAA,DFW,10:05,09:57,0205 ,0207,-8,10:14,0017,0000,0000,0000,0000,0000,
  AA,01/01/2014,0197,N3DRAA,ORD,18:00,00:00,0239 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,01/01/2014,0209,N3GYAA,LAX,17:40,17:33,0090 ,0083,-7,17:48,0015,0000,0000,0000,0000,0000,
  AA,01/01/2014,0219,N3CAAA,LAX,20:15,20:08,0090 ,0083,-7,20:28,0020,0000,0000,0000,0000,0000,
  AA,01/01/2014,0272,N635AA,MIA,21:10,21:09,0315 ,0317,-1,21:27,0018,0000,0000,0000,0000,0000,
  AA,01/01/2014,0323,N3DRAA,DFW,16:10,18:24,0200 ,0184,134,18:34,0010,0000,0000,0000,0000,0118,
  AA,01/01/2014,0931,N371AA,MIA,12:40,12:34,0325 ,0325,-6,12:52,0018,0000,0000,0000,0000,0000,
  AA,01/01/2014,1010,N3LDAA,DFW,07:55,07:52,0210 ,0193,-3,08:08,0016,0000,0000,0000,0000,0000,
  AA,01/01/2014,1052,N3ALAA,DFW,00:20,00:20,0195 ,0197,0,00:35,0015,0000,0000,0000,0000,0000,
  AA,01/01/2014,1232,N3FBAA,LAX,07:05,06:59,0085 ,0085,-6,07:14,0015,0000,0000,0000,0000,0000,
  AA,01/01/2014,1282,N3KTAA,ORD,09:25,09:22,0250 ,0268,-3,09:41,0019,0000,0000,0015,0000,0000,
  AA,01/01/2014,1494,N3HPAA,ORD,05:55,05:49,0255 ,0246,-6,06:03,0014,0000,0000,0000,0000,0000,
  AA,01/01/2014,1521,N5DXAA,DFW,11:05,10:57,0210 ,0196,-8,11:15,0018,0000,0000,0000,0000,0000,
  AA,01/01/2014,1522,N3ECAA,ORD,23:30,00:02,0240 ,0268,32,00:28,0026,0032,0000,0028,0000,0000,
  AA,01/01/2014,1524,N3FAAA,DFW,13:30,13:33,0210 ,0206,3,13:53,0020,0000,0000,0000,0000,0000,
  AA,01/01/2014,1544,N3BEAA,DFW,06:50,06:47,0205 ,0209,-3,07:06,0019,0000,0000,0000,0000,0000,
  AA,01/01/2014,1585,N3FHAA,ORD,11:10,11:05,0255 ,0321,-5,11:30,0025,0000,0000,0061,0000,0000,
  AA,01/01/2014,1677,N370AA,DFW,14:25,14:21,0205 ,0199,-4,14:45,0024,0000,0000,0000,0000,0000,
  AA,01/01/2014,2278,N3ENAA,DFW,06:05,06:02,0210 ,0208,-3,06:14,0012,0000,0000,0000,0000,0000,
  AA,01/01/2014,2298,N3JAAA,DFW,09:05,09:03,0210 ,0201,-2,09:24,0021,0000,0000,0000,0000,0000,
  AA,01/01/2014,2356,N3JJAA,ORD,14:10,16:14,0255 ,0248,124,16:30,0016,0000,0000,0000,0000,0117,
  AA,01/01/2014,2455,N3HLAA,LAX,12:50,15:09,0085 ,0083,139,15:28,0019,0000,0000,0000,0000,0137,
  AA,01/01/2014,2456,N3FLAA,LAX,14:45,14:41,0085 ,0094,-4,15:05,0024,0000,0000,0000,0000,0000,
  AA,01/02/2014,0016,N368AA,JFK,12:50,00:00,0330 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,01/02/2014,0018,N336AA,JFK,22:30,00:43,0330 ,0494,133,01:02,0019,0000,0000,0000,0000,0000,
  AA,01/02/2014,0020,N357AA,JFK,15:10,00:00,0330 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,01/02/2014,0024,N399AA,JFK,07:05,07:04,0335 ,0356,-1,07:19,0015,0000,0000,0020,0000,0000,
  AA,01/02/2014,0068,N618AA,MIA,06:20,06:15,0320 ,0339,-5,06:38,0023,0000,0000,0000,0000,0000,
  AA,01/02/2014,0108,N3EKAA,LAX,09:15,09:07,0090 ,0099,-8,09:42,0035,0000,0000,0000,0000,0000,
  AA,01/02/2014,0122,N3JLAA,DFW,10:05,10:00,0205 ,0216,-5,10:09,0009,0000,0000,0000,0000,0000,
  AA,01/02/2014,0197,N3BXAA,ORD,18:00,19:53,0239 ,0257,113,20:08,0015,0000,0000,0018,0000,0113,
  AA,01/02/2014,0209,N3HKAA,LAX,17:40,17:48,0090 ,0086,8,18:09,0021,0000,0000,0000,0000,0000,
  AA,01/02/2014,0219,N3GJAA,LAX,20:15,20:04,0090 ,0082,-11,20:16,0012,0000,0000,0000,0000,0000,
  AA,01/02/2014,0272,N5BTAA,MIA,21:10,21:28,0315 ,0336,18,21:42,0014,0000,0000,0021,0000,0018,
  AA,01/02/2014,0323,N3BRAA,DFW,16:10,16:04,0200 ,0202,-6,16:22,0018,0000,0000,0000,0000,0000,
