
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,07/01/2014,0016,N795AA,JFK,12:40,12:33,0350 ,0347,-7,12:48,0015,0000,0000,0000,0000,0000,
  AA,07/01/2014,0018,N787AA,JFK,22:45,22:38,0335 ,0348,-7,23:10,0032,0000,0000,0000,0000,0000,
  AA,07/01/2014,0020,N798AA,JFK,15:15,15:04,0350 ,0355,-11,15:32,0028,0000,0000,0000,0000,0000,
  AA,07/01/2014,0023,N395AA,DFW,10:30,10:49,0200 ,0238,19,11:08,0019,0019,0000,0038,0000,0000,
  AA,07/01/2014,0024,N793AA,JFK,07:00,06:54,0345 ,0341,-6,07:21,0027,0000,0000,0000,0000,0000,
  AA,07/01/2014,0068,N3FYAA,MIA,06:15,06:09,0350 ,0344,-6,06:34,0025,0000,0000,0000,0000,0000,
  AA,07/01/2014,0164,N794AA,JFK,08:40,08:36,0350 ,0334,-4,08:52,0016,0000,0000,0000,0000,0000,
  AA,07/01/2014,0193,N3CXAA,DFW,13:10,13:09,0215 ,0216,-1,13:35,0026,0000,0000,0000,0000,0000,
  AA,07/01/2014,0197,N3GXAA,ORD,17:40,18:59,0240 ,0237,79,19:13,0014,0071,0000,0000,0000,0005,
  AA,07/01/2014,0209,N3JGAA,LAX,17:35,17:33,0090 ,0093,-2,17:49,0016,0000,0000,0000,0000,0000,
  AA,07/01/2014,0219,N3CUAA,LAX,20:05,21:20,0110 ,0076,75,21:31,0011,0004,0000,0000,0000,0037,
  AA,07/01/2014,0242,N3EEAA,ORD,08:35,08:31,0245 ,0260,-4,08:49,0018,0000,0000,0000,0000,0000,
  AA,07/01/2014,0262,N3DCAA,LAX,08:55,08:54,0095 ,0095,-1,09:15,0021,0000,0000,0000,0000,0000,
  AA,07/01/2014,0272,N3DMAA,MIA,21:05,20:56,0325 ,0330,-9,21:17,0021,0000,0000,0000,0000,0000,
  AA,07/01/2014,0277,N3JRAA,DFW,14:40,14:36,0220 ,0236,-4,14:53,0017,0000,0000,0000,0000,0000,
  AA,07/01/2014,0369,N640AA,DFW,15:35,16:05,0210 ,0208,30,16:18,0013,0007,0000,0000,0000,0021,
  AA,07/01/2014,0931,N363AA,MIA,12:50,12:48,0345 ,0348,-2,13:10,0022,0000,0000,0000,0000,0000,
  AA,07/01/2014,1033,N3BVAA,ORD,12:25,12:27,0255 ,0252,2,12:39,0012,0000,0000,0000,0000,0000,
  AA,07/01/2014,1052,N3FKAA,DFW,00:15,00:11,0200 ,0197,-4,00:27,0016,0000,0000,0000,0000,0000,
  AA,07/01/2014,1112,N3EXAA,ORD,06:00,05:56,0250 ,0247,-4,06:17,0021,0000,0000,0000,0000,0000,
  AA,07/01/2014,1143,N3CUAA,LAX,15:35,16:52,0090 ,0084,77,17:04,0012,0071,0000,0000,0000,0000,
  AA,07/01/2014,1180,N3HJAA,DFW,06:00,05:56,0215 ,0211,-4,06:13,0017,0000,0000,0000,0000,0000,
  AA,07/01/2014,1213,N3HBAA,DFW,16:35,17:43,0205 ,0190,68,17:57,0014,0005,0000,0000,0000,0048,
  AA,07/01/2014,1232,N3KDAA,LAX,07:10,07:03,0090 ,0093,-7,07:25,0022,0000,0000,0000,0000,0000,
  AA,07/01/2014,1435,N3GEAA,ORD,10:15,10:21,0250 ,0260,6,10:38,0017,0000,0000,0010,0000,0006,
