
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,07/01/2015,0016,N784AA,JFK,12:35,12:29,0353 ,0325,-6,12:46,0017,0000,0000,0000,0000,0000,
  AA,07/01/2015,0018,N783AA,JFK,22:55,22:48,0343 ,0316,-7,23:08,0020,0000,0000,0000,0000,0000,
  AA,07/01/2015,0020,N785AA,JFK,15:15,15:35,0348 ,0341,20,15:50,0015,0000,0000,0000,0000,0000,
  AA,07/01/2015,0024,N783AA,JFK,07:15,07:05,0349 ,0330,-10,07:24,0019,0000,0000,0000,0000,0000,
  AA,07/01/2015,0036,N5EGAA,DFW,08:25,08:19,0211 ,0222,-6,08:35,0016,0000,0000,0000,0000,0000,
  AA,07/01/2015,0073,N3GEAA,ORD,05:00,04:59,0254 ,0249,-1,05:10,0011,0000,0000,0000,0000,0000,
  AA,07/01/2015,0082,N3KYAA,ORD,14:40,14:52,0262 ,0243,12,15:07,0015,0000,0000,0000,0000,0000,
  AA,07/01/2015,0159,N5ENAA,DFW,10:09,10:07,0213 ,0205,-2,10:21,0014,0000,0000,0000,0000,0000,
  AA,07/01/2015,0164,N795AA,JFK,08:45,08:39,0357 ,0339,-6,08:56,0017,0000,0000,0000,0000,0000,
  AA,07/01/2015,0193,N3KRAA,DFW,15:40,16:16,0218 ,0211,36,16:34,0018,0008,0000,0000,0000,0021,
  AA,07/01/2015,0208,N5EHAA,MIA,07:00,07:05,0343 ,0335,5,07:26,0021,0000,0000,0000,0000,0000,
  AA,07/01/2015,0209,N3LDAA,LAX,18:35,19:13,0098 ,0084,38,19:35,0022,0020,0000,0000,0000,0004,
  AA,07/01/2015,0218,N3GJAA,LAX,20:55,20:50,0105 ,0078,-5,21:07,0017,0000,0000,0000,0000,0000,
  AA,07/01/2015,0242,N3FMAA,ORD,08:00,07:58,0260 ,0245,-2,08:16,0018,0000,0000,0000,0000,0000,
  AA,07/01/2015,0259,N3AFAA,DFW,13:40,13:40,0219 ,0212,0,13:56,0016,0000,0000,0000,0000,0000,
  AA,07/01/2015,0272,N3CGAA,MIA,23:59,23:58,0336 ,0342,-1,00:12,0014,0000,0000,0000,0000,0000,
  AA,07/01/2015,0338,N5FDAA,LAX,09:05,09:17,0096 ,0093,12,09:32,0015,0000,0000,0000,0000,0000,
  AA,07/01/2015,0342,N3AGAA,ORD,09:20,09:21,0258 ,0246,1,09:43,0022,0000,0000,0000,0000,0000,
  AA,07/01/2015,0403,N661AW,PHL,10:45,10:44,0335 ,0310,-1,10:57,0013,0000,0000,0000,0000,0000,
  AA,07/01/2015,0433,N536UW,PHL,13:35,13:30,0323 ,0299,-5,13:41,0011,0000,0000,0000,0000,0000,
  AA,07/01/2015,0434,N539UW,PHL,21:55,21:49,0324 ,0306,-6,22:05,0016,0000,0000,0000,0000,0000,
  AA,07/01/2015,0477,N195UW,PHX,15:50,15:47,0123 ,0116,-3,15:57,0010,0000,0000,0000,0000,0000,
  AA,07/01/2015,0547,N534UW,PHX,17:05,16:59,0124 ,0124,-6,17:09,0010,0000,0000,0000,0000,0000,
  AA,07/01/2015,0574,N601AW,PHX,11:55,11:54,0125 ,0126,-1,12:07,0013,0000,0000,0000,0000,0000,
  AA,07/01/2015,0610,N923US,PHX,06:00,05:55,0122 ,0116,-5,06:08,0013,0000,0000,0000,0000,0000,
  AA,07/01/2015,0635,N189UW,PHX,20:35,20:36,0127 ,0144,1,20:47,0011,0001,0000,0017,0000,0000,
  AA,07/01/2015,0718,N919US,PHL,08:25,08:23,0331 ,0306,-2,08:40,0017,0000,0000,0000,0000,0000,
  AA,07/01/2015,0898,N921US,CLT,22:20,22:15,0295 ,0299,-5,22:27,0012,0000,0000,0000,0000,0000,
  AA,07/01/2015,0931,N3GEAA,MIA,14:15,15:25,0343 ,0337,70,15:44,0019,0007,0000,0000,0000,0057,
  AA,07/01/2015,1051,N3GPAA,DFW,00:59,00:57,0199 ,0205,-2,01:09,0012,0000,0000,0000,0000,0000,
  AA,07/01/2015,1143,N5FDAA,LAX,14:20,14:16,0089 ,0094,-4,14:41,0025,0000,0000,0000,0000,0000,
  AA,07/01/2015,1145,N3LJAA,ORD,11:10,11:06,0260 ,0255,-4,11:28,0022,0000,0000,0000,0000,0000,
  AA,07/01/2015,1232,N3CHAA,LAX,07:00,06:55,0094 ,0094,-5,07:13,0018,0000,0000,0000,0000,0000,
  AA,07/01/2015,1289,N3CDAA,DFW,06:45,07:01,0216 ,0226,16,07:18,0017,0016,0000,0010,0000,0000,
  AA,07/01/2015,1454,N860AA,DFW,05:15,05:06,0212 ,0208,-9,05:25,0019,0000,0000,0000,0000,0000,
  AA,07/01/2015,1522,N3KFAA,ORD,23:55,23:51,0244 ,0237,-4,00:06,0015,0000,0000,0000,0000,0000,
  AA,07/01/2015,1540,N3LNAA,ORD,17:35,19:33,0244 ,0230,118,19:48,0015,0000,0000,0000,0000,0104,
  AA,07/01/2015,1783,N562UW,CLT,11:00,11:10,0310 ,0303,10,11:35,0025,0000,0000,0000,0000,0000,
  AA,07/01/2015,1791,N556UW,CLT,07:15,07:12,0306 ,0289,-3,07:27,0015,0000,0000,0000,0000,0000,
  AA,07/01/2015,1817,N912UY,CLT,06:00,05:57,0306 ,0287,-3,06:09,0012,0000,0000,0000,0000,0000,
  AA,07/01/2015,1857,N172US,CLT,13:00,13:02,0306 ,0288,2,13:16,0014,0000,0000,0000,0000,0000,
  AA,07/01/2015,1954,N560UW,PHX,09:15,09:10,0119 ,0141,-5,09:44,0034,0000,0000,0017,0000,0000,
  AA,07/01/2015,1965,N507AY,CLT,00:05,24:00,0303 ,0306,-5,00:21,0021,0000,0000,0000,0000,0000,
  AA,07/01/2015,2051,N570UW,PHL,00:25,00:18,0320 ,0318,-7,00:32,0014,0000,0000,0000,0000,0000,
  AA,07/01/2015,2207,N856AA,DFW,11:59,11:54,0215 ,0224,-5,12:14,0020,0000,0000,0000,0000,0000,
  AA,07/01/2015,2352,N3BPAA,DFW,17:00,19:02,0213 ,0201,122,19:17,0015,0000,0000,0000,0000,0110,
  AA,07/01/2015,2417,N3HYAA,DFW,11:25,11:24,0215 ,0219,-1,11:50,0026,0000,0000,0000,0000,0000,
  AA,07/01/2015,2438,N3AYAA,LAX,12:30,12:23,0092 ,0078,-7,12:38,0015,0000,0000,0000,0000,0000,
  AA,07/02/2015,0016,N790AA,JFK,12:35,12:34,0353 ,0330,-1,12:47,0013,0000,0000,0000,0000,0000,
  AA,07/02/2015,0018,N791AA,JFK,22:55,23:09,0343 ,0322,14,23:26,0017,0000,0000,0000,0000,0000,
  AA,07/02/2015,0024,N793AA,JFK,07:15,07:06,0349 ,0356,-9,07:27,0021,0000,0000,0000,0000,0000,
  AA,07/02/2015,0036,N5DVAA,DFW,08:25,08:21,0211 ,0205,-4,08:38,0017,0000,0000,0000,0000,0000,
  AA,07/02/2015,0073,N3GLAA,ORD,05:00,04:53,0254 ,0248,-7,05:04,0011,0000,0000,0000,0000,0000,
