
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,06/01/2014,0016,N799AA,JFK,12:55,12:47,0355 ,0332,-8,12:58,0011,0000,0000,0000,0000,0000,
  AA,06/01/2014,0018,N796AA,JFK,22:35,22:25,0345 ,0347,-10,22:48,0023,0000,0000,0000,0000,0000,
  AA,06/01/2014,0020,N789AA,JFK,15:00,14:55,0340 ,0340,-5,15:12,0017,0000,0000,0000,0000,0000,
  AA,06/01/2014,0024,N372AA,JFK,07:00,06:57,0345 ,0331,-3,07:17,0020,0000,0000,0000,0000,0000,
  AA,06/01/2014,0068,N5CSAA,MIA,06:15,06:10,0330 ,0314,-5,06:27,0017,0000,0000,0000,0000,0000,
  AA,06/01/2014,0193,N3DXAA,DFW,13:00,13:04,0215 ,0210,4,13:40,0036,0000,0000,0000,0000,0000,
  AA,06/01/2014,0209,N3ENAA,LAX,17:35,17:29,0085 ,0097,-6,17:54,0025,0000,0000,0000,0000,0000,
  AA,06/01/2014,0219,N3DVAA,LAX,19:50,19:50,0100 ,0110,0,20:08,0018,0000,0000,0000,0000,0000,
  AA,06/01/2014,0262,N3LFAA,LAX,09:15,18:24,0090 ,0099,549,18:48,0024,0000,0000,0010,0000,0548,
  AA,06/01/2014,0272,N3CCAA,MIA,21:00,20:56,0320 ,0312,-4,21:07,0011,0000,0000,0000,0000,0000,
  AA,06/01/2014,0323,N3DGAA,DFW,15:30,16:18,0205 ,0188,48,16:33,0015,0000,0000,0000,0000,0031,
  AA,06/01/2014,0931,N389AA,MIA,12:40,12:41,0325 ,0309,1,12:55,0014,0000,0000,0000,0000,0000,
  AA,06/01/2014,1010,N3LPAA,DFW,08:10,08:04,0210 ,0192,-6,08:19,0015,0000,0000,0000,0000,0000,
  AA,06/01/2014,1052,N3FNAA,DFW,00:20,00:14,0195 ,0179,-6,00:23,0009,0000,0000,0000,0000,0000,
  AA,06/01/2014,1143,N3KGAA,LAX,15:25,15:23,0090 ,0092,-2,15:35,0012,0000,0000,0000,0000,0000,
  AA,06/01/2014,1232,N3KYAA,LAX,07:10,07:01,0090 ,0121,-9,07:13,0012,0000,0000,0022,0000,0000,
  AA,06/01/2014,1282,N3LHAA,ORD,09:20,11:36,0255 ,0258,136,12:05,0029,0136,0000,0003,0000,0000,
  AA,06/01/2014,1494,N3CRAA,ORD,06:00,05:58,0250 ,0236,-2,06:16,0018,0000,0000,0000,0000,0000,
  AA,06/01/2014,1521,N396AA,DFW,10:30,10:33,0210 ,0185,3,10:49,0016,0000,0000,0000,0000,0000,
  AA,06/01/2014,1522,N3HVAA,ORD,23:45,00:51,0240 ,0223,66,01:02,0011,0049,0000,0000,0000,0000,
  AA,06/01/2014,1544,N3BWAA,DFW,07:00,06:55,0210 ,0196,-5,07:10,0015,0000,0000,0000,0000,0000,
  AA,06/01/2014,1585,N3LAAA,ORD,10:35,10:52,0255 ,0281,17,11:18,0026,0008,0000,0026,0000,0009,
  AA,06/01/2014,1677,N3FKAA,DFW,14:35,15:37,0215 ,0187,62,15:49,0012,0000,0000,0000,0000,0034,
  AA,06/01/2014,2278,N5CDAA,DFW,05:50,05:52,0205 ,0188,2,06:03,0011,0000,0000,0000,0000,0000,
  AA,06/01/2014,2298,N3DEAA,DFW,09:20,09:15,0210 ,0200,-5,09:29,0014,0000,0000,0000,0000,0000,
  AA,06/01/2014,2356,N3DTAA,ORD,13:55,14:54,0260 ,0251,59,15:09,0015,0000,0000,0050,0000,0000,
  AA,06/01/2014,2435,N3DLAA,DFW,16:50,16:57,0200 ,0184,7,17:10,0013,0000,0000,0000,0000,0000,
  AA,06/01/2014,2455,N3ENAA,LAX,12:40,13:00,0090 ,0082,20,13:17,0017,0000,0000,0000,0000,0000,
  AA,06/02/2014,0016,N791AA,JFK,12:55,12:51,0355 ,0325,-4,13:08,0017,0000,0000,0000,0000,0000,
  AA,06/02/2014,0018,N792AA,JFK,22:35,22:33,0345 ,0318,-2,22:55,0022,0000,0000,0000,0000,0000,
  AA,06/02/2014,0020,N787AA,JFK,15:00,14:54,0340 ,0339,-6,15:18,0024,0000,0000,0000,0000,0000,
  AA,06/02/2014,0024,N392AA,JFK,07:00,06:52,0345 ,0345,-8,07:16,0024,0000,0000,0000,0000,0000,
  AA,06/02/2014,0068,N631AA,MIA,06:15,07:06,0330 ,0318,51,07:23,0017,0039,0000,0000,0000,0000,
  AA,06/02/2014,0193,N3LDAA,DFW,13:00,13:25,0215 ,0196,25,13:45,0020,0000,0000,0000,0000,0000,
  AA,06/02/2014,0197,N3EWAA,ORD,17:45,18:02,0240 ,0231,17,18:20,0018,0000,0000,0000,0000,0000,
  AA,06/02/2014,0209,N3LLAA,LAX,17:35,18:00,0085 ,0089,25,18:14,0014,0000,0000,0005,0000,0024,
  AA,06/02/2014,0219,N3CMAA,LAX,19:50,19:59,0100 ,0102,9,20:30,0031,0000,0000,0000,0000,0000,
