
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,06/01/2015,0016,N799AA,JFK,12:45,14:57,0346 ,0333,132,15:10,0013,0000,0000,0119,0000,0000,
  AA,06/01/2015,0018,N793AA,JFK,22:50,22:56,0337 ,0342,6,23:26,0030,0000,0000,0000,0000,0000,
  AA,06/01/2015,0020,N789AA,JFK,15:15,15:31,0339 ,0360,16,15:55,0024,0000,0000,0025,0000,0012,
  AA,06/01/2015,0024,N793AA,JFK,07:00,06:59,0347 ,0347,-1,07:23,0024,0000,0000,0000,0000,0000,
  AA,06/01/2015,0036,N867AA,DFW,08:35,08:35,0210 ,0210,0,08:58,0023,0000,0000,0000,0000,0000,
  AA,06/01/2015,0159,N3CNAA,DFW,10:35,10:29,0208 ,0197,-6,10:41,0012,0000,0000,0000,0000,0000,
  AA,06/01/2015,0164,N785AA,JFK,08:45,10:17,0344 ,0333,92,10:33,0016,0000,0000,0081,0000,0000,
  AA,06/01/2015,0193,N3CDAA,DFW,15:10,15:39,0213 ,0196,29,15:53,0014,0000,0000,0000,0000,0000,
  AA,06/01/2015,0201,N3GGAA,ORD,14:20,14:21,0260 ,0241,1,14:38,0017,0000,0000,0000,0000,0000,
  AA,06/01/2015,0208,N634AA,MIA,07:00,06:55,0326 ,0315,-5,07:09,0014,0000,0000,0000,0000,0000,
  AA,06/01/2015,0209,N3LDAA,LAX,18:34,18:27,0086 ,0078,-7,18:44,0017,0000,0000,0000,0000,0000,
  AA,06/01/2015,0218,N3FWAA,LAX,20:45,21:07,0099 ,0082,22,21:25,0018,0000,0000,0000,0000,0000,
  AA,06/01/2015,0242,N3LTAA,ORD,07:50,07:46,0262 ,0253,-4,08:01,0015,0000,0000,0000,0000,0000,
  AA,06/01/2015,0259,N3DUAA,DFW,13:40,13:41,0215 ,0198,1,13:53,0012,0000,0000,0000,0000,0000,
  AA,06/01/2015,0272,N3KUAA,MIA,23:40,23:38,0322 ,0341,-2,00:01,0023,0000,0000,0017,0000,0000,
  AA,06/01/2015,0338,N5FCAA,LAX,09:06,08:57,0093 ,0096,-9,09:08,0011,0000,0000,0000,0000,0000,
  AA,06/01/2015,0931,N3JRAA,MIA,12:00,12:47,0328 ,0333,47,13:10,0023,0047,0000,0005,0000,0000,
  AA,06/01/2015,1049,N3FKAA,DFW,06:00,05:54,0209 ,0217,-6,06:09,0015,0000,0000,0000,0000,0000,
  AA,06/01/2015,1051,N3HHAA,DFW,01:04,00:58,0215 ,0192,-6,01:08,0010,0000,0000,0000,0000,0000,
  AA,06/01/2015,1143,N5FCAA,LAX,14:36,14:44,0084 ,0081,8,14:57,0013,0000,0000,0000,0000,0000,
  AA,06/01/2015,1145,N3DPAA,ORD,11:10,11:07,0268 ,0259,-3,11:32,0025,0000,0000,0000,0000,0000,
  AA,06/01/2015,1180,N3LSAA,DFW,07:00,06:57,0215 ,0207,-3,07:19,0022,0000,0000,0000,0000,0000,
  AA,06/01/2015,1232,N3KUAA,LAX,08:00,08:03,0090 ,0085,3,08:19,0016,0000,0000,0000,0000,0000,
  AA,06/01/2015,1371,N3AUAA,ORD,17:10,17:03,0249 ,0237,-7,17:16,0013,0000,0000,0000,0000,0000,
  AA,06/01/2015,1454,N3FTAA,DFW,05:30,05:23,0208 ,0210,-7,05:34,0011,0000,0000,0000,0000,0000,
  AA,06/01/2015,1522,N3KDAA,ORD,23:55,23:53,0249 ,0229,-2,00:08,0015,0000,0000,0000,0000,0000,
  AA,06/01/2015,2317,N3ATAA,DFW,11:55,12:24,0213 ,0196,29,12:36,0012,0000,0000,0000,0000,0000,
  AA,06/01/2015,2352,N3FBAA,DFW,16:55,17:16,0206 ,0203,21,17:30,0014,0018,0000,0000,0000,0000,
  AA,06/01/2015,2411,N3LPAA,ORD,09:30,09:26,0262 ,0236,-4,09:40,0014,0000,0000,0000,0000,0000,
  AA,06/01/2015,2438,N3ABAA,LAX,12:28,12:31,0087 ,0084,3,12:47,0016,0000,0000,0000,0000,0000,
  AA,06/02/2015,0016,N795AA,JFK,12:45,12:45,0346 ,0317,0,12:58,0013,0000,0000,0000,0000,0000,
  AA,06/02/2015,0018,N794AA,JFK,22:50,22:43,0337 ,0348,-7,23:12,0029,0000,0000,0000,0000,0000,
  AA,06/02/2015,0020,N783AA,JFK,15:15,15:11,0339 ,0335,-4,15:33,0022,0000,0000,0000,0000,0000,
  AA,06/02/2015,0024,N792AA,JFK,07:00,06:55,0347 ,0323,-5,07:17,0022,0000,0000,0000,0000,0000,
  AA,06/02/2015,0036,N864AA,DFW,08:35,08:35,0210 ,0209,0,08:49,0014,0000,0000,0000,0000,0000,
  AA,06/02/2015,0159,N3EDAA,DFW,10:35,10:28,0208 ,0194,-7,10:37,0009,0000,0000,0000,0000,0000,
  AA,06/02/2015,0164,N784AA,JFK,08:45,08:39,0344 ,0328,-6,08:58,0019,0000,0000,0000,0000,0000,
  AA,06/02/2015,0193,N3CTAA,DFW,15:10,15:07,0213 ,0208,-3,15:28,0021,0000,0000,0000,0000,0000,
  AA,06/02/2015,0201,N3EGAA,ORD,14:20,14:20,0260 ,0252,0,14:44,0024,0000,0000,0000,0000,0000,
  AA,06/02/2015,0208,N5EPAA,MIA,07:00,06:54,0326 ,0356,-6,07:15,0021,0000,0000,0024,0000,0000,
  AA,06/02/2015,0209,N3KYAA,LAX,18:34,18:27,0086 ,0077,-7,18:41,0014,0000,0000,0000,0000,0000,
  AA,06/02/2015,0218,N3HUAA,LAX,20:45,20:41,0099 ,0079,-4,21:01,0020,0000,0000,0000,0000,0000,
  AA,06/02/2015,0242,N3DNAA,ORD,07:50,07:44,0262 ,0238,-6,08:01,0017,0000,0000,0000,0000,0000,
  AA,06/02/2015,0259,N3FMAA,DFW,13:40,13:35,0215 ,0221,-5,14:02,0027,0000,0000,0000,0000,0000,
  AA,06/02/2015,0272,N3FUAA,MIA,23:40,23:36,0322 ,0322,-4,23:49,0013,0000,0000,0000,0000,0000,
  AA,06/02/2015,0338,N5FDAA,LAX,09:06,08:59,0093 ,0089,-7,09:22,0023,0000,0000,0000,0000,0000,
  AA,06/02/2015,0931,N3FLAA,MIA,12:00,11:56,0328 ,0345,-4,12:20,0024,0000,0000,0000,0000,0000,
  AA,06/02/2015,1049,N3AAAA,DFW,06:00,05:51,0209 ,0196,-9,06:03,0012,0000,0000,0000,0000,0000,
  AA,06/02/2015,1051,N3AEAA,DFW,01:04,01:05,0215 ,0191,1,01:18,0013,0000,0000,0000,0000,0000,
  AA,06/02/2015,1143,N5FDAA,LAX,14:36,14:29,0084 ,0089,-7,14:48,0019,0000,0000,0000,0000,0000,
  AA,06/02/2015,1145,N3MHAA,ORD,11:10,11:05,0268 ,0272,-5,11:34,0029,0000,0000,0000,0000,0000,
  AA,06/02/2015,1180,N3HVAA,DFW,07:00,06:54,0215 ,0208,-6,07:12,0018,0000,0000,0000,0000,0000,
