
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): March
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,03/01/2014,0016,N339AA,JFK,12:50,12:49,0330 ,0305,-1,13:02,0013,0000,0000,0000,0000,0000,
  AA,03/01/2014,0020,N338AA,JFK,15:10,15:39,0330 ,0297,29,15:54,0015,0000,0000,0000,0000,0000,
  AA,03/01/2014,0024,N395AA,JFK,07:05,06:58,0335 ,0309,-7,07:24,0026,0000,0000,0000,0000,0000,
  AA,03/01/2014,0068,N5CEAA,MIA,06:20,06:16,0320 ,0302,-4,06:27,0011,0000,0000,0000,0000,0000,
  AA,03/01/2014,0108,N3GMAA,LAX,09:15,09:17,0090 ,0086,2,09:36,0019,0000,0000,0000,0000,0000,
  AA,03/01/2014,0193,N3JAAA,DFW,13:30,13:26,0210 ,0201,-4,13:46,0020,0000,0000,0000,0000,0000,
  AA,03/01/2014,0209,N3HMAA,LAX,17:40,17:42,0090 ,0084,2,18:02,0020,0000,0000,0000,0000,0000,
  AA,03/01/2014,0219,N3FAAA,LAX,20:15,20:13,0090 ,0110,-2,20:33,0020,0000,0000,0018,0000,0000,
  AA,03/01/2014,0272,N5CSAA,MIA,21:05,21:00,0315 ,0299,-5,21:14,0014,0000,0000,0000,0000,0000,
  AA,03/01/2014,0323,N3GRAA,DFW,16:10,17:58,0200 ,0189,108,18:08,0010,0004,0000,0000,0000,0093,
  AA,03/01/2014,0931,N365AA,MIA,12:40,12:37,0325 ,0304,-3,12:52,0015,0000,0000,0000,0000,0000,
  AA,03/01/2014,1010,N3DLAA,DFW,07:55,07:53,0210 ,0186,-2,08:04,0011,0000,0000,0000,0000,0000,
  AA,03/01/2014,1052,N3LBAA,DFW,00:20,00:19,0195 ,0224,-1,00:48,0029,0000,0000,0028,0000,0000,
  AA,03/01/2014,1232,N3ADAA,LAX,07:00,06:52,0085 ,0087,-8,07:13,0021,0000,0000,0000,0000,0000,
  AA,03/01/2014,1282, ,ORD,09:25,00:00,0250 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/01/2014,1521,N5EJAA,DFW,11:05,11:19,0210 ,0190,14,11:33,0014,0000,0000,0000,0000,0000,
  AA,03/01/2014,1522,N3ETAA,ORD,23:30,23:24,0240 ,0237,-6,23:36,0012,0000,0000,0000,0000,0000,
  AA,03/01/2014,1544,N3HPAA,DFW,06:50,06:50,0205 ,0210,0,07:05,0015,0000,0000,0000,0000,0000,
  AA,03/01/2014,1585,N3BKAA,ORD,11:10,11:19,0255 ,0255,9,11:48,0029,0000,0000,0000,0000,0000,
  AA,03/01/2014,1658,N3GVAA,DFW,10:05,10:01,0205 ,0195,-4,10:13,0012,0000,0000,0000,0000,0000,
  AA,03/01/2014,1677,N388AA,DFW,14:25,14:22,0205 ,0212,-3,14:52,0030,0000,0000,0000,0000,0000,
  AA,03/01/2014,2278,N5EKAA,DFW,05:55,05:47,0210 ,0206,-8,06:03,0016,0000,0000,0000,0000,0000,
  AA,03/01/2014,2298,N3FBAA,DFW,09:05,14:55,0210 ,0199,350,15:15,0020,0000,0000,0000,0000,0339,
  AA,03/01/2014,2356,N3FSAA,ORD,14:10,14:07,0255 ,0237,-3,14:22,0015,0000,0000,0000,0000,0000,
  AA,03/01/2014,2455,N3JCAA,LAX,12:50,12:57,0085 ,0081,7,13:10,0013,0000,0000,0000,0000,0000,
  AA,03/01/2014,2456,N3ACAA,LAX,14:45,15:15,0085 ,0098,30,15:42,0027,0000,0000,0013,0000,0030,
  AA,03/02/2014,0016,N339AA,JFK,12:50,00:00,0330 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2014,0018,N328AA,JFK,22:30,00:00,0330 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2014,0020,N640AA,JFK,15:10,16:08,0330 ,0299,58,16:24,0016,0007,0000,0000,0000,0020,
  AA,03/02/2014,0024,N364AA,JFK,07:05,07:05,0335 ,0304,0,07:17,0012,0000,0000,0000,0000,0000,
  AA,03/02/2014,0068,N5FDAA,MIA,06:20,06:17,0320 ,0304,-3,06:29,0012,0000,0000,0000,0000,0000,
  AA,03/02/2014,0108,N3JTAA,LAX,09:15,09:15,0090 ,0087,0,09:29,0014,0000,0000,0000,0000,0000,
  AA,03/02/2014,0193,N3GKAA,DFW,13:30,13:30,0210 ,0216,0,13:55,0025,0000,0000,0000,0000,0000,
  AA,03/02/2014,0197,N3ENAA,ORD,18:10,18:08,0240 ,0247,-2,18:26,0018,0000,0000,0000,0000,0000,
  AA,03/02/2014,0209,N3FTAA,LAX,17:40,17:32,0090 ,0087,-8,17:52,0020,0000,0000,0000,0000,0000,
  AA,03/02/2014,0219,N3KPAA,LAX,20:15,20:28,0090 ,0097,13,20:50,0022,0000,0000,0007,0000,0013,
  AA,03/02/2014,0272,N5BYAA,MIA,21:05,21:07,0315 ,0296,2,21:20,0013,0000,0000,0000,0000,0000,
  AA,03/02/2014,0323,N3DLAA,DFW,16:10,19:08,0200 ,0194,178,19:20,0012,0172,0000,0000,0000,0000,
  AA,03/02/2014,0329,N3ELAA,DFW,16:55,17:21,0200 ,0193,26,17:32,0011,0000,0000,0000,0000,0019,
  AA,03/02/2014,0931,N347AA,MIA,12:40,12:41,0325 ,0321,1,13:15,0034,0000,0000,0000,0000,0000,
  AA,03/02/2014,1010,N3EUAA,DFW,07:55,00:00,0210 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2014,1052,N3HPAA,DFW,00:20,00:20,0195 ,0192,0,00:35,0015,0000,0000,0000,0000,0000,
  AA,03/02/2014,1232,N3ARAA,LAX,07:00,06:50,0085 ,0075,-10,07:02,0012,0000,0000,0000,0000,0000,
  AA,03/02/2014,1282,N3JHAA,ORD,09:25,09:28,0250 ,0237,3,09:46,0018,0000,0000,0000,0000,0000,
  AA,03/02/2014,1522,N3GDAA,ORD,23:30,00:03,0240 ,0236,33,00:19,0016,0029,0000,0000,0000,0000,
  AA,03/02/2014,1544,N3HMAA,DFW,06:50,00:00,0205 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2014,1585,N3HDAA,ORD,11:10,11:39,0255 ,0264,29,12:17,0038,0000,0000,0022,0000,0016,
  AA,03/02/2014,1658,N3GKAA,DFW,10:05,00:00,0205 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2014,1677,N398AA,DFW,14:25,00:00,0205 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,03/02/2014,2278,N5CDAA,DFW,05:55,05:53,0210 ,0208,-2,06:13,0020,0000,0000,0000,0000,0000,
  AA,03/02/2014,2298,N3HMAA,DFW,09:05,09:04,0210 ,0205,-1,09:19,0015,0000,0000,0000,0000,0000,
  AA,03/02/2014,2356,N3EDAA,ORD,14:10,14:25,0255 ,0239,15,14:38,0013,0000,0000,0000,0000,0000,
  AA,03/02/2014,2455,N3FAAA,LAX,12:50,12:44,0085 ,0090,-6,13:11,0027,0000,0000,0000,0000,0000,
  AA,03/02/2014,2456,N3ESAA,LAX,14:45,14:57,0085 ,0088,12,15:23,0026,0000,0000,0003,0000,0012,
  AA,03/03/2014,0016,N328AA,JFK,12:50,12:48,0330 ,0304,-2,13:00,0012,0000,0000,0000,0000,0000,
  AA,03/03/2014,0018,N336AA,JFK,22:30,22:30,0330 ,0329,0,22:59,0029,0000,0000,0000,0000,0000,
  AA,03/03/2014,0020,N339AA,JFK,15:10,15:04,0330 ,0313,-6,15:25,0021,0000,0000,0000,0000,0000,
  AA,03/03/2014,0024,N389AA,JFK,07:05,07:12,0335 ,0315,7,07:23,0011,0000,0000,0000,0000,0000,
  AA,03/03/2014,0068,N633AA,MIA,06:20,06:15,0320 ,0307,-5,06:27,0012,0000,0000,0000,0000,0000,
  AA,03/03/2014,0108,N3JGAA,LAX,09:15,09:07,0090 ,0091,-8,09:25,0018,0000,0000,0000,0000,0000,
  AA,03/03/2014,0193,N3BKAA,DFW,13:30,13:28,0210 ,0208,-2,13:49,0021,0000,0000,0000,0000,0000,
  AA,03/03/2014,0197,N3GSAA,ORD,18:10,18:05,0240 ,0232,-5,18:19,0014,0000,0000,0000,0000,0000,
  AA,03/03/2014,0209,N3FRAA,LAX,17:40,17:33,0090 ,0087,-7,17:57,0024,0000,0000,0000,0000,0000,
  AA,03/03/2014,0219,N3EHAA,LAX,20:15,20:21,0090 ,0079,6,20:38,0017,0000,0000,0000,0000,0000,
  AA,03/03/2014,0272,N5DVAA,MIA,21:05,21:02,0315 ,0304,-3,21:18,0016,0000,0000,0000,0000,0000,
  AA,03/03/2014,0323,N3KYAA,DFW,16:10,16:03,0200 ,0181,-7,16:15,0012,0000,0000,0000,0000,0000,
  AA,03/03/2014,0329,N3CLAA,DFW,16:55,16:57,0200 ,0190,2,17:09,0012,0000,0000,0000,0000,0000,
  AA,03/03/2014,0931,N359AA,MIA,12:40,12:36,0325 ,0332,-4,12:51,0015,0000,0000,0000,0000,0000,
  AA,03/03/2014,1010,N3EUAA,DFW,07:55,07:50,0210 ,0206,-5,08:04,0014,0000,0000,0000,0000,0000,
  AA,03/03/2014,1052,N3JPAA,DFW,00:20,00:14,0195 ,0189,-6,00:28,0014,0000,0000,0000,0000,0000,
  AA,03/03/2014,1232,N3FTAA,LAX,07:00,06:57,0085 ,0088,-3,07:21,0024,0000,0000,0000,0000,0000,
