
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): May
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,05/01/2015,0018,N789AA,JFK,22:45,22:45,0337 ,0339,0,23:10,0025,0000,0000,0000,0000,0000,
  AA,05/01/2015,0020,N784AA,JFK,15:15,15:15,0339 ,0326,0,15:33,0018,0000,0000,0000,0000,0000,
  AA,05/01/2015,0024,N793AA,JFK,07:00,06:54,0347 ,0337,-6,07:14,0020,0000,0000,0000,0000,0000,
  AA,05/01/2015,0068,N5ENAA,MIA,07:00,06:58,0326 ,0325,-2,07:16,0018,0000,0000,0000,0000,0000,
  AA,05/01/2015,0159,N5ELAA,DFW,10:35,10:53,0206 ,0211,18,11:09,0016,0018,0000,0005,0000,0000,
  AA,05/01/2015,0164,N799AA,JFK,08:50,08:48,0346 ,0331,-2,09:10,0022,0000,0000,0000,0000,0000,
  AA,05/01/2015,0193,N3CJAA,DFW,15:10,15:08,0213 ,0210,-2,15:25,0017,0000,0000,0000,0000,0000,
  AA,05/01/2015,0201,N3CKAA,ORD,14:20,14:15,0260 ,0247,-5,14:35,0020,0000,0000,0000,0000,0000,
  AA,05/01/2015,0209,N3KDAA,LAX,18:30,18:28,0086 ,0089,-2,18:49,0021,0000,0000,0000,0000,0000,
  AA,05/01/2015,0218,N3ERAA,LAX,21:02,20:57,0088 ,0089,-5,21:12,0015,0000,0000,0000,0000,0000,
