
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): November
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,11/01/2015,0012,N787AA,JFK,11:13,11:28,0347 ,0307,15,11:41,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0018,N792AA,JFK,22:55,22:49,0335 ,0314,-6,23:25,0036,0000,0000,0000,0000,0000,
  AA,11/01/2015,0020,N783AA,JFK,15:15,15:53,0337 ,0297,38,16:07,0014,0000,0000,0000,0000,0000,
  AA,11/01/2015,0036,N3FVAA,DFW,08:25,08:20,0213 ,0199,-5,08:35,0015,0000,0000,0000,0000,0000,
  AA,11/01/2015,0082,N3KNAA,ORD,05:00,04:55,0251 ,0229,-5,05:08,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0155,N3BGAA,LAX,10:12,10:11,0088 ,0089,-1,10:24,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0159,N3EHAA,DFW,10:44,10:39,0211 ,0198,-5,10:52,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0164,N792AA,JFK,08:40,08:43,0345 ,0296,3,08:54,0011,0000,0000,0000,0000,0000,
  AA,11/01/2015,0169,N3DUAA,LAX,07:00,06:53,0096 ,0074,-7,07:08,0015,0000,0000,0000,0000,0000,
  AA,11/01/2015,0193,N3ETAA,DFW,15:40,15:36,0210 ,0195,-4,15:51,0015,0000,0000,0000,0000,0000,
  AA,11/01/2015,0208,N3DSAA,MIA,07:00,07:00,0329 ,0320,0,07:14,0014,0000,0000,0000,0000,0000,
  AA,11/01/2015,0209,N3BNAA,LAX,20:30,20:30,0097 ,0086,0,20:48,0018,0000,0000,0000,0000,0000,
  AA,11/01/2015,0218,N3GUAA,LAX,19:30,19:39,0091 ,0095,9,20:07,0028,0000,0000,0000,0000,0000,
  AA,11/01/2015,0242,N3LXAA,ORD,08:00,07:53,0251 ,0223,-7,08:05,0012,0000,0000,0000,0000,0000,
  AA,11/01/2015,0259,N870AA,DFW,13:49,13:48,0216 ,0214,-1,14:04,0016,0000,0000,0000,0000,0000,
  AA,11/01/2015,0272,N3KWAA,MIA,23:59,23:58,0318 ,0325,-1,00:15,0017,0000,0000,0000,0000,0000,
  AA,11/01/2015,0321,N788AA,JFK,21:15,21:10,0344 ,0297,-5,21:29,0019,0000,0000,0000,0000,0000,
  AA,11/01/2015,0342,N3EAAA,ORD,09:15,09:21,0255 ,0249,6,09:43,0022,0000,0000,0000,0000,0000,
  AA,11/01/2015,0349,N3DBAA,ORD,14:40,14:40,0254 ,0225,0,14:57,0017,0000,0000,0000,0000,0000,
  AA,11/01/2015,0403,N198UW,PHL,10:45,10:49,0327 ,0287,4,11:03,0014,0000,0000,0000,0000,0000,
  AA,11/01/2015,0433,N197UW,PHL,13:35,13:30,0318 ,0291,-5,13:41,0011,0000,0000,0000,0000,0000,
  AA,11/01/2015,0434,N556UW,PHL,21:55,21:51,0323 ,0284,-4,22:04,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0477,N916US,PHX,15:45,15:49,0118 ,0110,4,16:02,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0547,N540UW,PHX,17:05,16:58,0121 ,0112,-7,17:15,0017,0000,0000,0000,0000,0000,
  AA,11/01/2015,0551,N980UY,PHX,12:00,11:52,0118 ,0103,-8,12:03,0011,0000,0000,0000,0000,0000,
  AA,11/01/2015,0593,N584UW,PHX,06:00,05:58,0116 ,0108,-2,06:16,0018,0000,0000,0000,0000,0000,
  AA,11/01/2015,0718,N152UW,PHL,08:25,08:19,0328 ,0294,-6,08:32,0013,0000,0000,0000,0000,0000,
  AA,11/01/2015,0883,N156UW,CLT,00:59,00:51,0291 ,0301,-8,01:27,0036,0000,0000,0000,0000,0000,
  AA,11/01/2015,0898,N177US,CLT,22:20,22:17,0291 ,0276,-3,22:32,0015,0000,0000,0000,0000,0000,
