
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,10/01/2014,0016,N788AA,JFK,12:30,12:32,0340 ,0356,2,12:51,0019,0000,0000,0018,0000,0000,
  AA,10/01/2014,0018,N783AA,JFK,22:25,23:22,0335 ,0320,57,23:36,0014,0042,0000,0000,0000,0000,
  AA,10/01/2014,0020,N794AA,JFK,15:00,15:05,0335 ,0339,5,15:18,0013,0000,0000,0000,0000,0000,
  AA,10/01/2014,0024,N783AA,JFK,07:00,06:47,0340 ,0362,-13,07:05,0018,0000,0000,0000,0000,0000,
  AA,10/01/2014,0068,N5CNAA,MIA,07:00,06:58,0325 ,0329,-2,07:26,0028,0000,0000,0000,0000,0000,
  AA,10/01/2014,0160,N3KRAA,LAX,09:00,08:54,0090 ,0082,-6,09:09,0015,0000,0000,0000,0000,0000,
  AA,10/01/2014,0164,N792AA,JFK,08:40,08:34,0345 ,0358,-6,08:56,0022,0000,0000,0000,0000,0000,
  AA,10/01/2014,0193,N3ESAA,DFW,13:10,13:01,0210 ,0195,-9,13:20,0019,0000,0000,0000,0000,0000,
  AA,10/01/2014,0197,N3BJAA,ORD,17:15,18:10,0240 ,0240,55,18:25,0015,0002,0000,0000,0000,0053,
  AA,10/01/2014,0209,N3EHAA,LAX,18:00,17:59,0085 ,0081,-1,18:19,0020,0000,0000,0000,0000,0000,
  AA,10/01/2014,0219,N3GYAA,LAX,20:20,20:15,0100 ,0084,-5,20:33,0018,0000,0000,0000,0000,0000,
  AA,10/01/2014,0242,N3KTAA,ORD,08:20,08:56,0255 ,0265,36,09:21,0025,0000,0000,0046,0000,0000,
  AA,10/01/2014,0272,N630AA,MIA,23:59,23:59,0320 ,0311,0,00:25,0026,0000,0000,0000,0000,0000,
  AA,10/01/2014,0277,N3FPAA,DFW,14:35,14:27,0205 ,0207,-8,14:50,0023,0000,0000,0000,0000,0000,
  AA,10/01/2014,0369,N3FLAA,DFW,15:40,15:42,0210 ,0197,2,15:54,0012,0000,0000,0000,0000,0000,
  AA,10/01/2014,0931,N3GBAA,MIA,11:55,11:51,0327 ,0333,-4,12:08,0017,0000,0000,0000,0000,0000,
  AA,10/01/2014,1033,N3LTAA,ORD,12:10,13:21,0250 ,0269,71,13:47,0026,0000,0000,0090,0000,0000,
  AA,10/01/2014,1052,N3AFAA,DFW,00:20,00:19,0195 ,0183,-1,00:34,0015,0000,0000,0000,0000,0000,
  AA,10/01/2014,1112,N3LPAA,ORD,06:00,05:55,0255 ,0282,-5,06:23,0028,0000,0000,0022,0000,0000,
  AA,10/01/2014,1143,N3KRAA,LAX,14:30,14:25,0085 ,0080,-5,14:41,0016,0000,0000,0000,0000,0000,
  AA,10/01/2014,1180,N3LBAA,DFW,06:00,05:59,0210 ,0204,-1,06:14,0015,0000,0000,0000,0000,0000,
  AA,10/01/2014,1213,N851AA,DFW,16:45,16:40,0205 ,0195,-5,16:55,0015,0000,0000,0000,0000,0000,
  AA,10/01/2014,1232,N3GSAA,LAX,07:00,06:51,0085 ,0097,-9,07:20,0029,0000,0000,0000,0000,0000,
  AA,10/01/2014,1435,N3LWAA,ORD,10:10,11:14,0245 ,0283,64,11:49,0035,0000,0000,0089,0000,0013,
  AA,10/01/2014,1482,N5DYAA,DFW,08:15,09:57,0205 ,0197,102,10:11,0014,0094,0000,0000,0000,0000,
  AA,10/01/2014,1522,N3EWAA,ORD,23:30,00:53,0240 ,0246,83,01:07,0014,0000,0000,0006,0000,0083,
  AA,10/01/2014,1544,N3LEAA,DFW,07:10,07:04,0210 ,0203,-6,07:22,0018,0000,0000,0000,0000,0000,
  AA,10/01/2014,1656,N3EGAA,DFW,09:25,10:15,0205 ,0212,50,10:34,0019,0000,0000,0007,0000,0050,
  AA,10/01/2014,2268,N357AA,DFW,10:30,10:27,0205 ,0195,-3,10:39,0012,0000,0000,0000,0000,0000,
  AA,10/01/2014,2293,N5CRAA,DFW,11:35,11:33,0215 ,0201,-2,11:49,0016,0000,0000,0000,0000,0000,
  AA,10/01/2014,2356,N3LXAA,ORD,14:15,14:24,0255 ,0266,9,14:58,0034,0000,0000,0020,0000,0000,
  AA,10/01/2014,2378,N3KNAA,LAX,12:50,12:44,0090 ,0075,-6,12:56,0012,0000,0000,0000,0000,0000,
  AA,10/02/2014,0016,N787AA,JFK,12:30,12:47,0340 ,0337,17,13:00,0013,0000,0000,0000,0000,0000,
