
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,09/01/2014,0016,N790AA,JFK,12:30,12:31,0340 ,0327,1,12:45,0014,0000,0000,0000,0000,0000,
  AA,09/01/2014,0018,N797AA,JFK,22:25,22:18,0335 ,0311,-7,22:36,0018,0000,0000,0000,0000,0000,
  AA,09/01/2014,0020,N783AA,JFK,15:00,14:57,0335 ,0321,-3,15:11,0014,0000,0000,0000,0000,0000,
  AA,09/01/2014,0024,N797AA,JFK,07:00,06:56,0340 ,0327,-4,07:26,0030,0000,0000,0000,0000,0000,
  AA,09/01/2014,0068,N5DYAA,MIA,07:00,06:53,0325 ,0336,-7,07:15,0022,0000,0000,0000,0000,0000,
  AA,09/01/2014,0160,N3FRAA,LAX,09:00,08:54,0090 ,0074,-6,09:09,0015,0000,0000,0000,0000,0000,
  AA,09/01/2014,0164,N792AA,JFK,08:40,08:37,0345 ,0319,-3,08:56,0019,0000,0000,0000,0000,0000,
  AA,09/01/2014,0193,N3JKAA,DFW,13:10,13:03,0210 ,0220,-7,13:40,0037,0000,0000,0000,0000,0000,
  AA,09/01/2014,0197,N3AFAA,ORD,17:15,17:31,0240 ,0239,16,17:52,0021,0008,0000,0000,0000,0007,
  AA,09/01/2014,0209,N3LTAA,LAX,17:55,17:51,0085 ,0092,-4,18:16,0025,0000,0000,0000,0000,0000,
  AA,09/01/2014,0219,N3HVAA,LAX,20:20,20:13,0100 ,0087,-7,20:33,0020,0000,0000,0000,0000,0000,
  AA,09/01/2014,0242,N3FMAA,ORD,08:20,08:15,0255 ,0248,-5,08:34,0019,0000,0000,0000,0000,0000,
  AA,09/01/2014,0272,N635AA,MIA,23:59,23:59,0320 ,0312,0,00:10,0011,0000,0000,0000,0000,0000,
  AA,09/01/2014,0277,N3ASAA,DFW,14:35,14:27,0205 ,0206,-8,14:42,0015,0000,0000,0000,0000,0000,
  AA,09/01/2014,0369,N3AXAA,DFW,15:40,15:39,0210 ,0193,-1,15:51,0012,0000,0000,0000,0000,0000,
  AA,09/01/2014,0931,N3DHAA,MIA,11:55,12:56,0327 ,0333,61,13:21,0025,0061,0000,0006,0000,0000,
  AA,09/01/2014,1033,N3CTAA,ORD,12:10,12:09,0250 ,0237,-1,12:23,0014,0000,0000,0000,0000,0000,
  AA,09/01/2014,1052,N3EVAA,DFW,00:20,00:37,0195 ,0191,17,00:53,0016,0000,0000,0000,0000,0000,
  AA,09/01/2014,1112,N3LPAA,ORD,06:00,05:52,0255 ,0250,-8,06:09,0017,0000,0000,0000,0000,0000,
  AA,09/01/2014,1143,N3EYAA,LAX,15:25,15:24,0085 ,0074,-1,15:35,0011,0000,0000,0000,0000,0000,
  AA,09/01/2014,1180,N3BBAA,DFW,06:00,05:54,0210 ,0196,-6,06:06,0012,0000,0000,0000,0000,0000,
  AA,09/01/2014,1213,N5EFAA,DFW,16:45,17:44,0205 ,0195,59,17:55,0011,0000,0000,0000,0000,0049,
