
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,09/01/2015,0016,N793AA,JFK,12:35,12:26,0353 ,0334,-9,12:44,0018,0000,0000,0000,0000,0000,
  AA,09/01/2015,0018,N795AA,JFK,22:55,22:45,0343 ,0328,-10,23:06,0021,0000,0000,0000,0000,0000,
  AA,09/01/2015,0020,N783AA,JFK,15:15,15:11,0348 ,0334,-4,15:30,0019,0000,0000,0000,0000,0000,
  AA,09/01/2015,0024,N799AA,JFK,07:15,07:12,0349 ,0329,-3,07:26,0014,0000,0000,0000,0000,0000,
  AA,09/01/2015,0036,N870AA,DFW,08:25,08:20,0212 ,0192,-5,08:34,0014,0000,0000,0000,0000,0000,
  AA,09/01/2015,0073,N3CCAA,ORD,05:00,07:02,0254 ,0251,122,07:19,0017,0119,0000,0000,0000,0000,
  AA,09/01/2015,0082,N3GUAA,ORD,14:40,14:32,0262 ,0251,-8,14:58,0026,0000,0000,0000,0000,0000,
  AA,09/01/2015,0159,N3KVAA,DFW,10:44,10:43,0214 ,0208,-1,11:02,0019,0000,0000,0000,0000,0000,
  AA,09/01/2015,0164,N785AA,JFK,08:45,08:38,0357 ,0343,-7,08:55,0017,0000,0000,0000,0000,0000,
  AA,09/01/2015,0169,N5ECAA,LAX,09:10,09:00,0100 ,0102,-10,09:19,0019,0000,0000,0000,0000,0000,
  AA,09/01/2015,0193,N3KPAA,DFW,15:40,16:01,0218 ,0195,21,16:16,0015,0000,0000,0000,0000,0000,
  AA,09/01/2015,0208,N5ELAA,MIA,07:00,06:54,0343 ,0319,-6,07:06,0012,0000,0000,0000,0000,0000,
  AA,09/01/2015,0209,N855AA,LAX,18:50,18:52,0102 ,0082,2,19:04,0012,0000,0000,0000,0000,0000,
  AA,09/01/2015,0218,N3AVAA,LAX,20:55,20:46,0109 ,0080,-9,21:02,0016,0000,0000,0000,0000,0000,
  AA,09/01/2015,0242,N3MFAA,ORD,08:00,07:56,0260 ,0258,-4,08:12,0016,0000,0000,0000,0000,0000,
  AA,09/01/2015,0259,N3BCAA,DFW,13:40,13:36,0219 ,0205,-4,13:52,0016,0000,0000,0000,0000,0000,
  AA,09/01/2015,0272,N3CFAA,MIA,23:59,00:02,0336 ,0330,3,00:17,0015,0000,0000,0000,0000,0000,
  AA,09/01/2015,0305,N3EHAA,DFW,06:45,07:36,0216 ,0214,51,07:51,0015,0049,0000,0000,0000,0000,
  AA,09/01/2015,0342,N3HRAA,ORD,09:15,09:10,0258 ,0262,-5,09:36,0026,0000,0000,0000,0000,0000,
  AA,09/01/2015,0403,N664AW,PHL,10:45,10:39,0335 ,0310,-6,10:48,0009,0000,0000,0000,0000,0000,
  AA,09/01/2015,0433,N557UW,PHL,13:35,13:34,0323 ,0323,-1,13:51,0017,0000,0000,0000,0000,0000,
  AA,09/01/2015,0434,N555AY,PHL,21:55,21:50,0324 ,0311,-5,22:06,0016,0000,0000,0000,0000,0000,
  AA,09/01/2015,0477,N925UY,PHX,15:45,15:44,0123 ,0120,-1,16:01,0017,0000,0000,0000,0000,0000,
  AA,09/01/2015,0551,N913US,PHX,12:00,11:52,0123 ,0111,-8,12:03,0011,0000,0000,0000,0000,0000,
  AA,09/01/2015,0610,N922US,PHX,06:00,05:54,0122 ,0115,-6,06:07,0013,0000,0000,0000,0000,0000,
  AA,09/01/2015,0718,N924US,PHL,08:25,08:20,0331 ,0314,-5,08:33,0013,0000,0000,0000,0000,0000,
  AA,09/01/2015,0898,N918US,CLT,22:20,22:36,0295 ,0280,16,22:51,0015,0000,0000,0000,0000,0000,
  AA,09/01/2015,0931,N3BNAA,MIA,14:15,14:15,0343 ,0330,0,14:31,0016,0000,0000,0000,0000,0000,
  AA,09/01/2015,1051,N3JFAA,DFW,00:59,01:27,0199 ,0190,28,01:37,0010,0019,0000,0000,0000,0000,
  AA,09/01/2015,1143,N5ECAA,LAX,14:25,14:21,0093 ,0084,-4,14:37,0016,0000,0000,0000,0000,0000,
  AA,09/01/2015,1145,N3LNAA,ORD,11:10,11:07,0260 ,0270,-3,11:34,0027,0000,0000,0000,0000,0000,
  AA,09/01/2015,1232,N3ACAA,LAX,07:00,00:00,0098 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  AA,09/01/2015,1454,N852AA,DFW,05:15,05:11,0212 ,0194,-4,05:22,0011,0000,0000,0000,0000,0000,
  AA,09/01/2015,1522,N3EMAA,ORD,23:55,23:50,0244 ,0248,-5,00:03,0013,0000,0000,0000,0000,0000,
  AA,09/01/2015,1540,N3MDAA,ORD,17:35,17:26,0244 ,0242,-9,17:41,0015,0000,0000,0000,0000,0000,
  AA,09/01/2015,1783,N572UW,CLT,10:55,10:47,0306 ,0339,-8,11:31,0044,0000,0000,0025,0000,0000,
  AA,09/01/2015,1800,N178US,PHL,06:15,06:13,0325 ,0326,-2,06:31,0018,0000,0000,0000,0000,0000,
  AA,09/01/2015,1817,N568UW,CLT,06:00,05:57,0306 ,0299,-3,06:24,0027,0000,0000,0000,0000,0000,
  AA,09/01/2015,1898,N553UW,CLT,13:00,12:52,0306 ,0315,-8,13:12,0020,0000,0000,0000,0000,0000,
  AA,09/01/2015,1899,N538UW,CLT,07:15,08:36,0306 ,0283,81,08:56,0020,0058,0000,0000,0000,0000,
  AA,09/01/2015,1954,N193UW,PHX,09:15,09:30,0119 ,0112,15,09:49,0019,0000,0000,0000,0000,0000,
  AA,09/01/2015,1965,N187US,CLT,00:05,00:02,0303 ,0307,-3,00:16,0014,0000,0000,0000,0000,0000,
  AA,09/01/2015,2207,N866AA,DFW,12:00,17:42,0217 ,0199,342,18:02,0020,0324,0000,0000,0000,0000,
  AA,09/01/2015,2352,N3FAAA,DFW,17:00,16:57,0213 ,0206,-3,17:22,0025,0000,0000,0000,0000,0000,
  AA,09/01/2015,2417,N3DSAA,DFW,11:25,11:23,0215 ,0214,-2,11:51,0028,0000,0000,0000,0000,0000,
  AA,09/01/2015,2438,N791AA,LAX,12:50,12:43,0096 ,0096,-7,12:59,0016,0000,0000,0000,0000,0000,
