
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,10/01/2015,0012,N795AA,JFK,11:13,11:16,0347 ,0342,3,11:45,0029,0000,0000,0000,0000,0000,
  AA,10/01/2015,0016,N793AA,JFK,12:40,14:26,0345 ,0368,106,15:01,0035,0000,0000,0129,0000,0000,
  AA,10/01/2015,0018,N786AA,JFK,23:00,22:57,0338 ,0329,-3,23:12,0015,0000,0000,0000,0000,0000,
  AA,10/01/2015,0020,N789AA,JFK,15:15,15:42,0337 ,0342,27,16:14,0032,0000,0000,0032,0000,0000,
  AA,10/01/2015,0036,N3DEAA,DFW,08:25,08:25,0213 ,0192,0,08:41,0016,0000,0000,0000,0000,0000,
  AA,10/01/2015,0073,N3ACAA,ORD,05:00,05:04,0251 ,0238,4,05:19,0015,0000,0000,0000,0000,0000,
  AA,10/01/2015,0075,N788AA,JFK,21:15,21:08,0344 ,0328,-7,21:35,0027,0000,0000,0000,0000,0000,
  AA,10/01/2015,0082,N3GHAA,ORD,14:40,15:22,0254 ,0258,42,15:49,0027,0000,0000,0017,0000,0029,
  AA,10/01/2015,0155,N3KVAA,LAX,10:10,10:00,0088 ,0117,-10,10:48,0048,0000,0000,0019,0000,0000,
  AA,10/01/2015,0159,N3KKAA,DFW,10:44,10:45,0211 ,0203,1,11:03,0018,0000,0000,0000,0000,0000,
  AA,10/01/2015,0169,N3DHAA,LAX,07:00,06:53,0096 ,0092,-7,07:04,0011,0000,0000,0000,0000,0000,
  AA,10/01/2015,0193,N3HBAA,DFW,15:40,15:41,0210 ,0213,1,16:16,0035,0000,0000,0000,0000,0000,
  AA,10/01/2015,0208,N3ASAA,MIA,07:00,07:00,0329 ,0319,0,07:17,0017,0000,0000,0000,0000,0000,
  AA,10/01/2015,0209,N3AJAA,LAX,20:30,20:53,0097 ,0091,23,21:20,0027,0017,0000,0000,0000,0000,
  AA,10/01/2015,0218,N868AA,LAX,19:30,22:06,0091 ,0084,156,22:22,0016,0000,0000,0000,0000,0149,
  AA,10/01/2015,0242,N3LHAA,ORD,08:00,08:02,0251 ,0252,2,08:22,0020,0000,0000,0000,0000,0000,
  AA,10/01/2015,0259,N3DVAA,DFW,13:40,13:39,0216 ,0198,-1,13:50,0011,0000,0000,0000,0000,0000,
  AA,10/01/2015,0272,N3BHAA,MIA,23:53,00:22,0318 ,0310,29,00:35,0013,0021,0000,0000,0000,0000,
  AA,10/01/2015,0342,N3CUAA,ORD,09:15,09:16,0255 ,0245,1,09:33,0017,0000,0000,0000,0000,0000,
  AA,10/01/2015,0403,N661AW,PHL,10:40,10:34,0327 ,0313,-6,10:48,0014,0000,0000,0000,0000,0000,
  AA,10/01/2015,0433,N552UW,PHL,13:35,14:14,0318 ,0357,39,14:48,0034,0039,0000,0039,0000,0000,
  AA,10/01/2015,0434,N580UW,PHL,21:55,22:11,0323 ,0313,16,22:26,0015,0000,0000,0000,0000,0000,
  AA,10/01/2015,0477,N556UW,PHX,15:45,15:42,0118 ,0131,-3,16:18,0036,0000,0000,0000,0000,0000,
