
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): April
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,04/01/2014,0241,N698DL,ATL,20:47,22:32,0317 ,105,22:24,0008,0000,0000,0102,0000,0003,
  DL,04/01/2014,0415,N624AG,JFK,20:00,21:47,0405 ,107,21:39,0008,0000,0000,0107,0000,0000,
  DL,04/01/2014,0431,N703TW,JFK,13:35,13:54,0395 ,19,13:51,0003,0000,0000,0019,0000,0000,
  DL,04/01/2014,0432,N704X ,JFK,16:29,16:47,0389 ,18,16:42,0005,0000,0000,0018,0000,0000,
  DL,04/01/2014,0435,N711ZX,JFK,22:59,23:28,0404 ,29,23:23,0005,0000,0000,0029,0000,0000,
  DL,04/01/2014,0469,N702TW,JFK,10:34,10:25,0394 ,-9,10:21,0004,0000,0000,0000,0000,0000,
  DL,04/01/2014,0745,N805DN,DTW,10:52,11:15,0318 ,23,11:10,0005,0000,0000,0023,0000,0000,
  DL,04/01/2014,1145,N124DE,DTW,17:58,20:08,0318 ,130,19:59,0009,0050,0000,0080,0000,0000,
  DL,04/01/2014,1355,N126DL,ATL,16:55,18:26,0320 ,91,18:14,0012,0000,0000,0091,0000,0000,
  DL,04/01/2014,1505,N662DN,MSP,21:56,23:26,0246 ,90,23:20,0006,0000,0000,0090,0000,0000,
  DL,04/01/2014,1680,N684DA,ATL,12:25,12:58,0320 ,33,12:53,0005,0000,0000,0033,0000,0000,
  DL,04/01/2014,1800,N687DL,DTW,14:16,15:17,0316 ,61,15:09,0008,0000,0000,0061,0000,0000,
  DL,04/01/2014,1988,N139DL,DTW,22:24,23:43,0318 ,79,23:37,0006,0000,0000,0079,0000,0000,
  DL,04/01/2014,2023,N688DL,MSP,13:22,14:23,0247 ,61,14:19,0004,0000,0000,0061,0000,0000,
  DL,04/01/2014,2049,N811DZ,ATL,10:29,10:42,0319 ,13,10:37,0005,0000,0000,0000,0000,0000,
  DL,04/01/2014,2209,N3763D,MSP,19:44,20:25,0249 ,41,20:21,0004,0000,0000,0041,0000,0000,
  DL,04/01/2014,2265,N813DN,ATL,22:46,23:21,0319 ,35,23:10,0011,0000,0000,0028,0000,0007,
