
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): April
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,04/01/2015,0241,N822DN,ATL,21:46,21:47,0331 ,0328,1,21:41,0006,0000,0000,0000,0000,0000,
  DL,04/01/2015,0415,N706TW,JFK,20:14,19:59,0404 ,0384,-15,19:53,0006,0000,0000,0000,0000,0000,
  DL,04/01/2015,0428,N709TW,JFK,19:00,18:40,0405 ,0389,-20,18:32,0008,0000,0000,0000,0000,0000,
  DL,04/01/2015,0430,N710TW,JFK,15:11,15:09,0386 ,0384,-2,15:02,0007,0000,0000,0000,0000,0000,
  DL,04/01/2015,0431,N705TW,JFK,21:27,22:01,0402 ,0400,34,21:54,0007,0034,0000,0000,0000,0000,
  DL,04/01/2015,0434,N707TW,JFK,12:41,12:24,0401 ,0378,-17,12:20,0004,0000,0000,0000,0000,0000,
  DL,04/01/2015,0435,N721TW,JFK,22:54,23:18,0404 ,0418,24,23:09,0009,0010,0000,0014,0000,0000,
  DL,04/01/2015,0469,N704X ,JFK,10:33,10:24,0393 ,0383,-9,10:20,0004,0000,0000,0000,0000,0000,
  DL,04/01/2015,0745,N816DN,DTW,10:55,10:52,0313 ,0311,-3,10:47,0005,0000,0000,0000,0000,0000,
  DL,04/01/2015,0990,N616DL,ATL,20:24,20:23,0331 ,0332,-1,20:00,0023,0000,0000,0000,0000,0000,
  DL,04/01/2015,1151,N902DA,MSP,13:53,14:20,0248 ,0260,27,14:14,0006,0008,0000,0012,0000,0007,
  DL,04/01/2015,1505,N593NW,MSP,20:00,20:16,0255 ,0274,16,20:03,0013,0000,0000,0016,0000,0000,
  DL,04/01/2015,1593,N592NW,MSP,16:40,17:11,0242 ,0273,31,17:05,0006,0000,0000,0031,0000,0000,
  DL,04/01/2015,1644,N138DL,DTW,22:26,22:38,0321 ,0323,12,22:18,0020,0000,0000,0000,0000,0000,
  DL,04/01/2015,1680,N804DN,ATL,13:32,13:28,0326 ,0322,-4,13:23,0005,0000,0000,0000,0000,0000,
  DL,04/01/2015,1775,N684DA,ATL,18:46,21:01,0326 ,0340,135,20:37,0024,0121,0000,0014,0000,0000,
  DL,04/01/2015,1880,N827DN,ATL,16:51,16:16,0331 ,0296,-35,16:09,0007,0000,0000,0000,0000,0000,
  DL,04/01/2015,1894,N362NW,CVG,18:14,18:07,0304 ,0299,-7,18:02,0005,0000,0000,0000,0000,0000,
  DL,04/01/2015,2049,N138DL,ATL,10:36,10:23,0326 ,0307,-13,10:18,0005,0000,0000,0000,0000,0000,
  DL,04/01/2015,2209,N956DN,MSP,23:48,01:46,0253 ,0250,118,01:42,0004,0000,0068,0000,0000,0050,
  DL,04/01/2015,2230,N121DE,DTW,18:06,17:53,0316 ,0304,-13,17:43,0010,0000,0000,0000,0000,0000,
  DL,04/01/2015,2305,N659DL,MSP,11:35,11:34,0253 ,0256,-1,11:29,0005,0000,0000,0000,0000,0000,
