
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,08/01/2014,0241,N613DL,ATL,20:10,20:05,0319 ,-5,19:59,0006,0000,0000,0000,0000,0000,
  DL,08/01/2014,0415,N712TW,JFK,20:25,20:41,0415 ,16,20:34,0007,0000,0000,0001,0000,0015,
  DL,08/01/2014,0419,N723TW,JFK,21:49,21:20,0414 ,-29,21:18,0002,0000,0000,0000,0000,0000,
  DL,08/01/2014,0431,N727TW,JFK,12:31,12:32,0391 ,1,12:25,0007,0000,0000,0000,0000,0000,
  DL,08/01/2014,0432,N711ZX,JFK,15:10,14:48,0385 ,-22,14:42,0006,0000,0000,0000,0000,0000,
  DL,08/01/2014,0435,N710TW,JFK,23:09,22:46,0414 ,-23,22:17,0029,0000,0000,0000,0000,0000,
  DL,08/01/2014,0469,N702TW,JFK,10:30,10:14,0390 ,-16,10:08,0006,0000,0000,0000,0000,0000,
  DL,08/01/2014,0486,N706TW,JFK,18:10,18:05,0400 ,-5,17:58,0007,0000,0000,0000,0000,0000,
  DL,08/01/2014,0745,N129DL,DTW,10:56,10:30,0321 ,-26,10:22,0008,0000,0000,0000,0000,0000,
  DL,08/01/2014,0949,N817DN,MSP,09:32,09:03,0252 ,-29,08:59,0004,0000,0000,0000,0000,0000,
  DL,08/01/2014,0956,N821DN,ATL,14:55,14:38,0310 ,-17,14:31,0007,0000,0000,0000,0000,0000,
  DL,08/01/2014,0998,N696DL,MSP,00:03,24:00,0248 ,-3,23:55,0005,0000,0000,0000,0000,0000,
  DL,08/01/2014,1145,N594NW,DTW,18:11,20:31,0316 ,140,20:25,0006,0140,0000,0000,0000,0000,
  DL,08/01/2014,1151,N593NW,MSP,13:51,13:35,0251 ,-16,13:26,0009,0000,0000,0000,0000,0000,
  DL,08/01/2014,1152,N583NW,HNL,06:18,06:02,0313 ,-16,05:52,0010,0000,0000,0000,0000,0000,
  DL,08/01/2014,1505,N665DN,MSP,20:02,19:38,0257 ,-24,19:31,0007,0000,0000,0000,0000,0000,
  DL,08/01/2014,1649,N824DN,ATL,00:13,00:37,0308 ,24,00:32,0005,0024,0000,0000,0000,0000,
  DL,08/01/2014,1731,N804DN,DTW,20:07,19:31,0312 ,-36,19:26,0005,0000,0000,0000,0000,0000,
  DL,08/01/2014,1775,N1402A,ATL,17:52,17:47,0320 ,-5,17:35,0012,0000,0000,0000,0000,0000,
  DL,08/01/2014,1793,N951DN,MSP,16:58,16:27,0253 ,-31,16:21,0006,0000,0000,0000,0000,0000,
  DL,08/01/2014,1894,N365NW,CVG,18:20,18:14,0300 ,-6,18:08,0006,0000,0000,0000,0000,0000,
  DL,08/01/2014,1988,N811DZ,DTW,22:13,21:49,0313 ,-24,21:39,0010,0000,0000,0000,0000,0000,
  DL,08/01/2014,2049,N810DN,ATL,10:28,10:01,0313 ,-27,09:53,0008,0000,0000,0000,0000,0000,
  DL,08/01/2014,2209,N136DL,MSP,21:58,21:58,0248 ,0,21:47,0011,0000,0000,0000,0000,0000,
  DL,08/01/2014,2260,N128DL,ATL,12:05,12:01,0321 ,-4,11:57,0004,0000,0000,0000,0000,0000,
  DL,08/01/2014,2265,N591NW,ATL,21:35,21:54,0310 ,19,21:35,0019,0000,0000,0019,0000,0000,
  DL,08/01/2014,2305,N137DL,MSP,11:41,11:18,0256 ,-23,11:12,0006,0000,0000,0000,0000,0000,
  DL,08/01/2014,2375,N376NW,SLC,12:27,12:01,0132 ,-26,11:54,0007,0000,0000,0000,0000,0000,
  DL,08/01/2014,2382,N351NB,SLC,22:57,23:05,0127 ,8,22:43,0022,0000,0000,0000,0000,0000,
  DL,08/01/2014,2552,N586NW,ATL,13:06,12:59,0316 ,-7,12:51,0008,0000,0000,0000,0000,0000,
  DL,08/01/2014,2556,N661DN,DTW,14:26,13:59,0316 ,-27,13:53,0006,0000,0000,0000,0000,0000,
  DL,08/02/2014,0241,N685DA,ATL,20:01,19:42,0316 ,-19,19:26,0016,0000,0000,0000,0000,0000,
  DL,08/02/2014,0415,N710TW,JFK,20:20,20:24,0410 ,4,20:21,0003,0000,0000,0000,0000,0000,
  DL,08/02/2014,0431,N624AG,JFK,12:28,12:06,0388 ,-22,12:01,0005,0000,0000,0000,0000,0000,
  DL,08/02/2014,0435,N702TW,JFK,23:04,22:33,0409 ,-31,22:29,0004,0000,0000,0000,0000,0000,
  DL,08/02/2014,0486,N717TW,JFK,18:04,17:44,0394 ,-20,17:37,0007,0000,0000,0000,0000,0000,
  DL,08/02/2014,0745,N128DL,DTW,10:52,10:40,0317 ,-12,10:33,0007,0000,0000,0000,0000,0000,
  DL,08/02/2014,0949,N321NB,MSP,09:29,09:30,0249 ,1,09:26,0004,0000,0000,0000,0000,0000,
  DL,08/02/2014,0998,N394DA,MSP,23:53,23:26,0248 ,-27,23:18,0008,0000,0000,0000,0000,0000,
  DL,08/02/2014,1145,N594NW,DTW,18:04,17:36,0314 ,-28,17:30,0006,0000,0000,0000,0000,0000,
  DL,08/02/2014,1151,N589NW,MSP,13:49,13:30,0249 ,-19,13:25,0005,0000,0000,0000,0000,0000,
  DL,08/02/2014,1152,N588NW,HNL,06:17,06:24,0312 ,7,05:49,0035,0000,0000,0000,0000,0000,
  DL,08/02/2014,1505,N805DN,MSP,20:01,19:46,0256 ,-15,19:40,0006,0000,0000,0000,0000,0000,
  DL,08/02/2014,1649,N809DN,ATL,00:11,23:49,0306 ,-22,23:43,0006,0000,0000,0000,0000,0000,
  DL,08/02/2014,1775,N144DA,ATL,17:50,17:40,0318 ,-10,17:33,0007,0000,0000,0000,0000,0000,
  DL,08/02/2014,1793,N906DA,MSP,16:57,16:30,0252 ,-27,16:25,0005,0000,0000,0000,0000,0000,
  DL,08/02/2014,1894,N370NW,CVG,18:11,17:54,0296 ,-17,17:47,0007,0000,0000,0000,0000,0000,
  DL,08/02/2014,2049,N802DN,ATL,10:25,10:10,0310 ,-15,10:04,0006,0000,0000,0000,0000,0000,
  DL,08/02/2014,2260,N124DE,ATL,13:05,13:20,0315 ,15,13:11,0009,0015,0000,0000,0000,0000,
  DL,08/02/2014,2265,N585NW,ATL,21:33,00:11,0308 ,158,00:06,0005,0158,0000,0000,0000,0000,
  DL,08/02/2014,2305,N822DN,MSP,11:38,11:34,0253 ,-4,11:30,0004,0000,0000,0000,0000,0000,
  DL,08/02/2014,2375,N338NW,SLC,12:25,12:03,0130 ,-22,11:57,0006,0000,0000,0000,0000,0000,
  DL,08/02/2014,2382,N347NB,SLC,21:10,21:06,0125 ,-4,20:57,0009,0000,0000,0000,0000,0000,
  DL,08/02/2014,2552,N585NW,ATL,11:57,11:48,0317 ,-9,11:37,0011,0000,0000,0000,0000,0000,
  DL,08/02/2014,2556,N6712B,DTW,14:24,13:57,0314 ,-27,13:52,0005,0000,0000,0000,0000,0000,
  DL,08/03/2014,0241,N649DL,ATL,20:10,19:58,0319 ,-12,19:37,0021,0000,0000,0000,0000,0000,
  DL,08/03/2014,0415,N707TW,JFK,20:25,19:54,0415 ,-31,19:46,0008,0000,0000,0000,0000,0000,
  DL,08/03/2014,0419,N702TW,JFK,21:49,21:37,0414 ,-12,21:29,0008,0000,0000,0000,0000,0000,
  DL,08/03/2014,0431,N712TW,JFK,12:31,12:11,0391 ,-20,12:01,0010,0000,0000,0000,0000,0000,
  DL,08/03/2014,0432,N709TW,JFK,15:10,14:50,0385 ,-20,14:43,0007,0000,0000,0000,0000,0000,
  DL,08/03/2014,0435,N711ZX,JFK,23:09,22:42,0414 ,-27,22:34,0008,0000,0000,0000,0000,0000,
  DL,08/03/2014,0469,N710TW,JFK,10:30,10:14,0390 ,-16,10:09,0005,0000,0000,0000,0000,0000,
  DL,08/03/2014,0486,N723TW,JFK,18:10,17:18,0400 ,-52,17:12,0006,0000,0000,0000,0000,0000,
  DL,08/03/2014,0745,N127DL,DTW,10:56,10:45,0321 ,-11,10:38,0007,0000,0000,0000,0000,0000,
  DL,08/03/2014,0949,N822DN,MSP,09:32,08:55,0252 ,-37,08:50,0005,0000,0000,0000,0000,0000,
  DL,08/03/2014,0998,N696DL,MSP,00:03,23:56,0248 ,-7,23:52,0004,0000,0000,0000,0000,0000,
  DL,08/03/2014,1145,N585NW,DTW,18:11,17:45,0316 ,-26,17:38,0007,0000,0000,0000,0000,0000,
  DL,08/03/2014,1151,N590NW,MSP,13:51,14:08,0251 ,17,14:01,0007,0000,0000,0017,0000,0000,
  DL,08/03/2014,1152,N581NW,HNL,06:18,06:17,0313 ,-1,06:09,0008,0000,0000,0000,0000,0000,
  DL,08/03/2014,1505,N661DN,MSP,20:02,19:25,0257 ,-37,19:20,0005,0000,0000,0000,0000,0000,
  DL,08/03/2014,1649,N810DN,ATL,00:13,23:44,0308 ,-29,23:37,0007,0000,0000,0000,0000,0000,
  DL,08/03/2014,1731,N6702 ,DTW,20:06,19:51,0311 ,-15,19:40,0011,0000,0000,0000,0000,0000,
  DL,08/03/2014,1775,N143DA,ATL,17:52,17:20,0320 ,-32,17:09,0011,0000,0000,0000,0000,0000,
  DL,08/03/2014,1793,N956DN,MSP,16:58,16:06,0253 ,-52,16:05,0001,0000,0000,0000,0000,0000,
  DL,08/03/2014,1894,N356NW,CVG,18:20,17:42,0300 ,-38,17:37,0005,0000,0000,0000,0000,0000,
  DL,08/03/2014,1988,N801DZ,DTW,22:13,21:47,0313 ,-26,21:37,0010,0000,0000,0000,0000,0000,
  DL,08/03/2014,2049,N801DZ,ATL,10:28,10:00,0313 ,-28,09:56,0004,0000,0000,0000,0000,0000,
  DL,08/03/2014,2209,N136DL,MSP,21:58,21:48,0248 ,-10,21:34,0014,0000,0000,0000,0000,0000,
  DL,08/03/2014,2260,N121DE,ATL,12:05,11:22,0321 ,-43,11:15,0007,0000,0000,0000,0000,0000,
