
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,08/01/2015,0065,N689DL,ATL,21:38,21:26,0313 ,0300,-12,21:17,0009,0000,0000,0000,0000,0000,
  DL,08/01/2015,0373,N823DN,DTW,17:32,17:22,0300 ,0286,-10,17:18,0004,0000,0000,0000,0000,0000,
  DL,08/01/2015,0415,N712TW,JFK,20:14,20:14,0404 ,0397,0,19:46,0028,0000,0000,0000,0000,0000,
  DL,08/01/2015,0430,N705TW,JFK,15:31,15:13,0381 ,0358,-18,15:08,0005,0000,0000,0000,0000,0000,
  DL,08/01/2015,0435,N723TW,JFK,23:28,22:54,0403 ,0373,-34,22:49,0005,0000,0000,0000,0000,0000,
  DL,08/01/2015,0496,N706TW,JFK,11:30,11:10,0390 ,0373,-20,11:02,0008,0000,0000,0000,0000,0000,
  DL,08/01/2015,0745,N835DN,DTW,10:34,10:23,0302 ,0294,-11,10:19,0004,0000,0000,0000,0000,0000,
  DL,08/01/2015,1151,N585NW,MSP,13:44,13:47,0239 ,0245,3,13:39,0008,0000,0000,0000,0000,0000,
  DL,08/01/2015,1152,N592NW,HNL,07:02,06:52,0307 ,0302,-10,06:48,0004,0000,0000,0000,0000,0000,
  DL,08/01/2015,1420,N588NW,DTW,22:17,21:55,0311 ,0281,-22,21:48,0007,0000,0000,0000,0000,0000,
  DL,08/01/2015,1505,N124DE,MSP,19:56,19:40,0241 ,0226,-16,19:34,0006,0000,0000,0000,0000,0000,
  DL,08/01/2015,1593,N3748Y,MSP,16:27,16:21,0237 ,0231,-6,16:14,0007,0000,0000,0000,0000,0000,
  DL,08/01/2015,1680,N802DN,ATL,13:14,13:03,0309 ,0299,-11,12:59,0004,0000,0000,0000,0000,0000,
  DL,08/01/2015,1775,N138DL,ATL,18:41,18:23,0311 ,0287,-18,18:16,0007,0000,0000,0000,0000,0000,
  DL,08/01/2015,1880,N3758Y,ATL,15:53,15:44,0308 ,0300,-9,15:37,0007,0000,0000,0000,0000,0000,
  DL,08/01/2015,2022,N832DN,MSP,08:57,09:02,0236 ,0233,5,08:57,0005,0000,0000,0000,0000,0000,
  DL,08/01/2015,2027,N343NW,MSP,23:55,23:55,0243 ,0226,0,23:50,0005,0000,0000,0000,0000,0000,
  DL,08/01/2015,2049,N810DN,ATL,10:07,10:01,0297 ,0291,-6,09:52,0009,0000,0000,0000,0000,0000,
  DL,08/01/2015,2145,N583NW,ATL,19:58,19:43,0308 ,0283,-15,19:38,0005,0000,0000,0000,0000,0000,
  DL,08/01/2015,2265,N121DE,ATL,12:03,13:36,0308 ,0290,93,13:30,0006,0000,0001,0000,0000,0092,
  DL,08/01/2015,2305,N803DN,MSP,10:57,10:59,0237 ,0229,2,10:55,0004,0000,0000,0000,0000,0000,
  DL,08/01/2015,2375,N315US,SLC,12:07,11:44,0122 ,0102,-23,11:39,0005,0000,0000,0000,0000,0000,
  DL,08/01/2015,2760,N949AT,LAX,12:24,12:18,0084 ,0080,-6,12:14,0004,0000,0000,0000,0000,0000,
  DL,08/01/2015,2772,N990AT,LAX,18:25,18:12,0080 ,0074,-13,18:07,0005,0000,0000,0000,0000,0000,
  DL,08/02/2015,0065,N836DN,ATL,21:41,21:47,0316 ,0305,6,21:23,0024,0000,0000,0000,0000,0000,
  DL,08/02/2015,0315,N821DN,CVG,11:28,11:13,0290 ,0276,-15,11:09,0004,0000,0000,0000,0000,0000,
  DL,08/02/2015,0373,N815DN,DTW,17:34,17:43,0302 ,0281,9,17:32,0011,0000,0000,0000,0000,0000,
  DL,08/02/2015,0415,N709TW,JFK,20:18,20:18,0408 ,0363,0,20:14,0004,0000,0000,0000,0000,0000,
  DL,08/02/2015,0430,N624AG,JFK,15:08,17:44,0383 ,0360,156,17:38,0006,0000,0000,0000,0000,0156,
  DL,08/02/2015,0431,N702TW,JFK,22:03,22:03,0413 ,0376,0,21:44,0019,0000,0000,0000,0000,0000,
  DL,08/02/2015,0434,N711ZX,JFK,12:30,12:47,0390 ,0355,17,12:42,0005,0017,0000,0000,0000,0000,
  DL,08/02/2015,0435,N727TW,JFK,23:47,23:31,0407 ,0373,-16,23:18,0013,0000,0000,0000,0000,0000,
  DL,08/02/2015,0469,N718TW,JFK,10:30,10:20,0390 ,0384,-10,10:13,0007,0000,0000,0000,0000,0000,
  DL,08/02/2015,0480,N713TW,JFK,17:59,17:36,0389 ,0366,-23,17:29,0007,0000,0000,0000,0000,0000,
  DL,08/02/2015,0745,N822DN,DTW,10:34,10:16,0302 ,0285,-18,10:12,0004,0000,0000,0000,0000,0000,
  DL,08/02/2015,0935,N323US,DTW,00:03,00:13,0307 ,0321,10,00:06,0007,0000,0000,0000,0000,0000,
  DL,08/02/2015,1151,N594NW,MSP,13:46,14:02,0241 ,0222,16,13:55,0007,0000,0000,0016,0000,0000,
  DL,08/02/2015,1152,N585NW,HNL,07:03,06:51,0308 ,0293,-12,06:46,0005,0000,0000,0000,0000,0000,
  DL,08/02/2015,1420,N124DE,DTW,22:14,22:33,0315 ,0336,19,21:51,0042,0000,0000,0019,0000,0000,
  DL,08/02/2015,1505,N127DL,MSP,19:59,19:55,0244 ,0243,-4,19:50,0005,0000,0000,0000,0000,0000,
  DL,08/02/2015,1593,N810DN,MSP,16:24,16:12,0234 ,0225,-12,16:01,0011,0000,0000,0000,0000,0000,
  DL,08/02/2015,1658,N593NW,DTW,19:51,19:36,0304 ,0289,-15,19:23,0013,0000,0000,0000,0000,0000,
  DL,08/02/2015,1680,N812DN,ATL,13:15,13:47,0310 ,0286,32,13:42,0005,0024,0000,0000,0000,0008,
