
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,12/01/2014,0046,N709TW,JFK,10:43,10:58,0403 ,15,10:52,0006,0000,0000,0015,0000,0000,
  DL,12/01/2014,0241,N821DN,ATL,21:23,21:10,0323 ,-13,21:03,0007,0000,0000,0000,0000,0000,
  DL,12/01/2014,0350,N392DA,SLC,18:17,18:15,0123 ,-2,18:06,0009,0000,0000,0000,0000,0000,
  DL,12/01/2014,0415,N723TW,JFK,19:57,20:11,0402 ,14,20:04,0007,0000,0000,0000,0000,0000,
  DL,12/01/2014,0419,N624AG,JFK,18:18,18:20,0403 ,2,18:14,0006,0000,0000,0000,0000,0000,
  DL,12/01/2014,0430,N727TW,JFK,12:33,12:41,0393 ,8,12:34,0007,0000,0000,0000,0000,0000,
  DL,12/01/2014,0434,N709TW,JFK,14:59,15:15,0389 ,16,15:08,0007,0000,0000,0016,0000,0000,
  DL,12/01/2014,0435,N702TW,JFK,23:01,23:38,0406 ,37,23:30,0008,0006,0000,0031,0000,0000,
  DL,12/01/2014,0745,N6716C,DTW,11:00,11:20,0319 ,20,11:13,0007,0000,0000,0020,0000,0000,
  DL,12/01/2014,0971,N3744F,DTW,14:45,15:32,0315 ,47,15:22,0010,0000,0000,0047,0000,0000,
  DL,12/01/2014,1145,N804DN,DTW,18:00,17:52,0315 ,-8,17:43,0009,0000,0000,0000,0000,0000,
  DL,12/01/2014,1151,N338NW,MSP,13:46,14:20,0251 ,34,14:14,0006,0000,0000,0021,0000,0013,
  DL,12/01/2014,1359,N627DL,ATL,10:29,10:46,0319 ,17,10:41,0005,0000,0000,0017,0000,0000,
  DL,12/01/2014,1505,N354NW,MSP,20:03,19:59,0258 ,-4,19:52,0007,0000,0000,0000,0000,0000,
  DL,12/01/2014,1649,N809DN,ATL,00:08,00:14,0321 ,6,00:09,0005,0000,0000,0000,0000,0000,
  DL,12/01/2014,1680,N818DA,ATL,12:29,13:33,0326 ,64,13:28,0005,0000,0000,0064,0000,0000,
  DL,12/01/2014,1731,N652DL,DTW,20:03,20:21,0318 ,18,20:12,0009,0018,0000,0000,0000,0000,
  DL,12/01/2014,1793,N663DN,MSP,17:43,17:33,0248 ,-10,17:27,0006,0000,0000,0000,0000,0000,
  DL,12/01/2014,1894,N376NW,CVG,11:37,12:30,0300 ,53,12:23,0007,0000,0000,0053,0000,0000,
  DL,12/01/2014,1960,N137DL,ATL,18:55,18:55,0325 ,0,18:45,0010,0000,0000,0000,0000,0000,
  DL,12/01/2014,1988,N816DN,DTW,22:06,22:24,0316 ,18,22:17,0007,0012,0000,0000,0000,0006,
  DL,12/01/2014,2209,N359NW,MSP,21:51,21:56,0251 ,5,21:47,0009,0000,0000,0000,0000,0000,
  DL,12/01/2014,2305,N318US,MSP,11:28,12:49,0253 ,81,12:41,0008,0081,0000,0000,0000,0000,
  DL,12/01/2014,2349,N807DN,ATL,16:00,16:53,0320 ,53,16:46,0007,0009,0000,0033,0000,0011,
  DL,12/01/2014,2375,N368NW,SLC,12:28,13:21,0124 ,53,13:09,0012,0000,0000,0053,0000,0000,
  DL,12/02/2014,0046,N713TW,JFK,10:43,11:21,0403 ,38,11:18,0003,0000,0000,0038,0000,0000,
  DL,12/02/2014,0241,N810DN,ATL,22:03,22:56,0328 ,53,22:51,0005,0000,0000,0013,0000,0040,
  DL,12/02/2014,0415,N703TW,JFK,20:57,21:23,0402 ,26,21:18,0005,0000,0000,0026,0000,0000,
  DL,12/02/2014,0430,N721TW,JFK,13:32,13:43,0392 ,11,13:39,0004,0000,0000,0000,0000,0000,
  DL,12/02/2014,0432,N710TW,JFK,19:07,20:14,0407 ,67,20:08,0006,0000,0000,0067,0000,0000,
  DL,12/02/2014,0435,N717TW,JFK,22:43,23:55,0403 ,72,23:52,0003,0000,0000,0072,0000,0000,
  DL,12/02/2014,0520,N655DL,ATL,18:56,18:47,0326 ,-9,18:41,0006,0000,0000,0000,0000,0000,
  DL,12/02/2014,0745,N6708D,DTW,11:10,11:10,0330 ,0,11:05,0005,0000,0000,0000,0000,0000,
  DL,12/02/2014,0753,N825DN,ATL,00:09,00:10,0325 ,1,00:05,0005,0000,0000,0000,0000,0000,
  DL,12/02/2014,1091,N817DN,ATL,12:28,12:27,0330 ,-1,12:23,0004,0000,0000,0000,0000,0000,
  DL,12/02/2014,1145,N819DN,DTW,18:18,18:56,0316 ,38,18:48,0008,0000,0000,0035,0000,0003,
  DL,12/02/2014,1151,N958DN,MSP,13:43,15:01,0253 ,78,14:48,0013,0000,0000,0069,0000,0009,
  DL,12/02/2014,1505,N828DN,MSP,20:06,21:04,0256 ,58,21:00,0004,0000,0000,0058,0000,0000,
  DL,12/02/2014,1680,N827DN,ATL,13:35,14:17,0330 ,42,14:13,0004,0000,0000,0042,0000,0000,
  DL,12/02/2014,1793,N341NW,MSP,16:32,17:55,0247 ,83,17:52,0003,0000,0000,0083,0000,0000,
  DL,12/02/2014,1988,N552NW,DTW,22:22,23:24,0322 ,62,23:18,0006,0000,0000,0062,0000,0000,
  DL,12/02/2014,2049,N6704Z,ATL,10:40,10:45,0328 ,5,10:41,0004,0000,0000,0000,0000,0000,
  DL,12/02/2014,2305,N659DL,MSP,11:45,12:21,0260 ,36,12:17,0004,0000,0000,0036,0000,0000,
  DL,12/02/2014,2349,N399DA,ATL,16:05,16:07,0325 ,2,16:01,0006,0000,0000,0000,0000,0000,
  DL,12/03/2014,0046,N703TW,JFK,10:43,10:49,0403 ,6,10:43,0006,0000,0000,0000,0000,0000,
  DL,12/03/2014,0241,N804DN,ATL,22:03,23:53,0328 ,110,23:46,0007,0000,0000,0036,0000,0074,
  DL,12/03/2014,0415,N702TW,JFK,20:57,22:39,0402 ,102,22:33,0006,0000,0000,0102,0000,0000,
  DL,12/03/2014,0430,N703TW,JFK,13:32,14:29,0392 ,57,14:25,0004,0000,0000,0057,0000,0000,
  DL,12/03/2014,0432,N709TW,JFK,19:07,19:31,0407 ,24,19:18,0013,0000,0000,0024,0000,0000,
  DL,12/03/2014,0435,N721TW,JFK,22:43,01:11,0403 ,148,01:02,0009,0000,0000,0148,0000,0000,
  DL,12/03/2014,0520,N681DA,ATL,18:56,20:42,0326 ,106,20:36,0006,0000,0000,0106,0000,0000,
  DL,12/03/2014,0745,N67171,DTW,11:10,12:03,0330 ,53,11:41,0022,0000,0000,0053,0000,0000,
  DL,12/03/2014,0753,N811DZ,ATL,00:09,00:40,0325 ,31,00:29,0011,0000,0000,0031,0000,0000,
  DL,12/03/2014,1091,N829DN,ATL,12:28,12:49,0330 ,21,12:46,0003,0000,0000,0019,0000,0002,
  DL,12/03/2014,1145,N801DZ,DTW,18:18,19:47,0316 ,89,19:39,0008,0000,0000,0089,0000,0000,
  DL,12/03/2014,1151,N904DA,MSP,13:43,15:53,0253 ,130,15:49,0004,0000,0000,0130,0000,0000,
  DL,12/03/2014,1505,N813DN,MSP,20:06,21:12,0256 ,66,21:06,0006,0000,0000,0066,0000,0000,
  DL,12/03/2014,1680,N817DN,ATL,13:35,13:41,0330 ,6,13:37,0004,0000,0000,0000,0000,0000,
  DL,12/03/2014,1727,N310NW,DTW,14:52,17:36,0322 ,164,17:33,0003,0000,0000,0144,0000,0020,
  DL,12/03/2014,1793,N349NW,MSP,16:32,17:19,0247 ,47,17:14,0005,0000,0000,0047,0000,0000,
  DL,12/03/2014,1988,N660DL,DTW,22:22,00:03,0322 ,101,23:55,0008,0000,0000,0101,0000,0000,
  DL,12/03/2014,2049,N655DL,ATL,10:40,10:50,0328 ,10,10:45,0005,0000,0000,0000,0000,0000,
  DL,12/03/2014,2209,N612DL,MSP,21:51,22:43,0251 ,52,22:36,0007,0000,0000,0052,0000,0000,
  DL,12/03/2014,2305,N612DL,MSP,11:45,12:17,0260 ,32,12:11,0006,0000,0000,0032,0000,0000,
  DL,12/03/2014,2349,N383DN,ATL,16:05,17:48,0325 ,103,17:45,0003,0000,0000,0103,0000,0000,
  DL,12/04/2014,0046,N713TW,JFK,10:43,11:35,0403 ,52,11:32,0003,0052,0000,0000,0000,0000,
  DL,12/04/2014,0241,N817DN,ATL,22:03,21:57,0328 ,-6,21:51,0006,0000,0000,0000,0000,0000,
  DL,12/04/2014,0415,N710TW,JFK,20:57,21:02,0402 ,5,20:54,0008,0000,0000,0000,0000,0000,
  DL,12/04/2014,0430,N723TW,JFK,15:03,15:18,0393 ,15,15:11,0007,0000,0000,0015,0000,0000,
  DL,12/04/2014,0432,N1605 ,JFK,19:07,18:52,0407 ,-15,18:47,0005,0000,0000,0000,0000,0000,
  DL,12/04/2014,0434,N713TW,JFK,12:45,12:39,0405 ,-6,12:35,0004,0000,0000,0000,0000,0000,
  DL,12/04/2014,0435,N624AG,JFK,22:43,22:26,0403 ,-17,22:21,0005,0000,0000,0000,0000,0000,
  DL,12/04/2014,0520,N652DL,ATL,18:56,18:36,0326 ,-20,18:31,0005,0000,0000,0000,0000,0000,
  DL,12/04/2014,0745,N679DA,DTW,11:10,10:50,0330 ,-20,10:45,0005,0000,0000,0000,0000,0000,
  DL,12/04/2014,0753,N824DN,ATL,00:09,23:56,0325 ,-13,23:51,0005,0000,0000,0000,0000,0000,
