
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,12/01/2015,0241,N840DN,ATL,21:57,21:50,0332 ,0326,-7,21:22,0028,0000,0000,0000,0000,0000,
  DL,12/01/2015,0373,N842DN,DTW,18:04,17:32,0319 ,0287,-32,17:26,0006,0000,0000,0000,0000,0000,
  DL,12/01/2015,0415,N1501P,JFK,19:16,19:06,0406 ,0382,-10,18:58,0008,0000,0000,0000,0000,0000,
  DL,12/01/2015,0417,N717TW,JFK,20:43,20:35,0403 ,0395,-8,20:29,0006,0000,0000,0000,0000,0000,
  DL,12/01/2015,0430,N624AG,JFK,15:03,14:58,0393 ,0358,-5,14:55,0003,0000,0000,0000,0000,0000,
  DL,12/01/2015,0435,N712TW,JFK,10:45,10:28,0405 ,0393,-17,10:18,0010,0000,0000,0000,0000,0000,
  DL,12/01/2015,0454,N180DN,JFK,13:18,13:36,0408 ,0339,18,13:30,0006,0018,0000,0000,0000,0000,
  DL,12/01/2015,0477,N722TW,JFK,23:15,22:51,0405 ,0383,-24,22:44,0007,0000,0000,0000,0000,0000,
  DL,12/01/2015,0734,N808DN,ATL,23:34,23:30,0329 ,0327,-4,22:59,0031,0000,0000,0000,0000,0000,
  DL,12/01/2015,0745,N836DN,DTW,11:07,10:34,0327 ,0297,-33,10:28,0006,0000,0000,0000,0000,0000,
