
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): February
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,02/01/2014,0241,N143DA,ATL,19:55,19:50,0325 ,-5,19:40,0010,0000,0000,0000,0000,0000,
  DL,02/01/2014,0409,N717TW,JFK,19:43,19:38,0403 ,-5,19:31,0007,0000,0000,0000,0000,0000,
  DL,02/01/2014,0430,N721TW,JFK,10:40,10:35,0400 ,-5,10:30,0005,0000,0000,0000,0000,0000,
  DL,02/01/2014,0435,N718TW,JFK,22:44,22:45,0404 ,1,22:41,0004,0000,0000,0000,0000,0000,
  DL,02/01/2014,0469,N723TW,JFK,13:31,14:25,0391 ,54,14:20,0005,0047,0000,0007,0000,0000,
  DL,02/01/2014,0745,N805DN,DTW,11:03,11:19,0317 ,16,11:13,0006,0000,0000,0016,0000,0000,
  DL,02/01/2014,1116,N806DN,ATL,13:33,13:18,0327 ,-15,13:10,0008,0000,0000,0000,0000,0000,
  DL,02/01/2014,1145,N814DN,DTW,17:51,17:49,0311 ,-2,17:43,0006,0000,0000,0000,0000,0000,
  DL,02/01/2014,1152,N723TW,HNL,06:10,05:48,0317 ,-22,05:44,0004,0000,0000,0000,0000,0000,
  DL,02/01/2014,1355,N801DZ,ATL,16:44,16:31,0319 ,-13,16:28,0003,0000,0000,0000,0000,0000,
  DL,02/01/2014,2023,N367NW,MSP,15:15,15:03,0245 ,-12,15:00,0003,0000,0000,0000,0000,0000,
  DL,02/01/2014,2049,N384DA,ATL,10:35,10:29,0323 ,-6,10:25,0004,0000,0000,0000,0000,0000,
  DL,02/01/2014,2209,N368NW,MSP,17:57,17:56,0242 ,-1,17:50,0006,0000,0000,0000,0000,0000,
  DL,02/01/2014,2265,N807DN,ATL,22:52,22:33,0325 ,-19,22:28,0005,0000,0000,0000,0000,0000,
  DL,02/01/2014,2305,N916DN,MSP,11:37,11:35,0262 ,-2,11:30,0005,0000,0000,0000,0000,0000,
  DL,02/01/2014,2375,N399DA,SLC,12:36,12:39,0121 ,3,12:33,0006,0000,0000,0000,0000,0000,
  DL,02/02/2014,0241,N140LL,ATL,19:58,19:51,0328 ,-7,19:48,0003,0000,0000,0000,0000,0000,
  DL,02/02/2014,0409,N702TW,JFK,19:48,19:27,0408 ,-21,19:22,0005,0000,0000,0000,0000,0000,
  DL,02/02/2014,0432,N707TW,JFK,16:36,18:17,0396 ,101,18:14,0003,0000,0000,0101,0000,0000,
  DL,02/02/2014,0435,N704X ,JFK,22:49,22:37,0409 ,-12,22:31,0006,0000,0000,0000,0000,0000,
  DL,02/02/2014,0469,N703TW,JFK,13:35,15:24,0395 ,109,15:14,0010,0000,0000,0109,0000,0000,
  DL,02/02/2014,0745,N802DN,DTW,11:05,11:49,0319 ,44,11:45,0004,0000,0000,0044,0000,0000,
  DL,02/02/2014,1116,N900PC,ATL,13:31,14:28,0331 ,57,14:24,0004,0000,0001,0000,0000,0056,
  DL,02/02/2014,1145,N806DN,DTW,17:55,18:42,0315 ,47,18:38,0004,0000,0000,0047,0000,0000,
  DL,02/02/2014,1151,N919DN,MSP,15:21,15:34,0251 ,13,15:29,0005,0000,0000,0000,0000,0000,
  DL,02/02/2014,1355,N812DN,ATL,16:20,17:51,0325 ,91,17:47,0004,0000,0000,0091,0000,0000,
  DL,02/02/2014,2023,N903DA,MSP,11:40,12:58,0265 ,78,12:52,0006,0059,0000,0019,0000,0000,
  DL,02/02/2014,2049,N814DN,ATL,10:40,10:39,0328 ,-1,10:35,0004,0000,0000,0000,0000,0000,
  DL,02/02/2014,2209,N333NW,MSP,18:00,18:20,0245 ,20,18:16,0004,0000,0000,0020,0000,0000,
  DL,02/02/2014,2265,N802DN,ATL,22:55,23:24,0328 ,29,23:19,0005,0005,0000,0000,0000,0024,
  DL,02/02/2014,2349,N801DZ,ATL,17:33,17:29,0328 ,-4,17:24,0005,0000,0000,0000,0000,0000,
  DL,02/02/2014,2375,N375DA,SLC,12:39,14:13,0124 ,94,14:10,0003,0000,0000,0015,0000,0079,
  DL,02/03/2014,0241,N140LL,ATL,19:58,19:46,0328 ,-12,19:39,0007,0000,0000,0000,0000,0000,
  DL,02/03/2014,0409,N1201P,JFK,19:48,00:00,0408 ,0,00:00,0000,0000,0000,0000,0000,0000,
  DL,02/03/2014,0430,N624AG,JFK,10:40,11:32,0400 ,52,11:25,0007,0000,0000,0052,0000,0000,
  DL,02/03/2014,0432,N721TW,JFK,16:36,19:30,0396 ,174,19:20,0010,0000,0098,0076,0000,0000,
  DL,02/03/2014,0435,N711ZX,JFK,22:49,00:00,0409 ,0,00:00,0000,0000,0000,0000,0000,0000,
  DL,02/03/2014,0469,N702TW,JFK,13:35,17:29,0395 ,234,17:22,0007,0000,0177,0057,0000,0000,
  DL,02/03/2014,0745,N814DN,DTW,11:05,11:00,0319 ,-5,10:55,0005,0000,0000,0000,0000,0000,
  DL,02/03/2014,1116,N805DN,ATL,13:32,13:37,0332 ,5,13:32,0005,0000,0000,0000,0000,0000,
  DL,02/03/2014,1145,N3757D,DTW,17:55,17:47,0315 ,-8,17:43,0004,0000,0000,0000,0000,0000,
  DL,02/03/2014,1151,N937DN,MSP,17:01,17:16,0251 ,15,17:11,0005,0003,0000,0000,0000,0012,
  DL,02/03/2014,1355,N803DN,ATL,16:20,16:06,0325 ,-14,16:02,0004,0000,0000,0000,0000,0000,
  DL,02/03/2014,1894,N380DA,CVG,11:25,12:20,0305 ,55,12:14,0006,0038,0000,0017,0000,0000,
  DL,02/03/2014,1988,N801DZ,DTW,22:16,22:59,0321 ,43,22:53,0006,0040,0000,0003,0000,0000,
  DL,02/03/2014,2023,N339NW,MSP,14:01,13:58,0246 ,-3,13:54,0004,0000,0000,0000,0000,0000,
  DL,02/03/2014,2049,N801DZ,ATL,10:40,10:24,0328 ,-16,10:19,0005,0000,0000,0000,0000,0000,
  DL,02/03/2014,2209,N311US,MSP,19:56,19:45,0251 ,-11,19:41,0004,0000,0000,0000,0000,0000,
  DL,02/03/2014,2265,N807DN,ATL,22:55,22:42,0328 ,-13,22:36,0006,0000,0000,0000,0000,0000,
  DL,02/03/2014,2305,N964DN,MSP,11:40,11:16,0265 ,-24,11:12,0004,0000,0000,0000,0000,0000,
  DL,02/03/2014,2349,N806DN,ATL,17:33,17:16,0328 ,-17,17:11,0005,0000,0000,0000,0000,0000,
  DL,02/03/2014,2375,N371DA,SLC,12:39,12:23,0124 ,-16,12:21,0002,0000,0000,0000,0000,0000,
