
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): February
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,02/01/2015,0046,N624AG,JFK,10:48,10:52,0408 ,0403,4,10:47,0005,0000,0000,0000,0000,0000,
  DL,02/01/2015,0241,N814DN,ATL,20:22,20:08,0327 ,0305,-14,20:05,0003,0000,0000,0000,0000,0000,
  DL,02/01/2015,0415,N710TW,JFK,20:16,19:47,0406 ,0374,-29,19:37,0010,0000,0000,0000,0000,0000,
  DL,02/01/2015,0434,N171DZ,JFK,15:07,14:38,0397 ,0371,-29,14:33,0005,0000,0000,0000,0000,0000,
  DL,02/01/2015,0435,N722TW,JFK,22:47,23:05,0407 ,0384,18,22:57,0008,0018,0000,0000,0000,0000,
  DL,02/01/2015,0469,N718TW,JFK,12:51,12:23,0411 ,0384,-28,12:18,0005,0000,0000,0000,0000,0000,
  DL,02/01/2015,1145,N824DN,DTW,18:15,20:29,0325 ,0383,134,20:25,0004,0000,0076,0058,0000,0000,
  DL,02/01/2015,1151,N934DN,MSP,15:28,15:13,0253 ,0234,-15,15:05,0008,0000,0000,0000,0000,0000,
  DL,02/01/2015,1680,N138DL,ATL,13:22,12:57,0332 ,0307,-25,12:51,0006,0000,0000,0000,0000,0000,
  DL,02/01/2015,1743,N962DN,MSP,17:40,17:15,0255 ,0231,-25,17:07,0008,0000,0000,0000,0000,0000,
