
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): January
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,01/01/2014,0350,N390DA,ATL,23:49,00:01,0319 ,12,23:57,0004,0000,0000,0000,0000,0000,
  DL,01/01/2014,0382,N6702 ,DTW,22:01,22:54,0313 ,53,22:31,0023,0000,0007,0046,0000,0000,
  DL,01/01/2014,0409,N705TW,JFK,19:41,19:22,0401 ,-19,19:19,0003,0000,0000,0000,0000,0000,
  DL,01/01/2014,0430,N721TW,JFK,10:39,10:20,0399 ,-19,10:16,0004,0000,0000,0000,0000,0000,
  DL,01/01/2014,0432,N713TW,JFK,16:31,16:15,0391 ,-16,16:10,0005,0000,0000,0000,0000,0000,
  DL,01/01/2014,0435,N712TW,JFK,22:41,22:27,0401 ,-14,22:20,0007,0000,0000,0000,0000,0000,
  DL,01/01/2014,1116,N803DN,ATL,13:30,13:23,0324 ,-7,13:16,0007,0000,0000,0000,0000,0000,
  DL,01/01/2014,1145,N382DA,DTW,17:48,17:58,0308 ,10,17:54,0004,0000,0000,0000,0000,0000,
  DL,01/01/2014,1151,N963DN,MSP,16:42,16:25,0247 ,-17,16:19,0006,0000,0000,0000,0000,0000,
  DL,01/01/2014,1152,N713TW,HNL,06:27,06:16,0315 ,-11,06:10,0006,0000,0000,0000,0000,0000,
  DL,01/01/2014,1347,N654DL,ATL,10:38,10:29,0323 ,-9,10:24,0005,0000,0000,0000,0000,0000,
  DL,01/01/2014,1355,N3733Z,ATL,12:08,11:49,0324 ,-19,11:47,0002,0000,0000,0000,0000,0000,
  DL,01/01/2014,1377,N312US,DTW,14:32,15:12,0312 ,40,15:08,0004,0000,0010,0030,0000,0000,
  DL,01/01/2014,2023,N383DN,MSP,13:33,13:18,0243 ,-15,13:10,0008,0000,0000,0000,0000,0000,
  DL,01/01/2014,2209,N127DL,MSP,19:53,20:13,0248 ,20,20:04,0009,0003,0000,0000,0000,0017,
  DL,01/01/2014,2265,N694DL,ATL,18:48,18:42,0323 ,-6,18:38,0004,0000,0000,0000,0000,0000,
  DL,01/01/2014,2349,N6713Y,ATL,17:09,16:59,0323 ,-10,16:52,0007,0000,0000,0000,0000,0000,
  DL,01/01/2014,2375,N330NW,SLC,12:21,12:03,0121 ,-18,11:57,0006,0000,0000,0000,0000,0000,
  DL,01/02/2014,0241,N6704Z,ATL,21:48,21:37,0328 ,-11,21:32,0005,0000,0000,0000,0000,0000,
  DL,01/02/2014,0409,N703TW,JFK,19:48,20:06,0408 ,18,19:54,0012,0000,0006,0012,0000,0000,
  DL,01/02/2014,0430,N702TW,JFK,10:43,10:23,0403 ,-20,10:19,0004,0000,0000,0000,0000,0000,
  DL,01/02/2014,0432,N709TW,JFK,16:36,16:17,0396 ,-19,16:05,0012,0000,0000,0000,0000,0000,
  DL,01/02/2014,0434,N713TW,JFK,21:12,21:08,0402 ,-4,21:01,0007,0000,0000,0000,0000,0000,
  DL,01/02/2014,0435,N727TW,JFK,22:49,00:19,0409 ,90,00:13,0006,0000,0060,0030,0000,0000,
  DL,01/02/2014,0469,N706TW,JFK,13:35,13:09,0395 ,-26,13:03,0006,0000,0000,0000,0000,0000,
  DL,01/02/2014,0745,N806DN,DTW,11:09,11:21,0321 ,12,11:15,0006,0000,0000,0000,0000,0000,
  DL,01/02/2014,0870,N387DA,ATL,23:53,23:58,0323 ,5,23:52,0006,0000,0000,0000,0000,0000,
  DL,01/02/2014,1116,N802DN,ATL,13:35,13:49,0329 ,14,13:40,0009,0000,0000,0000,0000,0000,
  DL,01/02/2014,1145,N3755D,DTW,17:54,17:47,0314 ,-7,17:42,0005,0000,0000,0000,0000,0000,
  DL,01/02/2014,1151,N950DN,MSP,16:46,16:26,0251 ,-20,16:14,0012,0000,0000,0000,0000,0000,
  DL,01/02/2014,1152,N709TW,HNL,06:29,06:19,0317 ,-10,06:11,0008,0000,0000,0000,0000,0000,
