
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): January
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,01/01/2015,0046,N704X ,JFK,10:43,10:26,0403 ,0386,-17,10:16,0010,0000,0000,0000,0000,0000,
  DL,01/01/2015,0241,N666DN,ATL,20:11,19:47,0326 ,0302,-24,19:41,0006,0000,0000,0000,0000,0000,
  DL,01/01/2015,0430,N624AG,JFK,13:32,13:29,0392 ,0390,-3,13:21,0008,0000,0000,0000,0000,0000,
  DL,01/01/2015,0432,N718TW,JFK,16:37,16:28,0397 ,0388,-9,16:13,0015,0000,0000,0000,0000,0000,
  DL,01/01/2015,0436,N703TW,JFK,21:26,20:49,0401 ,0364,-37,20:46,0003,0000,0000,0000,0000,0000,
  DL,01/01/2015,0728,N336NB,SLC,18:01,17:52,0121 ,0103,-9,17:47,0005,0000,0000,0000,0000,0000,
  DL,01/01/2015,0745,N314US,DTW,11:15,10:42,0332 ,0299,-33,10:35,0007,0000,0000,0000,0000,0000,
  DL,01/01/2015,0753,N810DN,ATL,00:09,23:53,0325 ,0306,-16,23:45,0008,0000,0000,0000,0000,0000,
  DL,01/01/2015,1145,N812DN,DTW,17:49,17:16,0319 ,0287,-33,17:13,0003,0000,0000,0000,0000,0000,
  DL,01/01/2015,1151,N917DN,MSP,13:48,13:09,0253 ,0215,-39,13:00,0009,0000,0000,0000,0000,0000,
  DL,01/01/2015,1152,N591NW,HNL,06:35,06:30,0315 ,0291,-5,06:24,0006,0000,0000,0000,0000,0000,
  DL,01/01/2015,1366,N6703D,ATL,16:26,16:06,0326 ,0306,-20,16:00,0006,0000,0000,0000,0000,0000,
  DL,01/01/2015,1505,N125DL,MSP,17:31,17:18,0246 ,0225,-13,17:10,0008,0000,0000,0000,0000,0000,
  DL,01/01/2015,1680,N129DL,ATL,13:10,12:45,0330 ,0302,-25,12:37,0008,0000,0000,0000,0000,0000,
  DL,01/01/2015,1727,N3736C,DTW,15:06,16:13,0316 ,0293,67,16:09,0004,0007,0000,0000,0000,0060,
  DL,01/01/2015,1793,N588NW,MSP,15:39,15:05,0244 ,0210,-34,15:00,0005,0000,0000,0000,0000,0000,
  DL,01/01/2015,1845,N371NW,SLC,12:18,12:06,0122 ,0097,-12,11:59,0007,0000,0000,0000,0000,0000,
  DL,01/01/2015,2049,N6709 ,ATL,10:43,10:14,0328 ,0299,-29,10:07,0007,0000,0000,0000,0000,0000,
  DL,01/01/2015,2265,N584NW,ATL,21:50,21:20,0330 ,0295,-30,21:11,0009,0000,0000,0000,0000,0000,
  DL,01/01/2015,2305,N525US,MSP,11:35,11:22,0260 ,0246,-13,11:18,0004,0000,0000,0000,0000,0000,
  DL,01/02/2015,0046,N702TW,JFK,12:00,12:26,0405 ,0396,26,12:19,0007,0026,0000,0000,0000,0000,
  DL,01/02/2015,0381,N662DN,ATL,20:11,19:46,0326 ,0295,-25,19:40,0006,0000,0000,0000,0000,0000,
  DL,01/02/2015,0415,N703TW,JFK,19:58,19:52,0403 ,0399,-6,19:45,0007,0000,0000,0000,0000,0000,
  DL,01/02/2015,0430,N713TW,JFK,13:32,13:58,0392 ,0380,26,13:51,0007,0005,0000,0021,0000,0000,
  DL,01/02/2015,0432,N711ZX,JFK,21:26,01:11,0401 ,0555,225,01:04,0007,0000,0000,0000,0000,0000,
  DL,01/02/2015,0435,N718TW,JFK,22:43,22:25,0403 ,0388,-18,22:20,0005,0000,0000,0000,0000,0000,
