
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,07/01/2014,0241,N584NW,ATL,19:50,19:57,0315 ,7,19:52,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,0415,N717TW,JFK,20:03,20:12,0408 ,9,20:01,0011,0000,0000,0000,0000,0000,
  DL,07/01/2014,0419,N704X ,JFK,18:04,17:44,0394 ,-20,17:42,0002,0000,0000,0000,0000,0000,
  DL,07/01/2014,0431,N712TW,JFK,21:41,21:30,0406 ,-11,21:22,0008,0000,0000,0000,0000,0000,
  DL,07/01/2014,0432,N709TW,JFK,12:25,11:59,0385 ,-26,11:54,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,0433,N703TW,JFK,15:08,14:45,0383 ,-23,14:40,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,0435,N705TW,JFK,23:04,22:50,0409 ,-14,22:38,0012,0000,0000,0000,0000,0000,
  DL,07/01/2014,0469,N707TW,JFK,10:25,10:22,0385 ,-3,10:15,0007,0000,0000,0000,0000,0000,
  DL,07/01/2014,0745,N127DL,DTW,10:52,10:46,0317 ,-6,10:39,0007,0000,0000,0000,0000,0000,
  DL,07/01/2014,0971,N612DL,DTW,14:26,13:59,0316 ,-27,13:54,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,1145,N137DL,DTW,18:01,17:54,0316 ,-7,17:48,0006,0000,0000,0000,0000,0000,
  DL,07/01/2014,1151,N589NW,MSP,13:50,13:17,0250 ,-33,13:12,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,1152,N589NW,HNL,06:17,06:13,0312 ,-4,05:53,0020,0000,0000,0000,0000,0000,
  DL,07/01/2014,1373,N593NW,ATL,13:02,12:36,0312 ,-26,12:29,0007,0000,0000,0000,0000,0000,
  DL,07/01/2014,1505,N808DN,MSP,20:02,19:54,0257 ,-8,19:23,0031,0000,0000,0000,0000,0000,
  DL,07/01/2014,1649,N820DN,ATL,23:59,23:59,0304 ,0,23:54,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,1768,N813DN,ATL,10:19,09:49,0309 ,-30,09:44,0005,0000,0000,0000,0000,0000,
  DL,07/01/2014,1775,N1402A,ATL,17:37,17:12,0317 ,-25,17:06,0006,0000,0000,0000,0000,0000,
  DL,07/01/2014,1793,N6709 ,MSP,16:58,16:47,0253 ,-11,16:43,0004,0000,0000,0000,0000,0000,
  DL,07/01/2014,1894,N340NW,CVG,19:00,18:43,0295 ,-17,18:37,0006,0000,0000,0000,0000,0000,
  DL,07/01/2014,1907,N328NW,SLC,18:04,17:50,0128 ,-14,17:42,0008,0000,0000,0000,0000,0000,
  DL,07/01/2014,2260,N129DL,ATL,12:01,11:36,0318 ,-25,11:26,0010,0000,0000,0000,0000,0000,
