
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,07/01/2015,0065,N826DN,ATL,21:41,22:05,0316 ,0310,24,22:00,0005,0000,0018,0000,0000,0006,
  DL,07/01/2015,0315,N801DZ,CVG,11:28,11:12,0290 ,0276,-16,11:02,0010,0000,0000,0000,0000,0000,
  DL,07/01/2015,0373,N833DN,DTW,17:34,17:16,0302 ,0287,-18,17:10,0006,0000,0000,0000,0000,0000,
  DL,07/01/2015,0415,N624AG,JFK,20:18,19:33,0408 ,0367,-45,19:27,0006,0000,0000,0000,0000,0000,
  DL,07/01/2015,0430,N723TW,JFK,15:08,15:18,0383 ,0365,10,15:01,0017,0000,0000,0000,0000,0000,
  DL,07/01/2015,0431,N722TW,JFK,22:03,21:52,0413 ,0392,-11,21:46,0006,0000,0000,0000,0000,0000,
  DL,07/01/2015,0434,N727TW,JFK,12:30,12:24,0390 ,0374,-6,12:17,0007,0000,0000,0000,0000,0000,
  DL,07/01/2015,0435,N705TW,JFK,23:47,01:06,0407 ,0390,79,01:01,0005,0005,0000,0000,0000,0074,
  DL,07/01/2015,0469,N707TW,JFK,10:30,10:18,0390 ,0372,-12,10:13,0005,0000,0000,0000,0000,0000,
  DL,07/01/2015,0480,N717TW,JFK,17:59,17:57,0389 ,0390,-2,17:50,0007,0000,0000,0000,0000,0000,
  DL,07/01/2015,0745,N816DN,DTW,10:34,10:10,0302 ,0277,-24,10:02,0008,0000,0000,0000,0000,0000,
  DL,07/01/2015,0935,N361NW,DTW,00:03,23:44,0307 ,0287,-19,23:38,0006,0000,0000,0000,0000,0000,
  DL,07/01/2015,1151,N582NW,MSP,13:46,13:40,0241 ,0236,-6,13:20,0020,0000,0000,0000,0000,0000,
  DL,07/01/2015,1152,N585NW,HNL,07:03,07:25,0308 ,0314,22,07:19,0006,0016,0000,0006,0000,0000,
  DL,07/01/2015,1420,N138DL,DTW,22:14,22:00,0315 ,0297,-14,21:48,0012,0000,0000,0000,0000,0000,
  DL,07/01/2015,1505,N125DL,MSP,19:59,19:53,0244 ,0239,-6,19:43,0010,0000,0000,0000,0000,0000,
  DL,07/01/2015,1593,N813DN,MSP,16:24,16:12,0234 ,0226,-12,16:07,0005,0000,0000,0000,0000,0000,
  DL,07/01/2015,1658,N589NW,DTW,19:51,19:47,0304 ,0297,-4,19:37,0010,0000,0000,0000,0000,0000,
  DL,07/01/2015,1680,N803DN,ATL,13:15,12:54,0310 ,0281,-21,12:48,0006,0000,0000,0000,0000,0000,
