
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,06/01/2014,0241,N124DE,ATL,19:11,18:46,0327 ,-25,18:40,0006,0000,0000,0000,0000,0000,
  DL,06/01/2014,0415,N727TW,JFK,19:51,19:39,0411 ,-12,19:28,0011,0000,0000,0000,0000,0000,
  DL,06/01/2014,0430,N723TW,JFK,15:00,14:50,0391 ,-10,14:41,0009,0000,0000,0000,0000,0000,
  DL,06/01/2014,0432,N721TW,JFK,18:29,17:58,0409 ,-31,17:53,0005,0000,0000,0000,0000,0000,
  DL,06/01/2014,0434,N712TW,JFK,21:59,22:20,0404 ,21,22:16,0004,0000,0000,0021,0000,0000,
  DL,06/01/2014,0435,N704X ,JFK,23:44,23:43,0409 ,-1,23:29,0014,0000,0000,0000,0000,0000,
  DL,06/01/2014,0690,N3731T,DTW,20:00,20:18,0315 ,18,20:11,0007,0018,0000,0000,0000,0000,
  DL,06/01/2014,1145,N125DL,DTW,18:02,17:47,0322 ,-15,17:42,0005,0000,0000,0000,0000,0000,
  DL,06/01/2014,1151,N594NW,MSP,16:34,16:47,0254 ,13,16:42,0005,0000,0000,0000,0000,0000,
  DL,06/01/2014,1152,N594NW,HNL,06:02,06:02,0317 ,0,05:46,0016,0000,0000,0000,0000,0000,
  DL,06/01/2014,1172,N821DN,DTW,11:06,11:00,0326 ,-6,10:51,0009,0000,0000,0000,0000,0000,
  DL,06/01/2014,1355,N802DN,ATL,13:24,13:15,0324 ,-9,13:05,0010,0000,0000,0000,0000,0000,
  DL,06/01/2014,1505,N809DN,MSP,22:44,22:37,0254 ,-7,22:24,0013,0000,0000,0000,0000,0000,
  DL,06/01/2014,1680,N813DN,ATL,12:09,11:45,0327 ,-24,11:37,0008,0000,0000,0000,0000,0000,
  DL,06/01/2014,1894,N315US,CVG,11:34,11:26,0299 ,-8,11:16,0010,0000,0000,0000,0000,0000,
  DL,06/01/2014,2023,N582NW,MSP,13:46,13:36,0256 ,-10,13:31,0005,0000,0000,0000,0000,0000,
  DL,06/01/2014,2027,N139DL,DTW,22:31,22:57,0319 ,26,22:46,0011,0000,0000,0026,0000,0000,
  DL,06/01/2014,2049,N808DN,ATL,10:31,10:16,0321 ,-15,10:10,0006,0000,0000,0000,0000,0000,
  DL,06/01/2014,2209,N911DA,MSP,19:55,19:41,0260 ,-14,19:25,0016,0000,0000,0000,0000,0000,
  DL,06/01/2014,2265,N128DL,ATL,23:47,00:25,0317 ,38,00:17,0008,0038,0000,0000,0000,0000,
  DL,06/01/2014,2305,N375NC,MSP,11:19,11:56,0259 ,37,11:40,0016,0029,0000,0000,0000,0008,
  DL,06/01/2014,2349,N681DA,ATL,17:31,17:07,0324 ,-24,17:00,0007,0000,0000,0000,0000,0000,
  DL,06/01/2014,2375,N376NW,SLC,12:23,12:14,0133 ,-9,12:11,0003,0000,0000,0000,0000,0000,
  DL,06/01/2014,2526,N6711M,ATL,21:27,21:37,0322 ,10,21:22,0015,0000,0000,0000,0000,0000,
  DL,06/02/2014,0241,N121DE,ATL,19:11,19:07,0327 ,-4,19:03,0004,0000,0000,0000,0000,0000,
  DL,06/02/2014,0415,N706TW,JFK,19:51,20:09,0411 ,18,20:05,0004,0003,0000,0002,0000,0013,
  DL,06/02/2014,0430,N172DZ,JFK,15:00,15:01,0391 ,1,14:49,0012,0000,0000,0000,0000,0000,
  DL,06/02/2014,0432,N711ZX,JFK,18:29,17:58,0409 ,-31,17:49,0009,0000,0000,0000,0000,0000,
  DL,06/02/2014,0435,N713TW,JFK,23:44,23:45,0409 ,1,23:34,0011,0000,0000,0000,0000,0000,
  DL,06/02/2014,0469,N723TW,JFK,10:39,10:29,0399 ,-10,10:23,0006,0000,0000,0000,0000,0000,
  DL,06/02/2014,0690,N3756 ,DTW,20:00,20:03,0315 ,3,19:55,0008,0000,0000,0000,0000,0000,
  DL,06/02/2014,1145,N139DL,DTW,18:02,17:59,0322 ,-3,17:52,0007,0000,0000,0000,0000,0000,
  DL,06/02/2014,1151,N593NW,MSP,16:34,16:25,0254 ,-9,16:19,0006,0000,0000,0000,0000,0000,
  DL,06/02/2014,1172,N813DN,DTW,11:06,10:52,0326 ,-14,10:45,0007,0000,0000,0000,0000,0000,
  DL,06/02/2014,1355,N806DN,ATL,13:24,13:11,0324 ,-13,13:02,0009,0000,0000,0000,0000,0000,
  DL,06/02/2014,1505,N807DN,MSP,22:44,23:34,0254 ,50,23:25,0009,0000,0000,0050,0000,0000,
  DL,06/02/2014,1680,N819DN,ATL,12:09,11:49,0327 ,-20,11:42,0007,0000,0000,0000,0000,0000,
  DL,06/02/2014,1894,N329NW,CVG,11:34,11:31,0299 ,-3,11:26,0005,0000,0000,0000,0000,0000,
  DL,06/02/2014,2023,N585NW,MSP,13:46,13:36,0256 ,-10,13:27,0009,0000,0000,0000,0000,0000,
  DL,06/02/2014,2027,N138DL,DTW,22:31,23:10,0319 ,39,22:56,0014,0000,0000,0039,0000,0000,
  DL,06/02/2014,2049,N816DN,ATL,10:31,10:16,0321 ,-15,10:11,0005,0000,0000,0000,0000,0000,
  DL,06/02/2014,2209,N926DH,MSP,19:55,19:59,0260 ,4,19:48,0011,0000,0000,0000,0000,0000,
  DL,06/02/2014,2265,N6714Q,ATL,23:46,23:52,0316 ,6,23:44,0008,0000,0000,0000,0000,0000,
  DL,06/02/2014,2305,N359NW,MSP,11:19,12:22,0259 ,63,12:16,0006,0000,0000,0063,0000,0000,
  DL,06/02/2014,2349,N128DL,ATL,17:32,17:02,0325 ,-30,16:55,0007,0000,0000,0000,0000,0000,
  DL,06/02/2014,2375,N371NW,SLC,12:23,12:19,0133 ,-4,12:04,0015,0000,0000,0000,0000,0000,
  DL,06/02/2014,2526,N613DL,ATL,21:27,21:35,0322 ,8,21:30,0005,0000,0000,0000,0000,0000,
  DL,06/03/2014,0241,N137DL,ATL,19:11,19:07,0327 ,-4,18:59,0008,0000,0000,0000,0000,0000,
  DL,06/03/2014,0415,N722TW,JFK,19:51,21:28,0411 ,97,21:20,0008,0014,0000,0083,0000,0000,
  DL,06/03/2014,0430,N727TW,JFK,15:00,14:46,0391 ,-14,14:40,0006,0000,0000,0000,0000,0000,
  DL,06/03/2014,0432,N702TW,JFK,18:29,18:57,0409 ,28,18:51,0006,0000,0000,0028,0000,0000,
  DL,06/03/2014,0435,N707TW,JFK,23:44,23:57,0409 ,13,23:53,0004,0000,0000,0000,0000,0000,
  DL,06/03/2014,0469,N712TW,JFK,10:39,10:18,0399 ,-21,10:14,0004,0000,0000,0000,0000,0000,
  DL,06/03/2014,0690,N3752 ,DTW,20:00,20:11,0315 ,11,19:53,0018,0000,0000,0000,0000,0000,
  DL,06/03/2014,1145,N138DL,DTW,18:02,17:55,0322 ,-7,17:51,0004,0000,0000,0000,0000,0000,
  DL,06/03/2014,1151,N590NW,MSP,16:34,16:41,0254 ,7,16:35,0006,0000,0000,0000,0000,0000,
