
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,06/01/2015,0241,N803DN,ATL,21:49,21:35,0324 ,0310,-14,21:27,0008,0000,0000,0000,0000,0000,
  DL,06/01/2015,0415,N703TW,JFK,20:18,20:14,0408 ,0405,-4,20:06,0008,0000,0000,0000,0000,0000,
  DL,06/01/2015,0430,N717TW,JFK,15:09,14:47,0384 ,0368,-22,14:41,0006,0000,0000,0000,0000,0000,
  DL,06/01/2015,0431,N705TW,JFK,22:24,22:41,0409 ,0426,17,22:14,0027,0000,0000,0017,0000,0000,
  DL,06/01/2015,0434,N704X ,JFK,12:44,12:19,0404 ,0384,-25,12:14,0005,0000,0000,0000,0000,0000,
  DL,06/01/2015,0435,N718TW,JFK,23:44,00:58,0404 ,0403,74,00:54,0004,0074,0000,0000,0000,0000,
  DL,06/01/2015,0469,N712TW,JFK,10:30,10:33,0390 ,0393,3,10:26,0007,0000,0000,0000,0000,0000,
  DL,06/01/2015,0483,N727TW,JFK,19:13,19:25,0408 ,0394,12,19:19,0006,0000,0000,0000,0000,0000,
  DL,06/01/2015,0745,N124DE,DTW,10:59,11:48,0308 ,0290,49,11:39,0009,0049,0000,0000,0000,0000,
  DL,06/01/2015,1151,N670DN,MSP,13:48,13:51,0243 ,0232,3,13:46,0005,0000,0000,0000,0000,0000,
  DL,06/01/2015,1152,N584NW,HNL,06:54,06:30,0313 ,0281,-24,06:17,0013,0000,0000,0000,0000,0000,
  DL,06/01/2015,1165,N125DL,ATL,20:18,20:06,0323 ,0298,-12,20:00,0006,0000,0000,0000,0000,0000,
  DL,06/01/2015,1172,N808DN,ATL,00:30,00:35,0319 ,0306,5,00:32,0003,0000,0000,0000,0000,0000,
  DL,06/01/2015,1331,N635DL,SLC,22:50,23:16,0125 ,0158,26,22:30,0046,0000,0000,0026,0000,0000,
  DL,06/01/2015,1505,N830DN,MSP,19:46,19:59,0246 ,0237,13,19:51,0008,0000,0000,0000,0000,0000,
  DL,06/01/2015,1593,N594NW,MSP,16:15,16:15,0240 ,0242,0,16:10,0005,0000,0000,0000,0000,0000,
  DL,06/01/2015,1680,N685DA,ATL,13:23,13:15,0318 ,0306,-8,13:09,0006,0000,0000,0000,0000,0000,
  DL,06/01/2015,1775,N127DL,ATL,18:52,18:30,0322 ,0302,-22,18:23,0007,0000,0000,0000,0000,0000,
  DL,06/01/2015,1894,N347NW,CVG,11:21,10:59,0294 ,0276,-22,10:52,0007,0000,0000,0000,0000,0000,
  DL,06/01/2015,1908,N126DL,DTW,22:16,22:39,0311 ,0312,23,22:19,0020,0000,0000,0001,0000,0022,
  DL,06/01/2015,1923,N812DN,ATL,16:48,16:29,0318 ,0300,-19,16:25,0004,0000,0000,0000,0000,0000,
  DL,06/01/2015,2049,N138DL,ATL,10:23,10:17,0312 ,0308,-6,10:10,0007,0000,0000,0000,0000,0000,
  DL,06/01/2015,2209,N128DL,MSP,22:01,22:19,0249 ,0271,18,22:11,0008,0000,0000,0018,0000,0000,
  DL,06/01/2015,2305,N676DL,MSP,11:20,11:28,0244 ,0245,8,11:23,0005,0000,0000,0000,0000,0000,
  DL,06/01/2015,2330,N137DL,DTW,17:56,17:48,0311 ,0302,-8,17:38,0010,0000,0000,0000,0000,0000,
  DL,06/01/2015,2375,N363NW,SLC,12:30,12:31,0126 ,0131,1,12:27,0004,0000,0000,0000,0000,0000,
  DL,06/01/2015,2621,N530US,DTW,19:44,19:35,0305 ,0295,-9,19:30,0005,0000,0000,0000,0000,0000,
  DL,06/02/2015,0241,N840DN,ATL,21:49,21:31,0324 ,0304,-18,21:26,0005,0000,0000,0000,0000,0000,
  DL,06/02/2015,0415,N718TW,JFK,20:18,20:07,0408 ,0397,-11,19:54,0013,0000,0000,0000,0000,0000,
  DL,06/02/2015,0430,N705TW,JFK,15:09,14:32,0384 ,0350,-37,14:24,0008,0000,0000,0000,0000,0000,
  DL,06/02/2015,0434,N721TW,JFK,12:44,12:15,0404 ,0372,-29,12:08,0007,0000,0000,0000,0000,0000,
  DL,06/02/2015,0435,N712TW,JFK,23:06,22:48,0411 ,0390,-18,22:39,0009,0000,0000,0000,0000,0000,
  DL,06/02/2015,0469,N704X ,JFK,10:30,13:53,0390 ,0354,203,13:47,0006,0203,0000,0000,0000,0000,
  DL,06/02/2015,0483,N713TW,JFK,19:13,18:59,0408 ,0391,-14,18:49,0010,0000,0000,0000,0000,0000,
  DL,06/02/2015,0745,N138DL,DTW,10:59,10:48,0308 ,0302,-11,10:39,0009,0000,0000,0000,0000,0000,
  DL,06/02/2015,0765,N584NW,MSP,17:38,17:46,0243 ,0245,8,17:33,0013,0000,0000,0000,0000,0000,
  DL,06/02/2015,1151,N618DL,MSP,13:48,13:46,0243 ,0243,-2,13:39,0007,0000,0000,0000,0000,0000,
  DL,06/02/2015,1165,N127DL,ATL,20:18,20:01,0323 ,0305,-17,19:46,0015,0000,0000,0000,0000,0000,
  DL,06/02/2015,1172,N591NW,ATL,00:30,00:43,0319 ,0294,13,00:36,0007,0000,0000,0000,0000,0000,
  DL,06/02/2015,1331,N809DN,SLC,22:50,22:49,0125 ,0129,-1,22:34,0015,0000,0000,0000,0000,0000,
  DL,06/02/2015,1505,N803DN,MSP,19:46,19:42,0246 ,0240,-4,19:35,0007,0000,0000,0000,0000,0000,
  DL,06/02/2015,1680,N6712B,ATL,13:23,13:08,0318 ,0305,-15,13:02,0006,0000,0000,0000,0000,0000,
  DL,06/02/2015,1775,N121DE,ATL,18:52,18:31,0322 ,0299,-21,18:23,0008,0000,0000,0000,0000,0000,
  DL,06/02/2015,1923,N809DN,ATL,16:48,16:15,0318 ,0282,-33,16:11,0004,0000,0000,0000,0000,0000,
  DL,06/02/2015,2049,N129DL,ATL,10:23,10:08,0312 ,0299,-15,10:02,0006,0000,0000,0000,0000,0000,
  DL,06/02/2015,2209,N136DL,MSP,22:01,21:54,0249 ,0245,-7,21:48,0006,0000,0000,0000,0000,0000,
  DL,06/02/2015,2305,N523US,MSP,11:20,11:14,0244 ,0240,-6,11:04,0010,0000,0000,0000,0000,0000,
  DL,06/02/2015,2330,N128DL,DTW,17:56,17:38,0311 ,0295,-18,17:30,0008,0000,0000,0000,0000,0000,
  DL,06/02/2015,2375,N360NW,SLC,12:31,12:20,0126 ,0122,-11,12:15,0005,0000,0000,0000,0000,0000,
  DL,06/02/2015,2621,N530US,DTW,19:44,19:30,0305 ,0292,-14,19:24,0006,0000,0000,0000,0000,0000,
  DL,06/03/2015,0241,N819DN,ATL,21:49,22:04,0324 ,0312,15,21:56,0008,0006,0000,0000,0000,0009,
  DL,06/03/2015,0415,N710TW,JFK,20:18,20:03,0408 ,0376,-15,19:54,0009,0000,0000,0000,0000,0000,
  DL,06/03/2015,0430,N704X ,JFK,15:09,14:44,0384 ,0359,-25,14:40,0004,0000,0000,0000,0000,0000,
  DL,06/03/2015,0431,N707TW,JFK,22:24,22:00,0409 ,0390,-24,21:55,0005,0000,0000,0000,0000,0000,
  DL,06/03/2015,0434,N727TW,JFK,12:44,12:18,0404 ,0387,-26,12:12,0006,0000,0000,0000,0000,0000,
  DL,06/03/2015,0435,N723TW,JFK,23:44,23:37,0404 ,0397,-7,23:33,0004,0000,0000,0000,0000,0000,
