
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): March
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,03/01/2014,0241,N129DL,ATL,23:05,22:48,0325 ,-17,22:41,0007,0000,0000,0000,0000,0000,
  DL,03/01/2014,0409,N717TW,JFK,19:43,19:59,0403 ,16,19:49,0010,0000,0000,0016,0000,0000,
  DL,03/01/2014,0430,N709TW,JFK,10:40,10:32,0400 ,-8,10:28,0004,0000,0000,0000,0000,0000,
  DL,03/01/2014,0435,N704X ,JFK,22:44,22:42,0404 ,-2,22:36,0006,0000,0000,0000,0000,0000,
  DL,03/01/2014,0469,N712TW,JFK,13:31,13:44,0391 ,13,13:36,0008,0000,0000,0000,0000,0000,
  DL,03/01/2014,0745,N802DN,DTW,11:02,11:28,0317 ,26,11:19,0009,0000,0000,0026,0000,0000,
  DL,03/01/2014,1116,N6713Y,ATL,18:54,18:50,0324 ,-4,18:45,0005,0000,0000,0000,0000,0000,
  DL,03/01/2014,1145,N125DL,DTW,17:54,18:00,0314 ,6,17:54,0006,0000,0000,0000,0000,0000,
  DL,03/01/2014,1151,N751AT,MSP,17:00,18:37,0240 ,97,18:32,0005,0000,0000,0000,0000,0097,
  DL,03/01/2014,1152,N712TW,HNL,07:09,06:33,0314 ,-36,06:27,0006,0000,0000,0000,0000,0000,
  DL,03/01/2014,1355,N811DZ,ATL,16:16,16:06,0321 ,-10,16:04,0002,0000,0000,0000,0000,0000,
  DL,03/01/2014,1505,N699DL,MSP,21:59,21:44,0252 ,-15,21:39,0005,0000,0000,0000,0000,0000,
  DL,03/01/2014,2023,N953DN,MSP,15:19,15:31,0249 ,12,15:27,0004,0000,0000,0000,0000,0000,
  DL,03/01/2014,2049,N813DN,ATL,10:38,10:42,0323 ,4,10:37,0005,0000,0000,0000,0000,0000,
  DL,03/01/2014,2305,N695DL,MSP,11:36,12:07,0261 ,31,12:02,0005,0000,0031,0000,0000,0000,
  DL,03/01/2014,2375,N3735D,SLC,12:38,13:15,0121 ,37,13:12,0003,0003,0000,0001,0000,0033,
  DL,03/02/2014,0241,N153DL,ATL,20:22,23:35,0322 ,193,23:08,0027,0192,0000,0001,0000,0000,
  DL,03/02/2014,0409,N704X ,JFK,19:45,19:32,0405 ,-13,19:26,0006,0000,0000,0000,0000,0000,
  DL,03/02/2014,0430,N152DL,JFK,10:32,11:13,0392 ,41,11:04,0009,0000,0000,0041,0000,0000,
  DL,03/02/2014,0432,N705TW,JFK,16:29,17:36,0389 ,67,17:31,0005,0047,0000,0015,0000,0005,
  DL,03/02/2014,0434,N712TW,JFK,21:11,21:04,0401 ,-7,20:58,0006,0000,0000,0000,0000,0000,
  DL,03/02/2014,0435,N713TW,JFK,22:45,22:45,0405 ,0,22:36,0009,0000,0000,0000,0000,0000,
  DL,03/02/2014,0469,N723TW,JFK,13:35,13:40,0395 ,5,13:33,0007,0000,0000,0000,0000,0000,
  DL,03/02/2014,0745,N804DN,DTW,10:45,11:14,0315 ,29,11:09,0005,0000,0000,0029,0000,0000,
  DL,03/02/2014,1145,N125DL,DTW,17:58,17:47,0318 ,-11,17:40,0007,0000,0000,0000,0000,0000,
  DL,03/02/2014,1151,N686DA,MSP,17:21,18:05,0246 ,44,18:00,0005,0044,0000,0000,0000,0000,
  DL,03/02/2014,1152,N705TW,HNL,06:11,08:32,0309 ,141,08:23,0009,0000,0000,0000,0000,0141,
  DL,03/02/2014,1355,N697DL,ATL,16:48,16:46,0318 ,-2,16:43,0003,0000,0000,0000,0000,0000,
  DL,03/02/2014,1505,N936DN,MSP,22:02,22:00,0252 ,-2,21:55,0005,0000,0000,0000,0000,0000,
  DL,03/02/2014,1680,N803DN,ATL,13:24,13:14,0324 ,-10,13:08,0006,0000,0000,0000,0000,0000,
  DL,03/02/2014,1894,N3754A,CVG,11:49,12:17,0297 ,28,12:10,0007,0000,0000,0028,0000,0000,
  DL,03/02/2014,1988,N127DL,DTW,22:08,22:35,0318 ,27,22:20,0015,0009,0000,0006,0000,0012,
  DL,03/02/2014,2023,N938DN,MSP,13:48,13:26,0253 ,-22,13:21,0005,0000,0000,0000,0000,0000,
  DL,03/02/2014,2049,N703TW,ATL,10:34,10:33,0319 ,-1,10:27,0006,0000,0000,0000,0000,0000,
  DL,03/02/2014,2209,N136DL,MSP,19:59,20:07,0249 ,8,19:55,0012,0000,0000,0000,0000,0000,
  DL,03/02/2014,2265,N6713Y,ATL,22:44,22:40,0319 ,-4,22:28,0012,0000,0000,0000,0000,0000,
  DL,03/02/2014,2305,N944DN,MSP,11:33,11:37,0258 ,4,11:32,0005,0000,0000,0000,0000,0000,
  DL,03/02/2014,2349,N129DL,ATL,18:48,18:38,0323 ,-10,18:30,0008,0000,0000,0000,0000,0000,
  DL,03/02/2014,2375,N388DA,SLC,12:39,13:32,0122 ,53,13:29,0003,0000,0000,0053,0000,0000,
  DL,03/03/2014,0241,N801DZ,ATL,20:21,20:32,0321 ,11,20:19,0013,0000,0000,0000,0000,0000,
  DL,03/03/2014,0409,N713TW,JFK,19:45,19:34,0405 ,-11,19:23,0011,0000,0000,0000,0000,0000,
  DL,03/03/2014,0430,N704X ,JFK,10:34,10:39,0394 ,5,10:32,0007,0000,0000,0000,0000,0000,
  DL,03/03/2014,0432,N717TW,JFK,16:29,16:35,0389 ,6,16:26,0009,0000,0000,0000,0000,0000,
  DL,03/03/2014,0434,N705TW,JFK,21:11,22:09,0401 ,58,22:00,0009,0005,0000,0000,0000,0053,
  DL,03/03/2014,0435,N723TW,JFK,22:45,22:43,0405 ,-2,22:37,0006,0000,0000,0000,0000,0000,
  DL,03/03/2014,0469,N707TW,JFK,13:35,13:29,0395 ,-6,13:23,0006,0000,0000,0000,0000,0000,
  DL,03/03/2014,0745,N807DN,DTW,10:45,10:30,0315 ,-15,10:24,0006,0000,0000,0000,0000,0000,
  DL,03/03/2014,1145,N129DL,DTW,17:58,17:53,0318 ,-5,17:45,0008,0000,0000,0000,0000,0000,
  DL,03/03/2014,1151,N6714Q,MSP,17:21,17:17,0246 ,-4,17:10,0007,0000,0000,0000,0000,0000,
  DL,03/03/2014,1355,N661DN,ATL,16:48,17:00,0318 ,12,16:56,0004,0000,0000,0000,0000,0000,
  DL,03/03/2014,1505,N953DN,MSP,22:02,23:42,0252 ,100,23:32,0010,0081,0000,0019,0000,0000,
  DL,03/03/2014,1680,N809DN,ATL,13:24,13:36,0324 ,12,13:35,0001,0000,0000,0000,0000,0000,
  DL,03/03/2014,1894,N387DA,CVG,11:21,11:15,0301 ,-6,11:11,0004,0000,0000,0000,0000,0000,
  DL,03/03/2014,1988,N664DN,DTW,22:06,22:21,0316 ,15,22:12,0009,0007,0000,0008,0000,0000,
  DL,03/03/2014,2023,N908DA,MSP,13:48,13:39,0253 ,-9,13:31,0008,0000,0000,0000,0000,0000,
  DL,03/03/2014,2049,N624AG,ATL,10:34,10:40,0319 ,6,10:34,0006,0000,0000,0000,0000,0000,
  DL,03/03/2014,2209,N137DL,MSP,19:59,20:13,0249 ,14,20:00,0013,0000,0000,0000,0000,0000,
  DL,03/03/2014,2265,N688DL,ATL,22:44,22:55,0319 ,11,22:47,0008,0000,0000,0000,0000,0000,
  DL,03/03/2014,2305,N946DN,MSP,11:33,11:12,0258 ,-21,11:03,0009,0000,0000,0000,0000,0000,
  DL,03/03/2014,2349,N138DL,ATL,18:48,19:12,0323 ,24,19:05,0007,0024,0000,0000,0000,0000,
  DL,03/03/2014,2375,N3741S,SLC,12:39,12:24,0122 ,-15,12:19,0005,0000,0000,0000,0000,0000,
  DL,03/04/2014,0241,N805DN,ATL,20:21,20:33,0321 ,12,20:27,0006,0000,0000,0000,0000,0000,
  DL,03/04/2014,0409,N723TW,JFK,19:45,19:36,0405 ,-9,19:30,0006,0000,0000,0000,0000,0000,
  DL,03/04/2014,0430,N713TW,JFK,10:34,11:08,0394 ,34,11:05,0003,0034,0000,0000,0000,0000,
  DL,03/04/2014,0432,N710TW,JFK,16:29,16:51,0389 ,22,16:45,0006,0000,0000,0022,0000,0000,
  DL,03/04/2014,0435,N707TW,JFK,22:45,22:38,0405 ,-7,22:30,0008,0000,0000,0000,0000,0000,
