
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): March
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,03/01/2015,0046,N721TW,JFK,10:33,00:00,0393 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  DL,03/01/2015,0241,N661DN,ATL,21:53,22:35,0333 ,0343,42,22:28,0007,0014,0018,0010,0000,0000,
  DL,03/01/2015,0415,N712TW,JFK,20:16,21:58,0406 ,0484,102,21:55,0003,0000,0024,0078,0000,0000,
  DL,03/01/2015,0434,N721TW,JFK,15:05,16:11,0396 ,0467,66,16:07,0004,0000,0000,0066,0000,0000,
  DL,03/01/2015,0435,N624AG,JFK,22:45,00:00,0405 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  DL,03/01/2015,0459,N710TW,JFK,19:05,00:00,0410 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  DL,03/01/2015,0469,N702TW,JFK,12:49,13:03,0409 ,0423,14,12:56,0007,0000,0000,0000,0000,0000,
  DL,03/01/2015,0745,N815DN,DTW,11:10,11:29,0330 ,0352,19,11:26,0003,0000,0000,0019,0000,0000,
  DL,03/01/2015,1145,N125DL,DTW,18:04,19:05,0318 ,0379,61,18:50,0015,0000,0000,0061,0000,0000,
  DL,03/01/2015,1505,N127DL,MSP,20:02,20:00,0257 ,0256,-2,19:36,0024,0000,0000,0000,0000,0000,
  DL,03/01/2015,1593,N830DN,MSP,16:31,16:25,0246 ,0240,-6,16:21,0004,0000,0000,0000,0000,0000,
  DL,03/01/2015,1680,N139DL,ATL,13:27,14:13,0332 ,0325,46,14:07,0006,0046,0000,0000,0000,0000,
  DL,03/01/2015,1775,N143DA,ATL,18:56,19:00,0331 ,0336,4,18:55,0005,0000,0000,0000,0000,0000,
  DL,03/01/2015,1894,N361NW,CVG,18:42,18:54,0306 ,0322,12,18:44,0010,0000,0000,0000,0000,0000,
  DL,03/01/2015,1988,N581NW,DTW,22:23,22:34,0323 ,0335,11,22:30,0004,0000,0000,0000,0000,0000,
  DL,03/01/2015,2049,N822DN,ATL,10:38,10:24,0328 ,0313,-14,10:19,0005,0000,0000,0000,0000,0000,
  DL,03/01/2015,2209,N962DN,MSP,23:58,23:55,0258 ,0239,-3,23:49,0006,0000,0000,0000,0000,0000,
  DL,03/01/2015,2265,N138DL,ATL,00:18,00:45,0328 ,0326,27,00:37,0008,0027,0000,0000,0000,0000,
  DL,03/01/2015,2305,N676DL,MSP,11:35,11:17,0258 ,0241,-18,11:11,0006,0000,0000,0000,0000,0000,
  DL,03/01/2015,2349,N833DN,ATL,17:03,16:56,0330 ,0322,-7,16:51,0005,0000,0000,0000,0000,0000,
  DL,03/01/2015,2375,N301NB,SLC,12:35,12:36,0119 ,0120,1,12:33,0003,0000,0000,0000,0000,0000,
  DL,03/02/2015,0046,N722TW,JFK,10:33,10:36,0393 ,0398,3,10:31,0005,0000,0000,0000,0000,0000,
  DL,03/02/2015,0241,N696DL,ATL,20:24,20:07,0331 ,0315,-17,20:02,0005,0000,0000,0000,0000,0000,
  DL,03/02/2015,0415,N722TW,JFK,20:14,21:12,0404 ,0463,58,20:39,0033,0000,0000,0058,0000,0000,
  DL,03/02/2015,0428,N723TW,JFK,19:00,19:29,0405 ,0435,29,19:22,0007,0000,0000,0029,0000,0000,
  DL,03/02/2015,0430,N6716C,JFK,15:11,17:04,0386 ,0428,113,16:57,0007,0005,0029,0042,0000,0037,
  DL,03/02/2015,0434,N702TW,JFK,12:41,13:56,0401 ,0435,75,13:50,0006,0000,0041,0034,0000,0000,
  DL,03/02/2015,0435,N717TW,JFK,22:54,23:51,0404 ,0423,57,23:40,0011,0031,0000,0019,0000,0007,
  DL,03/02/2015,0745,N126DL,DTW,10:57,11:39,0315 ,0351,42,11:33,0006,0006,0000,0036,0000,0000,
  DL,03/02/2015,1151,N6710E,MSP,13:49,13:55,0244 ,0257,6,13:49,0006,0000,0000,0000,0000,0000,
  DL,03/02/2015,1505,N588NW,MSP,20:00,20:08,0255 ,0258,8,19:59,0009,0000,0000,0000,0000,0000,
  DL,03/02/2015,1593,N595NW,MSP,16:40,17:31,0242 ,0293,51,17:22,0009,0000,0000,0051,0000,0000,
  DL,03/02/2015,1617,N6713Y,ATL,00:23,00:34,0328 ,0338,11,00:28,0006,0000,0000,0000,0000,0000,
  DL,03/02/2015,1644,N139DL,DTW,22:26,22:39,0321 ,0336,13,22:20,0019,0000,0000,0000,0000,0000,
  DL,03/02/2015,1680,N832DN,ATL,13:32,13:30,0326 ,0318,-2,13:22,0008,0000,0000,0000,0000,0000,
  DL,03/02/2015,1775,N816DN,ATL,18:47,18:43,0327 ,0325,-4,18:34,0009,0000,0000,0000,0000,0000,
  DL,03/02/2015,1880,N6703D,ATL,16:50,16:28,0330 ,0310,-22,16:22,0006,0000,0000,0000,0000,0000,
  DL,03/02/2015,1894,N324US,CVG,18:14,18:35,0304 ,0321,21,18:30,0005,0000,0000,0021,0000,0000,
  DL,03/02/2015,2008,N130DL,DTW,18:06,18:45,0316 ,0357,39,18:04,0041,0000,0000,0039,0000,0000,
  DL,03/02/2015,2049,N139DL,ATL,10:36,10:37,0326 ,0329,1,10:31,0006,0000,0000,0000,0000,0000,
  DL,03/02/2015,2209,N617DL,MSP,23:43,00:06,0248 ,0245,23,00:02,0004,0023,0000,0000,0000,0000,
  DL,03/02/2015,2305,N683DA,MSP,11:35,17:29,0253 ,0294,354,17:26,0003,0313,0000,0041,0000,0000,
  DL,03/02/2015,2308,N833DN,ATL,21:46,21:47,0331 ,0330,1,21:41,0006,0000,0000,0000,0000,0000,
  DL,03/02/2015,2375,N311US,SLC,12:30,14:58,0120 ,0127,148,14:52,0006,0000,0000,0007,0000,0141,
  DL,03/03/2015,0046,N711ZX,JFK,10:33,10:52,0393 ,0411,19,10:47,0005,0000,0000,0019,0000,0000,
