
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): May
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,05/01/2014,0241,N809DN,ATL,20:47,20:20,0317 ,-27,20:16,0004,0000,0000,0000,0000,0000,
  DL,05/01/2014,0415,N704X ,JFK,20:00,19:37,0405 ,-23,19:32,0005,0000,0000,0000,0000,0000,
  DL,05/01/2014,0431,N707TW,JFK,13:35,14:13,0395 ,38,14:09,0004,0000,0038,0000,0000,0000,
  DL,05/01/2014,0432,N705TW,JFK,16:29,16:05,0389 ,-24,15:54,0011,0000,0000,0000,0000,0000,
  DL,05/01/2014,0434,N721TW,JFK,21:40,21:59,0401 ,19,21:51,0008,0005,0000,0000,0000,0014,
  DL,05/01/2014,0435,N709TW,JFK,22:59,22:24,0404 ,-35,22:17,0007,0000,0000,0000,0000,0000,
  DL,05/01/2014,0469,N727TW,JFK,10:34,10:37,0394 ,3,10:31,0006,0000,0000,0000,0000,0000,
  DL,05/01/2014,0745,N818DA,DTW,10:52,09:59,0318 ,-53,09:54,0005,0000,0000,0000,0000,0000,
  DL,05/01/2014,1145,N139DL,DTW,17:58,17:33,0318 ,-25,17:24,0009,0000,0000,0000,0000,0000,
  DL,05/01/2014,1151,N3769L,MSP,17:19,16:55,0244 ,-24,16:44,0011,0000,0000,0000,0000,0000,
  DL,05/01/2014,1152,N705TW,HNL,06:14,06:14,0309 ,0,05:46,0028,0000,0000,0000,0000,0000,
  DL,05/01/2014,1355,N125DL,ATL,16:55,16:48,0320 ,-7,16:42,0006,0000,0000,0000,0000,0000,
  DL,05/01/2014,1505,N6708D,MSP,21:57,21:23,0247 ,-34,21:19,0004,0000,0000,0000,0000,0000,
  DL,05/01/2014,1680,N654DL,ATL,12:25,12:16,0320 ,-9,12:11,0005,0000,0000,0000,0000,0000,
  DL,05/01/2014,1800,N695DL,DTW,14:16,13:43,0316 ,-33,13:36,0007,0000,0000,0000,0000,0000,
  DL,05/01/2014,1894,N363NW,CVG,11:20,10:51,0300 ,-29,10:46,0005,0000,0000,0000,0000,0000,
  DL,05/01/2014,1988,N124DE,DTW,22:24,21:57,0318 ,-27,21:46,0011,0000,0000,0000,0000,0000,
  DL,05/01/2014,2023,N534US,MSP,13:22,12:46,0247 ,-36,12:34,0012,0000,0000,0000,0000,0000,
  DL,05/01/2014,2049,N803DN,ATL,10:29,09:56,0319 ,-33,09:50,0006,0000,0000,0000,0000,0000,
  DL,05/01/2014,2209,N592NW,MSP,19:44,19:04,0249 ,-40,18:59,0005,0000,0000,0000,0000,0000,
  DL,05/01/2014,2265,N818DA,ATL,22:46,22:34,0319 ,-12,22:27,0007,0000,0000,0000,0000,0000,
  DL,05/01/2014,2305,N3756 ,MSP,11:27,10:48,0252 ,-39,10:42,0006,0000,0000,0000,0000,0000,
  DL,05/01/2014,2349,N136DL,ATL,18:53,18:59,0323 ,6,18:55,0004,0000,0000,0000,0000,0000,
  DL,05/01/2014,2375,N752AT,SLC,12:11,13:45,0120 ,94,13:35,0010,0000,0000,0000,0000,0094,
  DL,05/02/2014,0241,N684DA,ATL,21:27,21:08,0322 ,-19,21:02,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,0367,N812DN,DTW,11:06,10:14,0326 ,-52,10:10,0004,0000,0000,0000,0000,0000,
  DL,05/02/2014,0415,N713TW,JFK,19:51,00:19,0411 ,268,00:14,0005,0268,0000,0000,0000,0000,
  DL,05/02/2014,0430,N717TW,JFK,15:00,14:21,0391 ,-39,14:15,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,0432,N727TW,JFK,18:29,18:50,0409 ,21,18:47,0003,0000,0000,0000,0000,0021,
  DL,05/02/2014,0434,N712TW,JFK,21:59,22:19,0404 ,20,22:15,0004,0020,0000,0000,0000,0000,
  DL,05/02/2014,0435,N711ZX,JFK,00:01,00:33,0396 ,32,00:28,0005,0016,0000,0001,0000,0015,
  DL,05/02/2014,0469,N710TW,JFK,10:39,10:04,0399 ,-35,09:53,0011,0000,0000,0000,0000,0000,
  DL,05/02/2014,0964,N3733Z,DTW,20:00,19:28,0315 ,-32,19:22,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,1145,N124DE,DTW,18:02,17:17,0322 ,-45,17:11,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,1151,N594NW,MSP,16:34,16:01,0254 ,-33,15:54,0007,0000,0000,0000,0000,0000,
  DL,05/02/2014,1152,N592NW,HNL,06:02,06:02,0317 ,0,05:46,0016,0000,0000,0000,0000,0000,
  DL,05/02/2014,1355,N815DN,ATL,13:24,12:51,0324 ,-33,12:45,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,1505,N6707A,MSP,21:56,21:48,0251 ,-8,21:43,0005,0000,0000,0000,0000,0000,
  DL,05/02/2014,1680,N806DN,ATL,12:09,11:45,0327 ,-24,11:39,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,1894,N330NW,CVG,11:34,11:09,0299 ,-25,11:01,0008,0000,0000,0000,0000,0000,
  DL,05/02/2014,2023,N589NW,MSP,13:46,13:15,0256 ,-31,13:09,0006,0000,0000,0000,0000,0000,
  DL,05/02/2014,2027,N126DL,DTW,22:31,22:31,0319 ,0,22:21,0010,0000,0000,0000,0000,0000,
  DL,05/02/2014,2049,N811DZ,ATL,10:31,10:05,0321 ,-26,09:59,0006,0000,0000,0000,0000,0000,
