
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): May
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,05/01/2015,0241,N814DN,ATL,21:49,21:17,0324 ,0294,-32,21:11,0006,0000,0000,0000,0000,0000,
  DL,05/01/2015,0415,N727TW,JFK,20:18,19:52,0408 ,0378,-26,19:47,0005,0000,0000,0000,0000,0000,
  DL,05/01/2015,0430,N705TW,JFK,15:09,14:38,0384 ,0361,-31,14:32,0006,0000,0000,0000,0000,0000,
  DL,05/01/2015,0431,N712TW,JFK,22:24,21:48,0409 ,0374,-36,21:44,0004,0000,0000,0000,0000,0000,
  DL,05/01/2015,0434,N702TW,JFK,12:44,12:20,0404 ,0387,-24,12:15,0005,0000,0000,0000,0000,0000,
  DL,05/01/2015,0435,N703TW,JFK,23:44,23:58,0404 ,0370,14,23:51,0007,0000,0000,0000,0000,0000,
  DL,05/01/2015,0469,N709TW,JFK,10:30,10:15,0390 ,0378,-15,10:10,0005,0000,0000,0000,0000,0000,
  DL,05/01/2015,0498,N721TW,JFK,19:13,18:48,0408 ,0375,-25,18:44,0004,0000,0000,0000,0000,0000,
  DL,05/01/2015,0745,N136DL,DTW,10:59,10:49,0308 ,0297,-10,10:42,0007,0000,0000,0000,0000,0000,
  DL,05/01/2015,1151,N550NW,MSP,13:48,13:31,0243 ,0232,-17,13:27,0004,0000,0000,0000,0000,0000,
  DL,05/01/2015,1152,N588NW,HNL,06:54,06:47,0313 ,0317,-7,06:42,0005,0000,0000,0000,0000,0000,
  DL,05/01/2015,1165,N129DL,ATL,20:18,19:56,0323 ,0302,-22,19:50,0006,0000,0000,0000,0000,0000,
  DL,05/01/2015,1172,N837DN,ATL,00:30,00:02,0319 ,0291,-28,23:54,0008,0000,0000,0000,0000,0000,
  DL,05/01/2015,1331,N831DN,SLC,22:50,22:41,0125 ,0123,-9,22:18,0023,0000,0000,0000,0000,0000,
  DL,05/01/2015,1505,N804DN,MSP,19:46,19:40,0246 ,0241,-6,19:37,0003,0000,0000,0000,0000,0000,
  DL,05/01/2015,1593,N595NW,MSP,16:15,16:06,0240 ,0232,-9,15:57,0009,0000,0000,0000,0000,0000,
  DL,05/01/2015,1680,N6707A,ATL,13:23,12:52,0318 ,0290,-31,12:46,0006,0000,0000,0000,0000,0000,
  DL,05/01/2015,1775,N124DE,ATL,18:52,18:37,0322 ,0299,-15,18:32,0005,0000,0000,0000,0000,0000,
  DL,05/01/2015,1894,N316US,CVG,11:21,11:14,0294 ,0287,-7,11:06,0008,0000,0000,0000,0000,0000,
  DL,05/01/2015,1908,N128DL,DTW,22:16,22:26,0311 ,0320,10,22:13,0013,0000,0000,0000,0000,0000,
  DL,05/01/2015,1923,N831DN,ATL,16:48,16:24,0318 ,0296,-24,16:12,0012,0000,0000,0000,0000,0000,
  DL,05/01/2015,2049,N138DL,ATL,10:23,10:13,0312 ,0303,-10,10:07,0006,0000,0000,0000,0000,0000,
  DL,05/01/2015,2209,N550NW,MSP,22:01,23:30,0249 ,0231,89,23:25,0005,0089,0000,0000,0000,0000,
  DL,05/01/2015,2305,N910DN,MSP,11:25,11:16,0249 ,0246,-9,11:08,0008,0000,0000,0000,0000,0000,
  DL,05/01/2015,2330,N126DL,DTW,17:56,17:45,0311 ,0303,-11,17:38,0007,0000,0000,0000,0000,0000,
  DL,05/01/2015,2375,N324US,SLC,12:31,12:10,0126 ,0113,-21,11:58,0012,0000,0000,0000,0000,0000,
  DL,05/01/2015,2621,N618DL,DTW,19:44,19:34,0305 ,0298,-10,19:29,0005,0000,0000,0000,0000,0000,
  DL,05/02/2015,0241,N814DN,ATL,21:45,21:23,0320 ,0299,-22,21:16,0007,0000,0000,0000,0000,0000,
  DL,05/02/2015,0415,N703TW,JFK,20:14,19:50,0404 ,0382,-24,19:42,0008,0000,0000,0000,0000,0000,
  DL,05/02/2015,0430,N702TW,JFK,16:26,16:10,0386 ,0370,-16,16:04,0006,0000,0000,0000,0000,0000,
  DL,05/02/2015,0435,N721TW,JFK,23:02,22:40,0407 ,0387,-22,22:34,0006,0000,0000,0000,0000,0000,
  DL,05/02/2015,0469,N727TW,JFK,11:41,16:07,0401 ,0374,266,15:57,0010,0266,0000,0000,0000,0000,
