
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): November
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,11/01/2014,0046,N727TW,JFK,10:33,10:20,0393 ,-13,10:15,0005,0000,0000,0000,0000,0000,
  DL,11/01/2014,0241,N808DN,ATL,22:02,21:36,0317 ,-26,21:29,0007,0000,0000,0000,0000,0000,
  DL,11/01/2014,0415,N723TW,JFK,19:47,19:47,0392 ,0,19:33,0014,0000,0000,0000,0000,0000,
  DL,11/01/2014,0432,N704X ,JFK,14:15,13:58,0375 ,-17,13:52,0006,0000,0000,0000,0000,0000,
  DL,11/01/2014,0435,N702TW,JFK,23:06,22:43,0396 ,-23,22:34,0009,0000,0000,0000,0000,0000,
  DL,11/01/2014,0469,N722TW,JFK,10:27,11:06,0387 ,39,10:59,0007,0039,0000,0000,0000,0000,
  DL,11/01/2014,0745,N593NW,DTW,10:33,10:32,0298 ,-1,10:27,0005,0000,0000,0000,0000,0000,
  DL,11/01/2014,0971,N396DA,DTW,14:33,14:19,0303 ,-14,14:15,0004,0000,0000,0000,0000,0000,
  DL,11/01/2014,1145,N654DL,DTW,17:59,17:48,0302 ,-11,17:42,0006,0000,0000,0000,0000,0000,
  DL,11/01/2014,1151,N325US,MSP,13:33,13:27,0243 ,-6,13:19,0008,0000,0000,0000,0000,0000,
  DL,11/01/2014,1505,N339NB,MSP,22:07,21:57,0242 ,-10,21:51,0006,0000,0000,0000,0000,0000,
  DL,11/01/2014,1611,N6707A,ATL,18:50,18:29,0320 ,-21,18:24,0005,0000,0000,0000,0000,0000,
