
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): November
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,11/01/2015,0241,N6709 ,ATL,21:53,22:24,0327 ,0328,31,22:01,0023,0014,0000,0001,0000,0016,
  DL,11/01/2015,0413,N194DN,JFK,11:54,11:52,0399 ,0398,-2,11:46,0006,0000,0000,0000,0000,0000,
  DL,11/01/2015,0415,N711ZX,JFK,19:21,19:17,0406 ,0402,-4,19:11,0006,0000,0000,0000,0000,0000,
  DL,11/01/2015,0417,N196DN,JFK,20:45,21:26,0405 ,0451,41,21:18,0008,0000,0000,0041,0000,0000,
  DL,11/01/2015,0430,N703TW,JFK,15:01,15:47,0391 ,0412,46,15:42,0005,0005,0000,0021,0000,0020,
  DL,11/01/2015,0435,N718TW,JFK,10:40,12:04,0400 ,0423,84,11:54,0010,0061,0000,0023,0000,0000,
  DL,11/01/2015,0443,N154DL,JFK,00:30,01:41,0405 ,0404,71,01:36,0005,0036,0000,0000,0000,0035,
  DL,11/01/2015,0454,N706TW,JFK,13:14,14:27,0399 ,0406,73,14:21,0006,0066,0000,0007,0000,0000,
  DL,11/01/2015,0477,N152DL,JFK,22:18,22:33,0408 ,0423,15,22:19,0014,0000,0000,0015,0000,0000,
  DL,11/01/2015,0745,N802DN,DTW,11:02,10:44,0327 ,0313,-18,10:37,0007,0000,0000,0000,0000,0000,
  DL,11/01/2015,1151,N933DN,MSP,14:01,13:35,0256 ,0236,-26,13:31,0004,0000,0000,0000,0000,0000,
  DL,11/01/2015,1188,N805DN,DTW,18:14,17:56,0319 ,0307,-18,17:44,0012,0000,0000,0000,0000,0000,
  DL,11/01/2015,1455,N369NW,CVG,18:26,18:19,0306 ,0299,-7,18:10,0009,0000,0000,0000,0000,0000,
  DL,11/01/2015,1505,N847DN,MSP,20:06,20:35,0256 ,0263,29,20:28,0007,0022,0000,0007,0000,0000,
  DL,11/01/2015,1593,N845DN,MSP,18:01,17:55,0251 ,0240,-6,17:51,0004,0000,0000,0000,0000,0000,
  DL,11/01/2015,1650,N332NW,SLC,12:28,12:23,0128 ,0128,-5,12:20,0003,0000,0000,0000,0000,0000,
  DL,11/01/2015,1658,N831DN,DTW,20:14,21:57,0320 ,0310,103,21:51,0006,0000,0000,0000,0000,0103,
  DL,11/01/2015,1680,N822DN,ATL,13:30,13:03,0326 ,0304,-27,12:58,0005,0000,0000,0000,0000,0000,
  DL,11/01/2015,1775,N129DL,ATL,18:57,18:42,0329 ,0326,-15,18:29,0013,0000,0000,0000,0000,0000,
  DL,11/01/2015,1880,N833DN,ATL,16:04,15:52,0324 ,0311,-12,15:48,0004,0000,0000,0000,0000,0000,
  DL,11/01/2015,2049,N826DN,ATL,10:32,10:23,0322 ,0298,-9,10:19,0004,0000,0000,0000,0000,0000,
  DL,11/01/2015,2209,N368NW,MSP,21:48,21:42,0260 ,0259,-6,21:35,0007,0000,0000,0000,0000,0000,
  DL,11/01/2015,2265,N813DN,ATL,12:21,12:15,0326 ,0321,-6,12:09,0006,0000,0000,0000,0000,0000,
  DL,11/01/2015,2305,N820DN,MSP,11:33,11:28,0258 ,0253,-5,11:19,0009,0000,0000,0000,0000,0000,
  DL,11/01/2015,2327,N826DN,DTW,22:31,22:47,0327 ,0345,16,22:16,0031,0000,0000,0016,0000,0000,
  DL,11/01/2015,2381,N383DN,SLC,23:17,23:40,0122 ,0139,23,23:12,0028,0006,0000,0017,0000,0000,
  DL,11/01/2015,2621,N391DA,DTW,14:38,14:30,0318 ,0314,-8,14:26,0004,0000,0000,0000,0000,0000,
  DL,11/01/2015,2756,N969AT,LAX,10:25,10:22,0085 ,0074,-3,10:19,0003,0000,0000,0000,0000,0000,
  DL,11/01/2015,2758,N926AT,LAX,11:23,11:32,0083 ,0091,9,11:27,0005,0000,0000,0000,0000,0000,
  DL,11/01/2015,2760,N922AT,LAX,12:25,13:30,0085 ,0088,65,13:25,0005,0015,0000,0003,0000,0047,
  DL,11/01/2015,2764,N951AT,LAX,14:24,14:13,0084 ,0079,-11,14:09,0004,0000,0000,0000,0000,0000,
  DL,11/01/2015,2766,N752AT,LAX,15:21,19:03,0081 ,0101,222,18:57,0006,0202,0000,0020,0000,0000,
  DL,11/01/2015,2768,N983AT,LAX,16:21,17:33,0081 ,0080,72,17:30,0003,0000,0000,0000,0000,0072,
