
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,10/01/2014,0241,N808DN,ATL,22:14,22:05,0323 ,-9,21:59,0006,0000,0000,0000,0000,0000,
  DL,10/01/2014,0415,N707TW,JFK,19:50,19:47,0395 ,-3,19:40,0007,0000,0000,0000,0000,0000,
  DL,10/01/2014,0419,N705TW,JFK,18:36,18:32,0391 ,-4,18:26,0006,0000,0000,0000,0000,0000,
  DL,10/01/2014,0430,N713TW,JFK,12:27,12:21,0387 ,-6,12:14,0007,0000,0000,0000,0000,0000,
  DL,10/01/2014,0431,N711ZX,JFK,21:25,21:17,0390 ,-8,21:09,0008,0000,0000,0000,0000,0000,
  DL,10/01/2014,0434,N709TW,JFK,15:07,15:17,0382 ,10,15:10,0007,0000,0000,0000,0000,0000,
  DL,10/01/2014,0435,N702TW,JFK,23:47,00:27,0392 ,40,00:22,0005,0007,0000,0000,0000,0033,
  DL,10/01/2014,0469,N727TW,JFK,10:28,10:21,0388 ,-7,10:15,0006,0000,0000,0000,0000,0000,
  DL,10/01/2014,0745,N593NW,DTW,10:45,10:37,0305 ,-8,10:33,0004,0000,0000,0000,0000,0000,
  DL,10/01/2014,0780,N3745B,SLC,18:01,17:43,0121 ,-18,17:40,0003,0000,0000,0000,0000,0000,
