
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,10/01/2015,0065,N136DL,ATL,23:29,23:27,0324 ,0320,-2,23:18,0009,0000,0000,0000,0000,0000,
  DL,10/01/2015,0241,N801DZ,ATL,21:42,21:55,0317 ,0311,13,21:47,0008,0000,0000,0000,0000,0000,
  DL,10/01/2015,0413,N713TW,JFK,11:23,11:21,0383 ,0387,-2,11:13,0008,0000,0000,0000,0000,0000,
  DL,10/01/2015,0415,N723TW,JFK,19:10,19:20,0395 ,0407,10,19:15,0005,0000,0000,0000,0000,0000,
  DL,10/01/2015,0430,N704X ,JFK,15:02,15:11,0377 ,0386,9,14:59,0012,0000,0000,0000,0000,0000,
  DL,10/01/2015,0431,N721TW,JFK,22:02,22:05,0392 ,0389,3,21:58,0007,0000,0000,0000,0000,0000,
  DL,10/01/2015,0434,N706TW,JFK,12:25,12:55,0385 ,0395,30,12:48,0007,0020,0000,0010,0000,0000,
  DL,10/01/2015,0435,N718TW,JFK,00:25,00:14,0386 ,0358,-11,00:09,0005,0000,0000,0000,0000,0000,
  DL,10/01/2015,0442,N191DN,JFK,20:20,20:13,0395 ,0391,-7,20:02,0011,0000,0000,0000,0000,0000,
  DL,10/01/2015,0469,N718TW,JFK,10:24,10:11,0384 ,0375,-13,10:01,0010,0000,0000,0000,0000,0000,
  DL,10/01/2015,0650,N836DN,DTW,18:01,17:51,0306 ,0297,-10,17:47,0004,0000,0000,0000,0000,0000,
  DL,10/01/2015,0745,N136DL,DTW,10:56,10:55,0311 ,0311,-1,10:47,0008,0000,0000,0000,0000,0000,
  DL,10/01/2015,1151,N3746H,MSP,13:47,14:05,0242 ,0267,18,13:48,0017,0000,0000,0018,0000,0000,
  DL,10/01/2015,1420,N807DN,DTW,21:54,21:39,0308 ,0296,-15,21:32,0007,0000,0000,0000,0000,0000,
  DL,10/01/2015,1505,N815DN,MSP,19:55,20:05,0245 ,0255,10,19:53,0012,0000,0000,0000,0000,0000,
  DL,10/01/2015,1650,N330NW,SLC,12:25,13:02,0124 ,0132,37,12:58,0004,0000,0000,0037,0000,0000,
  DL,10/01/2015,1658,N842DN,DTW,19:58,19:51,0306 ,0297,-7,19:45,0006,0000,0000,0000,0000,0000,
  DL,10/01/2015,1680,N819DN,ATL,13:29,13:20,0322 ,0311,-9,13:11,0009,0000,0000,0000,0000,0000,
  DL,10/01/2015,1705,N372DA,ATL,16:03,16:04,0322 ,0313,1,16:00,0004,0000,0000,0000,0000,0000,
  DL,10/01/2015,1775,N126DL,ATL,18:49,18:26,0324 ,0307,-23,18:19,0007,0000,0000,0000,0000,0000,
  DL,10/01/2015,1894,N320US,CVG,11:25,11:36,0295 ,0308,11,11:21,0015,0000,0000,0000,0000,0000,
  DL,10/01/2015,2022,N332NW,MSP,09:24,09:23,0244 ,0247,-1,09:14,0009,0000,0000,0000,0000,0000,
  DL,10/01/2015,2049,N812DN,ATL,10:30,10:20,0315 ,0308,-10,10:14,0006,0000,0000,0000,0000,0000,
  DL,10/01/2015,2209,N683DA,MSP,21:43,22:01,0246 ,0267,18,21:43,0018,0000,0000,0018,0000,0000,
  DL,10/01/2015,2265,N128DL,ATL,12:13,12:10,0323 ,0322,-3,12:01,0009,0000,0000,0000,0000,0000,
  DL,10/01/2015,2305,N831DN,MSP,11:22,11:24,0242 ,0249,2,11:16,0008,0000,0000,0000,0000,0000,
  DL,10/01/2015,2381,N6701 ,SLC,23:00,23:04,0120 ,0126,4,22:48,0016,0000,0000,0000,0000,0000,
  DL,10/01/2015,2420,N315US,MSP,17:33,17:23,0243 ,0240,-10,17:16,0007,0000,0000,0000,0000,0000,
  DL,10/01/2015,2621,N835DN,DTW,14:30,14:27,0308 ,0298,-3,14:21,0006,0000,0000,0000,0000,0000,
  DL,10/01/2015,2752,N899AT,LAX,08:25,08:32,0085 ,0093,7,08:11,0021,0000,0000,0000,0000,0000,
  DL,10/01/2015,2756,N938AT,LAX,10:25,10:13,0085 ,0073,-12,10:10,0003,0000,0000,0000,0000,0000,
  DL,10/01/2015,2760,N989AT,LAX,12:20,12:43,0080 ,0106,23,12:39,0004,0000,0000,0023,0000,0000,
  DL,10/01/2015,2764,N938AT,LAX,14:24,14:41,0084 ,0084,17,14:36,0005,0000,0000,0000,0000,0017,
  DL,10/01/2015,2768,N607AT,LAX,16:23,16:24,0083 ,0089,1,16:12,0012,0000,0000,0000,0000,0000,
  DL,10/01/2015,2772,N997AT,LAX,18:20,19:02,0080 ,0107,42,18:59,0003,0015,0000,0027,0000,0000,
  DL,10/01/2015,2776,N607AT,LAX,20:24,20:21,0084 ,0085,-3,20:17,0004,0000,0000,0000,0000,0000,
  DL,10/01/2015,2778,N967AT,LAX,21:25,21:26,0085 ,0092,1,21:22,0004,0000,0000,0000,0000,0000,
  DL,10/02/2015,0065,N126DL,ATL,23:29,23:42,0324 ,0304,13,23:34,0008,0000,0000,0000,0000,0000,
  DL,10/02/2015,0241,N832DN,ATL,21:42,21:37,0317 ,0306,-5,21:31,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,0413,N704X ,JFK,11:23,11:01,0383 ,0365,-22,10:55,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,0415,N713TW,JFK,19:10,19:36,0395 ,0406,26,19:28,0008,0015,0000,0011,0000,0000,
  DL,10/02/2015,0430,N710TW,JFK,15:02,14:42,0377 ,0361,-20,14:37,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,0431,N722TW,JFK,22:02,22:26,0392 ,0400,24,22:20,0006,0016,0000,0008,0000,0000,
  DL,10/02/2015,0434,N721TW,JFK,12:25,12:05,0385 ,0368,-20,12:00,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,0435,N723TW,JFK,00:25,01:15,0386 ,0377,50,01:09,0006,0038,0000,0000,0000,0012,
  DL,10/02/2015,0442,N195DN,JFK,20:20,20:13,0395 ,0391,-7,20:01,0012,0000,0000,0000,0000,0000,
  DL,10/02/2015,0469,N723TW,JFK,10:24,10:09,0384 ,0372,-15,10:04,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,0650,N842DN,DTW,18:01,17:37,0306 ,0288,-24,17:30,0007,0000,0000,0000,0000,0000,
  DL,10/02/2015,0745,N127DL,DTW,10:56,11:58,0311 ,0296,62,11:47,0011,0062,0000,0000,0000,0000,
  DL,10/02/2015,1151,N3756 ,MSP,13:47,13:35,0242 ,0235,-12,13:23,0012,0000,0000,0000,0000,0000,
  DL,10/02/2015,1420,N635DL,DTW,21:54,21:53,0308 ,0299,-1,21:46,0007,0000,0000,0000,0000,0000,
  DL,10/02/2015,1505,N814DN,MSP,19:55,19:43,0245 ,0238,-12,19:38,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,1650,N361NW,SLC,12:25,12:35,0124 ,0135,10,12:12,0023,0000,0000,0000,0000,0000,
  DL,10/02/2015,1658,N836DN,DTW,19:58,19:50,0306 ,0289,-8,19:45,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,1680,N805DN,ATL,13:29,13:21,0322 ,0314,-8,13:06,0015,0000,0000,0000,0000,0000,
  DL,10/02/2015,1705,N384DA,ATL,16:03,15:54,0322 ,0314,-9,15:46,0008,0000,0000,0000,0000,0000,
  DL,10/02/2015,1775,N128DL,ATL,18:49,18:23,0324 ,0296,-26,18:18,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,1894,N328NW,CVG,11:25,11:32,0295 ,0282,7,11:27,0005,0000,0000,0000,0000,0000,
  DL,10/02/2015,2022,N316US,MSP,09:24,09:09,0244 ,0234,-15,09:03,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2049,N808DN,ATL,10:30,10:25,0315 ,0302,-5,10:15,0010,0000,0000,0000,0000,0000,
  DL,10/02/2015,2209,N633DL,MSP,21:43,21:30,0246 ,0236,-13,21:24,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2265,N130DL,ATL,12:13,12:04,0323 ,0315,-9,11:58,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2305,N843DN,MSP,11:22,11:13,0242 ,0236,-9,11:07,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2381,N664DN,SLC,23:00,22:57,0120 ,0117,-3,22:51,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2420,N310NW,MSP,17:33,17:08,0243 ,0226,-25,17:02,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2621,N818DA,DTW,14:30,14:39,0308 ,0279,9,14:35,0004,0000,0000,0000,0000,0000,
  DL,10/02/2015,2752,N607AT,LAX,08:25,08:14,0085 ,0079,-11,08:07,0007,0000,0000,0000,0000,0000,
  DL,10/02/2015,2756,N967AT,LAX,10:25,10:26,0085 ,0079,1,10:20,0006,0000,0000,0000,0000,0000,
  DL,10/02/2015,2760,N989AT,LAX,12:20,13:13,0080 ,0137,53,12:10,0063,0000,0000,0053,0000,0000,
  DL,10/02/2015,2764,N967AT,LAX,14:24,14:20,0084 ,0083,-4,14:17,0003,0000,0000,0000,0000,0000,
  DL,10/02/2015,2768,N997AT,LAX,16:23,16:24,0083 ,0085,1,16:21,0003,0000,0000,0000,0000,0000,
  DL,10/02/2015,2772,N967AT,LAX,18:20,18:37,0080 ,0093,17,18:34,0003,0000,0000,0017,0000,0000,
  DL,10/02/2015,2776,N997AT,LAX,20:24,20:39,0084 ,0083,15,20:34,0005,0000,0000,0000,0000,0015,
  DL,10/02/2015,2778,N935AT,LAX,21:25,21:21,0085 ,0082,-4,21:16,0005,0000,0000,0000,0000,0000,
  DL,10/03/2015,0241,N833DN,ATL,21:39,21:38,0314 ,0287,-1,21:32,0006,0000,0000,0000,0000,0000,
  DL,10/03/2015,0415,N180DN,JFK,19:09,18:37,0394 ,0354,-32,18:31,0006,0000,0000,0000,0000,0000,
  DL,10/03/2015,0430,N169DZ,JFK,15:00,14:43,0375 ,0354,-17,14:31,0012,0000,0000,0000,0000,0000,
  DL,10/03/2015,0435,N711ZX,JFK,23:38,00:11,0398 ,0380,33,00:05,0006,0007,0000,0000,0000,0026,
  DL,10/03/2015,0469,N721TW,JFK,11:20,11:23,0380 ,0384,3,11:17,0006,0000,0000,0000,0000,0000,
  DL,10/03/2015,0650,N836DN,DTW,17:57,20:02,0302 ,0423,125,19:54,0008,0000,0000,0000,0000,0000,
  DL,10/03/2015,0745,N129DL,DTW,10:53,10:22,0308 ,0279,-31,10:15,0007,0000,0000,0000,0000,0000,
  DL,10/03/2015,1151,N3754A,MSP,13:43,13:30,0238 ,0232,-13,13:19,0011,0000,0000,0000,0000,0000,
  DL,10/03/2015,1305,N822DN,SLC,16:11,15:57,0116 ,0103,-14,15:54,0003,0000,0000,0000,0000,0000,
  DL,10/03/2015,1420,N812DN,DTW,21:51,22:29,0305 ,0297,38,22:22,0007,0038,0000,0000,0000,0000,
  DL,10/03/2015,1650,N354NW,SLC,12:23,12:10,0122 ,0112,-13,12:03,0007,0000,0000,0000,0000,0000,
  DL,10/03/2015,1680,N825DN,ATL,13:26,13:03,0319 ,0302,-23,12:59,0004,0000,0000,0000,0000,0000,
  DL,10/03/2015,1705,N807DN,ATL,16:01,16:29,0320 ,0292,28,16:20,0009,0028,0000,0000,0000,0000,
  DL,10/03/2015,1775,N121DE,ATL,18:47,18:43,0322 ,0321,-4,18:34,0009,0000,0000,0000,0000,0000,
  DL,10/03/2015,2049,N820DN,ATL,10:27,10:06,0312 ,0294,-21,10:02,0004,0000,0000,0000,0000,0000,
