
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,09/01/2014,0241,N6706Q,ATL,20:07,19:42,0317 ,-25,19:38,0004,0000,0000,0000,0000,0000,
  DL,09/01/2014,0415,N702TW,JFK,20:20,21:04,0411 ,44,20:58,0006,0000,0000,0044,0000,0000,
  DL,09/01/2014,0430,N713TW,JFK,10:30,10:13,0390 ,-17,10:09,0004,0000,0000,0000,0000,0000,
  DL,09/01/2014,0432,N704X ,JFK,18:04,17:30,0394 ,-34,17:23,0007,0000,0000,0000,0000,0000,
  DL,09/01/2014,0434,N722TW,JFK,15:10,14:43,0385 ,-27,14:39,0004,0000,0000,0000,0000,0000,
  DL,09/01/2014,0435,N717TW,JFK,22:59,23:24,0404 ,25,23:19,0005,0011,0000,0014,0000,0000,
  DL,09/01/2014,0469,N723TW,JFK,12:34,12:22,0394 ,-12,12:14,0008,0000,0000,0000,0000,0000,
  DL,09/01/2014,0745,N130DL,DTW,10:54,11:00,0319 ,6,10:51,0009,0000,0000,0000,0000,0000,
  DL,09/01/2014,0793,N681DA,DTW,14:21,14:26,0309 ,5,14:11,0015,0000,0000,0000,0000,0000,
  DL,09/01/2014,0998,N3769L,MSP,23:53,23:59,0243 ,6,23:39,0020,0000,0000,0000,0000,0000,
  DL,09/01/2014,1145,N583NW,DTW,18:08,18:07,0313 ,-1,18:02,0005,0000,0000,0000,0000,0000,
  DL,09/01/2014,1151,N596NW,MSP,14:06,13:44,0251 ,-22,13:34,0010,0000,0000,0000,0000,0000,
  DL,09/01/2014,1152,N592NW,HNL,06:03,05:45,0311 ,-18,05:38,0007,0000,0000,0000,0000,0000,
  DL,09/01/2014,1505,N128DL,MSP,20:04,19:58,0259 ,-6,19:51,0007,0000,0000,0000,0000,0000,
  DL,09/01/2014,1649,N3758Y,ATL,23:56,23:30,0306 ,-26,23:26,0004,0000,0000,0000,0000,0000,
  DL,09/01/2014,1680,N585NW,ATL,13:08,12:36,0318 ,-32,12:30,0006,0000,0000,0000,0000,0000,
  DL,09/01/2014,1731,N822DN,DTW,20:04,19:59,0309 ,-5,19:54,0005,0000,0000,0000,0000,0000,
