
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Arrival Delay(Minutes),Wheels-on Time,Taxi-in Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,09/01/2015,0065,N593NW,ATL,21:37,21:15,0312 ,0290,-22,21:10,0005,0000,0000,0000,0000,0000,
  DL,09/01/2015,0415,N709TW,JFK,19:16,19:00,0401 ,0365,-16,18:54,0006,0000,0000,0000,0000,0000,
  DL,09/01/2015,0430,N713TW,JFK,15:07,14:57,0382 ,0378,-10,14:48,0009,0000,0000,0000,0000,0000,
  DL,09/01/2015,0434,N710TW,JFK,12:30,12:03,0390 ,0371,-27,11:59,0004,0000,0000,0000,0000,0000,
  DL,09/01/2015,0454,N723TW,JFK,20:24,19:48,0399 ,0366,-36,19:41,0007,0000,0000,0000,0000,0000,
  DL,09/01/2015,0469,N721TW,JFK,10:29,09:41,0389 ,0349,-48,09:37,0004,0000,0000,0000,0000,0000,
  DL,09/01/2015,1151,N3738B,MSP,13:42,13:37,0242 ,0239,-5,13:30,0007,0000,0000,0000,0000,0000,
  DL,09/01/2015,1172,N137DL,ATL,00:15,00:13,0310 ,0313,-2,23:57,0016,0000,0000,0000,0000,0000,
  DL,09/01/2015,1505,N802DN,MSP,19:56,19:54,0246 ,0247,-2,19:37,0017,0000,0000,0000,0000,0000,
  DL,09/01/2015,1593,N351NW,MSP,17:55,17:48,0245 ,0241,-7,17:42,0006,0000,0000,0000,0000,0000,
  DL,09/01/2015,1658,N587NW,DTW,19:50,19:40,0305 ,0296,-10,19:35,0005,0000,0000,0000,0000,0000,
  DL,09/01/2015,1680,N588NW,ATL,13:25,13:35,0311 ,0321,10,13:25,0010,0000,0000,0000,0000,0000,
  DL,09/01/2015,1722,N819DN,DTW,17:51,17:43,0304 ,0297,-8,17:33,0010,0000,0000,0000,0000,0000,
  DL,09/01/2015,1775,N817DN,ATL,18:55,18:43,0315 ,0293,-12,18:31,0012,0000,0000,0000,0000,0000,
  DL,09/01/2015,1794,N616DL,DTW,11:00,10:51,0310 ,0306,-9,10:44,0007,0000,0000,0000,0000,0000,
  DL,09/01/2015,2022,N348NW,MSP,09:20,09:12,0245 ,0244,-8,09:03,0009,0000,0000,0000,0000,0000,
  DL,09/01/2015,2049,N833DN,ATL,10:20,09:58,0308 ,0288,-22,09:54,0004,0000,0000,0000,0000,0000,
  DL,09/01/2015,2092,N139DL,DTW,21:55,23:32,0310 ,0303,97,23:27,0005,0087,0000,0000,0000,0010,
  DL,09/01/2015,2209,N675DL,MSP,21:32,21:26,0247 ,0244,-6,21:21,0005,0000,0000,0000,0000,0000,
  DL,09/01/2015,2265,N136DL,ATL,12:05,11:36,0313 ,0285,-29,11:24,0012,0000,0000,0000,0000,0000,
  DL,09/01/2015,2305,N803DN,MSP,11:26,11:16,0246 ,0241,-10,11:04,0012,0000,0000,0000,0000,0000,
  DL,09/01/2015,2375,N355NW,SLC,12:24,12:17,0124 ,0121,-7,12:09,0008,0000,0000,0000,0000,0000,
  DL,09/01/2015,2381,N673DL,SLC,22:50,22:48,0125 ,0125,-2,22:37,0011,0000,0000,0000,0000,0000,
  DL,09/01/2015,2480,N3763D,ATL,16:03,15:35,0313 ,0288,-28,15:28,0007,0000,0000,0000,0000,0000,
  DL,09/01/2015,2621,N811DZ,DTW,14:30,14:02,0308 ,0283,-28,13:58,0004,0000,0000,0000,0000,0000,
  DL,09/01/2015,2754,N893AT,LAX,08:25,08:20,0085 ,0089,-5,08:17,0003,0000,0000,0000,0000,0000,
  DL,09/01/2015,2756,N986AT,LAX,10:25,10:11,0085 ,0078,-14,10:07,0004,0000,0000,0000,0000,0000,
  DL,09/01/2015,2758,N961AT,LAX,18:24,18:16,0084 ,0076,-8,18:13,0003,0000,0000,0000,0000,0000,
  DL,09/01/2015,2760,N961AT,LAX,12:20,12:13,0080 ,0080,-7,12:10,0003,0000,0000,0000,0000,0000,
  DL,09/01/2015,2764,N975AT,LAX,14:24,14:35,0084 ,0074,11,14:32,0003,0000,0000,0000,0000,0000,
  DL,09/01/2015,2768,N987AT,LAX,16:21,16:23,0081 ,0090,2,16:19,0004,0000,0000,0000,0000,0000,
  DL,09/01/2015,2776,N987AT,LAX,20:25,20:08,0085 ,0073,-17,20:05,0003,0000,0000,0000,0000,0000,
  DL,09/01/2015,2778,N938AT,LAX,21:28,21:07,0088 ,0072,-21,21:03,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,0065,N812DN,ATL,21:38,21:12,0313 ,0287,-26,21:05,0007,0000,0000,0000,0000,0000,
  DL,09/02/2015,0415,N711ZX,JFK,19:16,19:54,0401 ,0437,38,19:45,0009,0000,0000,0038,0000,0000,
  DL,09/02/2015,0430,N705TW,JFK,15:07,14:49,0382 ,0367,-18,14:43,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,0434,N624AG,JFK,12:30,12:21,0390 ,0386,-9,12:15,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,0454,N723TW,JFK,20:24,20:29,0399 ,0394,5,20:25,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,0469,N713TW,JFK,10:29,10:05,0389 ,0372,-24,10:01,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,1151,N373DA,MSP,13:42,13:47,0242 ,0249,5,13:37,0010,0000,0000,0000,0000,0000,
  DL,09/02/2015,1172,N825DN,ATL,00:14,00:09,0309 ,0304,-5,00:01,0008,0000,0000,0000,0000,0000,
  DL,09/02/2015,1208,N333NB,SLC,09:34,09:51,0124 ,0121,17,09:46,0005,0000,0000,0017,0000,0000,
  DL,09/02/2015,1505,N841DN,MSP,19:56,19:50,0246 ,0239,-6,19:41,0009,0000,0000,0000,0000,0000,
  DL,09/02/2015,1593,N337NW,MSP,17:35,17:15,0245 ,0230,-20,17:10,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,1640,N315US,CVG,11:23,11:06,0293 ,0278,-17,11:00,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,1658,N593NW,DTW,19:50,19:34,0305 ,0293,-16,19:29,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,1680,N805DN,ATL,13:26,13:02,0312 ,0287,-24,12:57,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,1722,N820DN,DTW,17:51,17:33,0304 ,0288,-18,17:29,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,1775,N817DN,ATL,18:55,18:33,0315 ,0290,-22,18:30,0003,0000,0000,0000,0000,0000,
  DL,09/02/2015,1794,N809DN,DTW,11:00,11:13,0310 ,0330,13,11:06,0007,0000,0000,0000,0000,0000,
  DL,09/02/2015,2022,N329NW,MSP,09:20,09:12,0245 ,0238,-8,09:08,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,2049,N832DN,ATL,10:20,10:10,0308 ,0298,-10,10:05,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,2092,N136DL,DTW,21:55,22:16,0310 ,0289,21,22:08,0008,0012,0000,0000,0000,0009,
  DL,09/02/2015,2209,N672DL,MSP,23:29,23:40,0239 ,0240,11,23:34,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,2265,N139DL,ATL,12:05,11:49,0313 ,0307,-16,11:43,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,2305,N833DN,MSP,11:26,11:38,0246 ,0240,12,11:31,0007,0000,0000,0000,0000,0000,
  DL,09/02/2015,2375,N354NW,SLC,12:24,11:58,0124 ,0114,-26,11:54,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,2381,N6706Q,SLC,22:50,23:03,0125 ,0122,13,22:58,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,2480,N383DN,ATL,16:03,15:34,0313 ,0289,-29,15:25,0009,0000,0000,0000,0000,0000,
  DL,09/02/2015,2621,N838DN,DTW,14:30,14:19,0308 ,0299,-11,14:14,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,2754,N987AT,LAX,08:25,08:11,0085 ,0075,-14,08:08,0003,0000,0000,0000,0000,0000,
  DL,09/02/2015,2756,N938AT,LAX,10:25,10:32,0085 ,0083,7,10:26,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,2758,N938AT,LAX,18:24,18:39,0084 ,0092,15,18:36,0003,0000,0000,0008,0000,0007,
  DL,09/02/2015,2760,N925AT,LAX,12:20,12:27,0080 ,0094,7,12:21,0006,0000,0000,0000,0000,0000,
  DL,09/02/2015,2764,N938AT,LAX,14:24,14:24,0084 ,0085,0,14:19,0005,0000,0000,0000,0000,0000,
  DL,09/02/2015,2768,N893AT,LAX,16:21,16:15,0081 ,0080,-6,16:11,0004,0000,0000,0000,0000,0000,
  DL,09/02/2015,2776,N893AT,LAX,20:25,21:35,0085 ,0089,70,21:30,0005,0000,0000,0070,0000,0000,
  DL,09/02/2015,2778,N891AT,LAX,21:28,22:42,0088 ,0082,74,22:35,0007,0000,0000,0074,0000,0000,
  DL,09/03/2015,0065,N844DN,ATL,21:38,21:25,0313 ,0298,-13,21:14,0011,0000,0000,0000,0000,0000,
  DL,09/03/2015,0415,N718TW,JFK,19:16,19:54,0401 ,0426,38,19:49,0005,0013,0000,0025,0000,0000,
  DL,09/03/2015,0430,N712TW,JFK,15:07,14:55,0382 ,0346,-12,14:50,0005,0000,0000,0000,0000,0000,
  DL,09/03/2015,0434,N711ZX,JFK,12:30,12:26,0390 ,0394,-4,12:08,0018,0000,0000,0000,0000,0000,
  DL,09/03/2015,0435,N710TW,JFK,23:41,00:15,0401 ,0404,34,24:00,0015,0031,0000,0003,0000,0000,
  DL,09/03/2015,0454,N723TW,JFK,20:24,20:49,0399 ,0426,25,20:37,0012,0000,0000,0025,0000,0000,
  DL,09/03/2015,0469,N706TW,JFK,10:29,09:56,0389 ,0359,-33,09:52,0004,0000,0000,0000,0000,0000,
  DL,09/03/2015,1151,N398DA,MSP,13:42,13:34,0242 ,0238,-8,13:25,0009,0000,0000,0000,0000,0000,
  DL,09/03/2015,1172,N137DL,ATL,00:15,00:35,0310 ,0325,20,00:30,0005,0000,0000,0020,0000,0000,
  DL,09/03/2015,1208,N301NB,SLC,09:34,09:25,0124 ,0121,-9,09:17,0008,0000,0000,0000,0000,0000,
  DL,09/03/2015,1505,N833DN,MSP,19:56,19:52,0246 ,0232,-4,19:44,0008,0000,0000,0000,0000,0000,
  DL,09/03/2015,1593,N330NW,MSP,17:35,17:16,0245 ,0230,-19,17:09,0007,0000,0000,0000,0000,0000,
  DL,09/03/2015,1640,N3771K,CVG,11:20,10:57,0290 ,0271,-23,10:51,0006,0000,0000,0000,0000,0000,
  DL,09/03/2015,1658,N584NW,DTW,19:50,23:15,0305 ,0489,205,22:52,0023,0000,0000,0000,0000,0000,
  DL,09/03/2015,1680,N583NW,ATL,13:25,12:57,0311 ,0285,-28,12:52,0005,0000,0000,0000,0000,0000,
  DL,09/03/2015,1722,N806DN,DTW,17:51,23:18,0304 ,0285,327,23:11,0007,0327,0000,0000,0000,0000,
  DL,09/03/2015,1775,N817DN,ATL,18:55,19:23,0315 ,0296,28,19:18,0005,0000,0005,0000,0000,0023,
  DL,09/03/2015,1794,N823DN,DTW,11:00,10:37,0310 ,0291,-23,10:29,0008,0000,0000,0000,0000,0000,
  DL,09/03/2015,2022,N353NW,MSP,09:20,09:02,0245 ,0229,-18,08:56,0006,0000,0000,0000,0000,0000,
  DL,09/03/2015,2049,N809DN,ATL,10:20,09:58,0308 ,0288,-22,09:48,0010,0000,0000,0000,0000,0000,
  DL,09/03/2015,2092,N126DL,DTW,21:55,22:55,0310 ,0301,60,22:49,0006,0000,0050,0000,0000,0010,
  DL,09/03/2015,2209,N617DL,MSP,21:32,22:12,0247 ,0230,40,22:07,0005,0040,0000,0000,0000,0000,
  DL,09/03/2015,2265,N125DL,ATL,12:05,11:54,0313 ,0303,-11,11:45,0009,0000,0000,0000,0000,0000,
  DL,09/03/2015,2305,N832DN,MSP,11:26,11:07,0246 ,0222,-19,11:02,0005,0000,0000,0000,0000,0000,
  DL,09/03/2015,2375,N368NW,SLC,12:24,12:15,0124 ,0118,-9,12:12,0003,0000,0000,0000,0000,0000,
  DL,09/03/2015,2381,N6706Q,SLC,22:50,22:50,0125 ,0127,0,22:41,0009,0000,0000,0000,0000,0000,
  DL,09/03/2015,2480,N394DA,ATL,16:03,16:04,0313 ,0294,1,15:55,0009,0000,0000,0000,0000,0000,
  DL,09/03/2015,2621,N835DN,DTW,14:30,14:53,0308 ,0287,23,14:48,0005,0017,0000,0000,0000,0006,
  DL,09/03/2015,2754,N893AT,LAX,08:25,08:14,0085 ,0076,-11,08:10,0004,0000,0000,0000,0000,0000,
  DL,09/03/2015,2756,N891AT,LAX,10:25,10:38,0085 ,0095,13,10:33,0005,0000,0000,0000,0000,0000,
  DL,09/03/2015,2758,N891AT,LAX,18:24,18:21,0084 ,0078,-3,18:18,0003,0000,0000,0000,0000,0000,
  DL,09/03/2015,2760,N960AT,LAX,12:20,12:33,0080 ,0089,13,12:30,0003,0000,0000,0000,0000,0000,
  DL,09/03/2015,2764,N891AT,LAX,14:24,14:16,0084 ,0080,-8,14:10,0006,0000,0000,0000,0000,0000,
  DL,09/03/2015,2768,N961AT,LAX,16:21,16:31,0081 ,0096,10,16:28,0003,0000,0000,0000,0000,0000,
  DL,09/03/2015,2776,N961AT,LAX,20:25,20:19,0085 ,0083,-6,20:14,0005,0000,0000,0000,0000,0000,
  DL,09/03/2015,2778,N975AT,LAX,21:28,21:13,0088 ,0076,-15,21:06,0007,0000,0000,0000,0000,0000,
  DL,09/04/2015,0065,N810DN,ATL,21:38,22:05,0313 ,0308,27,21:59,0006,0027,0000,0000,0000,0000,
  DL,09/04/2015,0415,N624AG,JFK,19:16,19:33,0401 ,0419,17,19:24,0009,0000,0000,0017,0000,0000,
  DL,09/04/2015,0430,N711ZX,JFK,15:07,14:56,0382 ,0374,-11,14:42,0014,0000,0000,0000,0000,0000,
  DL,09/04/2015,0434,N723TW,JFK,12:30,12:17,0390 ,0382,-13,12:13,0004,0000,0000,0000,0000,0000,
  DL,09/04/2015,0435,N710TW,JFK,23:41,23:54,0401 ,0413,13,23:48,0006,0000,0000,0000,0000,0000,
  DL,09/04/2015,0454,N712TW,JFK,20:24,20:25,0399 ,0402,1,20:14,0011,0000,0000,0000,0000,0000,
  DL,09/04/2015,0469,N718TW,JFK,10:29,10:13,0389 ,0379,-16,10:06,0007,0000,0000,0000,0000,0000,
  DL,09/04/2015,1151,N3733Z,MSP,13:42,13:42,0242 ,0247,0,13:36,0006,0000,0000,0000,0000,0000,
  DL,09/04/2015,1172,N841DN,ATL,00:14,00:16,0309 ,0313,2,23:51,0025,0000,0000,0000,0000,0000,
  DL,09/04/2015,1208,N301NB,SLC,09:34,09:23,0124 ,0120,-11,09:18,0005,0000,0000,0000,0000,0000,
  DL,09/04/2015,1505,N815DN,MSP,19:56,19:53,0246 ,0249,-3,19:45,0008,0000,0000,0000,0000,0000,
  DL,09/04/2015,1593,N325US,MSP,17:35,17:32,0245 ,0243,-3,17:26,0006,0000,0000,0000,0000,0000,
  DL,09/04/2015,1640,N3745B,CVG,11:20,11:12,0290 ,0284,-8,11:05,0007,0000,0000,0000,0000,0000,
  DL,09/04/2015,1658,N584NW,DTW,19:50,19:44,0305 ,0299,-6,19:35,0009,0000,0000,0000,0000,0000,
  DL,09/04/2015,1680,N590NW,ATL,13:25,13:28,0311 ,0300,3,13:20,0008,0000,0000,0000,0000,0000,
  DL,09/04/2015,1722,N838DN,DTW,17:51,17:47,0304 ,0301,-4,17:43,0004,0000,0000,0000,0000,0000,
  DL,09/04/2015,1775,N817DN,ATL,18:55,18:55,0315 ,0299,0,18:48,0007,0000,0000,0000,0000,0000,
  DL,09/04/2015,1794,N813DN,DTW,11:00,10:51,0310 ,0304,-9,10:45,0006,0000,0000,0000,0000,0000,
  DL,09/04/2015,2022,N324US,MSP,09:20,09:06,0245 ,0235,-14,08:59,0007,0000,0000,0000,0000,0000,
  DL,09/04/2015,2049,N837DN,ATL,10:20,10:10,0308 ,0298,-10,10:02,0008,0000,0000,0000,0000,0000,
  DL,09/04/2015,2092,N136DL,DTW,21:55,22:20,0310 ,0303,25,22:09,0011,0004,0000,0000,0000,0021,
  DL,09/04/2015,2209,N683DA,MSP,21:32,21:52,0247 ,0269,20,21:43,0009,0000,0000,0020,0000,0000,
  DL,09/04/2015,2265,N125DL,ATL,12:05,12:17,0313 ,0310,12,12:04,0013,0000,0000,0000,0000,0000,
  DL,09/04/2015,2305,N809DN,MSP,11:26,11:20,0246 ,0243,-6,11:15,0005,0000,0000,0000,0000,0000,
  DL,09/04/2015,2375,N344NW,SLC,12:24,12:25,0124 ,0128,1,12:11,0014,0000,0000,0000,0000,0000,
  DL,09/04/2015,2381,N6712B,SLC,22:50,22:57,0125 ,0135,7,22:45,0012,0000,0000,0000,0000,0000,
  DL,09/04/2015,2480,N3743H,ATL,16:03,15:53,0313 ,0304,-10,15:47,0006,0000,0000,0000,0000,0000,
  DL,09/04/2015,2621,N839DN,DTW,14:30,14:36,0308 ,0299,6,14:24,0012,0000,0000,0000,0000,0000,
  DL,09/04/2015,2754,N961AT,LAX,08:25,08:22,0085 ,0085,-3,08:13,0009,0000,0000,0000,0000,0000,
  DL,09/04/2015,2756,N975AT,LAX,10:25,10:26,0085 ,0081,1,10:17,0009,0000,0000,0000,0000,0000,
  DL,09/04/2015,2758,N975AT,LAX,18:24,18:37,0084 ,0076,13,18:34,0003,0000,0000,0000,0000,0000,
  DL,09/04/2015,2760,N983AT,LAX,12:20,13:06,0080 ,0097,46,13:02,0004,0000,0000,0017,0000,0029,
  DL,09/04/2015,2764,N975AT,LAX,14:24,14:22,0084 ,0074,-2,14:17,0005,0000,0000,0000,0000,0000,
  DL,09/04/2015,2768,N893AT,LAX,16:21,16:13,0081 ,0079,-8,16:08,0005,0000,0000,0000,0000,0000,
  DL,09/04/2015,2776,N893AT,LAX,20:25,20:26,0085 ,0076,1,20:22,0004,0000,0000,0000,0000,0000,
  DL,09/04/2015,2778,N925AT,LAX,21:28,22:06,0088 ,0084,38,22:02,0004,0038,0000,0000,0000,0000,
  DL,09/05/2015,0065,N584NW,ATL,21:45,21:35,0310 ,0300,-10,21:20,0015,0000,0000,0000,0000,0000,
  DL,09/05/2015,0415,N713TW,JFK,20:06,19:31,0396 ,0364,-35,19:25,0006,0000,0000,0000,0000,0000,
  DL,09/05/2015,0430,N727TW,JFK,16:36,16:11,0381 ,0359,-25,16:07,0004,0000,0000,0000,0000,0000,
  DL,09/05/2015,0435,N718TW,JFK,23:36,23:23,0397 ,0390,-13,23:17,0006,0000,0000,0000,0000,0000,
  DL,09/05/2015,0469,N723TW,JFK,12:30,11:53,0390 ,0356,-37,11:49,0004,0000,0000,0000,0000,0000,
  DL,09/05/2015,1151,N667DN,MSP,13:37,13:51,0237 ,0252,14,13:46,0005,0000,0000,0000,0000,0000,
  DL,09/05/2015,1208,N331NB,SLC,09:32,09:19,0122 ,0116,-13,09:14,0005,0000,0000,0000,0000,0000,
  DL,09/05/2015,1680,N594NW,ATL,13:22,13:13,0308 ,0297,-9,13:03,0010,0000,0000,0000,0000,0000,
  DL,09/05/2015,1722,N805DN,DTW,17:47,17:49,0302 ,0304,2,17:45,0004,0000,0000,0000,0000,0000,
  DL,09/05/2015,1775,N817DN,ATL,18:52,18:35,0312 ,0285,-17,18:31,0004,0000,0000,0000,0000,0000,
  DL,09/05/2015,1794,N802DN,DTW,10:58,11:02,0308 ,0300,4,10:56,0006,0000,0000,0000,0000,0000,
  DL,09/05/2015,2049,N832DN,ATL,10:17,10:05,0305 ,0294,-12,10:00,0005,0000,0000,0000,0000,0000,
  DL,09/05/2015,2092,N823DN,DTW,22:07,22:16,0306 ,0310,9,22:09,0007,0000,0000,0000,0000,0000,
  DL,09/05/2015,2209,N810DN,MSP,21:30,21:29,0245 ,0249,-1,21:15,0014,0000,0000,0000,0000,0000,
  DL,09/05/2015,2265,N139DL,ATL,12:00,11:51,0310 ,0303,-9,11:44,0007,0000,0000,0000,0000,0000,
  DL,09/05/2015,2305,N587NW,MSP,11:23,11:26,0243 ,0247,3,11:23,0003,0000,0000,0000,0000,0000,
  DL,09/05/2015,2375,N338NW,SLC,12:22,12:40,0122 ,0115,18,12:35,0005,0000,0000,0000,0000,0018,
  DL,09/05/2015,2480,N845DN,ATL,16:00,15:37,0310 ,0287,-23,15:32,0005,0000,0000,0000,0000,0000,
