
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): April
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,04/01/2014,0061,N805DN,ATL,11:55,12:27,0273 ,0282,32,12:55,0028,0000,0022,0009,0000,0010,
  DL,04/01/2014,0240,N126DL,ATL,06:00,05:57,0275 ,0246,-3,06:17,0020,0000,0000,0000,0000,0000,
  DL,04/01/2014,0414,N718TW,JFK,08:45,08:39,0323 ,0305,-6,09:08,0029,0000,0000,0000,0000,0000,
  DL,04/01/2014,0418,N624AG,JFK,06:45,06:38,0324 ,0304,-7,07:00,0022,0000,0000,0000,0000,0000,
  DL,04/01/2014,0468,N702TW,JFK,11:30,11:27,0329 ,0335,-3,12:17,0050,0000,0000,0000,0000,0000,
  DL,04/01/2014,0806,N336NW,MSP,00:40,00:39,0211 ,0202,-1,00:57,0018,0000,0000,0000,0000,0000,
  DL,04/01/2014,0854,N124DE,DTW,07:00,07:28,0271 ,0250,28,07:56,0028,0000,0000,0000,0000,0000,
  DL,04/01/2014,1106,N394DA,MSP,07:45,07:37,0210 ,0215,-8,08:07,0030,0000,0000,0000,0000,0000,
  DL,04/01/2014,1303,N684DA,DTW,13:15,13:40,0275 ,0242,25,14:02,0022,0000,0000,0000,0000,0000,
  DL,04/01/2014,1420,N811DZ,DTW,11:30,11:34,0269 ,0279,4,12:00,0026,0000,0000,0000,0000,0000,
  DL,04/01/2014,1480,N698DL,ATL,22:30,23:20,0268 ,0259,50,23:44,0024,0000,0000,0000,0000,0041,
  DL,04/01/2014,1866,N138DL,ATL,07:45,07:42,0269 ,0268,-3,08:17,0035,0000,0000,0000,0000,0000,
  DL,04/01/2014,1880,N813DN,ATL,23:45,00:19,0263 ,0254,34,00:36,0017,0006,0000,0000,0000,0019,
  DL,04/01/2014,1887,N686DA,MSP,06:30,06:23,0216 ,0202,-7,06:50,0027,0000,0000,0000,0000,0000,
  DL,04/01/2014,2040,N704X ,JFK,21:45,21:41,0323 ,0303,-4,22:05,0024,0000,0000,0000,0000,0000,
  DL,04/01/2014,2105,N687DL,MSP,15:06,16:16,0215 ,0194,70,16:38,0022,0006,0000,0000,0000,0043,
  DL,04/01/2014,2305,N323US,MSP,12:30,12:44,0216 ,0210,14,13:13,0029,0000,0000,0000,0000,0000,
  DL,04/01/2014,2340,N703TW,JFK,16:00,15:55,0322 ,0309,-5,16:18,0023,0000,0000,0000,0000,0000,
  DL,04/01/2014,2375,N3732J,SLC,13:19,14:14,0106 ,0102,55,14:31,0017,0000,0000,0000,0000,0051,
  DL,04/01/2014,2492,N688DL,ATL,14:15,15:28,0272 ,0239,73,15:44,0016,0008,0000,0000,0000,0032,
  DL,04/01/2014,2557,N136DL,DTW,22:51,22:48,0274 ,0257,-3,23:11,0023,0000,0000,0000,0000,0000,
  DL,04/02/2014,0061,N804DN,ATL,11:55,11:54,0273 ,0257,-1,12:06,0012,0000,0000,0000,0000,0000,
  DL,04/02/2014,0240,N124DE,ATL,06:00,06:24,0275 ,0253,24,06:41,0017,0000,0000,0000,0000,0000,
  DL,04/02/2014,0414,N624AG,JFK,08:45,08:39,0323 ,0294,-6,08:51,0012,0000,0000,0000,0000,0000,
  DL,04/02/2014,0418,N711ZX,JFK,06:45,06:38,0324 ,0293,-7,06:48,0010,0000,0000,0000,0000,0000,
  DL,04/02/2014,0468,N703TW,JFK,11:30,11:26,0329 ,0311,-4,11:39,0013,0000,0000,0000,0000,0000,
  DL,04/02/2014,0854,N126DL,DTW,07:00,06:51,0271 ,0249,-9,07:08,0017,0000,0000,0000,0000,0000,
  DL,04/02/2014,1106,N3763D,MSP,07:45,07:44,0210 ,0197,-1,08:00,0016,0000,0000,0000,0000,0000,
  DL,04/02/2014,1303,N609DL,DTW,13:15,13:09,0275 ,0253,-6,13:25,0016,0000,0000,0000,0000,0000,
  DL,04/02/2014,1420,N815DN,DTW,11:30,11:27,0269 ,0266,-3,11:46,0019,0000,0000,0000,0000,0000,
  DL,04/02/2014,1480,N694DL,ATL,22:30,22:28,0268 ,0270,-2,22:43,0015,0000,0000,0000,0000,0000,
  DL,04/02/2014,1866,N139DL,ATL,07:45,07:41,0269 ,0257,-4,07:54,0013,0000,0000,0000,0000,0000,
  DL,04/02/2014,1880,N811DZ,ATL,23:45,00:03,0263 ,0259,18,00:16,0013,0000,0000,0000,0000,0000,
  DL,04/02/2014,1887,N662DN,MSP,06:30,06:23,0216 ,0202,-7,06:40,0017,0000,0000,0000,0000,0000,
  DL,04/02/2014,2040,N717TW,JFK,21:45,21:44,0323 ,0302,-1,21:55,0011,0000,0000,0000,0000,0000,
