
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): August
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,08/01/2015,0061,N803DN,ATL,11:55,12:06,0296 ,0268,11,12:23,0017,0000,0000,0000,0000,0000,
  DL,08/01/2015,0064,N128DL,ATL,07:30,07:40,0284 ,0265,10,07:53,0013,0000,0000,0000,0000,0000,
  DL,08/01/2015,0414,N723TW,JFK,08:30,08:28,0347 ,0319,-2,08:48,0020,0000,0000,0000,0000,0000,
  DL,08/01/2015,0468,N706TW,JFK,12:25,12:48,0351 ,0308,23,13:01,0013,0000,0000,0000,0000,0000,
  DL,08/01/2015,0745,N835DN,DTW,11:29,11:29,0271 ,0257,0,11:47,0018,0000,0000,0000,0000,0000,
  DL,08/01/2015,0759,N583NW,ATL,22:20,22:18,0275 ,0270,-2,22:39,0021,0000,0000,0000,0000,0000,
  DL,08/01/2015,0806,N130DL,MSP,00:30,00:37,0210 ,0193,7,00:53,0016,0000,0000,0000,0000,0000,
  DL,08/01/2015,0854,N322US,DTW,06:45,06:43,0281 ,0271,-2,07:10,0027,0000,0000,0000,0000,0000,
  DL,08/01/2015,0964,N594NW,MSP,12:30,13:04,0211 ,0205,34,13:18,0014,0028,0000,0000,0000,0000,
  DL,08/01/2015,1070,N309US,MSP,08:30,08:24,0217 ,0197,-6,08:36,0012,0000,0000,0000,0000,0000,
  DL,08/01/2015,1151,N585NW,HNL,15:05,15:11,0326 ,0311,6,15:25,0014,0000,0000,0000,0000,0000,
  DL,08/01/2015,1210,N699DL,ATL,06:10,07:20,0291 ,0259,70,07:35,0015,0038,0000,0000,0000,0000,
  DL,08/01/2015,1632,N823DN,DTW,22:45,22:45,0268 ,0260,0,23:07,0022,0000,0000,0000,0000,0000,
  DL,08/01/2015,1859,N712TW,JFK,06:10,06:07,0346 ,0316,-3,06:28,0021,0000,0000,0000,0000,0000,
  DL,08/01/2015,1880,N3758Y,ATL,16:36,16:40,0285 ,0260,4,16:55,0015,0000,0000,0000,0000,0000,
  DL,08/01/2015,2105,N802DN,MSP,15:15,15:16,0211 ,0195,1,15:31,0015,0000,0000,0000,0000,0000,
  DL,08/01/2015,2195,N121DE,ATL,14:10,14:35,0290 ,0270,25,14:51,0016,0000,0000,0000,0000,0000,
  DL,08/01/2015,2240,N712TW,JFK,21:13,21:13,0331 ,0309,0,21:26,0013,0000,0000,0000,0000,0000,
  DL,08/01/2015,2375,N315US,SLC,13:00,13:11,0110 ,0099,11,13:24,0013,0000,0000,0000,0000,0000,
  DL,08/01/2015,2559,N832DN,ATL,09:55,10:05,0292 ,0261,10,10:17,0012,0000,0000,0000,0000,0000,
  DL,08/01/2015,2566,N581NW,MSP,06:25,06:24,0215 ,0194,-1,06:34,0010,0000,0000,0000,0000,0000,
  DL,08/01/2015,2758,N949AT,LAX,17:00,16:57,0085 ,0100,-3,17:29,0032,0000,0000,0000,0000,0000,
