
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,12/01/2014,0061,N6716C,ATL,12:00,12:16,0269 ,0267,16,12:45,0029,0000,0000,0000,0000,0000,
  DL,12/01/2014,0240,N126DL,ATL,07:45,07:43,0268 ,0244,-2,07:56,0013,0000,0000,0000,0000,0000,
  DL,12/01/2014,0367,N807DN,SLC,16:40,17:49,0107 ,0097,69,18:09,0020,0014,0000,0000,0000,0045,
  DL,12/01/2014,0406,N376NW,MSP,12:35,13:36,0211 ,0198,61,13:49,0013,0017,0000,0000,0000,0031,
  DL,12/01/2014,0414,N713TW,JFK,08:30,08:27,0324 ,0295,-3,08:39,0012,0000,0000,0000,0000,0000,
  DL,12/01/2014,0418,N721TW,JFK,06:45,06:38,0328 ,0313,-7,06:57,0019,0000,0000,0000,0000,0000,
  DL,12/01/2014,0468,N704X ,JFK,11:35,12:08,0323 ,0293,33,12:22,0014,0000,0000,0000,0000,0000,
  DL,12/01/2014,0806,N338NW,MSP,00:35,00:35,0213 ,0190,0,00:47,0012,0000,0000,0000,0000,0000,
  DL,12/01/2014,0854,N3740C,DTW,07:00,07:04,0267 ,0255,4,07:23,0019,0000,0000,0000,0000,0000,
  DL,12/01/2014,0935,N627DL,DTW,11:25,11:51,0270 ,0245,26,12:02,0011,0000,0000,0000,0000,0000,
  DL,12/01/2014,1106,N682DA,MSP,08:30,08:27,0215 ,0198,-3,08:41,0014,0000,0000,0000,0000,0000,
  DL,12/01/2014,1221,N824DN,ATL,09:10,09:09,0275 ,0246,-1,09:23,0014,0000,0000,0000,0000,0000,
  DL,12/01/2014,1279,N818DA,DTW,13:25,14:29,0268 ,0248,64,14:48,0019,0000,0000,0001,0000,0043,
  DL,12/01/2014,1480,N318US,CVG,12:10,13:34,0255 ,0231,84,13:45,0011,0002,0000,0000,0000,0058,
  DL,12/01/2014,1866,N812DN,ATL,06:15,06:12,0271 ,0264,-3,06:42,0030,0000,0000,0000,0000,0000,
  DL,12/01/2014,1880,N804DN,ATL,22:45,22:40,0269 ,0250,-5,23:00,0020,0000,0000,0000,0000,0000,
  DL,12/01/2014,1988,N652DL,DTW,23:25,23:30,0268 ,0232,5,23:41,0011,0000,0000,0000,0000,0000,
  DL,12/01/2014,2040,N709TW,JFK,16:00,16:12,0323 ,0295,12,16:30,0018,0000,0000,0000,0000,0000,
  DL,12/01/2014,2049,N3744F,ATL,16:00,16:29,0271 ,0247,29,16:48,0019,0000,0000,0000,0000,0000,
  DL,12/01/2014,2105,N338NW,MSP,15:00,15:03,0211 ,0191,3,15:21,0018,0000,0000,0000,0000,0000,
  DL,12/01/2014,2240,N723TW,JFK,21:25,21:19,0319 ,0297,-6,21:37,0018,0000,0000,0000,0000,0000,
  DL,12/01/2014,2340,N727TW,JFK,13:30,13:42,0323 ,0299,12,13:59,0017,0000,0000,0000,0000,0000,
  DL,12/01/2014,2375,N368NW,SLC,13:20,14:00,0104 ,0098,40,14:18,0018,0000,0000,0000,0000,0034,
  DL,12/01/2014,2389,N652DL,DTW,09:00,08:58,0271 ,0244,-2,09:13,0015,0000,0000,0000,0000,0000,
  DL,12/01/2014,2566,N343NW,MSP,06:40,06:38,0213 ,0202,-2,06:55,0017,0000,0000,0000,0000,0000,
  DL,12/02/2014,0061,N6708D,ATL,12:00,12:05,0274 ,0259,5,12:33,0028,0000,0000,0000,0000,0000,
  DL,12/02/2014,0240,N821DN,ATL,07:40,07:45,0271 ,0245,5,08:02,0017,0000,0000,0000,0000,0000,
  DL,12/02/2014,0414,N624AG,JFK,08:30,08:25,0325 ,0310,-5,08:49,0024,0000,0000,0000,0000,0000,
  DL,12/02/2014,0418,N702TW,JFK,06:40,06:39,0325 ,0296,-1,06:56,0017,0000,0000,0000,0000,0000,
  DL,12/02/2014,0468,N709TW,JFK,11:35,11:58,0328 ,0313,23,12:18,0020,0000,0000,0000,0000,0000,
  DL,12/02/2014,0671,N817DN,ATL,14:30,14:29,0270 ,0275,-1,15:00,0031,0000,0000,0000,0000,0000,
  DL,12/02/2014,0854,N663DN,DTW,07:00,06:56,0273 ,0244,-4,07:16,0020,0000,0000,0000,0000,0000,
  DL,12/02/2014,0869,N827DN,ATL,16:00,15:57,0270 ,0267,-3,16:19,0022,0000,0000,0000,0000,0000,
  DL,12/02/2014,1106,N809DN,MSP,08:35,08:34,0219 ,0200,-1,09:00,0026,0000,0000,0000,0000,0000,
  DL,12/02/2014,1420,N6704Z,DTW,11:30,12:59,0274 ,0254,89,13:35,0036,0065,0000,0000,0000,0004,
  DL,12/02/2014,1491,N655DL,ATL,23:10,23:07,0263 ,0261,-3,23:37,0030,0000,0000,0000,0000,0000,
  DL,12/02/2014,1551,N354NW,MSP,00:35,00:28,0217 ,0189,-7,00:44,0016,0000,0000,0000,0000,0000,
  DL,12/02/2014,1567,N359NW,SLC,06:05,05:59,0109 ,0116,-6,06:14,0015,0000,0000,0000,0000,0000,
  DL,12/02/2014,1631,N137DL,ATL,09:00,09:00,0273 ,0255,0,09:30,0030,0000,0000,0000,0000,0000,
