
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): February
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,02/01/2014,0061,N805DN,ATL,12:04,12:05,0270 ,0265,1,12:21,0016,0000,0000,0000,0000,0000,
  DL,02/01/2014,0240,N801DZ,ATL,06:00,05:57,0271 ,0257,-3,06:09,0012,0000,0000,0000,0000,0000,
  DL,02/01/2014,0408,N703TW,JFK,08:00,07:54,0325 ,0294,-6,08:06,0012,0000,0000,0000,0000,0000,
  DL,02/01/2014,0468,N721TW,JFK,11:30,11:23,0326 ,0297,-7,11:37,0014,0000,0000,0000,0000,0000,
  DL,02/01/2014,0806,N938DN,MSP,06:35,06:28,0221 ,0217,-7,06:46,0018,0000,0000,0000,0000,0000,
  DL,02/01/2014,0854,N814DN,DTW,07:00,06:54,0271 ,0265,-6,07:10,0016,0000,0000,0000,0000,0000,
  DL,02/01/2014,1106,N368NW,MSP,08:30,08:24,0216 ,0213,-6,08:41,0017,0000,0000,0000,0000,0000,
  DL,02/01/2014,1151,N723TW,HNL,15:05,15:17,0329 ,0352,12,15:46,0029,0000,0000,0023,0000,0012,
  DL,02/01/2014,1420,N384DA,DTW,11:30,11:25,0271 ,0255,-5,11:39,0014,0000,0000,0000,0000,0000,
  DL,02/01/2014,1480,N814DN,ATL,22:30,22:21,0265 ,0245,-9,22:32,0011,0000,0000,0000,0000,0000,
  DL,02/01/2014,1859,N717TW,JFK,06:45,06:39,0321 ,0305,-6,06:57,0018,0000,0000,0000,0000,0000,
  DL,02/01/2014,1866,N143DA,ATL,07:45,07:39,0268 ,0261,-6,07:55,0016,0000,0000,0000,0000,0000,
  DL,02/01/2014,1880,N807DN,ATL,23:45,23:40,0261 ,0249,-5,23:51,0011,0000,0000,0000,0000,0000,
  DL,02/01/2014,2240,N717TW,JFK,21:15,21:09,0314 ,0288,-6,21:19,0010,0000,0000,0000,0000,0000,
