
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): January
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,01/01/2015,0061,N129DL,ATL,14:10,14:10,0269 ,0258,0,14:22,0012,0000,0000,0000,0000,0000,
  DL,01/01/2015,0240,N803DN,ATL,07:40,10:31,0271 ,0270,171,10:47,0016,0170,0000,0000,0000,0000,
  DL,01/01/2015,0414,N710TW,JFK,08:30,09:56,0325 ,0322,86,10:15,0019,0083,0000,0000,0000,0000,
  DL,01/01/2015,0418,N706TW,JFK,06:30,06:28,0325 ,0307,-2,06:43,0015,0000,0000,0000,0000,0000,
  DL,01/01/2015,0806,N3730B,MSP,00:25,00:20,0217 ,0230,-5,00:38,0018,0000,0000,0000,0000,0000,
  DL,01/01/2015,0854,N667DN,DTW,07:00,07:01,0273 ,0267,1,07:15,0014,0000,0000,0000,0000,0000,
  DL,01/01/2015,1106,N6711M,MSP,09:00,09:06,0223 ,0230,6,09:30,0024,0000,0000,0000,0000,0000,
  DL,01/01/2015,1151,N588NW,HNL,17:55,17:53,0342 ,0341,-2,18:10,0017,0000,0000,0000,0000,0000,
  DL,01/01/2015,1220,N666DN,ATL,22:40,22:32,0266 ,0278,-8,23:00,0028,0000,0000,0000,0000,0000,
  DL,01/01/2015,1631,N586NW,ATL,09:00,09:00,0271 ,0266,0,09:13,0013,0000,0000,0000,0000,0000,
  DL,01/01/2015,1723,N336NB,SLC,06:05,06:04,0109 ,0108,-1,06:19,0015,0000,0000,0000,0000,0000,
  DL,01/01/2015,1866,N827DN,ATL,06:15,06:16,0270 ,0266,1,06:27,0011,0000,0000,0000,0000,0000,
  DL,01/01/2015,1880,N6703D,ATL,23:40,23:36,0263 ,0272,-4,23:58,0022,0000,0000,0000,0000,0000,
  DL,01/01/2015,2040,N624AG,JFK,15:15,15:09,0319 ,0313,-6,15:23,0014,0000,0000,0000,0000,0000,
  DL,01/01/2015,2254,N6709 ,DTW,13:05,13:03,0270 ,0265,-2,13:22,0019,0000,0000,0000,0000,0000,
  DL,01/01/2015,2305,N525US,MSP,12:30,12:24,0221 ,0218,-6,12:36,0012,0000,0000,0000,0000,0000,
  DL,01/01/2015,2375,N371NW,SLC,13:10,13:06,0106 ,0111,-4,13:24,0018,0000,0000,0000,0000,0000,
  DL,01/01/2015,2389,N802DN,DTW,11:00,15:03,0279 ,0277,243,15:20,0017,0241,0000,0000,0000,0000,
  DL,01/01/2015,2566,N913DN,MSP,06:40,06:36,0228 ,0227,-4,06:49,0013,0000,0000,0000,0000,0000,
